Speaker_Start,Speaker_Stop,Speaker,Subtitle_Start,Subtitle_End,Text,Global_ID,File,Group_id,C_Name
"00:01:37,599","00:01:38,700",43,"00:01:37,560","00:01:40,880",Have you ever heard of Moombin valley?,,1,group_2,background_song
"00:01:38,799","00:01:40,000",43,"00:01:37,560","00:01:40,880",Have you ever heard of Moombin valley?,,1,group_2,background_song
"00:01:43,700","00:01:44,400",43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",,1,group_2,background_song
"00:01:44,700","00:01:47,400",43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",,1,group_2,background_song
"00:01:48,099","00:01:49,500",43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",,1,group_2,background_song
"00:01:49,900","00:01:51,400",43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",,1,group_2,background_song
"00:01:55,299","00:01:55,599",43,"00:01:52,480","00:02:03,760","Look, there's a woman house.",,1,group_2,background_song
"00:01:56,299","00:01:57,500",43,"00:01:52,480","00:02:03,760","Look, there's a woman house.",,1,group_2,background_song
"00:02:03,500","00:02:05,700",43,"00:01:52,480","00:02:03,760","Look, there's a woman house.",,1,group_2,background_song
"00:02:11,400","00:02:12,199",43,"00:02:03,760","00:02:11,640","This woman, our hero,",,1,group_2,background_song
"00:02:15,300","00:02:16,500",43,"00:02:11,640","00:02:20,920","and Papa, and Mum and Mama.",,1,group_2,background_song
"00:02:20,699","00:02:23,800",43,"00:02:11,640","00:02:20,920","and Papa, and Mum and Mama.",,1,group_2,background_song
"00:02:34,400","00:02:36,400",43,"00:02:20,920","00:02:34,440",And this little bundle must be little my.,,1,group_2,background_song
"00:02:36,900","00:02:38,199",43,"00:02:34,440","00:02:56,160","I think before our story starts, we'd better wake everyone up with some spring sunshine.",,1,group_2,background_song
"00:02:38,800","00:02:40,500",43,"00:02:34,440","00:02:56,160","I think before our story starts, we'd better wake everyone up with some spring sunshine.",,1,group_2,background_song
"00:02:57,300","00:02:57,800",13,"00:02:56,160","00:03:16,160","At last, it's spring.",,1,group_4,Moomintroll
"00:02:59,300","00:03:01,000",13,"00:02:56,160","00:03:16,160","At last, it's spring.",,1,group_4,Moomintroll
"00:03:12,300","00:03:13,300",16,"00:02:56,160","00:03:16,160","At last, it's spring.",,1,group_3,Snuffkin
"00:03:13,599","00:03:14,699",16,"00:02:56,160","00:03:16,160","At last, it's spring.",,1,group_3,Snuffkin
"00:03:18,000","00:03:18,300",13,"00:03:16,160","00:03:24,160","Wake up everyone, it's spring time.",,1,group_4,Moomintroll
"00:03:18,500","00:03:23,000",13,"00:03:16,160","00:03:24,160","Wake up everyone, it's spring time.",,1,group_4,Moomintroll
"00:03:41,199","00:03:43,599",45,"00:03:24,160","00:03:44,480",I can't help it if I'm happy.,,1,group_17,Sniff
"00:03:44,400","00:03:45,800",31,"00:03:24,160","00:03:44,480",I can't help it if I'm happy.,,1,group_14,MoominMama
"00:03:46,199","00:03:53,000",31,"00:03:44,480","00:03:46,280","So yeah, woke me.",,1,group_14,MoominMama
"00:03:53,800","00:03:54,099",31,"00:03:51,000","00:03:54,000","Oh gee, isn't it, is it really moving?",,1,group_14,MoominMama
"00:03:58,099","00:03:58,199",13,"00:03:54,000","00:04:01,360","Yes, it's all fresh, the flowers are out and the sun is shining, so I like being asleep.",,1,group_4,Moomintroll
"00:04:12,500","00:04:12,500",31,"00:04:09,160","00:04:12,640",You said you wanted to be a welcome as soon as spring was here.,,1,group_14,MoominMama
"00:04:15,800","00:04:17,500",31,"00:04:14,640","00:04:18,000",Did I say something like that?,,1,group_14,MoominMama
"00:04:21,300","00:04:22,199",31,"00:04:20,000","00:04:22,320","Nobody's making you get up, little my.",,1,group_14,MoominMama
"00:04:23,100","00:04:26,100",31,"00:04:22,320","00:04:26,000","No, there's really no point, Mum, and I'm not sleepy anymore.",,1,group_14,MoominMama
"00:04:26,300","00:04:26,399",31,"00:04:26,000","00:04:30,000","Well, there you are then.",,1,group_14,MoominMama
"00:04:27,699","00:04:28,600",31,"00:04:26,000","00:04:30,000","Well, there you are then.",,1,group_14,MoominMama
"00:04:29,600","00:04:30,500",31,"00:04:26,000","00:04:30,000","Well, there you are then.",,1,group_14,MoominMama
"00:04:32,300","00:04:32,399",31,"00:04:31,000","00:04:33,000","Good spring, Mum.",,1,group_14,MoominMama
"00:04:33,199","00:04:37,300",31,"00:04:33,000","00:04:35,840","Mum, and Mama, I'm starving.",,1,group_14,MoominMama
"00:05:09,399","00:05:10,500",16,"00:05:04,560","00:05:09,560",Wouldn't it be quicker to use the stairs?,,1,group_3,Snuffkin
"00:05:11,699","00:05:13,000",16,"00:05:11,560","00:05:13,560",Are you going home now?,,1,group_3,Snuffkin
"00:05:14,199","00:05:14,899",31,"00:05:13,560","00:05:18,560","Yes, thanks very much for letting me spend the winter here.",,1,group_14,MoominMama
"00:05:15,000","00:05:15,000",31,"00:05:13,560","00:05:18,560","Yes, thanks very much for letting me spend the winter here.",,1,group_14,MoominMama
"00:05:15,100","00:05:17,699",31,"00:05:13,560","00:05:18,560","Yes, thanks very much for letting me spend the winter here.",,1,group_14,MoominMama
"00:05:18,600","00:05:20,800",16,"00:05:18,560","00:05:20,560","Don't think your sister will be back yet, though.",,1,group_3,Snuffkin
"00:05:21,199","00:05:21,199",16,"00:05:20,560","00:05:22,560",I'll go anyway.,,1,group_3,Snuffkin
