Source,Target,weights
3,1,I can't help it if I'm happy.
4,3,"So yeah, woke me."
1,4,"Yes, it's all fresh, the flowers are out and the sun is shining, so I like being asleep."
4,1,You said you wanted to be a welcome as soon as spring was here.
2,4,Wouldn't it be quicker to use the stairs?
4,2,"Yes, thanks very much for letting me spend the winter here."
2,4,"Don't think your sister will be back yet, though."
5,2,"Like what, Momen?"
1,5,I can think of more exciting things to do than this.
3,1,"Well, let's imagine that we're the first ever to climb this mountain."
2,3,when we get to the top and the sea.
6,2,"Morning, Mum, and are your father and mother up?"
7,6,We like it.
5,7,Why do they always have to do something exciting?
3,5,What a gorgeous view.
5,3,"Hey, look, they're small coming from Mum and House."
3,5,Look.
1,3,Top hat.
5,1,I wonder who's how it is.
3,5,"I don't know, but I know Papa would like it."
1,3,It really gets inside.
3,1,"Papa's head got stuck in the hat, Mum."
1,3,Beautiful.
3,1,A little bit more.
4,3,"Silly, of course you can't."
3,4,Dreams are all right.
4,3,"Snuff, you're not still feeding your face, are you?"
5,4,"Only nightmares about having no food at all, little, my."
1,5,Can I try?
2,1,Mumen.
7,2,"Come on, Papa. Jump or you'll fall."
1,7,Damn.
7,1,"I won, I won."
1,7,And I'm going to climb right up here.
2,1,My cloud's starting to go.
1,2,She hit!
4,1,"Well, last time I saw him, he was hiding in the fireplace."
5,4,No. Have you looked in the cellar?
2,5,"Well, here I am, sniff."
3,2,I don't want to find you anyway!
5,3,You're too ugly to be the king of anything.
3,5,"Well, now, that's not a very nice thing to say to your friend."
1,3,Ah!
7,1,Where's my nose gone?
1,7,This is terrible!
2,1,Who are you?
1,2,Oh.
6,1,The Moomin's are about to call.
3,6,Moomin loves to spend as much time as he can as a friend as Snuffkin.
4,3,"You are the one that said it, you know."
3,4,"Oh, no."
5,3,Did you really throw it in the river?
3,5,I wish you hadn't.
5,3,But what about the eggshells it turned into clouds?
1,5,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh"
4,1,"What? What's happened? We were playing tag and she fell into an ant lion hole. We've got to get her out quickly. Come on, moving. Nearly there is North Maiden just a bit further. Help me, sniff. Give me your hand. Hurry! Look out! It's the ant lion! Look what you're doing to my hole. I'm sorry. I'll be out soon. Stop yelling and kicking like that. You're scaring off my prey."
8,4,"Are you all right, Snark Maiden? I can't reach her. I don't have to have ants for lunch, you know. Don't be a woman, please. You better get in there, sniff. What? Me? Don't worry. I'll hold on to you. You're the only one tall enough, sniff. Come on. You look nice and tasty. I'll eat you and step. Good, sniff. Look, I'm getting there. You're big."
7,8,"Come on, nearly a bit."
3,7,"Where have you been, self-kin? That's a big secret, movement. I won't tell anyone."
2,3,Pardon? Couldn't get back to sleep. Huh. What are you talking about?
4,2,I was awake last night too. And I know why you're so tired.
3,4,"You must have been dreaming. Now, if you'll excuse me, I'm in a hurry. Thanks, mama."
4,3,"Oh, nothing really important, movement, papa."
2,4,Snopkin!
3,2,The Hobgoblins. The Hobgoblins.
8,3,Are you talking about me?
3,8,"Yes, about how quickly you could dig yourself into a hole in the sand."
8,3,"I can dig myself in anywhere, anywhere at all."
3,8,"Yeah, just there, if you don't mind."
4,3,So you've caught the Aunt Lion. I've been watching.
2,4,"Hey, what is that?"
4,2,There's gallons of water.
3,4,What's happened to him?
2,3,Let's turn it over.
3,2,It's a hedgehog.
1,3,What?
3,1,What?
2,3,The red?
4,2,I wonder if it's possible to change it into spaghetti.
1,4,Huh?
2,1,Mama!
4,2,"Yeah, we did."
1,4,And fruit.
3,1,They must all be in the cellar and we can't get in this way.
2,3,"Yes, sir."
3,2,He's not bad for a Hobgoblin.
1,3,"Okay, let's do it."
4,1,"All right, Moomin, Mama."
3,4,"Come on, Snork Maiden, cheer up."
1,3,"Now, what's the matter, Snork Maiden?"
3,1,Papa?
2,3,"Nice, Snuffkin."
