"start","stop","speaker","Global_ID","file","Speaking_To_Each_Other"
59.2,59.2,"SPEAKER_01","G01","1_compressed.wav","G00"
59.2,59.2,"SPEAKER_09","G00","1_compressed.wav","G01"
59.2,59.6,"SPEAKER_01","G01","1_compressed.wav","G00"
59.6,59.7,"SPEAKER_09","G00","1_compressed.wav","G01"
59.7,62.3,"SPEAKER_01","G01","1_compressed.wav","G00"
233,233.8,"SPEAKER_17","G00","2_compressed.wav","G01"
480.7,481.2,"SPEAKER_29","G03","1_compressed.wav","G00"
485.2,485.6,"SPEAKER_09","G00","1_compressed.wav","G03"
500.3,504.3,"SPEAKER_29","G03","1_compressed.wav","G00"
522.8,522.9,"SPEAKER_17","G00","2_compressed.wav","G03"
842,842,"SPEAKER_11","G01","2_compressed.wav","G00"
868,868.4,"SPEAKER_30","G04","3_compressed.wav","G01"
965.4,969.5,"SPEAKER_17","G00","2_compressed.wav","G04"
986.8,986.9,"SPEAKER_29","G03","1_compressed.wav","G00"
1021.3,1022.8,"SPEAKER_30","G04","3_compressed.wav","G03"
1076.3,1076.3,"SPEAKER_29","G03","1_compressed.wav","G04"
1089.3,1098.2,"SPEAKER_17","G00","2_compressed.wav","G03"
1192,1192.3,"SPEAKER_29","G03","1_compressed.wav","G00"
1202.7,1203.3,"SPEAKER_17","G00","2_compressed.wav","G03"
1267.5,1267.5,"SPEAKER_30","G04","3_compressed.wav","G00"
1272.3,1272.3,"SPEAKER_29","G03","1_compressed.wav","G04"
1272.3,1273,"SPEAKER_30","G04","3_compressed.wav","G03"
1273,1273,"SPEAKER_29","G03","1_compressed.wav","G04"
1274.4,1274.5,"SPEAKER_30","G04","3_compressed.wav","G03"
1327,1332.7,"SPEAKER_09","G00","1_compressed.wav","G04"
1410.5,1412,"SPEAKER_23","G02","1_compressed.wav","G00"
1412,1419,"SPEAKER_09","G00","1_compressed.wav","G02"
1456.8,1460,"SPEAKER_01","G01","1_compressed.wav","G00"
1521.4,1522.4,"SPEAKER_17","G00","2_compressed.wav","G01"
1561.1,1562.2,"SPEAKER_30","G04","3_compressed.wav","G00"
1562.2,1562.4,"SPEAKER_17","G00","2_compressed.wav","G04"
1562.4,1563.2,"SPEAKER_30","G04","3_compressed.wav","G00"
1563.2,1563.2,"SPEAKER_17","G00","2_compressed.wav","G04"
1563.2,1563.2,"SPEAKER_30","G04","3_compressed.wav","G00"
1564.2,1564.4,"SPEAKER_17","G00","2_compressed.wav","G04"
1564.4,1565.8,"SPEAKER_30","G04","3_compressed.wav","G00"
1565.4,1565.8,"SPEAKER_17","G00","2_compressed.wav","G04"
1617.3,1618.3,"SPEAKER_29","G03","1_compressed.wav","G00"
1667.7,1671.2,"SPEAKER_17","G00","2_compressed.wav","G03"
1812.6,1813.1,"SPEAKER_30","G04","3_compressed.wav","G00"
1834.5,1836.8,"SPEAKER_17","G00","2_compressed.wav","G04"
2188.7,2188.7,"SPEAKER_11","G01","2_compressed.wav","G00"
2213.8,2220.2,"SPEAKER_29","G03","1_compressed.wav","G01"
2242.8,2245.9,"SPEAKER_17","G00","2_compressed.wav","G03"
2483,2486.2,"SPEAKER_29","G03","1_compressed.wav","G00"
2555.9,2558,"SPEAKER_17","G00","2_compressed.wav","G03"
2809.2,2810,"SPEAKER_23","G02","1_compressed.wav","G00"
2810,2817.7,"SPEAKER_09","G00","1_compressed.wav","G02"
2853.5,2853.5,"SPEAKER_01","G01","1_compressed.wav","G00"
2915.4,2916.6,"SPEAKER_17","G00","2_compressed.wav","G01"
3263.8,3264.3,"SPEAKER_30","G04","3_compressed.wav","G00"
3272,3274.5,"SPEAKER_17","G00","2_compressed.wav","G04"
3295.8,3299.9,"SPEAKER_30","G04","3_compressed.wav","G00"
3311,3312.4,"SPEAKER_17","G00","2_compressed.wav","G04"
3329,3329,"SPEAKER_30","G04","3_compressed.wav","G00"
3425.2,3425.2,"SPEAKER_17","G00","2_compressed.wav","G04"
3563.3,3565,"SPEAKER_30","G04","3_compressed.wav","G00"
3574,3574.3,"SPEAKER_17","G00","2_compressed.wav","G04"
3753.8,3753.8,"SPEAKER_30","G04","3_compressed.wav","G00"
3755.5,3755.5,"SPEAKER_17","G00","2_compressed.wav","G04"
