Speaker_Start,Speaker_Stop,Speaker,Subtitle_Start,Subtitle_End,Text,Global_ID
"00:00:12,800","00:00:21,199",SPEAKER_09,"00:00:00,000","00:00:21,000","Here they are for one and all, the movements are about to come, come on and sit down here with me.",G00
"00:00:21,199","00:00:21,899",SPEAKER_00,"00:00:21,000","00:00:29,000","Here for you are your TV, they are the movements, they are the movements.",
"00:00:21,500","00:00:21,699",SPEAKER_09,"00:00:21,000","00:00:29,000","Here for you are your TV, they are the movements, they are the movements.",G00
"00:00:21,699","00:00:21,800",SPEAKER_09,"00:00:21,000","00:00:29,000","Here for you are your TV, they are the movements, they are the movements.",G00
"00:00:21,800","00:00:21,800",SPEAKER_09,"00:00:21,000","00:00:29,000","Here for you are your TV, they are the movements, they are the movements.",G00
"00:00:21,899","00:00:25,600",SPEAKER_09,"00:00:21,000","00:00:29,000","Here for you are your TV, they are the movements, they are the movements.",G00
"00:00:26,699","00:00:28,199",SPEAKER_09,"00:00:21,000","00:00:29,000","Here for you are your TV, they are the movements, they are the movements.",G00
"00:00:29,699","00:00:42,600",SPEAKER_09,"00:00:29,000","00:00:35,000","So come with me, give me your hand, I'll take you up to a moment land.",G00
"00:00:40,100","00:00:40,200",SPEAKER_00,"00:00:35,000","00:00:46,000","You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",
"00:00:40,200","00:00:40,600",SPEAKER_37,"00:00:35,000","00:00:46,000","You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",
"00:00:40,600","00:00:40,700",SPEAKER_00,"00:00:35,000","00:00:46,000","You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",
"00:00:44,100","00:00:46,000",SPEAKER_09,"00:00:35,000","00:00:46,000","You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",G00
"00:00:47,000","00:00:54,299",SPEAKER_09,"00:00:46,000","00:00:58,000","there were the movements, there were the movements, there were the movements, there were the movements.",G00
"00:00:55,500","00:00:57,200",SPEAKER_09,"00:00:46,000","00:00:58,000","there were the movements, there were the movements, there were the movements, there were the movements.",G00
"00:01:17,500","00:01:19,799",SPEAKER_01,"00:01:16,000","00:01:31,220","Ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha.",G01
"00:01:23,099","00:01:23,200",SPEAKER_01,"00:01:16,000","00:01:31,220","Ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha.",G01
"00:01:24,500","00:01:24,599",SPEAKER_01,"00:01:16,000","00:01:31,220","Ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha.",G01
"00:01:25,299","00:01:25,500",SPEAKER_01,"00:01:16,000","00:01:31,220","Ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha.",G01
"00:01:25,500","00:01:31,500",SPEAKER_01,"00:01:16,000","00:01:31,220","Ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha.",G01
