Id,Label
3,Sniff
4,MoominMama
1,Moomintroll
4,MoominMama
2,Snuffkin
4,MoominMama
2,Snuffkin
5,LittleMy
1,Moomintroll
3,Sniff
2,Snuffkin
6,Hemul
7,Alicia and her grandma
5,LittleMy
3,Sniff
5,LittleMy
3,Sniff
1,Moomintroll
5,LittleMy
3,Sniff
1,Moomintroll
3,Sniff
1,Moomintroll
3,Sniff
4,MoominMama
3,Sniff
4,MoominMama
5,LittleMy
1,Moomintroll
2,Snuffkin
7,Alicia and her grandma
1,Moomintroll
7,Alicia and her grandma
1,Moomintroll
2,Snuffkin
1,Moomintroll
4,MoominMama
5,LittleMy
2,Snuffkin
3,Sniff
5,LittleMy
3,Sniff
1,Moomintroll
7,Alicia and her grandma
1,Moomintroll
2,Snuffkin
1,Moomintroll
6,Hemul
3,Sniff
4,MoominMama
3,Sniff
5,LittleMy
3,Sniff
5,LittleMy
1,Moomintroll
4,MoominMama
8,Inspector
7,Alicia and her grandma
3,Sniff
2,Snuffkin
4,MoominMama
3,Sniff
4,MoominMama
2,Snuffkin
3,Sniff
8,Inspector
3,Sniff
8,Inspector
3,Sniff
4,MoominMama
2,Snuffkin
4,MoominMama
3,Sniff
2,Snuffkin
3,Sniff
1,Moomintroll
3,Sniff
2,Snuffkin
4,MoominMama
1,Moomintroll
2,Snuffkin
4,MoominMama
1,Moomintroll
3,Sniff
2,Snuffkin
3,Sniff
1,Moomintroll
4,MoominMama
3,Sniff
1,Moomintroll
3,Sniff
2,Snuffkin
3,Sniff
2,Snuffkin
1,Moomintroll
5,LittleMy
2,Snuffkin
6,Hemul
5,LittleMy
3,Sniff
4,MoominMama
5,LittleMy
2,Snuffkin
4,MoominMama
1,Moomintroll
5,LittleMy
4,MoominMama
3,Sniff
7,Alicia and her grandma
1,Moomintroll
6,Hemul
3,Sniff
6,Hemul
3,Sniff
6,Hemul
4,MoominMama
6,Hemul
3,Sniff
1,Moomintroll
7,Alicia and her grandma
1,Moomintroll
7,Alicia and her grandma
2,Snuffkin
4,MoominMama
2,Snuffkin
3,Sniff
1,Moomintroll
2,Snuffkin
4,MoominMama
6,Hemul
2,Snuffkin
3,Sniff
7,Alicia and her grandma
6,Hemul
9,Stinky
6,Hemul
1,Moomintroll
2,Snuffkin
4,MoominMama
1,Moomintroll
2,Snuffkin
6,Hemul
5,LittleMy
2,Snuffkin
5,LittleMy
3,Sniff
4,MoominMama
5,LittleMy
3,Sniff
4,MoominMama
3,Sniff
4,MoominMama
3,Sniff
2,Snuffkin
3,Sniff
4,MoominMama
1,Moomintroll
6,Hemul
1,Moomintroll
7,Alicia and her grandma
3,Sniff
7,Alicia and her grandma
2,Snuffkin
7,Alicia and her grandma
3,Sniff
2,Snuffkin
3,Sniff
6,Hemul
2,Snuffkin
3,Sniff
1,Moomintroll
3,Sniff
6,Hemul
3,Sniff
6,Hemul
2,Snuffkin
3,Sniff
7,Alicia and her grandma
1,Moomintroll
2,Snuffkin
3,Sniff
4,MoominMama
3,Sniff
2,Snuffkin
1,Moomintroll
4,MoominMama
2,Snuffkin
3,Sniff
2,Snuffkin
3,Sniff
4,MoominMama
1,Moomintroll
4,MoominMama
2,Snuffkin
4,MoominMama
2,Snuffkin
7,Alicia and her grandma
1,Moomintroll
4,MoominMama
3,Sniff
2,Snuffkin
4,MoominMama
6,Hemul
7,Alicia and her grandma
2,Snuffkin
4,MoominMama
3,Sniff
2,Snuffkin
7,Alicia and her grandma
2,Snuffkin
4,MoominMama
2,Snuffkin
3,Sniff
2,Snuffkin
7,Alicia and her grandma
1,Moomintroll
7,Alicia and her grandma
1,Moomintroll
4,MoominMama
2,Snuffkin
3,Sniff
7,Alicia and her grandma
1,Moomintroll
7,Alicia and her grandma
1,Moomintroll
7,Alicia and her grandma
1,Moomintroll
3,Sniff
5,LittleMy
1,Moomintroll
3,Sniff
1,Moomintroll
5,LittleMy
3,Sniff
1,Moomintroll
5,LittleMy
1,Moomintroll
5,LittleMy
3,Sniff
9,Stinky
1,Moomintroll
2,Snuffkin
3,Sniff
2,Snuffkin
3,Sniff
5,LittleMy
3,Sniff
1,Moomintroll
4,MoominMama
3,Sniff
1,Moomintroll
3,Sniff
1,Moomintroll
3,Sniff
4,MoominMama
3,Sniff
2,Snuffkin
4,MoominMama
3,Sniff
7,Alicia and her grandma
2,Snuffkin
3,Sniff
2,Snuffkin
4,MoominMama
3,Sniff
2,Snuffkin
3,Sniff
1,Moomintroll
3,Sniff
4,MoominMama
3,Sniff
4,MoominMama
1,Moomintroll
4,MoominMama
3,Sniff
2,Snuffkin
3,Sniff
2,Snuffkin
4,MoominMama
3,Sniff
4,MoominMama
2,Snuffkin
1,Moomintroll
6,Hemul
1,Moomintroll
7,Alicia and her grandma
1,Moomintroll
7,Alicia and her grandma
2,Snuffkin
4,MoominMama
1,Moomintroll
4,MoominMama
2,Snuffkin
4,MoominMama
2,Snuffkin
1,Moomintroll
2,Snuffkin
3,Sniff
7,Alicia and her grandma
3,Sniff
2,Snuffkin
4,MoominMama
3,Sniff
4,MoominMama
3,Sniff
4,MoominMama
2,Snuffkin
1,Moomintroll
7,Alicia and her grandma
