start,stop,speaker
12.8,21.2,SPEAKER_04
21.2,21.8,SPEAKER_05
21.5,21.7,SPEAKER_04
21.7,21.8,SPEAKER_04
21.8,25.6,SPEAKER_04
26.7,28.2,SPEAKER_04
29.7,42.6,SPEAKER_04
40.1,40.7,SPEAKER_00
44.1,46.0,SPEAKER_04
47.0,54.3,SPEAKER_04
55.5,57.2,SPEAKER_04
59.2,59.8,SPEAKER_04
59.8,62.3,SPEAKER_00
62.5,68.1,SPEAKER_00
70.8,73.5,SPEAKER_00
73.7,73.9,SPEAKER_00
74.0,76.8,SPEAKER_00
77.5,79.8,SPEAKER_00
83.1,83.2,SPEAKER_00
84.5,84.6,SPEAKER_00
85.3,85.5,SPEAKER_00
85.5,91.5,SPEAKER_00
97.6,98.7,SPEAKER_07
98.8,100.0,SPEAKER_07
103.7,104.4,SPEAKER_07
104.7,107.4,SPEAKER_07
108.1,109.5,SPEAKER_07
109.9,111.4,SPEAKER_07
115.3,115.6,SPEAKER_07
116.3,117.5,SPEAKER_07
123.5,125.7,SPEAKER_07
131.4,132.2,SPEAKER_07
135.3,136.5,SPEAKER_07
140.7,143.8,SPEAKER_07
154.4,156.4,SPEAKER_07
156.9,158.2,SPEAKER_07
158.8,160.5,SPEAKER_07
177.3,177.8,SPEAKER_14
179.3,182.8,SPEAKER_14
192.3,193.3,SPEAKER_12
193.6,194.7,SPEAKER_12
198.0,198.3,SPEAKER_14
198.5,203.0,SPEAKER_14
215.9,217.6,SPEAKER_12
218.6,220.9,SPEAKER_12
221.2,221.2,SPEAKER_08
221.2,223.6,SPEAKER_12
224.4,225.8,SPEAKER_12
226.2,237.7,SPEAKER_12
238.1,238.2,SPEAKER_12
238.2,238.2,SPEAKER_14
238.2,238.2,SPEAKER_12
239.3,252.0,SPEAKER_12
252.5,253.2,SPEAKER_12
253.3,254.5,SPEAKER_12
254.8,255.3,SPEAKER_12
255.8,257.5,SPEAKER_12
257.9,266.1,SPEAKER_12
261.3,261.9,SPEAKER_14
266.3,267.0,SPEAKER_12
267.0,267.7,SPEAKER_09
267.7,268.6,SPEAKER_12
269.6,270.5,SPEAKER_12
270.9,272.1,SPEAKER_09
272.3,272.4,SPEAKER_12
273.2,277.3,SPEAKER_12
277.3,279.7,SPEAKER_09
280.3,283.2,SPEAKER_09
288.2,289.8,SPEAKER_12
305.3,307.6,SPEAKER_12
309.4,310.5,SPEAKER_12
311.7,313.0,SPEAKER_12
314.2,314.9,SPEAKER_12
315.0,315.0,SPEAKER_12
315.1,317.7,SPEAKER_12
318.6,320.8,SPEAKER_12
321.1,322.4,SPEAKER_12
329.3,330.5,SPEAKER_12
331.8,332.9,SPEAKER_06
333.5,335.6,SPEAKER_12
336.0,336.1,SPEAKER_12
336.1,337.1,SPEAKER_06
337.2,339.9,SPEAKER_12
340.0,341.3,SPEAKER_06
342.0,344.6,SPEAKER_06
344.6,345.8,SPEAKER_12
347.0,348.2,SPEAKER_06
349.2,352.1,SPEAKER_06
352.3,353.8,SPEAKER_12
363.9,365.5,SPEAKER_06
365.7,366.7,SPEAKER_06
371.4,372.4,SPEAKER_06
374.3,375.0,SPEAKER_06
375.0,375.1,SPEAKER_12
375.1,375.1,SPEAKER_06
375.1,375.1,SPEAKER_12
376.0,376.1,SPEAKER_11
376.1,377.0,SPEAKER_12
377.0,383.7,SPEAKER_11
384.0,385.1,SPEAKER_11
385.6,386.0,SPEAKER_14
386.7,389.1,SPEAKER_11
389.4,392.8,SPEAKER_12
392.9,398.1,SPEAKER_06
398.1,398.4,SPEAKER_12
399.2,400.4,SPEAKER_12
400.4,400.4,SPEAKER_06
400.9,401.5,SPEAKER_06
401.7,402.3,SPEAKER_06
403.1,403.6,SPEAKER_06
403.6,405.2,SPEAKER_12
406.4,409.7,SPEAKER_06
406.8,407.1,SPEAKER_12
409.3,411.1,SPEAKER_12
412.8,413.4,SPEAKER_06
413.6,417.4,SPEAKER_06
417.4,417.4,SPEAKER_14
419.0,419.4,SPEAKER_06
419.4,419.4,SPEAKER_14
420.6,420.6,SPEAKER_14
420.6,420.9,SPEAKER_11
420.9,420.9,SPEAKER_14
427.1,429.8,SPEAKER_11
433.6,435.3,SPEAKER_08
435.9,437.4,SPEAKER_06
438.5,441.3,SPEAKER_11
438.6,438.8,SPEAKER_08
440.6,440.9,SPEAKER_06
442.2,446.0,SPEAKER_11
447.0,447.1,SPEAKER_08
447.1,447.4,SPEAKER_11
447.4,447.6,SPEAKER_08
447.6,447.6,SPEAKER_11
448.0,448.6,SPEAKER_11
449.1,452.3,SPEAKER_08
453.8,454.0,SPEAKER_08
454.0,454.5,SPEAKER_14
454.5,454.6,SPEAKER_06
454.6,456.2,SPEAKER_14
454.6,455.3,SPEAKER_11
457.0,457.0,SPEAKER_14
457.0,457.5,SPEAKER_14
459.6,461.6,SPEAKER_11
462.2,464.0,SPEAKER_11
466.1,466.4,SPEAKER_08
466.7,469.1,SPEAKER_08
474.6,477.3,SPEAKER_02
478.6,479.0,SPEAKER_02
480.7,481.2,SPEAKER_14
481.7,483.9,SPEAKER_02
484.2,487.3,SPEAKER_02
485.2,485.6,SPEAKER_14
485.9,485.9,SPEAKER_14
486.0,486.0,SPEAKER_14
487.7,495.6,SPEAKER_02
496.0,496.1,SPEAKER_02
496.3,501.5,SPEAKER_02
496.4,497.1,SPEAKER_14
500.3,504.3,SPEAKER_14
504.8,508.1,SPEAKER_02
509.4,509.5,SPEAKER_14
509.5,509.6,SPEAKER_02
509.6,509.7,SPEAKER_14
509.7,509.7,SPEAKER_02
510.3,511.7,SPEAKER_02
512.2,515.2,SPEAKER_02
518.2,519.2,SPEAKER_12
519.2,521.2,SPEAKER_02
522.3,523.0,SPEAKER_12
523.0,523.4,SPEAKER_02
523.1,523.3,SPEAKER_12
523.4,523.6,SPEAKER_12
523.6,524.2,SPEAKER_12
524.2,524.3,SPEAKER_12
526.7,528.8,SPEAKER_02
528.2,528.3,SPEAKER_09
529.2,533.0,SPEAKER_09
533.0,533.1,SPEAKER_12
533.2,535.1,SPEAKER_09
535.1,539.5,SPEAKER_02
540.1,541.4,SPEAKER_08
543.4,545.1,SPEAKER_08
545.1,547.4,SPEAKER_02
547.4,548.9,SPEAKER_08
549.7,550.0,SPEAKER_08
550.0,552.2,SPEAKER_09
552.8,554.8,SPEAKER_02
554.3,556.1,SPEAKER_09
557.9,559.5,SPEAKER_09
559.8,560.0,SPEAKER_02
560.0,560.8,SPEAKER_06
561.0,561.1,SPEAKER_06
561.2,565.6,SPEAKER_06
565.1,567.4,SPEAKER_09
567.9,568.7,SPEAKER_06
569.6,570.8,SPEAKER_09
571.1,573.0,SPEAKER_09
588.4,589.3,SPEAKER_12
607.7,608.6,SPEAKER_01
609.5,612.5,SPEAKER_12
612.5,612.5,SPEAKER_12
612.5,613.3,SPEAKER_01
613.8,615.4,SPEAKER_12
615.4,616.3,SPEAKER_01
616.8,618.5,SPEAKER_12
618.6,619.3,SPEAKER_01
620.1,620.4,SPEAKER_12
620.5,621.7,SPEAKER_12
621.7,622.6,SPEAKER_01
622.5,623.7,SPEAKER_12
623.7,624.7,SPEAKER_01
624.3,625.4,SPEAKER_12
626.8,634.0,SPEAKER_01
636.5,638.1,SPEAKER_01
639.9,643.2,SPEAKER_01
647.2,647.2,SPEAKER_08
647.2,652.1,SPEAKER_12
652.1,656.8,SPEAKER_12
658.1,660.6,SPEAKER_06
661.0,661.1,SPEAKER_08
661.1,661.1,SPEAKER_12
661.1,661.1,SPEAKER_08
661.1,662.0,SPEAKER_12
662.0,662.0,SPEAKER_08
662.0,662.1,SPEAKER_12
662.1,662.1,SPEAKER_08
666.0,666.1,SPEAKER_06
666.1,667.5,SPEAKER_11
667.9,671.6,SPEAKER_12
672.8,676.0,SPEAKER_11
682.8,685.4,SPEAKER_02
685.7,688.0,SPEAKER_02
688.9,690.1,SPEAKER_02
690.6,693.5,SPEAKER_02
725.1,725.6,SPEAKER_06
727.2,727.3,SPEAKER_12
727.9,728.0,SPEAKER_12
728.0,728.5,SPEAKER_11
728.7,728.7,SPEAKER_12
728.7,729.4,SPEAKER_11
729.9,730.7,SPEAKER_06
731.6,735.0,SPEAKER_11
735.0,736.1,SPEAKER_12
737.8,741.3,SPEAKER_12
741.9,743.0,SPEAKER_12
743.1,743.1,SPEAKER_12
743.2,744.5,SPEAKER_12
744.5,744.5,SPEAKER_06
745.5,745.5,SPEAKER_12
745.5,746.5,SPEAKER_06
747.1,748.4,SPEAKER_06
747.5,747.8,SPEAKER_00
750.8,751.7,SPEAKER_06
751.2,751.5,SPEAKER_07
761.3,761.8,SPEAKER_10
762.4,765.2,SPEAKER_10
767.2,769.3,SPEAKER_10
769.5,772.7,SPEAKER_10
772.9,773.0,SPEAKER_10
789.3,791.1,SPEAKER_07
791.4,793.0,SPEAKER_07
794.2,796.4,SPEAKER_07
797.4,798.2,SPEAKER_07
799.2,800.8,SPEAKER_07
805.4,806.0,SPEAKER_02
806.0,806.0,SPEAKER_14
808.7,809.5,SPEAKER_02
812.3,812.9,SPEAKER_02
813.4,814.7,SPEAKER_12
814.2,816.0,SPEAKER_02
816.4,819.4,SPEAKER_12
820.5,824.0,SPEAKER_02
824.4,825.5,SPEAKER_02
825.1,825.3,SPEAKER_12
825.5,826.0,SPEAKER_12
826.0,829.2,SPEAKER_02
829.6,829.6,SPEAKER_02
829.6,831.7,SPEAKER_12
832.3,834.0,SPEAKER_02
834.4,836.5,SPEAKER_12
836.5,836.5,SPEAKER_12
836.5,837.9,SPEAKER_02
837.3,839.8,SPEAKER_12
840.0,840.6,SPEAKER_12
841.0,841.2,SPEAKER_02
841.2,842.0,SPEAKER_14
845.2,850.2,SPEAKER_02
850.2,850.7,SPEAKER_09
850.7,855.3,SPEAKER_02
855.8,859.9,SPEAKER_09
862.9,864.4,SPEAKER_14
865.5,866.2,SPEAKER_14
866.5,867.0,SPEAKER_14
867.0,868.4,SPEAKER_10
868.4,868.5,SPEAKER_14
869.4,869.7,SPEAKER_10
869.7,871.2,SPEAKER_10
871.5,872.0,SPEAKER_10
872.0,894.1,SPEAKER_11
881.2,881.5,SPEAKER_10
894.2,895.9,SPEAKER_11
896.6,897.6,SPEAKER_11
906.0,908.8,SPEAKER_12
909.6,911.8,SPEAKER_06
912.3,914.6,SPEAKER_12
914.8,916.7,SPEAKER_06
917.3,918.8,SPEAKER_12
919.3,921.6,SPEAKER_12
922.1,925.4,SPEAKER_06
938.4,939.8,SPEAKER_11
940.4,941.2,SPEAKER_11
941.6,942.5,SPEAKER_11
945.7,946.1,SPEAKER_11
947.1,950.5,SPEAKER_09
962.0,964.7,SPEAKER_06
965.4,969.5,SPEAKER_12
968.2,968.7,SPEAKER_11
968.8,969.4,SPEAKER_11
969.5,970.0,SPEAKER_11
970.0,970.0,SPEAKER_11
971.1,971.6,SPEAKER_12
972.1,973.0,SPEAKER_12
974.6,976.0,SPEAKER_12
976.0,976.0,SPEAKER_14
976.4,976.6,SPEAKER_12
976.6,976.7,SPEAKER_14
985.0,985.2,SPEAKER_14
985.5,986.4,SPEAKER_14
986.6,1007.5,SPEAKER_14
986.8,986.9,SPEAKER_00
987.6,988.0,SPEAKER_00
1003.3,1004.0,SPEAKER_00
1008.8,1009.0,SPEAKER_14
1011.9,1012.5,SPEAKER_14
1012.9,1013.1,SPEAKER_14
