start,stop,speaker
13.2,21.7,SPEAKER_10
21.7,21.9,SPEAKER_09
21.9,25.9,SPEAKER_10
27.1,28.8,SPEAKER_10
30.0,43.0,SPEAKER_10
44.4,46.0,SPEAKER_10
46.0,46.3,SPEAKER_09
47.2,54.6,SPEAKER_09
56.0,57.5,SPEAKER_09
59.5,62.4,SPEAKER_01
63.1,68.6,SPEAKER_01
71.1,73.7,SPEAKER_01
74.4,80.1,SPEAKER_01
84.4,84.5,SPEAKER_01
84.9,85.0,SPEAKER_01
86.0,91.9,SPEAKER_01
107.6,109.9,SPEAKER_00
110.6,111.9,SPEAKER_00
112.0,117.2,SPEAKER_00
118.8,123.0,SPEAKER_00
124.1,125.1,SPEAKER_13
126.8,126.8,SPEAKER_13
126.8,127.8,SPEAKER_02
128.4,129.2,SPEAKER_02
130.2,132.9,SPEAKER_13
134.2,143.0,SPEAKER_13
143.0,143.8,SPEAKER_02
143.8,144.0,SPEAKER_13
144.0,144.0,SPEAKER_02
144.0,144.1,SPEAKER_13
144.1,157.1,SPEAKER_02
157.6,159.1,SPEAKER_02
159.1,159.9,SPEAKER_13
159.9,160.7,SPEAKER_02
163.9,165.9,SPEAKER_12
166.8,168.5,SPEAKER_12
168.1,168.2,SPEAKER_13
168.5,170.6,SPEAKER_13
171.0,172.9,SPEAKER_13
176.6,178.9,SPEAKER_13
182.1,185.9,SPEAKER_12
186.3,188.7,SPEAKER_13
188.9,188.9,SPEAKER_13
188.9,190.5,SPEAKER_12
191.0,192.0,SPEAKER_13
192.0,193.2,SPEAKER_12
193.2,197.7,SPEAKER_13
198.1,198.1,SPEAKER_13
198.1,198.2,SPEAKER_12
198.2,198.2,SPEAKER_13
198.2,200.5,SPEAKER_12
200.4,202.4,SPEAKER_13
203.1,206.0,SPEAKER_12
220.0,220.6,SPEAKER_03
220.7,221.0,SPEAKER_03
221.1,222.3,SPEAKER_03
222.3,222.4,SPEAKER_03
222.8,223.1,SPEAKER_03
230.2,230.5,SPEAKER_02
231.0,231.2,SPEAKER_02
232.0,232.6,SPEAKER_02
232.9,238.0,SPEAKER_02
238.4,243.6,SPEAKER_02
244.9,247.3,SPEAKER_12
247.1,250.0,SPEAKER_02
253.1,254.7,SPEAKER_02
255.2,257.6,SPEAKER_05
257.4,259.3,SPEAKER_02
260.4,264.4,SPEAKER_05
270.3,273.9,SPEAKER_13
274.7,277.1,SPEAKER_05
277.5,278.4,SPEAKER_13
279.0,280.5,SPEAKER_13
280.8,284.0,SPEAKER_13
284.0,284.5,SPEAKER_02
285.1,288.1,SPEAKER_02
287.3,290.3,SPEAKER_05
290.9,292.9,SPEAKER_02
293.1,293.8,SPEAKER_02
293.9,297.8,SPEAKER_02
297.8,298.7,SPEAKER_02
300.7,301.2,SPEAKER_02
309.0,309.1,SPEAKER_13
311.3,314.2,SPEAKER_13
314.8,317.9,SPEAKER_13
318.5,318.7,SPEAKER_13
318.9,319.0,SPEAKER_13
319.0,321.7,SPEAKER_03
324.4,324.6,SPEAKER_13
324.9,327.3,SPEAKER_13
327.3,327.3,SPEAKER_03
327.6,328.1,SPEAKER_13
328.7,329.0,SPEAKER_13
329.0,329.3,SPEAKER_03
329.3,330.2,SPEAKER_13
330.2,330.4,SPEAKER_03
330.4,330.4,SPEAKER_13
331.4,332.4,SPEAKER_03
332.7,333.3,SPEAKER_03
341.8,344.2,SPEAKER_03
351.6,353.1,SPEAKER_13
353.4,355.2,SPEAKER_07
355.4,356.5,SPEAKER_13
356.5,360.1,SPEAKER_07
360.2,360.3,SPEAKER_07
360.3,360.8,SPEAKER_13
360.8,360.9,SPEAKER_07
361.3,362.9,SPEAKER_07
363.3,363.7,SPEAKER_13
364.0,364.6,SPEAKER_13
369.4,372.4,SPEAKER_13
373.7,375.6,SPEAKER_07
387.3,388.0,SPEAKER_07
388.4,389.9,SPEAKER_07
391.4,391.9,SPEAKER_13
392.4,396.5,SPEAKER_13
396.8,398.8,SPEAKER_07
399.4,400.5,SPEAKER_07
400.4,401.3,SPEAKER_13
402.3,403.0,SPEAKER_07
404.9,405.3,SPEAKER_07
405.3,405.8,SPEAKER_13
406.8,407.8,SPEAKER_13
414.7,415.3,SPEAKER_07
415.3,415.3,SPEAKER_07
415.3,415.8,SPEAKER_13
437.1,439.4,SPEAKER_13
441.5,443.0,SPEAKER_13
443.5,448.0,SPEAKER_07
448.3,451.0,SPEAKER_07
451.0,452.2,SPEAKER_13
452.8,458.5,SPEAKER_07
459.1,461.4,SPEAKER_13
475.0,475.1,SPEAKER_08
478.0,478.1,SPEAKER_13
478.1,478.9,SPEAKER_08
478.9,479.1,SPEAKER_13
479.3,480.5,SPEAKER_13
480.6,483.5,SPEAKER_13
483.8,484.0,SPEAKER_13
484.0,484.2,SPEAKER_02
484.8,485.0,SPEAKER_13
485.0,486.7,SPEAKER_02
487.7,491.8,SPEAKER_02
493.8,495.8,SPEAKER_02
496.2,497.4,SPEAKER_13
497.4,500.2,SPEAKER_02
503.1,505.4,SPEAKER_02
505.6,508.4,SPEAKER_13
509.7,512.0,SPEAKER_06
512.3,514.8,SPEAKER_02
517.7,519.4,SPEAKER_02
528.2,530.7,SPEAKER_02
528.5,528.9,SPEAKER_13
529.5,530.6,SPEAKER_13
537.2,537.3,SPEAKER_02
537.3,538.4,SPEAKER_13
540.3,540.4,SPEAKER_13
543.2,545.7,SPEAKER_07
546.3,547.3,SPEAKER_07
547.0,548.4,SPEAKER_13
548.2,553.0,SPEAKER_07
553.3,555.6,SPEAKER_13
555.6,558.1,SPEAKER_07
558.4,566.3,SPEAKER_07
569.8,571.6,SPEAKER_13
571.7,578.4,SPEAKER_07
579.1,580.1,SPEAKER_07
580.5,580.6,SPEAKER_07
580.6,583.4,SPEAKER_13
584.3,586.0,SPEAKER_07
586.9,587.9,SPEAKER_13
588.1,590.3,SPEAKER_13
591.0,592.7,SPEAKER_07
598.3,601.9,SPEAKER_13
602.8,606.7,SPEAKER_07
606.9,610.4,SPEAKER_13
610.4,611.4,SPEAKER_07
611.5,614.5,SPEAKER_13
615.5,617.5,SPEAKER_05
617.9,622.0,SPEAKER_13
622.2,625.1,SPEAKER_05
625.5,629.3,SPEAKER_07
629.4,629.4,SPEAKER_07
629.4,630.9,SPEAKER_05
632.3,635.7,SPEAKER_13
635.9,636.0,SPEAKER_07
636.0,636.0,SPEAKER_05
636.0,637.1,SPEAKER_07
639.2,641.1,SPEAKER_13
641.5,647.2,SPEAKER_07
648.7,650.1,SPEAKER_05
651.9,655.7,SPEAKER_05
653.0,653.3,SPEAKER_00
653.3,653.4,SPEAKER_07
653.9,654.3,SPEAKER_07
654.3,654.9,SPEAKER_00
654.9,655.5,SPEAKER_07
661.6,662.8,SPEAKER_07
662.8,662.9,SPEAKER_05
663.0,663.0,SPEAKER_05
663.2,663.2,SPEAKER_05
663.2,664.4,SPEAKER_07
664.4,665.1,SPEAKER_13
665.1,665.2,SPEAKER_05
665.3,665.5,SPEAKER_05
665.5,666.0,SPEAKER_13
666.0,668.6,SPEAKER_05
668.6,668.7,SPEAKER_07
668.7,668.7,SPEAKER_05
668.7,669.6,SPEAKER_07
669.6,669.6,SPEAKER_05
669.6,669.8,SPEAKER_07
669.8,669.8,SPEAKER_05
669.8,669.8,SPEAKER_07
669.8,669.8,SPEAKER_05
671.0,672.8,SPEAKER_13
672.9,674.4,SPEAKER_05
675.1,675.7,SPEAKER_13
679.7,681.9,SPEAKER_07
682.7,684.2,SPEAKER_07
684.4,685.7,SPEAKER_07
686.3,687.4,SPEAKER_13
687.8,689.3,SPEAKER_07
704.9,707.1,SPEAKER_02
707.5,708.2,SPEAKER_02
708.6,709.1,SPEAKER_02
710.0,711.7,SPEAKER_02
712.3,718.2,SPEAKER_02
719.0,723.0,SPEAKER_07
723.0,724.0,SPEAKER_02
724.0,724.0,SPEAKER_13
724.0,724.9,SPEAKER_02
724.9,728.1,SPEAKER_13
730.2,731.9,SPEAKER_02
740.2,742.0,SPEAKER_04
748.6,750.2,SPEAKER_02
750.3,753.2,SPEAKER_07
754.1,756.7,SPEAKER_13
757.3,757.9,SPEAKER_13
758.6,760.9,SPEAKER_13
763.9,766.4,SPEAKER_07
768.1,771.1,SPEAKER_13
772.0,772.1,SPEAKER_13
776.0,777.1,SPEAKER_13
777.8,779.0,SPEAKER_07
779.7,781.3,SPEAKER_02
785.9,786.8,SPEAKER_03
789.1,789.3,SPEAKER_03
791.4,791.8,SPEAKER_07
803.2,806.1,SPEAKER_13
805.1,805.8,SPEAKER_03
805.8,806.4,SPEAKER_09
806.5,806.7,SPEAKER_09
807.6,807.7,SPEAKER_13
807.7,808.0,SPEAKER_05
808.3,808.9,SPEAKER_05
809.0,809.6,SPEAKER_05
810.0,810.4,SPEAKER_05
816.5,816.5,SPEAKER_05
816.5,822.9,SPEAKER_03
816.9,817.6,SPEAKER_05
817.6,817.9,SPEAKER_05
823.2,823.8,SPEAKER_03
824.6,825.6,SPEAKER_03
826.0,829.5,SPEAKER_03
826.4,829.0,SPEAKER_00
829.6,829.7,SPEAKER_03
830.1,831.3,SPEAKER_03
830.2,831.0,SPEAKER_13
831.0,831.3,SPEAKER_02
831.3,831.4,SPEAKER_02
831.4,831.4,SPEAKER_03
835.4,835.6,SPEAKER_02
835.6,835.7,SPEAKER_03
835.7,835.8,SPEAKER_02
838.4,839.3,SPEAKER_02
845.5,848.7,SPEAKER_13
847.4,848.4,SPEAKER_03
873.8,876.4,SPEAKER_07
876.6,876.7,SPEAKER_07
876.7,876.9,SPEAKER_13
877.1,878.6,SPEAKER_07
879.4,881.0,SPEAKER_13
881.0,881.0,SPEAKER_07
881.2,884.0,SPEAKER_07
884.0,884.5,SPEAKER_13
886.5,887.4,SPEAKER_07
889.1,892.3,SPEAKER_13
900.4,901.2,SPEAKER_02
901.9,902.6,SPEAKER_02
906.8,909.7,SPEAKER_02
916.5,916.5,SPEAKER_02
916.5,917.2,SPEAKER_03
918.3,919.7,SPEAKER_03
925.6,927.1,SPEAKER_02
932.7,933.7,SPEAKER_02
935.4,942.3,SPEAKER_02
942.7,948.1,SPEAKER_02
948.1,948.1,SPEAKER_08
950.9,953.4,SPEAKER_08
954.4,957.0,SPEAKER_02
956.8,958.4,SPEAKER_08
959.1,961.3,SPEAKER_02
962.0,963.5,SPEAKER_08
964.0,967.5,SPEAKER_02
968.0,969.2,SPEAKER_08
969.6,972.8,SPEAKER_08
976.5,977.1,SPEAKER_08
977.3,978.3,SPEAKER_08
982.9,984.3,SPEAKER_02
984.5,989.1,SPEAKER_02
994.0,997.4,SPEAKER_02
999.1,999.4,SPEAKER_02
1001.4,1002.3,SPEAKER_06
1001.6,1004.1,SPEAKER_08
1004.2,1005.1,SPEAKER_06
1006.1,1006.6,SPEAKER_08
1006.9,1008.0,SPEAKER_08
1008.3,1010.4,SPEAKER_06
1010.9,1018.2,SPEAKER_08
1018.5,1019.4,SPEAKER_06
1020.4,1024.4,SPEAKER_06
1029.6,1033.7,SPEAKER_08
1034.6,1036.5,SPEAKER_08
1039.3,1043.6,SPEAKER_06
1043.4,1043.6,SPEAKER_08
1043.6,1043.6,SPEAKER_08
1043.6,1043.7,SPEAKER_06
1043.7,1045.2,SPEAKER_08
1045.8,1052.1,SPEAKER_08
1050.8,1054.9,SPEAKER_06
1055.1,1055.1,SPEAKER_06
1055.1,1055.5,SPEAKER_03
1072.0,1072.1,SPEAKER_02
1072.6,1076.4,SPEAKER_02
1076.7,1078.5,SPEAKER_02
1078.9,1082.5,SPEAKER_02
1084.1,1087.6,SPEAKER_02
1087.6,1088.9,SPEAKER_03
1090.2,1092.7,SPEAKER_06
1093.1,1094.1,SPEAKER_06
1094.2,1094.6,SPEAKER_06
1095.0,1099.3,SPEAKER_08
1099.9,1105.1,SPEAKER_06
1110.0,1110.6,SPEAKER_08
1111.0,1113.4,SPEAKER_08
1117.3,1118.6,SPEAKER_08
1118.6,1118.6,SPEAKER_03
1119.1,1120.2,SPEAKER_03
1120.7,1121.0,SPEAKER_03
1121.0,1121.2,SPEAKER_08
1121.2,1122.1,SPEAKER_03
1122.1,1127.9,SPEAKER_08
1132.5,1136.3,SPEAKER_07
1143.2,1143.6,SPEAKER_02
1144.0,1145.2,SPEAKER_02
1145.6,1151.3,SPEAKER_02
1152.1,1154.5,SPEAKER_02
1155.6,1156.5,SPEAKER_07
1157.3,1158.5,SPEAKER_07
1158.5,1163.0,SPEAKER_13
1163.2,1165.1,SPEAKER_07
1165.5,1167.2,SPEAKER_07
1174.2,1175.6,SPEAKER_04
1175.7,1176.8,SPEAKER_04
1177.2,1179.1,SPEAKER_04
1180.1,1180.8,SPEAKER_13
1181.1,1182.8,SPEAKER_13
1183.3,1184.2,SPEAKER_04
1185.0,1187.6,SPEAKER_04
1191.6,1193.7,SPEAKER_04
1208.4,1208.9,SPEAKER_06
1209.3,1210.6,SPEAKER_06
1209.5,1210.2,SPEAKER_03
1210.9,1213.6,SPEAKER_06
1223.1,1228.9,SPEAKER_06
1229.1,1232.8,SPEAKER_08
1233.9,1235.4,SPEAKER_04
1235.5,1239.2,SPEAKER_04
1239.8,1242.0,SPEAKER_04
1245.6,1247.5,SPEAKER_08
1247.8,1250.2,SPEAKER_08
1252.3,1258.7,SPEAKER_04
1259.1,1260.9,SPEAKER_08
1261.4,1268.3,SPEAKER_04
1268.6,1271.2,SPEAKER_08
1271.3,1275.0,SPEAKER_04
1287.1,1288.8,SPEAKER_13
1293.4,1298.2,SPEAKER_08
1297.8,1299.8,SPEAKER_03
1300.3,1301.9,SPEAKER_03
1302.0,1302.5,SPEAKER_03
1312.1,1316.0,SPEAKER_00
1317.0,1320.5,SPEAKER_00
1320.7,1323.7,SPEAKER_00
1328.1,1328.1,SPEAKER_00
1328.1,1333.5,SPEAKER_11
1328.3,1328.4,SPEAKER_00
1330.5,1330.7,SPEAKER_00
1335.2,1339.7,SPEAKER_11
1342.7,1343.0,SPEAKER_11
1343.0,1352.8,SPEAKER_10
1353.8,1356.6,SPEAKER_10
1357.4,1360.7,SPEAKER_11
1364.6,1366.0,SPEAKER_11
1366.6,1368.2,SPEAKER_11
1370.0,1370.0,SPEAKER_10
1372.1,1376.1,SPEAKER_11
1376.1,1376.1,SPEAKER_10
1376.3,1382.2,SPEAKER_10
