start,stop,speaker
13.2,21.7,SPEAKER_09
21.7,22.0,SPEAKER_10
22.0,22.0,SPEAKER_09
22.0,22.0,SPEAKER_10
22.0,26.0,SPEAKER_09
27.1,28.7,SPEAKER_09
30.1,43.0,SPEAKER_09
44.5,45.0,SPEAKER_09
45.0,46.5,SPEAKER_10
47.2,49.5,SPEAKER_10
50.0,52.4,SPEAKER_10
53.0,54.7,SPEAKER_10
56.1,57.6,SPEAKER_10
59.6,68.7,SPEAKER_00
71.2,73.9,SPEAKER_00
74.1,80.3,SPEAKER_00
82.9,83.1,SPEAKER_00
83.5,83.8,SPEAKER_00
84.1,84.4,SPEAKER_00
84.4,84.6,SPEAKER_00
84.9,85.5,SPEAKER_00
85.6,92.0,SPEAKER_00
99.2,100.5,SPEAKER_01
100.7,104.5,SPEAKER_01
109.6,110.2,SPEAKER_01
110.8,111.5,SPEAKER_01
112.1,113.7,SPEAKER_04
119.5,120.7,SPEAKER_03
121.6,122.6,SPEAKER_03
122.6,122.6,SPEAKER_05
123.5,128.1,SPEAKER_05
128.8,132.3,SPEAKER_05
132.3,132.8,SPEAKER_04
132.9,134.4,SPEAKER_04
135.2,138.1,SPEAKER_01
137.7,139.4,SPEAKER_11
139.4,139.6,SPEAKER_11
140.8,150.7,SPEAKER_11
151.2,154.3,SPEAKER_11
155.2,156.0,SPEAKER_11
156.0,156.3,SPEAKER_04
156.3,156.5,SPEAKER_11
156.5,162.9,SPEAKER_04
163.2,166.5,SPEAKER_12
168.0,170.3,SPEAKER_12
171.1,184.9,SPEAKER_12
188.3,191.3,SPEAKER_05
191.5,192.9,SPEAKER_04
193.7,195.5,SPEAKER_05
196.0,197.5,SPEAKER_04
199.7,206.7,SPEAKER_03
206.7,208.4,SPEAKER_04
208.4,208.5,SPEAKER_03
208.5,213.0,SPEAKER_04
213.0,213.3,SPEAKER_06
214.2,223.6,SPEAKER_06
223.8,224.7,SPEAKER_06
226.1,228.1,SPEAKER_06
226.4,226.9,SPEAKER_00
232.2,242.1,SPEAKER_08
243.7,252.9,SPEAKER_08
254.3,254.9,SPEAKER_08
