start,stop,speaker
13.1,21.5,SPEAKER_12
21.5,21.9,SPEAKER_11
21.9,22.0,SPEAKER_12
22.0,22.0,SPEAKER_11
22.0,25.8,SPEAKER_12
27.0,28.5,SPEAKER_12
29.9,42.9,SPEAKER_12
44.3,45.0,SPEAKER_12
45.0,46.3,SPEAKER_11
47.0,52.2,SPEAKER_11
52.9,54.5,SPEAKER_11
55.9,57.4,SPEAKER_11
59.4,59.4,SPEAKER_11
59.4,68.5,SPEAKER_00
71.0,73.7,SPEAKER_00
73.9,80.0,SPEAKER_00
83.3,83.6,SPEAKER_00
84.0,84.1,SPEAKER_00
84.3,84.5,SPEAKER_00
84.8,84.9,SPEAKER_00
85.8,91.8,SPEAKER_00
104.3,105.5,SPEAKER_06
106.1,111.7,SPEAKER_06
112.5,114.1,SPEAKER_06
114.3,116.4,SPEAKER_06
118.4,120.8,SPEAKER_10
121.0,121.9,SPEAKER_04
122.0,124.3,SPEAKER_10
124.5,126.4,SPEAKER_04
126.7,127.7,SPEAKER_10
128.3,130.5,SPEAKER_04
131.0,132.2,SPEAKER_10
132.2,137.8,SPEAKER_04
138.5,141.3,SPEAKER_10
141.1,144.1,SPEAKER_04
147.6,149.1,SPEAKER_05
150.1,150.2,SPEAKER_08
150.4,158.8,SPEAKER_08
158.9,158.9,SPEAKER_08
158.9,160.6,SPEAKER_07
160.6,160.7,SPEAKER_08
160.9,160.9,SPEAKER_08
160.9,165.8,SPEAKER_07
166.0,166.1,SPEAKER_07
166.1,166.1,SPEAKER_07
166.2,166.3,SPEAKER_07
167.1,167.7,SPEAKER_07
168.6,169.2,SPEAKER_07
169.2,169.3,SPEAKER_08
169.5,169.8,SPEAKER_08
170.0,173.0,SPEAKER_08
173.9,174.8,SPEAKER_08
174.0,182.1,SPEAKER_02
182.7,186.3,SPEAKER_02
188.2,191.9,SPEAKER_02
196.1,199.3,SPEAKER_02
200.3,202.0,SPEAKER_10
204.4,209.5,SPEAKER_10
209.8,214.4,SPEAKER_02
214.7,216.7,SPEAKER_10
235.8,236.2,SPEAKER_08
238.1,238.5,SPEAKER_08
238.9,239.6,SPEAKER_08
242.7,243.7,SPEAKER_14
244.0,244.5,SPEAKER_08
245.0,247.7,SPEAKER_14
247.9,254.3,SPEAKER_03
254.5,256.2,SPEAKER_10
256.2,259.5,SPEAKER_03
259.5,260.2,SPEAKER_10
260.8,264.1,SPEAKER_03
279.2,293.0,SPEAKER_01
293.0,297.0,SPEAKER_09
297.0,301.8,SPEAKER_13
302.0,304.3,SPEAKER_13
302.5,302.9,SPEAKER_08
305.4,312.7,SPEAKER_13
314.3,316.2,SPEAKER_09
316.4,316.4,SPEAKER_13
316.4,317.3,SPEAKER_09
321.4,332.9,SPEAKER_10
332.9,339.8,SPEAKER_03
344.6,347.5,SPEAKER_10
349.0,349.2,SPEAKER_08
349.2,349.8,SPEAKER_02
349.8,349.9,SPEAKER_08
350.5,351.0,SPEAKER_02
351.8,353.5,SPEAKER_02
354.6,354.8,SPEAKER_02
354.7,355.9,SPEAKER_13
356.2,358.6,SPEAKER_02
361.3,361.4,SPEAKER_13
361.4,368.5,SPEAKER_02
362.9,363.0,SPEAKER_13
368.7,369.6,SPEAKER_02
371.3,371.3,SPEAKER_13
371.3,371.9,SPEAKER_02
372.2,375.1,SPEAKER_02
375.1,378.2,SPEAKER_10
380.0,384.7,SPEAKER_05
385.1,385.8,SPEAKER_10
387.0,389.2,SPEAKER_10
389.2,390.8,SPEAKER_13
391.1,395.0,SPEAKER_13
396.1,398.0,SPEAKER_13
398.0,401.7,SPEAKER_04
402.1,403.2,SPEAKER_04
403.2,403.3,SPEAKER_04
409.4,410.9,SPEAKER_02
411.4,412.8,SPEAKER_02
414.6,418.2,SPEAKER_02
439.9,442.0,SPEAKER_10
442.0,443.5,SPEAKER_04
456.0,458.9,SPEAKER_10
460.2,461.8,SPEAKER_02
462.0,464.7,SPEAKER_10
465.7,466.6,SPEAKER_10
469.9,472.8,SPEAKER_05
473.5,474.9,SPEAKER_02
475.9,480.3,SPEAKER_02
481.0,485.8,SPEAKER_02
486.6,490.7,SPEAKER_03
491.0,496.0,SPEAKER_05
496.5,501.6,SPEAKER_10
503.3,506.1,SPEAKER_05
509.0,511.1,SPEAKER_02
515.6,516.3,SPEAKER_05
529.0,531.9,SPEAKER_02
531.9,533.3,SPEAKER_09
538.4,540.2,SPEAKER_02
540.5,542.9,SPEAKER_10
543.1,543.9,SPEAKER_10
543.9,543.9,SPEAKER_03
543.9,546.4,SPEAKER_10
546.8,550.0,SPEAKER_10
550.0,554.2,SPEAKER_04
554.7,558.2,SPEAKER_04
558.8,559.0,SPEAKER_04
559.0,562.2,SPEAKER_02
563.4,563.4,SPEAKER_02
563.6,563.7,SPEAKER_02
564.4,564.9,SPEAKER_02
576.2,578.9,SPEAKER_10
578.2,581.9,SPEAKER_04
581.9,584.8,SPEAKER_10
588.4,589.7,SPEAKER_04
590.3,590.7,SPEAKER_02
591.0,593.0,SPEAKER_02
591.3,591.5,SPEAKER_04
593.0,594.3,SPEAKER_04
594.3,596.6,SPEAKER_02
