start,stop,speaker
13.2,21.6,SPEAKER_17
21.6,22.4,SPEAKER_14
22.4,26.0,SPEAKER_17
27.1,28.8,SPEAKER_17
30.1,43.0,SPEAKER_17
44.5,46.4,SPEAKER_17
46.4,46.6,SPEAKER_14
46.9,47.0,SPEAKER_14
47.3,54.8,SPEAKER_14
56.0,57.5,SPEAKER_14
59.6,59.7,SPEAKER_14
59.7,59.7,SPEAKER_00
59.7,59.7,SPEAKER_14
59.7,59.9,SPEAKER_00
59.9,60.0,SPEAKER_14
60.0,62.2,SPEAKER_00
62.8,66.4,SPEAKER_00
66.7,66.9,SPEAKER_00
67.0,67.2,SPEAKER_00
67.4,68.1,SPEAKER_00
71.1,73.7,SPEAKER_00
73.7,73.7,SPEAKER_00
74.1,74.1,SPEAKER_00
74.3,76.9,SPEAKER_00
76.9,80.2,SPEAKER_00
83.5,83.7,SPEAKER_00
84.0,85.4,SPEAKER_00
86.1,91.9,SPEAKER_00
116.5,119.1,SPEAKER_06
119.4,123.6,SPEAKER_12
123.8,124.6,SPEAKER_06
127.4,130.3,SPEAKER_01
136.5,140.6,SPEAKER_01
141.2,143.6,SPEAKER_01
154.5,156.4,SPEAKER_06
156.6,158.5,SPEAKER_06
159.2,159.2,SPEAKER_05
159.2,163.8,SPEAKER_12
164.0,164.1,SPEAKER_12
164.1,169.0,SPEAKER_12
169.0,175.0,SPEAKER_04
175.0,175.6,SPEAKER_05
175.6,175.6,SPEAKER_04
175.6,175.6,SPEAKER_05
176.2,184.9,SPEAKER_05
186.0,197.2,SPEAKER_04
197.2,197.8,SPEAKER_04
199.1,200.0,SPEAKER_04
200.0,201.5,SPEAKER_12
201.5,207.4,SPEAKER_04
208.6,214.1,SPEAKER_04
215.6,217.8,SPEAKER_12
218.6,222.5,SPEAKER_04
222.8,226.8,SPEAKER_08
226.9,232.5,SPEAKER_12
233.2,234.4,SPEAKER_13
235.3,237.4,SPEAKER_12
237.4,237.4,SPEAKER_04
238.4,245.2,SPEAKER_04
246.4,246.7,SPEAKER_04
246.7,246.8,SPEAKER_04
247.9,248.0,SPEAKER_04
248.0,248.4,SPEAKER_05
248.4,248.5,SPEAKER_04
262.8,264.2,SPEAKER_13
265.3,268.0,SPEAKER_13
268.0,268.0,SPEAKER_06
269.8,271.0,SPEAKER_06
271.9,276.0,SPEAKER_05
276.6,276.7,SPEAKER_06
276.7,278.0,SPEAKER_07
278.5,279.2,SPEAKER_05
281.5,283.5,SPEAKER_07
290.6,291.7,SPEAKER_08
292.7,294.6,SPEAKER_05
294.8,298.2,SPEAKER_08
298.4,299.0,SPEAKER_05
299.0,299.7,SPEAKER_12
301.1,302.5,SPEAKER_13
302.9,305.7,SPEAKER_13
306.7,310.5,SPEAKER_13
327.3,333.1,SPEAKER_04
333.6,336.6,SPEAKER_08
337.8,343.1,SPEAKER_04
344.5,345.7,SPEAKER_05
345.7,345.8,SPEAKER_04
345.8,346.6,SPEAKER_05
346.6,346.6,SPEAKER_04
347.2,348.8,SPEAKER_04
351.7,352.1,SPEAKER_08
353.3,356.5,SPEAKER_08
357.5,360.0,SPEAKER_08
360.0,364.6,SPEAKER_04
365.5,367.0,SPEAKER_12
367.0,368.6,SPEAKER_04
378.2,379.6,SPEAKER_05
379.6,380.4,SPEAKER_13
381.0,384.1,SPEAKER_13
387.6,392.1,SPEAKER_05
393.0,395.3,SPEAKER_12
395.7,395.7,SPEAKER_12
395.7,398.9,SPEAKER_10
399.1,399.1,SPEAKER_12
399.1,407.7,SPEAKER_05
410.1,412.4,SPEAKER_12
412.8,413.9,SPEAKER_12
415.1,418.1,SPEAKER_12
418.3,419.6,SPEAKER_12
419.9,424.4,SPEAKER_12
426.8,430.2,SPEAKER_12
431.0,431.2,SPEAKER_04
433.7,434.4,SPEAKER_12
434.6,438.0,SPEAKER_12
438.6,439.4,SPEAKER_04
439.4,439.6,SPEAKER_12
439.6,439.7,SPEAKER_04
440.6,441.7,SPEAKER_12
443.6,444.7,SPEAKER_06
445.0,446.5,SPEAKER_12
449.5,451.4,SPEAKER_10
451.6,451.6,SPEAKER_10
451.6,452.7,SPEAKER_08
453.3,455.1,SPEAKER_08
479.4,481.5,SPEAKER_06
483.1,483.3,SPEAKER_06
483.6,484.5,SPEAKER_06
484.7,486.1,SPEAKER_06
492.6,492.7,SPEAKER_11
493.4,493.7,SPEAKER_11
494.0,494.0,SPEAKER_11
494.2,494.2,SPEAKER_11
494.7,495.2,SPEAKER_11
495.8,496.5,SPEAKER_11
497.7,498.9,SPEAKER_11
512.4,513.0,SPEAKER_06
513.0,513.2,SPEAKER_09
513.2,513.5,SPEAKER_06
513.5,513.5,SPEAKER_09
513.5,513.5,SPEAKER_06
513.5,513.7,SPEAKER_09
513.7,521.7,SPEAKER_13
523.9,524.6,SPEAKER_13
525.2,525.2,SPEAKER_13
525.2,526.0,SPEAKER_06
528.7,531.6,SPEAKER_06
531.7,533.5,SPEAKER_06
533.5,533.6,SPEAKER_08
535.2,535.2,SPEAKER_06
535.2,537.0,SPEAKER_08
537.0,537.3,SPEAKER_09
539.6,541.4,SPEAKER_13
543.0,543.4,SPEAKER_09
544.0,544.9,SPEAKER_09
546.0,547.4,SPEAKER_09
547.8,549.9,SPEAKER_09
550.5,552.6,SPEAKER_09
552.7,555.8,SPEAKER_10
558.6,560.4,SPEAKER_10
561.1,564.6,SPEAKER_09
564.6,565.7,SPEAKER_10
567.3,569.4,SPEAKER_09
569.9,571.1,SPEAKER_09
572.9,574.8,SPEAKER_09
574.5,578.8,SPEAKER_10
579.0,585.0,SPEAKER_09
585.5,585.9,SPEAKER_09
587.0,587.1,SPEAKER_09
587.2,587.8,SPEAKER_09
589.8,590.4,SPEAKER_13
590.8,593.4,SPEAKER_13
595.9,596.0,SPEAKER_13
596.0,596.9,SPEAKER_11
596.9,596.9,SPEAKER_13
596.9,596.9,SPEAKER_11
596.9,597.2,SPEAKER_13
597.2,597.3,SPEAKER_11
598.5,599.0,SPEAKER_11
598.7,602.4,SPEAKER_04
603.6,604.1,SPEAKER_04
604.3,606.3,SPEAKER_04
616.6,616.6,SPEAKER_09
617.2,617.6,SPEAKER_09
719.4,721.0,SPEAKER_13
721.6,723.6,SPEAKER_05
724.8,728.9,SPEAKER_05
733.2,735.7,SPEAKER_06
735.7,735.7,SPEAKER_13
736.4,741.0,SPEAKER_05
752.5,756.1,SPEAKER_08
756.8,760.1,SPEAKER_05
760.0,763.4,SPEAKER_08
763.6,764.1,SPEAKER_05
764.1,764.2,SPEAKER_04
764.2,764.5,SPEAKER_05
764.5,765.4,SPEAKER_04
766.8,769.3,SPEAKER_04
769.5,770.6,SPEAKER_13
771.2,773.4,SPEAKER_13
774.0,775.4,SPEAKER_13
775.7,777.5,SPEAKER_13
777.5,777.6,SPEAKER_07
778.5,779.5,SPEAKER_10
780.4,786.5,SPEAKER_12
786.8,790.4,SPEAKER_06
790.4,790.9,SPEAKER_12
790.9,790.9,SPEAKER_04
790.9,791.0,SPEAKER_12
791.0,793.7,SPEAKER_04
807.6,808.5,SPEAKER_07
808.8,812.4,SPEAKER_07
813.0,813.3,SPEAKER_04
813.3,813.4,SPEAKER_07
813.4,814.3,SPEAKER_04
815.2,817.2,SPEAKER_04
817.2,817.2,SPEAKER_07
817.2,817.3,SPEAKER_04
817.3,818.8,SPEAKER_07
821.8,823.3,SPEAKER_04
823.3,823.3,SPEAKER_05
825.7,830.1,SPEAKER_05
830.4,836.0,SPEAKER_08
836.0,838.9,SPEAKER_06
839.8,841.9,SPEAKER_08
842.6,843.6,SPEAKER_06
850.6,853.2,SPEAKER_08
853.8,855.1,SPEAKER_08
858.2,858.2,SPEAKER_08
858.2,859.4,SPEAKER_06
860.3,860.6,SPEAKER_06
860.9,862.5,SPEAKER_06
863.6,864.0,SPEAKER_06
864.0,865.4,SPEAKER_08
865.6,866.0,SPEAKER_08
866.6,868.4,SPEAKER_08
868.7,870.9,SPEAKER_08
875.6,878.7,SPEAKER_08
875.6,877.4,SPEAKER_09
880.5,886.2,SPEAKER_08
895.8,896.9,SPEAKER_06
897.7,898.4,SPEAKER_06
899.2,900.2,SPEAKER_06
904.0,907.6,SPEAKER_08
908.0,909.7,SPEAKER_08
916.7,917.8,SPEAKER_08
920.2,920.7,SPEAKER_11
921.6,924.1,SPEAKER_08
924.8,932.2,SPEAKER_08
933.3,934.8,SPEAKER_08
934.9,935.5,SPEAKER_08
937.9,938.8,SPEAKER_08
939.4,941.2,SPEAKER_08
943.0,944.6,SPEAKER_08
944.6,944.6,SPEAKER_07
945.1,945.2,SPEAKER_07
945.2,946.0,SPEAKER_08
945.3,946.5,SPEAKER_07
946.0,946.3,SPEAKER_06
947.0,947.0,SPEAKER_07
947.8,949.5,SPEAKER_07
948.6,948.7,SPEAKER_06
950.0,953.4,SPEAKER_06
953.8,954.8,SPEAKER_06
955.9,957.8,SPEAKER_08
961.3,963.6,SPEAKER_05
964.3,965.5,SPEAKER_05
966.7,968.9,SPEAKER_08
973.7,975.8,SPEAKER_08
982.0,982.0,SPEAKER_05
982.0,982.0,SPEAKER_08
982.0,982.1,SPEAKER_05
982.1,982.2,SPEAKER_08
982.2,983.0,SPEAKER_05
983.0,983.1,SPEAKER_08
983.1,983.2,SPEAKER_05
983.2,983.2,SPEAKER_08
983.2,983.3,SPEAKER_05
983.3,983.7,SPEAKER_08
983.7,983.8,SPEAKER_05
983.8,984.0,SPEAKER_08
984.0,984.1,SPEAKER_05
984.1,984.2,SPEAKER_08
984.2,984.2,SPEAKER_05
984.8,987.8,SPEAKER_05
1000.3,1001.8,SPEAKER_08
1003.4,1005.6,SPEAKER_08
1008.1,1010.4,SPEAKER_08
1011.2,1012.7,SPEAKER_05
1012.9,1015.0,SPEAKER_05
1016.3,1017.9,SPEAKER_08
1018.6,1019.5,SPEAKER_05
1022.0,1023.5,SPEAKER_08
1023.8,1025.2,SPEAKER_08
1026.4,1027.4,SPEAKER_05
1027.9,1029.6,SPEAKER_08
1033.5,1033.5,SPEAKER_08
1033.5,1035.7,SPEAKER_04
1037.9,1039.6,SPEAKER_04
1039.6,1041.9,SPEAKER_05
1042.1,1043.1,SPEAKER_04
1044.3,1045.4,SPEAKER_05
1055.1,1055.2,SPEAKER_08
1055.5,1058.1,SPEAKER_08
1058.4,1060.0,SPEAKER_08
1060.3,1063.7,SPEAKER_08
1064.3,1067.2,SPEAKER_08
1068.7,1069.3,SPEAKER_08
1069.6,1071.2,SPEAKER_08
1071.9,1072.5,SPEAKER_06
1072.5,1074.0,SPEAKER_08
1074.6,1077.0,SPEAKER_08
1077.8,1080.8,SPEAKER_04
1081.8,1084.0,SPEAKER_04
1084.7,1085.0,SPEAKER_04
1085.5,1086.0,SPEAKER_04
1086.8,1088.6,SPEAKER_04
1089.0,1089.3,SPEAKER_04
1089.9,1090.5,SPEAKER_04
1090.8,1095.0,SPEAKER_04
1092.5,1092.8,SPEAKER_05
1096.5,1098.8,SPEAKER_05
1098.8,1098.8,SPEAKER_04
1099.2,1103.4,SPEAKER_04
1103.7,1107.0,SPEAKER_08
1107.1,1107.5,SPEAKER_08
1107.5,1107.5,SPEAKER_03
1107.5,1107.9,SPEAKER_08
1107.9,1113.1,SPEAKER_03
1113.5,1113.9,SPEAKER_03
1114.3,1114.9,SPEAKER_03
1115.4,1115.9,SPEAKER_03
1116.6,1118.1,SPEAKER_03
1118.1,1118.1,SPEAKER_04
1118.3,1121.9,SPEAKER_05
1121.9,1122.0,SPEAKER_05
1122.0,1125.5,SPEAKER_04
1126.5,1127.9,SPEAKER_05
1128.7,1136.3,SPEAKER_04
1137.5,1138.2,SPEAKER_04
1140.0,1141.6,SPEAKER_04
1142.1,1144.6,SPEAKER_05
1144.6,1153.4,SPEAKER_04
1153.6,1157.0,SPEAKER_05
1160.5,1163.5,SPEAKER_05
1163.6,1168.6,SPEAKER_08
1168.9,1169.6,SPEAKER_05
1169.9,1169.9,SPEAKER_06
1169.9,1170.0,SPEAKER_08
1170.0,1170.8,SPEAKER_06
1171.2,1173.8,SPEAKER_06
1174.3,1178.1,SPEAKER_05
1178.7,1180.2,SPEAKER_06
1180.2,1180.2,SPEAKER_04
1180.2,1180.3,SPEAKER_06
1180.4,1184.3,SPEAKER_05
1184.3,1189.4,SPEAKER_04
1189.6,1196.5,SPEAKER_04
1197.0,1200.0,SPEAKER_05
1200.7,1201.2,SPEAKER_04
1202.2,1215.5,SPEAKER_04
1216.7,1218.5,SPEAKER_05
1225.7,1227.5,SPEAKER_02
1228.1,1230.4,SPEAKER_02
1232.8,1234.0,SPEAKER_08
1234.0,1234.0,SPEAKER_08
1234.1,1237.5,SPEAKER_08
1238.6,1239.8,SPEAKER_12
1245.5,1246.4,SPEAKER_05
1246.6,1249.0,SPEAKER_08
1252.2,1254.6,SPEAKER_05
1255.7,1259.4,SPEAKER_05
1269.8,1270.8,SPEAKER_05
1271.0,1273.2,SPEAKER_05
1273.2,1283.2,SPEAKER_12
1283.7,1286.7,SPEAKER_10
1291.6,1291.7,SPEAKER_15
1291.7,1291.7,SPEAKER_08
1291.7,1297.8,SPEAKER_06
1298.5,1299.6,SPEAKER_06
1299.6,1299.6,SPEAKER_08
1299.7,1303.5,SPEAKER_08
1304.2,1304.8,SPEAKER_13
1310.4,1313.6,SPEAKER_01
1314.4,1321.6,SPEAKER_01
1328.1,1333.7,SPEAKER_16
1335.0,1341.4,SPEAKER_16
1342.7,1346.8,SPEAKER_16
1346.8,1350.3,SPEAKER_18
1349.5,1350.0,SPEAKER_15
1350.3,1352.8,SPEAKER_15
1353.7,1356.7,SPEAKER_15
1357.4,1361.0,SPEAKER_16
1361.2,1361.3,SPEAKER_16
1364.5,1368.1,SPEAKER_16
1369.6,1370.3,SPEAKER_15
1372.1,1376.3,SPEAKER_16
1376.3,1382.2,SPEAKER_18
1382.9,1384.0,SPEAKER_18
1384.0,1385.9,SPEAKER_15
1386.9,1387.0,SPEAKER_15
