start,stop,speaker
12.9,25.6,SPEAKER_02
21.6,21.7,SPEAKER_16
26.8,28.3,SPEAKER_02
29.7,42.7,SPEAKER_02
44.2,45.0,SPEAKER_02
45.0,46.3,SPEAKER_16
46.7,52.2,SPEAKER_16
52.6,54.3,SPEAKER_16
55.7,57.2,SPEAKER_16
59.3,60.0,SPEAKER_16
60.0,62.1,SPEAKER_00
62.1,62.3,SPEAKER_00
62.6,68.2,SPEAKER_00
70.8,73.4,SPEAKER_00
74.1,76.4,SPEAKER_00
76.6,79.7,SPEAKER_00
85.7,91.6,SPEAKER_00
103.3,105.2,SPEAKER_01
105.8,107.2,SPEAKER_01
108.1,112.5,SPEAKER_01
113.4,115.4,SPEAKER_01
116.3,117.4,SPEAKER_01
123.3,123.4,SPEAKER_01
123.4,125.7,SPEAKER_09
128.8,130.5,SPEAKER_05
136.3,137.8,SPEAKER_11
139.4,140.8,SPEAKER_13
141.1,141.6,SPEAKER_13
142.1,142.6,SPEAKER_13
143.0,144.8,SPEAKER_13
145.5,145.9,SPEAKER_13
147.5,149.2,SPEAKER_13
149.9,152.6,SPEAKER_13
154.6,157.2,SPEAKER_11
158.1,159.1,SPEAKER_05
160.2,162.7,SPEAKER_11
162.8,163.7,SPEAKER_05
163.8,164.7,SPEAKER_11
166.0,166.3,SPEAKER_05
166.3,172.9,SPEAKER_09
172.9,174.2,SPEAKER_11
175.0,176.6,SPEAKER_11
177.1,177.1,SPEAKER_09
177.1,181.0,SPEAKER_11
181.0,182.1,SPEAKER_09
200.2,201.3,SPEAKER_05
201.4,201.9,SPEAKER_18
203.0,205.4,SPEAKER_18
206.1,207.3,SPEAKER_18
209.3,210.7,SPEAKER_18
210.8,210.8,SPEAKER_18
210.8,211.9,SPEAKER_05
212.7,212.8,SPEAKER_13
212.8,212.8,SPEAKER_05
212.8,217.8,SPEAKER_13
217.9,219.4,SPEAKER_09
219.1,224.5,SPEAKER_13
225.1,230.2,SPEAKER_11
231.0,232.1,SPEAKER_13
232.4,235.2,SPEAKER_13
236.3,238.9,SPEAKER_11
239.6,242.6,SPEAKER_13
242.6,242.6,SPEAKER_11
242.6,242.6,SPEAKER_13
242.6,242.7,SPEAKER_11
242.7,243.0,SPEAKER_13
243.0,244.5,SPEAKER_11
244.9,245.9,SPEAKER_11
246.2,250.9,SPEAKER_11
252.5,257.2,SPEAKER_18
257.0,259.3,SPEAKER_03
259.8,262.7,SPEAKER_18
263.1,267.0,SPEAKER_03
267.0,270.5,SPEAKER_05
272.1,274.3,SPEAKER_03
277.2,277.4,SPEAKER_13
277.9,278.3,SPEAKER_13
279.4,280.6,SPEAKER_13
