start,stop,speaker
13.2,21.6,SPEAKER_12
21.6,22.1,SPEAKER_10
21.8,25.9,SPEAKER_12
22.1,22.1,SPEAKER_10
27.1,28.7,SPEAKER_12
30.0,43.0,SPEAKER_12
44.4,46.0,SPEAKER_12
46.0,46.4,SPEAKER_10
47.1,54.7,SPEAKER_10
56.0,57.7,SPEAKER_10
59.5,65.1,SPEAKER_00
65.2,65.2,SPEAKER_00
65.2,68.6,SPEAKER_00
71.1,80.2,SPEAKER_00
84.9,85.0,SPEAKER_00
85.0,85.0,SPEAKER_00
85.6,85.8,SPEAKER_00
86.0,91.9,SPEAKER_00
112.5,118.6,SPEAKER_01
119.4,122.7,SPEAKER_01
123.7,124.8,SPEAKER_01
125.3,128.6,SPEAKER_01
129.0,130.4,SPEAKER_01
131.7,133.1,SPEAKER_01
133.4,135.4,SPEAKER_01
144.7,148.7,SPEAKER_05
150.8,151.0,SPEAKER_05
154.4,156.0,SPEAKER_05
156.7,159.2,SPEAKER_05
159.7,160.3,SPEAKER_05
160.5,163.7,SPEAKER_05
163.9,164.1,SPEAKER_05
164.1,164.3,SPEAKER_08
164.3,164.7,SPEAKER_05
164.7,165.2,SPEAKER_08
166.7,169.5,SPEAKER_08
170.0,170.0,SPEAKER_08
170.1,171.0,SPEAKER_08
171.2,171.8,SPEAKER_08
171.8,172.2,SPEAKER_05
173.0,174.7,SPEAKER_05
174.9,175.9,SPEAKER_05
178.0,178.3,SPEAKER_05
178.6,178.8,SPEAKER_05
179.1,180.3,SPEAKER_05
181.6,182.1,SPEAKER_05
192.7,193.7,SPEAKER_04
194.7,195.7,SPEAKER_03
195.9,196.8,SPEAKER_03
197.0,198.2,SPEAKER_04
199.2,200.4,SPEAKER_04
200.7,204.0,SPEAKER_03
205.4,207.0,SPEAKER_04
207.0,209.6,SPEAKER_03
212.4,212.4,SPEAKER_03
212.4,213.5,SPEAKER_05
214.3,216.4,SPEAKER_07
216.5,217.0,SPEAKER_05
218.0,221.2,SPEAKER_07
225.3,229.9,SPEAKER_04
230.1,233.8,SPEAKER_07
235.2,237.5,SPEAKER_04
237.5,241.9,SPEAKER_07
242.2,245.0,SPEAKER_04
245.4,248.7,SPEAKER_07
257.1,259.0,SPEAKER_03
259.0,262.1,SPEAKER_07
262.3,262.4,SPEAKER_03
262.4,263.6,SPEAKER_04
263.8,264.2,SPEAKER_07
264.7,266.7,SPEAKER_04
267.3,272.0,SPEAKER_07
272.6,275.2,SPEAKER_04
275.7,283.4,SPEAKER_07
297.4,298.1,SPEAKER_03
299.0,302.0,SPEAKER_03
320.5,322.2,SPEAKER_07
322.2,322.2,SPEAKER_04
323.3,327.1,SPEAKER_03
327.2,330.8,SPEAKER_04
331.4,335.1,SPEAKER_03
335.1,337.6,SPEAKER_07
337.7,339.3,SPEAKER_03
340.2,343.7,SPEAKER_03
343.8,345.1,SPEAKER_07
345.3,345.3,SPEAKER_03
345.3,350.4,SPEAKER_04
351.0,351.1,SPEAKER_07
351.1,351.1,SPEAKER_04
351.4,353.2,SPEAKER_04
353.4,354.4,SPEAKER_04
354.9,359.3,SPEAKER_07
359.8,362.3,SPEAKER_04
363.1,368.3,SPEAKER_04
365.1,365.2,SPEAKER_06
365.2,365.2,SPEAKER_00
372.2,372.7,SPEAKER_06
372.9,375.2,SPEAKER_06
376.4,382.9,SPEAKER_06
382.9,382.9,SPEAKER_06
382.9,386.4,SPEAKER_04
387.3,392.6,SPEAKER_06
393.0,394.4,SPEAKER_04
399.1,400.7,SPEAKER_04
400.7,400.9,SPEAKER_08
400.9,401.0,SPEAKER_04
401.0,401.0,SPEAKER_08
401.0,404.8,SPEAKER_04
405.2,407.3,SPEAKER_04
407.8,410.3,SPEAKER_04
410.6,411.3,SPEAKER_04
411.8,413.4,SPEAKER_04
412.6,413.0,SPEAKER_00
415.5,417.3,SPEAKER_04
417.8,419.1,SPEAKER_04
419.4,421.8,SPEAKER_04
422.2,425.3,SPEAKER_04
426.7,429.0,SPEAKER_04
429.4,436.5,SPEAKER_04
430.4,430.5,SPEAKER_00
437.7,438.8,SPEAKER_04
439.2,440.0,SPEAKER_04
440.1,442.1,SPEAKER_04
444.9,445.1,SPEAKER_04
446.1,466.5,SPEAKER_04
467.3,470.9,SPEAKER_04
473.2,475.3,SPEAKER_04
476.1,477.1,SPEAKER_04
479.6,481.8,SPEAKER_04
482.9,487.3,SPEAKER_04
486.9,490.2,SPEAKER_07
490.4,492.3,SPEAKER_04
492.4,494.4,SPEAKER_04
494.5,494.6,SPEAKER_04
494.6,495.8,SPEAKER_03
495.8,497.1,SPEAKER_04
502.8,503.4,SPEAKER_08
503.9,504.6,SPEAKER_08
506.7,507.1,SPEAKER_08
508.5,513.4,SPEAKER_04
514.0,520.6,SPEAKER_04
520.9,523.9,SPEAKER_04
525.6,534.4,SPEAKER_04
535.7,537.5,SPEAKER_04
537.7,539.9,SPEAKER_04
540.9,543.6,SPEAKER_04
546.5,547.0,SPEAKER_04
549.2,552.4,SPEAKER_04
552.8,555.0,SPEAKER_04
556.5,560.5,SPEAKER_04
563.6,563.7,SPEAKER_05
563.7,564.0,SPEAKER_04
564.0,565.6,SPEAKER_05
568.3,569.0,SPEAKER_05
573.0,575.0,SPEAKER_05
577.5,577.5,SPEAKER_04
577.5,580.2,SPEAKER_03
580.9,583.0,SPEAKER_03
584.0,588.8,SPEAKER_03
589.2,591.4,SPEAKER_04
