start,stop,speaker
13.0,21.6,SPEAKER_17
21.6,21.7,SPEAKER_02
21.7,25.7,SPEAKER_17
26.9,28.5,SPEAKER_17
29.8,42.8,SPEAKER_17
44.3,45.0,SPEAKER_17
45.0,46.3,SPEAKER_02
46.9,52.1,SPEAKER_02
52.8,54.4,SPEAKER_02
55.8,57.4,SPEAKER_02
59.4,59.4,SPEAKER_02
59.4,62.5,SPEAKER_00
62.6,68.5,SPEAKER_00
70.9,80.0,SPEAKER_00
83.2,83.6,SPEAKER_00
83.6,83.7,SPEAKER_00
83.7,85.0,SPEAKER_00
85.4,91.7,SPEAKER_00
105.5,106.3,SPEAKER_09
120.9,121.0,SPEAKER_09
121.0,121.6,SPEAKER_15
121.6,121.6,SPEAKER_09
121.6,121.6,SPEAKER_15
121.6,121.8,SPEAKER_09
122.0,122.3,SPEAKER_06
122.5,125.6,SPEAKER_06
126.2,127.2,SPEAKER_15
127.2,127.2,SPEAKER_14
129.6,129.7,SPEAKER_14
129.7,130.0,SPEAKER_06
130.0,131.4,SPEAKER_14
131.7,132.8,SPEAKER_14
133.4,133.9,SPEAKER_06
134.7,135.7,SPEAKER_14
139.2,139.3,SPEAKER_09
139.4,139.5,SPEAKER_09
139.5,140.0,SPEAKER_14
140.0,140.4,SPEAKER_09
141.5,143.3,SPEAKER_10
143.5,146.1,SPEAKER_10
146.9,148.4,SPEAKER_10
148.6,153.2,SPEAKER_10
157.1,157.3,SPEAKER_09
158.2,160.4,SPEAKER_06
160.7,162.6,SPEAKER_06
164.7,167.4,SPEAKER_06
167.4,169.3,SPEAKER_07
171.6,174.4,SPEAKER_06
174.6,176.1,SPEAKER_06
178.3,182.0,SPEAKER_07
182.6,187.8,SPEAKER_06
190.5,191.0,SPEAKER_06
191.0,191.7,SPEAKER_05
193.4,225.5,SPEAKER_05
226.4,236.0,SPEAKER_05
234.9,234.9,SPEAKER_09
234.9,235.1,SPEAKER_03
236.3,245.1,SPEAKER_05
245.9,262.3,SPEAKER_05
263.3,264.7,SPEAKER_05
265.2,279.8,SPEAKER_05
280.2,287.5,SPEAKER_05
287.9,298.9,SPEAKER_05
299.3,301.7,SPEAKER_05
302.0,302.7,SPEAKER_15
302.4,302.6,SPEAKER_05
302.7,302.9,SPEAKER_05
303.2,307.2,SPEAKER_05
307.9,313.3,SPEAKER_05
314.1,329.2,SPEAKER_05
334.7,335.7,SPEAKER_09
345.3,347.6,SPEAKER_08
347.9,350.0,SPEAKER_08
350.0,352.7,SPEAKER_06
354.4,357.8,SPEAKER_06
361.5,362.0,SPEAKER_06
362.0,362.0,SPEAKER_08
362.0,362.4,SPEAKER_06
362.4,362.5,SPEAKER_08
362.5,362.6,SPEAKER_06
362.6,362.8,SPEAKER_08
362.8,363.0,SPEAKER_06
363.0,363.0,SPEAKER_08
363.0,363.1,SPEAKER_06
363.3,367.1,SPEAKER_08
367.1,368.0,SPEAKER_06
368.0,368.2,SPEAKER_08
368.2,368.3,SPEAKER_06
368.9,370.9,SPEAKER_08
373.6,379.2,SPEAKER_08
379.5,384.0,SPEAKER_08
386.4,386.4,SPEAKER_03
