start,stop,speaker
12.8,21.2,SPEAKER_09
21.2,21.9,SPEAKER_08
21.9,25.6,SPEAKER_09
26.7,28.3,SPEAKER_09
29.7,42.6,SPEAKER_09
40.2,40.4,SPEAKER_08
44.1,45.0,SPEAKER_09
45.0,46.0,SPEAKER_08
46.9,52.1,SPEAKER_08
52.5,54.3,SPEAKER_08
55.6,57.1,SPEAKER_08
59.2,62.0,SPEAKER_00
62.5,68.2,SPEAKER_00
70.7,73.4,SPEAKER_00
73.7,73.8,SPEAKER_00
74.0,79.8,SPEAKER_00
83.1,83.4,SPEAKER_00
85.7,91.5,SPEAKER_00
116.9,120.6,SPEAKER_10
123.9,125.6,SPEAKER_01
126.0,131.3,SPEAKER_01
135.0,139.1,SPEAKER_01
139.6,140.9,SPEAKER_10
141.3,142.8,SPEAKER_10
145.2,145.2,SPEAKER_03
145.2,145.8,SPEAKER_10
146.3,150.8,SPEAKER_10
153.5,158.0,SPEAKER_10
158.9,160.0,SPEAKER_10
162.1,165.8,SPEAKER_10
166.1,166.8,SPEAKER_10
167.6,170.4,SPEAKER_10
172.2,175.8,SPEAKER_10
176.2,182.2,SPEAKER_10
182.6,183.5,SPEAKER_10
186.4,186.4,SPEAKER_10
186.4,188.6,SPEAKER_04
191.3,193.3,SPEAKER_04
198.3,202.1,SPEAKER_10
202.6,205.3,SPEAKER_10
206.6,210.3,SPEAKER_10
210.5,228.7,SPEAKER_10
229.4,230.0,SPEAKER_10
230.5,233.4,SPEAKER_10
233.8,235.6,SPEAKER_10
236.3,244.1,SPEAKER_10
244.2,251.3,SPEAKER_10
252.2,253.6,SPEAKER_10
254.0,268.6,SPEAKER_10
259.0,259.1,SPEAKER_06
270.3,271.6,SPEAKER_10
272.3,275.2,SPEAKER_10
278.1,280.0,SPEAKER_12
280.3,283.3,SPEAKER_12
283.3,285.7,SPEAKER_10
287.0,293.8,SPEAKER_10
293.5,297.1,SPEAKER_07
297.2,299.7,SPEAKER_10
300.0,301.6,SPEAKER_10
302.2,306.8,SPEAKER_10
307.2,308.0,SPEAKER_10
308.0,308.1,SPEAKER_03
308.5,314.0,SPEAKER_03
314.0,315.3,SPEAKER_10
315.3,315.3,SPEAKER_03
315.7,315.7,SPEAKER_03
315.7,320.9,SPEAKER_10
326.2,326.9,SPEAKER_10
326.9,328.0,SPEAKER_02
328.8,329.9,SPEAKER_10
334.5,335.5,SPEAKER_10
335.9,336.8,SPEAKER_10
337.1,338.2,SPEAKER_10
339.5,340.8,SPEAKER_10
341.5,344.7,SPEAKER_10
345.0,346.3,SPEAKER_10
346.5,351.0,SPEAKER_10
355.0,357.8,SPEAKER_04
358.0,359.5,SPEAKER_04
361.2,363.8,SPEAKER_04
366.2,369.9,SPEAKER_07
370.3,372.0,SPEAKER_07
376.9,382.6,SPEAKER_10
383.1,384.7,SPEAKER_10
385.5,387.2,SPEAKER_07
390.1,391.0,SPEAKER_10
391.0,391.4,SPEAKER_04
397.7,399.7,SPEAKER_10
399.7,401.3,SPEAKER_10
401.9,405.0,SPEAKER_10
405.7,409.0,SPEAKER_10
409.0,409.0,SPEAKER_04
413.1,413.9,SPEAKER_10
414.7,416.5,SPEAKER_10
417.0,418.7,SPEAKER_10
419.3,424.5,SPEAKER_07
424.7,426.0,SPEAKER_10
426.0,426.0,SPEAKER_04
430.5,432.5,SPEAKER_04
433.2,434.4,SPEAKER_04
436.2,436.9,SPEAKER_04
439.1,439.2,SPEAKER_06
452.3,454.2,SPEAKER_04
455.1,456.4,SPEAKER_04
465.8,467.6,SPEAKER_04
468.5,470.7,SPEAKER_04
472.5,474.4,SPEAKER_04
474.8,476.8,SPEAKER_04
479.0,480.9,SPEAKER_04
483.1,500.7,SPEAKER_04
502.7,505.0,SPEAKER_04
517.2,518.7,SPEAKER_04
521.1,526.6,SPEAKER_07
526.8,533.2,SPEAKER_04
533.7,535.6,SPEAKER_07
535.3,537.7,SPEAKER_04
539.3,540.7,SPEAKER_04
541.3,542.7,SPEAKER_06
548.3,553.8,SPEAKER_04
555.7,557.0,SPEAKER_04
570.8,572.7,SPEAKER_01
573.0,574.1,SPEAKER_01
574.6,576.0,SPEAKER_01
576.7,577.3,SPEAKER_01
577.9,580.6,SPEAKER_01
580.9,582.2,SPEAKER_01
583.3,584.9,SPEAKER_01
601.9,603.9,SPEAKER_07
604.3,607.2,SPEAKER_04
607.3,608.9,SPEAKER_07
609.0,611.4,SPEAKER_07
629.5,631.5,SPEAKER_03
639.0,639.1,SPEAKER_06
