start,stop,speaker
12.6,25.4,SPEAKER_10
21.2,21.4,SPEAKER_00
26.5,28.0,SPEAKER_10
29.4,42.3,SPEAKER_10
42.3,42.4,SPEAKER_11
43.8,43.9,SPEAKER_10
43.9,44.0,SPEAKER_11
44.0,44.0,SPEAKER_10
44.0,46.0,SPEAKER_11
46.5,54.0,SPEAKER_11
55.4,56.9,SPEAKER_11
58.9,61.7,SPEAKER_00
61.8,61.9,SPEAKER_00
62.2,68.0,SPEAKER_00
70.5,73.2,SPEAKER_00
73.4,79.6,SPEAKER_00
82.9,83.1,SPEAKER_00
83.7,84.6,SPEAKER_00
85.5,91.2,SPEAKER_00
105.8,113.0,SPEAKER_05
113.4,113.5,SPEAKER_05
117.0,117.0,SPEAKER_05
117.0,118.6,SPEAKER_12
119.3,122.6,SPEAKER_12
124.1,124.5,SPEAKER_05
125.1,126.0,SPEAKER_12
126.0,128.4,SPEAKER_03
142.0,143.2,SPEAKER_12
147.0,147.5,SPEAKER_01
147.7,150.5,SPEAKER_01
150.8,152.4,SPEAKER_01
153.0,157.6,SPEAKER_01
157.8,160.3,SPEAKER_01
173.2,174.8,SPEAKER_13
175.3,177.2,SPEAKER_13
178.7,181.5,SPEAKER_04
181.5,185.0,SPEAKER_02
185.4,185.5,SPEAKER_02
185.5,185.6,SPEAKER_04
185.6,187.0,SPEAKER_02
187.0,188.4,SPEAKER_04
189.0,190.3,SPEAKER_04
190.5,191.6,SPEAKER_02
192.1,197.0,SPEAKER_04
197.0,200.2,SPEAKER_02
209.6,209.7,SPEAKER_05
210.5,213.5,SPEAKER_05
220.5,224.0,SPEAKER_04
222.4,222.7,SPEAKER_03
222.7,223.0,SPEAKER_05
223.0,223.2,SPEAKER_03
224.0,224.5,SPEAKER_03
224.7,224.7,SPEAKER_03
224.7,225.1,SPEAKER_05
225.1,225.1,SPEAKER_03
225.3,225.3,SPEAKER_03
225.3,225.6,SPEAKER_05
225.6,225.7,SPEAKER_03
229.5,240.0,SPEAKER_03
241.9,249.5,SPEAKER_03
249.9,251.0,SPEAKER_03
251.0,252.0,SPEAKER_04
252.0,252.0,SPEAKER_03
252.0,252.2,SPEAKER_04
252.2,255.4,SPEAKER_03
255.7,257.0,SPEAKER_04
256.8,256.9,SPEAKER_03
257.0,261.0,SPEAKER_03
261.0,261.0,SPEAKER_04
261.0,261.1,SPEAKER_03
261.1,262.3,SPEAKER_04
262.3,262.4,SPEAKER_03
262.4,262.8,SPEAKER_04
262.8,264.4,SPEAKER_03
264.4,265.5,SPEAKER_04
265.5,275.0,SPEAKER_03
276.0,276.5,SPEAKER_03
277.3,278.2,SPEAKER_03
279.1,279.9,SPEAKER_03
283.4,284.9,SPEAKER_03
286.4,287.4,SPEAKER_03
289.7,290.8,SPEAKER_03
294.5,295.8,SPEAKER_03
298.2,299.3,SPEAKER_03
304.4,305.1,SPEAKER_05
319.5,320.2,SPEAKER_13
321.5,322.9,SPEAKER_13
323.4,324.6,SPEAKER_13
325.5,328.4,SPEAKER_13
330.5,331.7,SPEAKER_13
332.8,333.3,SPEAKER_13
333.3,333.3,SPEAKER_05
348.4,349.6,SPEAKER_03
350.0,351.0,SPEAKER_03
351.5,351.9,SPEAKER_03
357.6,359.6,SPEAKER_05
365.3,366.0,SPEAKER_05
372.3,373.6,SPEAKER_04
373.6,373.7,SPEAKER_05
375.0,375.0,SPEAKER_08
375.6,377.0,SPEAKER_08
377.4,377.6,SPEAKER_08
377.7,377.9,SPEAKER_08
377.9,379.1,SPEAKER_08
379.2,380.0,SPEAKER_08
380.1,381.2,SPEAKER_08
382.1,382.5,SPEAKER_08
383.7,386.7,SPEAKER_08
387.0,393.2,SPEAKER_08
398.3,398.3,SPEAKER_08
398.3,398.9,SPEAKER_03
398.9,399.0,SPEAKER_08
399.0,399.1,SPEAKER_03
401.2,403.3,SPEAKER_03
404.3,406.1,SPEAKER_02
411.3,411.3,SPEAKER_02
411.3,412.1,SPEAKER_03
413.5,413.8,SPEAKER_03
419.8,420.7,SPEAKER_03
421.3,425.3,SPEAKER_03
427.1,430.1,SPEAKER_03
434.3,438.4,SPEAKER_02
439.0,439.0,SPEAKER_02
439.0,441.4,SPEAKER_04
444.7,446.3,SPEAKER_04
446.3,447.5,SPEAKER_13
447.5,447.6,SPEAKER_04
451.3,451.7,SPEAKER_04
451.7,452.3,SPEAKER_13
451.7,453.8,SPEAKER_07
452.7,452.8,SPEAKER_13
452.9,453.1,SPEAKER_13
456.7,459.0,SPEAKER_04
463.2,464.2,SPEAKER_13
465.0,466.4,SPEAKER_13
466.7,468.0,SPEAKER_13
479.8,483.6,SPEAKER_13
484.3,486.4,SPEAKER_13
501.2,503.7,SPEAKER_13
503.9,510.2,SPEAKER_13
511.5,512.7,SPEAKER_13
513.4,515.2,SPEAKER_05
515.7,516.7,SPEAKER_05
516.9,517.8,SPEAKER_05
518.1,518.7,SPEAKER_05
522.6,522.8,SPEAKER_13
523.8,528.5,SPEAKER_13
530.8,530.8,SPEAKER_13
530.8,532.2,SPEAKER_05
536.4,537.4,SPEAKER_05
537.9,539.6,SPEAKER_05
542.4,545.1,SPEAKER_14
545.7,549.3,SPEAKER_06
549.6,557.3,SPEAKER_14
557.8,561.9,SPEAKER_09
562.0,562.0,SPEAKER_14
562.0,563.2,SPEAKER_06
563.6,568.9,SPEAKER_06
568.9,572.2,SPEAKER_09
572.2,574.7,SPEAKER_14
575.4,579.4,SPEAKER_09
579.3,579.7,SPEAKER_14
580.4,586.0,SPEAKER_14
587.1,593.1,SPEAKER_14
594.0,594.0,SPEAKER_14
594.6,594.6,SPEAKER_04
594.6,596.7,SPEAKER_02
597.0,601.3,SPEAKER_02
601.5,603.1,SPEAKER_04
603.2,604.0,SPEAKER_02
604.0,604.0,SPEAKER_03
604.2,604.3,SPEAKER_03
604.3,604.3,SPEAKER_02
604.3,607.6,SPEAKER_03
608.1,610.2,SPEAKER_04
610.3,610.4,SPEAKER_03
610.4,612.9,SPEAKER_02
613.5,620.4,SPEAKER_04
620.5,622.7,SPEAKER_03
623.0,629.3,SPEAKER_03
631.1,635.5,SPEAKER_03
636.5,637.0,SPEAKER_03
637.0,637.4,SPEAKER_02
637.4,638.0,SPEAKER_03
638.0,639.7,SPEAKER_04
639.7,639.8,SPEAKER_02
639.9,642.5,SPEAKER_02
640.2,640.3,SPEAKER_03
640.3,640.4,SPEAKER_03
642.5,645.0,SPEAKER_04
645.4,648.6,SPEAKER_03
648.9,651.4,SPEAKER_03
652.6,653.4,SPEAKER_05
653.9,654.0,SPEAKER_03
654.0,657.9,SPEAKER_04
658.2,660.3,SPEAKER_04
660.3,660.5,SPEAKER_12
660.5,660.6,SPEAKER_04
660.6,660.6,SPEAKER_12
660.6,661.0,SPEAKER_04
661.0,662.6,SPEAKER_12
663.7,663.7,SPEAKER_12
663.7,663.7,SPEAKER_05
663.7,664.0,SPEAKER_12
664.0,664.6,SPEAKER_05
678.8,680.9,SPEAKER_12
681.6,684.4,SPEAKER_12
684.7,687.4,SPEAKER_03
687.6,687.6,SPEAKER_03
687.6,691.4,SPEAKER_12
692.0,696.5,SPEAKER_12
698.6,699.0,SPEAKER_12
699.3,700.5,SPEAKER_12
701.9,703.0,SPEAKER_03
704.3,705.2,SPEAKER_03
705.7,706.0,SPEAKER_05
706.6,708.2,SPEAKER_05
708.4,708.8,SPEAKER_05
710.2,711.4,SPEAKER_03
711.7,715.1,SPEAKER_03
715.8,716.5,SPEAKER_03
716.8,721.4,SPEAKER_03
722.9,727.3,SPEAKER_03
728.0,731.9,SPEAKER_05
732.5,735.9,SPEAKER_03
737.0,739.8,SPEAKER_03
740.9,742.0,SPEAKER_03
742.0,742.0,SPEAKER_05
742.0,742.1,SPEAKER_14
742.1,742.6,SPEAKER_05
745.8,746.5,SPEAKER_03
747.8,749.0,SPEAKER_14
749.0,750.8,SPEAKER_03
752.1,752.9,SPEAKER_03
753.6,760.5,SPEAKER_03
761.1,761.8,SPEAKER_03
764.1,764.8,SPEAKER_03
765.4,765.8,SPEAKER_03
769.6,773.3,SPEAKER_03
775.7,777.2,SPEAKER_03
777.8,779.8,SPEAKER_03
780.6,783.2,SPEAKER_03
784.1,785.4,SPEAKER_03
791.2,792.7,SPEAKER_02
793.6,795.5,SPEAKER_02
795.8,798.7,SPEAKER_02
802.0,804.0,SPEAKER_02
807.6,812.5,SPEAKER_09
812.6,813.8,SPEAKER_03
813.7,824.5,SPEAKER_09
824.5,825.0,SPEAKER_03
825.0,828.7,SPEAKER_14
829.1,830.6,SPEAKER_14
831.0,836.4,SPEAKER_14
836.7,845.4,SPEAKER_09
846.7,848.7,SPEAKER_02
848.7,850.3,SPEAKER_06
850.5,857.6,SPEAKER_06
857.6,864.9,SPEAKER_03
868.8,871.3,SPEAKER_03
875.0,879.0,SPEAKER_04
879.0,881.1,SPEAKER_04
882.5,883.8,SPEAKER_04
886.4,888.1,SPEAKER_13
888.6,888.8,SPEAKER_13
889.2,892.4,SPEAKER_13
893.0,893.5,SPEAKER_13
895.0,895.0,SPEAKER_05
895.0,895.8,SPEAKER_13
905.2,906.0,SPEAKER_03
906.0,906.1,SPEAKER_05
907.3,907.6,SPEAKER_03
907.9,917.0,SPEAKER_03
917.0,918.1,SPEAKER_13
918.1,918.5,SPEAKER_02
918.5,922.0,SPEAKER_13
922.0,925.9,SPEAKER_02
925.9,926.0,SPEAKER_02
926.0,929.9,SPEAKER_13
929.6,929.7,SPEAKER_02
929.7,929.7,SPEAKER_03
929.7,930.0,SPEAKER_02
930.0,933.2,SPEAKER_03
933.2,933.5,SPEAKER_13
933.5,933.6,SPEAKER_03
937.2,939.0,SPEAKER_13
939.5,941.7,SPEAKER_13
942.2,948.2,SPEAKER_13
949.2,953.4,SPEAKER_01
956.5,958.7,SPEAKER_01
969.4,971.9,SPEAKER_09
972.0,972.0,SPEAKER_09
974.5,977.7,SPEAKER_12
977.8,977.8,SPEAKER_12
977.8,980.0,SPEAKER_02
985.3,987.4,SPEAKER_02
1003.5,1004.4,SPEAKER_06
1005.1,1007.5,SPEAKER_14
1008.9,1011.0,SPEAKER_06
1013.5,1014.0,SPEAKER_06
1014.1,1015.4,SPEAKER_06
1016.1,1016.6,SPEAKER_06
1020.2,1021.3,SPEAKER_06
1021.6,1026.7,SPEAKER_06
1030.5,1033.1,SPEAKER_09
1033.7,1033.7,SPEAKER_05
1033.7,1034.5,SPEAKER_06
1040.5,1047.7,SPEAKER_06
1047.7,1049.0,SPEAKER_03
1049.0,1049.0,SPEAKER_06
1049.0,1049.1,SPEAKER_03
1049.6,1050.7,SPEAKER_09
1051.1,1058.3,SPEAKER_09
1058.8,1066.2,SPEAKER_09
1067.2,1071.9,SPEAKER_03
1071.9,1073.0,SPEAKER_09
1073.5,1076.4,SPEAKER_03
1076.4,1080.7,SPEAKER_09
1081.1,1083.2,SPEAKER_03
1083.5,1084.6,SPEAKER_09
1084.9,1085.5,SPEAKER_03
1085.5,1086.5,SPEAKER_09
1086.6,1087.7,SPEAKER_03
1088.2,1093.3,SPEAKER_09
1117.7,1119.7,SPEAKER_05
1120.8,1120.9,SPEAKER_05
1121.0,1121.0,SPEAKER_05
1121.4,1125.2,SPEAKER_05
1124.3,1124.9,SPEAKER_11
1124.9,1125.0,SPEAKER_11
1125.2,1125.4,SPEAKER_14
1125.7,1126.0,SPEAKER_05
1128.3,1139.0,SPEAKER_14
1132.0,1132.7,SPEAKER_09
1139.3,1140.3,SPEAKER_14
1140.3,1140.4,SPEAKER_05
1140.9,1141.7,SPEAKER_14
1141.7,1141.9,SPEAKER_05
1153.0,1154.0,SPEAKER_09
1155.5,1155.9,SPEAKER_05
1157.0,1157.6,SPEAKER_05
1158.4,1162.1,SPEAKER_05
1162.5,1163.0,SPEAKER_05
1163.6,1167.6,SPEAKER_05
1168.2,1170.8,SPEAKER_06
1170.9,1176.7,SPEAKER_09
1175.7,1176.3,SPEAKER_14
1177.2,1181.0,SPEAKER_14
1181.0,1187.6,SPEAKER_02
1188.0,1189.9,SPEAKER_02
1190.7,1191.6,SPEAKER_06
1193.8,1193.8,SPEAKER_12
1193.8,1193.8,SPEAKER_14
1193.8,1193.9,SPEAKER_12
1193.9,1195.3,SPEAKER_14
1195.3,1195.8,SPEAKER_06
1200.7,1201.4,SPEAKER_09
1202.8,1203.4,SPEAKER_09
1203.9,1205.0,SPEAKER_09
1205.0,1205.1,SPEAKER_11
1205.1,1205.5,SPEAKER_09
1205.5,1205.8,SPEAKER_11
1205.8,1205.9,SPEAKER_09
1205.9,1205.9,SPEAKER_11
1205.9,1206.0,SPEAKER_09
1206.0,1210.4,SPEAKER_11
1212.9,1214.0,SPEAKER_05
1214.6,1214.8,SPEAKER_05
1217.0,1218.5,SPEAKER_09
1218.6,1218.9,SPEAKER_09
1220.5,1224.5,SPEAKER_09
1226.5,1230.6,SPEAKER_05
1229.6,1230.5,SPEAKER_09
1230.6,1230.8,SPEAKER_09
1230.8,1235.9,SPEAKER_05
1239.8,1240.1,SPEAKER_05
1251.9,1253.4,SPEAKER_14
1254.5,1268.9,SPEAKER_14
1270.5,1272.1,SPEAKER_14
1272.2,1273.2,SPEAKER_14
1279.0,1281.6,SPEAKER_01
1282.4,1285.6,SPEAKER_01
1285.9,1287.2,SPEAKER_01
1287.8,1291.3,SPEAKER_01
1299.5,1299.7,SPEAKER_05
1305.5,1305.6,SPEAKER_05
1306.5,1307.3,SPEAKER_05
1307.5,1309.0,SPEAKER_05
1310.4,1311.1,SPEAKER_05
1326.8,1332.6,SPEAKER_10
1333.8,1339.9,SPEAKER_10
1341.5,1351.7,SPEAKER_10
1352.5,1355.4,SPEAKER_10
1356.2,1360.2,SPEAKER_10
1360.8,1361.6,SPEAKER_10
1363.3,1367.4,SPEAKER_10
1368.5,1368.7,SPEAKER_10
1370.9,1381.0,SPEAKER_10
1381.6,1384.0,SPEAKER_10
