start,stop,speaker
13.1,25.9,SPEAKER_21
27.0,28.5,SPEAKER_21
30.0,42.9,SPEAKER_21
44.4,45.0,SPEAKER_21
45.0,46.3,SPEAKER_19
47.0,52.4,SPEAKER_19
52.9,54.6,SPEAKER_19
56.0,57.5,SPEAKER_19
59.5,59.5,SPEAKER_19
59.5,62.4,SPEAKER_00
62.4,62.5,SPEAKER_00
62.7,68.6,SPEAKER_00
71.0,73.8,SPEAKER_00
74.0,80.1,SPEAKER_00
83.4,83.7,SPEAKER_00
84.0,84.2,SPEAKER_00
84.3,85.3,SPEAKER_00
85.7,85.7,SPEAKER_00
85.9,91.8,SPEAKER_00
99.9,107.4,SPEAKER_15
107.7,113.2,SPEAKER_15
113.5,147.7,SPEAKER_15
148.0,149.7,SPEAKER_06
149.8,151.3,SPEAKER_06
153.2,156.0,SPEAKER_06
156.2,161.8,SPEAKER_06
163.2,163.4,SPEAKER_06
163.4,163.5,SPEAKER_05
163.5,163.5,SPEAKER_06
163.5,163.6,SPEAKER_05
164.0,164.0,SPEAKER_05
164.0,164.8,SPEAKER_06
164.8,165.0,SPEAKER_05
165.3,167.2,SPEAKER_05
168.0,173.0,SPEAKER_05
173.0,174.4,SPEAKER_06
174.8,180.1,SPEAKER_06
180.2,181.8,SPEAKER_14
182.1,185.0,SPEAKER_06
185.0,186.3,SPEAKER_05
186.6,186.6,SPEAKER_06
186.6,187.5,SPEAKER_05
188.1,192.9,SPEAKER_05
192.9,193.4,SPEAKER_16
194.0,199.1,SPEAKER_05
199.4,202.3,SPEAKER_05
204.8,208.1,SPEAKER_03
208.3,209.6,SPEAKER_03
210.0,213.8,SPEAKER_03
215.4,217.0,SPEAKER_03
217.6,221.5,SPEAKER_05
222.6,226.9,SPEAKER_05
228.5,231.8,SPEAKER_05
232.1,233.4,SPEAKER_05
234.1,237.4,SPEAKER_05
237.3,240.9,SPEAKER_03
241.1,243.1,SPEAKER_03
243.1,243.1,SPEAKER_03
243.1,245.5,SPEAKER_14
246.8,251.1,SPEAKER_14
251.8,252.0,SPEAKER_05
252.0,255.1,SPEAKER_06
255.9,258.3,SPEAKER_03
258.3,259.0,SPEAKER_06
259.0,261.6,SPEAKER_05
262.8,267.4,SPEAKER_05
267.9,272.8,SPEAKER_03
273.2,273.6,SPEAKER_05
273.7,274.7,SPEAKER_05
290.0,291.4,SPEAKER_07
291.5,296.1,SPEAKER_07
296.7,300.0,SPEAKER_07
300.7,302.6,SPEAKER_07
304.0,308.6,SPEAKER_07
309.1,310.0,SPEAKER_07
310.0,312.2,SPEAKER_09
312.4,312.4,SPEAKER_09
312.4,314.1,SPEAKER_07
314.1,320.3,SPEAKER_09
322.5,331.0,SPEAKER_09
331.0,338.0,SPEAKER_07
338.8,343.8,SPEAKER_07
344.6,345.1,SPEAKER_07
345.6,347.3,SPEAKER_20
347.5,350.1,SPEAKER_20
350.5,352.1,SPEAKER_20
352.8,353.0,SPEAKER_20
360.4,362.6,SPEAKER_07
368.5,385.7,SPEAKER_03
389.0,392.9,SPEAKER_05
393.0,395.7,SPEAKER_08
395.7,399.2,SPEAKER_05
399.9,399.9,SPEAKER_08
399.9,400.6,SPEAKER_09
400.5,402.4,SPEAKER_05
402.8,404.1,SPEAKER_09
404.5,405.8,SPEAKER_05
406.0,410.6,SPEAKER_05
410.6,410.7,SPEAKER_05
410.7,413.7,SPEAKER_09
414.6,417.1,SPEAKER_05
417.5,419.7,SPEAKER_05
420.8,424.2,SPEAKER_09
429.1,429.7,SPEAKER_06
429.7,430.0,SPEAKER_04
430.0,431.3,SPEAKER_06
431.9,435.1,SPEAKER_06
435.1,437.3,SPEAKER_18
438.9,441.3,SPEAKER_18
441.4,442.5,SPEAKER_06
443.1,446.1,SPEAKER_06
446.6,447.5,SPEAKER_06
447.9,448.0,SPEAKER_18
455.7,456.0,SPEAKER_16
456.0,456.1,SPEAKER_04
456.1,456.2,SPEAKER_16
456.2,456.2,SPEAKER_04
456.2,456.2,SPEAKER_16
457.0,457.8,SPEAKER_04
458.5,460.8,SPEAKER_04
461.2,464.9,SPEAKER_04
466.0,473.9,SPEAKER_14
473.9,479.7,SPEAKER_06
480.9,485.8,SPEAKER_06
487.0,494.3,SPEAKER_06
498.1,498.9,SPEAKER_06
499.3,501.9,SPEAKER_06
503.5,504.8,SPEAKER_06
505.6,511.9,SPEAKER_06
512.7,514.8,SPEAKER_06
