start,stop,speaker
13.2,25.9,SPEAKER_03
27.1,28.7,SPEAKER_03
30.0,43.0,SPEAKER_03
44.5,45.0,SPEAKER_03
45.0,46.5,SPEAKER_05
47.0,54.6,SPEAKER_05
56.0,57.5,SPEAKER_05
59.5,59.6,SPEAKER_05
59.6,68.6,SPEAKER_00
71.1,73.8,SPEAKER_00
74.0,80.2,SPEAKER_00
83.5,83.7,SPEAKER_00
84.8,84.8,SPEAKER_00
84.8,84.8,SPEAKER_00
84.8,85.0,SPEAKER_00
86.0,91.9,SPEAKER_00
100.5,105.5,SPEAKER_01
112.6,115.4,SPEAKER_01
157.5,160.0,SPEAKER_13
166.9,167.9,SPEAKER_10
168.3,170.1,SPEAKER_10
170.9,176.9,SPEAKER_10
177.3,178.0,SPEAKER_10
195.3,195.9,SPEAKER_06
196.0,196.0,SPEAKER_06
199.4,200.5,SPEAKER_06
200.5,200.5,SPEAKER_11
201.2,203.1,SPEAKER_11
203.7,206.5,SPEAKER_11
206.7,208.1,SPEAKER_12
211.5,212.0,SPEAKER_11
212.0,213.1,SPEAKER_13
214.4,218.3,SPEAKER_13
218.9,220.8,SPEAKER_13
220.8,227.5,SPEAKER_11
227.6,230.2,SPEAKER_11
230.8,237.5,SPEAKER_11
242.3,242.6,SPEAKER_06
243.0,243.0,SPEAKER_06
243.0,243.1,SPEAKER_06
244.0,247.4,SPEAKER_06
249.2,251.9,SPEAKER_06
254.1,254.9,SPEAKER_13
280.8,280.9,SPEAKER_00
301.6,301.8,SPEAKER_12
301.8,304.0,SPEAKER_12
307.1,307.8,SPEAKER_13
312.9,313.4,SPEAKER_06
323.0,323.1,SPEAKER_06
328.1,333.2,SPEAKER_06
337.5,339.0,SPEAKER_07
339.0,340.1,SPEAKER_13
340.8,343.0,SPEAKER_07
343.0,343.7,SPEAKER_13
343.9,344.9,SPEAKER_13
348.2,351.6,SPEAKER_13
365.6,367.0,SPEAKER_13
368.1,368.1,SPEAKER_06
370.1,370.7,SPEAKER_06
372.0,372.6,SPEAKER_14
373.5,377.5,SPEAKER_14
377.9,383.0,SPEAKER_14
383.4,386.4,SPEAKER_14
385.1,386.0,SPEAKER_12
390.5,390.5,SPEAKER_14
390.5,391.7,SPEAKER_13
391.7,391.8,SPEAKER_14
393.6,396.4,SPEAKER_13
404.7,405.1,SPEAKER_13
406.3,407.8,SPEAKER_13
409.0,414.1,SPEAKER_13
415.1,416.7,SPEAKER_13
417.8,418.0,SPEAKER_13
418.1,418.7,SPEAKER_13
420.6,422.1,SPEAKER_13
425.5,430.6,SPEAKER_13
435.1,435.7,SPEAKER_13
435.9,440.5,SPEAKER_13
445.0,446.1,SPEAKER_13
448.1,452.6,SPEAKER_13
452.8,454.6,SPEAKER_13
454.9,459.0,SPEAKER_13
461.7,469.7,SPEAKER_13
469.9,471.5,SPEAKER_13
478.8,480.9,SPEAKER_13
481.0,481.2,SPEAKER_13
481.3,481.4,SPEAKER_13
481.6,481.7,SPEAKER_06
481.7,481.7,SPEAKER_13
481.7,482.0,SPEAKER_06
482.0,482.0,SPEAKER_13
482.0,482.1,SPEAKER_06
482.1,482.4,SPEAKER_13
493.1,493.3,SPEAKER_06
500.4,501.4,SPEAKER_06
506.6,507.2,SPEAKER_12
507.6,509.9,SPEAKER_12
511.3,512.3,SPEAKER_12
512.5,514.7,SPEAKER_12
514.7,514.7,SPEAKER_10
515.7,519.1,SPEAKER_13
520.5,523.0,SPEAKER_13
531.0,533.4,SPEAKER_10
533.8,533.9,SPEAKER_10
533.9,535.0,SPEAKER_07
535.0,535.8,SPEAKER_10
535.8,537.0,SPEAKER_14
537.0,538.3,SPEAKER_10
539.2,542.4,SPEAKER_14
543.0,543.8,SPEAKER_10
546.0,549.1,SPEAKER_14
550.4,551.0,SPEAKER_14
551.0,553.5,SPEAKER_11
555.3,556.3,SPEAKER_10
556.7,561.1,SPEAKER_10
561.1,561.1,SPEAKER_13
561.7,562.0,SPEAKER_10
562.0,563.0,SPEAKER_13
563.0,569.2,SPEAKER_14
570.0,572.4,SPEAKER_11
573.1,576.4,SPEAKER_14
577.0,577.0,SPEAKER_14
577.0,577.0,SPEAKER_10
577.0,577.0,SPEAKER_14
577.0,577.7,SPEAKER_10
578.3,581.5,SPEAKER_10
581.6,584.2,SPEAKER_14
584.6,586.5,SPEAKER_14
586.5,586.6,SPEAKER_13
586.8,588.6,SPEAKER_14
589.2,592.2,SPEAKER_07
592.5,596.6,SPEAKER_13
597.2,610.3,SPEAKER_14
612.7,613.6,SPEAKER_14
614.6,619.4,SPEAKER_14
619.8,621.8,SPEAKER_13
622.1,623.0,SPEAKER_13
623.0,627.0,SPEAKER_07
627.2,629.9,SPEAKER_14
631.1,634.8,SPEAKER_07
634.9,637.0,SPEAKER_14
637.7,640.0,SPEAKER_11
642.6,643.6,SPEAKER_10
643.9,645.1,SPEAKER_14
648.6,650.1,SPEAKER_14
650.8,654.2,SPEAKER_10
663.8,664.9,SPEAKER_13
665.2,666.8,SPEAKER_13
671.3,674.7,SPEAKER_13
674.7,675.0,SPEAKER_10
675.0,676.3,SPEAKER_13
676.6,678.7,SPEAKER_13
679.3,681.6,SPEAKER_13
681.9,685.6,SPEAKER_10
687.9,690.8,SPEAKER_14
691.4,692.8,SPEAKER_10
693.7,696.4,SPEAKER_10
714.0,715.5,SPEAKER_13
716.3,716.8,SPEAKER_08
717.7,718.7,SPEAKER_13
719.3,724.5,SPEAKER_08
725.3,726.0,SPEAKER_08
726.9,726.9,SPEAKER_08
726.9,727.8,SPEAKER_13
727.8,727.8,SPEAKER_08
727.8,727.8,SPEAKER_13
727.8,727.8,SPEAKER_08
728.2,730.0,SPEAKER_08
730.5,732.7,SPEAKER_13
733.6,734.3,SPEAKER_08
734.6,736.6,SPEAKER_08
737.6,739.2,SPEAKER_13
739.7,747.9,SPEAKER_13
750.9,751.4,SPEAKER_13
751.8,753.1,SPEAKER_13
753.2,754.9,SPEAKER_13
755.2,755.7,SPEAKER_08
755.7,756.2,SPEAKER_13
756.6,758.7,SPEAKER_08
759.0,760.5,SPEAKER_13
761.1,762.9,SPEAKER_08
763.7,769.3,SPEAKER_13
770.0,771.5,SPEAKER_08
772.2,773.9,SPEAKER_08
773.8,774.2,SPEAKER_13
774.5,775.4,SPEAKER_08
777.0,779.0,SPEAKER_13
779.0,779.1,SPEAKER_08
779.1,779.1,SPEAKER_13
779.8,781.0,SPEAKER_08
781.3,784.6,SPEAKER_08
785.1,785.3,SPEAKER_13
785.7,787.8,SPEAKER_13
788.1,789.9,SPEAKER_13
790.7,791.5,SPEAKER_08
792.0,795.1,SPEAKER_13
795.3,800.1,SPEAKER_08
800.5,803.9,SPEAKER_08
810.1,810.8,SPEAKER_13
811.6,814.0,SPEAKER_13
819.6,820.9,SPEAKER_13
821.3,822.8,SPEAKER_08
823.7,824.0,SPEAKER_13
829.6,829.6,SPEAKER_12
829.6,831.0,SPEAKER_13
831.0,832.7,SPEAKER_08
833.3,846.3,SPEAKER_13
847.3,849.7,SPEAKER_13
850.2,854.4,SPEAKER_13
856.2,858.0,SPEAKER_08
858.9,860.1,SPEAKER_08
861.2,862.5,SPEAKER_08
862.8,866.4,SPEAKER_08
867.0,869.5,SPEAKER_13
869.9,870.4,SPEAKER_13
870.8,872.0,SPEAKER_13
872.2,874.0,SPEAKER_13
874.4,875.0,SPEAKER_13
875.4,875.9,SPEAKER_13
878.7,879.0,SPEAKER_12
883.3,883.8,SPEAKER_12
886.3,887.1,SPEAKER_12
887.5,891.1,SPEAKER_12
890.6,890.8,SPEAKER_06
891.8,895.7,SPEAKER_12
897.8,899.6,SPEAKER_12
904.5,906.6,SPEAKER_13
920.5,921.3,SPEAKER_08
921.6,923.0,SPEAKER_08
924.8,926.9,SPEAKER_13
930.5,930.9,SPEAKER_10
930.9,930.9,SPEAKER_14
930.9,931.6,SPEAKER_10
931.0,931.2,SPEAKER_14
935.1,937.1,SPEAKER_10
937.6,939.4,SPEAKER_14
939.4,939.4,SPEAKER_13
940.1,941.4,SPEAKER_13
941.4,941.4,SPEAKER_14
941.4,941.4,SPEAKER_13
941.4,941.7,SPEAKER_14
942.0,946.3,SPEAKER_14
946.5,948.6,SPEAKER_11
948.8,949.8,SPEAKER_14
954.4,956.8,SPEAKER_07
956.8,957.3,SPEAKER_13
958.9,961.3,SPEAKER_13
965.1,967.5,SPEAKER_10
967.6,971.3,SPEAKER_14
971.6,974.4,SPEAKER_14
976.1,980.8,SPEAKER_07
983.9,985.0,SPEAKER_07
985.3,989.3,SPEAKER_09
989.4,989.4,SPEAKER_09
989.4,990.6,SPEAKER_08
993.3,999.2,SPEAKER_14
999.2,1000.5,SPEAKER_13
1005.4,1005.6,SPEAKER_14
1009.1,1010.8,SPEAKER_14
1012.1,1012.4,SPEAKER_14
1012.4,1012.5,SPEAKER_06
1012.5,1012.6,SPEAKER_14
1013.8,1014.3,SPEAKER_14
1014.3,1014.3,SPEAKER_12
1016.3,1017.3,SPEAKER_14
1017.6,1023.5,SPEAKER_14
1024.5,1025.8,SPEAKER_13
1027.8,1028.3,SPEAKER_14
