start,stop,speaker
12.9,21.4,SPEAKER_11
21.4,21.7,SPEAKER_09
21.7,25.7,SPEAKER_11
26.9,28.4,SPEAKER_11
29.8,42.7,SPEAKER_11
44.2,45.0,SPEAKER_11
45.0,46.2,SPEAKER_09
47.0,54.4,SPEAKER_09
55.8,57.3,SPEAKER_09
59.3,68.4,SPEAKER_00
70.9,73.6,SPEAKER_00
73.8,74.0,SPEAKER_00
74.1,79.9,SPEAKER_00
80.0,80.0,SPEAKER_00
83.2,83.6,SPEAKER_00
83.8,85.1,SPEAKER_00
85.4,91.7,SPEAKER_00
106.5,111.5,SPEAKER_01
112.0,113.8,SPEAKER_01
115.1,120.1,SPEAKER_13
120.4,125.2,SPEAKER_02
125.9,130.5,SPEAKER_13
130.5,132.1,SPEAKER_02
134.0,137.7,SPEAKER_13
146.2,147.1,SPEAKER_02
149.5,151.0,SPEAKER_02
151.0,155.7,SPEAKER_13
155.9,158.4,SPEAKER_13
165.0,167.6,SPEAKER_13
167.6,168.6,SPEAKER_04
168.6,172.4,SPEAKER_13
172.9,173.8,SPEAKER_13
175.3,176.7,SPEAKER_13
177.7,178.1,SPEAKER_13
178.6,179.4,SPEAKER_13
179.8,181.1,SPEAKER_13
181.0,183.1,SPEAKER_04
183.9,188.5,SPEAKER_13
188.7,192.4,SPEAKER_05
192.6,195.2,SPEAKER_13
195.2,196.0,SPEAKER_05
196.0,198.7,SPEAKER_02
199.5,202.0,SPEAKER_02
202.0,202.4,SPEAKER_13
203.2,208.6,SPEAKER_13
208.9,211.3,SPEAKER_02
211.7,213.0,SPEAKER_13
215.9,217.4,SPEAKER_04
221.0,223.1,SPEAKER_13
224.1,227.1,SPEAKER_13
227.6,229.8,SPEAKER_04
237.0,237.5,SPEAKER_14
237.8,238.3,SPEAKER_14
239.5,239.7,SPEAKER_14
240.0,241.6,SPEAKER_14
241.3,246.2,SPEAKER_04
245.3,254.7,SPEAKER_14
255.0,255.1,SPEAKER_14
255.1,255.8,SPEAKER_11
255.1,255.5,SPEAKER_14
255.9,257.2,SPEAKER_11
258.8,259.0,SPEAKER_14
261.0,262.1,SPEAKER_03
262.4,263.6,SPEAKER_03
263.9,265.6,SPEAKER_03
267.7,271.4,SPEAKER_13
268.7,269.4,SPEAKER_03
271.6,274.0,SPEAKER_03
274.0,278.9,SPEAKER_13
278.9,278.9,SPEAKER_13
278.9,281.4,SPEAKER_03
281.7,284.3,SPEAKER_13
284.3,286.1,SPEAKER_03
286.2,286.2,SPEAKER_03
286.2,297.8,SPEAKER_13
286.7,286.8,SPEAKER_03
297.8,300.3,SPEAKER_03
300.5,314.7,SPEAKER_13
314.8,318.1,SPEAKER_03
317.2,319.5,SPEAKER_13
320.3,325.9,SPEAKER_13
326.3,331.8,SPEAKER_03
332.2,334.4,SPEAKER_13
335.6,337.7,SPEAKER_13
338.1,340.3,SPEAKER_03
340.4,343.7,SPEAKER_13
344.3,348.0,SPEAKER_04
349.5,350.8,SPEAKER_08
351.6,355.3,SPEAKER_13
355.8,357.7,SPEAKER_08
357.7,359.4,SPEAKER_13
359.5,366.0,SPEAKER_13
366.0,369.7,SPEAKER_04
370.4,371.7,SPEAKER_13
372.0,373.2,SPEAKER_13
373.5,373.9,SPEAKER_13
373.9,378.0,SPEAKER_02
378.0,378.8,SPEAKER_08
383.1,385.4,SPEAKER_08
385.4,388.7,SPEAKER_02
402.0,402.8,SPEAKER_14
403.0,403.1,SPEAKER_14
403.9,406.4,SPEAKER_05
406.6,408.3,SPEAKER_05
409.0,409.6,SPEAKER_14
410.9,411.0,SPEAKER_14
415.8,420.4,SPEAKER_03
420.9,422.0,SPEAKER_03
422.0,422.2,SPEAKER_08
426.2,427.3,SPEAKER_08
427.6,428.4,SPEAKER_08
429.0,429.6,SPEAKER_08
433.0,439.6,SPEAKER_04
440.4,441.1,SPEAKER_04
440.5,441.0,SPEAKER_05
441.1,442.0,SPEAKER_05
442.0,442.3,SPEAKER_02
444.1,444.2,SPEAKER_04
446.9,451.0,SPEAKER_02
451.3,455.1,SPEAKER_02
455.6,456.0,SPEAKER_02
456.0,456.2,SPEAKER_13
456.2,460.8,SPEAKER_02
461.1,464.5,SPEAKER_13
471.0,473.0,SPEAKER_08
473.2,475.9,SPEAKER_03
475.9,475.9,SPEAKER_08
476.0,478.2,SPEAKER_08
478.7,481.1,SPEAKER_03
486.7,488.6,SPEAKER_13
489.9,490.7,SPEAKER_03
492.4,493.8,SPEAKER_03
494.5,496.8,SPEAKER_03
497.2,501.3,SPEAKER_08
502.2,503.1,SPEAKER_08
503.5,507.9,SPEAKER_08
509.9,511.0,SPEAKER_08
511.1,514.5,SPEAKER_08
514.8,516.0,SPEAKER_08
516.4,516.7,SPEAKER_08
517.6,519.2,SPEAKER_08
519.4,524.6,SPEAKER_03
525.8,529.3,SPEAKER_08
529.8,530.5,SPEAKER_03
533.9,536.5,SPEAKER_13
537.3,539.4,SPEAKER_13
539.7,541.5,SPEAKER_03
541.7,543.1,SPEAKER_13
547.1,548.7,SPEAKER_13
549.1,550.9,SPEAKER_03
555.9,559.5,SPEAKER_04
559.5,559.5,SPEAKER_06
560.9,560.9,SPEAKER_04
560.9,561.6,SPEAKER_06
562.4,565.4,SPEAKER_06
565.8,567.6,SPEAKER_06
567.6,569.4,SPEAKER_07
571.4,574.2,SPEAKER_06
573.6,574.1,SPEAKER_07
574.2,574.2,SPEAKER_07
575.6,576.5,SPEAKER_06
576.9,577.0,SPEAKER_06
577.0,577.5,SPEAKER_04
578.1,578.1,SPEAKER_06
578.1,580.0,SPEAKER_04
582.7,584.8,SPEAKER_04
586.2,587.3,SPEAKER_14
589.9,590.8,SPEAKER_08
592.1,594.2,SPEAKER_08
605.4,607.5,SPEAKER_08
608.0,610.5,SPEAKER_08
611.1,614.5,SPEAKER_03
615.2,616.0,SPEAKER_03
618.2,619.1,SPEAKER_03
619.7,619.7,SPEAKER_03
619.7,619.8,SPEAKER_14
619.8,620.0,SPEAKER_03
620.0,620.3,SPEAKER_14
620.3,620.6,SPEAKER_03
620.6,620.8,SPEAKER_14
620.8,620.8,SPEAKER_03
620.9,621.0,SPEAKER_03
621.0,621.0,SPEAKER_14
621.0,621.2,SPEAKER_03
621.2,621.8,SPEAKER_14
622.2,623.3,SPEAKER_08
624.0,632.5,SPEAKER_08
635.3,638.3,SPEAKER_08
638.9,639.2,SPEAKER_05
639.6,642.5,SPEAKER_05
642.9,644.7,SPEAKER_05
645.6,646.7,SPEAKER_05
647.5,648.8,SPEAKER_05
649.8,650.0,SPEAKER_05
650.0,650.2,SPEAKER_03
650.5,650.5,SPEAKER_05
650.5,651.5,SPEAKER_03
652.5,652.6,SPEAKER_03
653.0,653.2,SPEAKER_03
653.3,654.2,SPEAKER_03
655.0,656.6,SPEAKER_03
659.5,663.3,SPEAKER_03
664.5,665.0,SPEAKER_03
668.0,668.2,SPEAKER_08
668.5,668.8,SPEAKER_08
669.0,674.6,SPEAKER_08
675.0,676.3,SPEAKER_08
684.0,688.8,SPEAKER_03
688.8,688.9,SPEAKER_07
689.4,689.4,SPEAKER_07
689.4,690.0,SPEAKER_03
690.0,691.9,SPEAKER_07
691.9,692.0,SPEAKER_03
692.0,692.0,SPEAKER_07
692.0,693.2,SPEAKER_03
693.2,694.4,SPEAKER_07
694.5,694.6,SPEAKER_07
694.6,695.0,SPEAKER_02
695.0,695.2,SPEAKER_07
695.2,696.0,SPEAKER_03
696.0,696.0,SPEAKER_07
696.0,696.1,SPEAKER_03
696.1,696.1,SPEAKER_07
696.1,699.3,SPEAKER_02
700.1,701.9,SPEAKER_03
704.8,710.8,SPEAKER_03
712.2,713.7,SPEAKER_03
714.3,716.6,SPEAKER_02
716.9,717.8,SPEAKER_03
718.4,718.8,SPEAKER_02
719.4,722.0,SPEAKER_02
722.6,722.6,SPEAKER_02
722.6,722.9,SPEAKER_14
722.9,722.9,SPEAKER_02
734.0,734.0,SPEAKER_04
734.6,737.0,SPEAKER_04
737.5,739.0,SPEAKER_04
737.9,738.3,SPEAKER_06
738.3,738.9,SPEAKER_14
741.6,746.0,SPEAKER_06
748.8,753.9,SPEAKER_15
753.9,758.0,SPEAKER_04
760.6,761.3,SPEAKER_13
761.7,762.0,SPEAKER_13
762.6,763.1,SPEAKER_13
763.1,763.2,SPEAKER_04
763.2,763.3,SPEAKER_08
764.0,769.1,SPEAKER_13
766.2,766.9,SPEAKER_08
768.2,768.5,SPEAKER_08
769.2,770.6,SPEAKER_08
770.7,775.5,SPEAKER_13
777.9,786.9,SPEAKER_13
787.7,791.1,SPEAKER_04
792.1,795.0,SPEAKER_04
793.0,795.8,SPEAKER_13
795.0,795.1,SPEAKER_14
795.8,795.9,SPEAKER_14
796.0,796.0,SPEAKER_13
805.4,807.5,SPEAKER_03
807.7,809.6,SPEAKER_03
809.8,811.0,SPEAKER_03
811.1,811.9,SPEAKER_03
813.8,816.7,SPEAKER_03
817.0,821.4,SPEAKER_03
822.0,822.0,SPEAKER_07
822.0,822.9,SPEAKER_03
822.9,823.0,SPEAKER_07
823.0,823.7,SPEAKER_03
824.2,828.4,SPEAKER_03
838.6,840.0,SPEAKER_04
841.1,842.2,SPEAKER_04
842.9,848.6,SPEAKER_04
851.0,852.7,SPEAKER_04
875.4,876.8,SPEAKER_14
878.7,878.9,SPEAKER_14
879.0,879.3,SPEAKER_14
880.5,887.3,SPEAKER_14
889.0,889.0,SPEAKER_14
889.0,889.5,SPEAKER_05
889.5,889.7,SPEAKER_14
891.0,892.0,SPEAKER_05
892.6,894.3,SPEAKER_05
895.2,896.0,SPEAKER_05
896.0,901.3,SPEAKER_04
901.7,905.0,SPEAKER_04
906.6,906.7,SPEAKER_15
906.7,906.9,SPEAKER_05
906.9,908.7,SPEAKER_15
909.4,916.1,SPEAKER_15
916.1,917.9,SPEAKER_05
918.4,918.5,SPEAKER_05
918.5,920.2,SPEAKER_15
918.9,919.7,SPEAKER_05
921.4,921.4,SPEAKER_15
921.4,921.5,SPEAKER_05
921.5,923.7,SPEAKER_15
929.5,930.9,SPEAKER_04
931.3,935.6,SPEAKER_06
935.6,936.0,SPEAKER_04
936.0,936.0,SPEAKER_06
946.3,952.9,SPEAKER_02
953.6,955.9,SPEAKER_04
956.9,959.9,SPEAKER_04
960.1,962.9,SPEAKER_02
963.0,964.0,SPEAKER_04
964.0,965.6,SPEAKER_02
965.8,977.8,SPEAKER_02
978.1,981.3,SPEAKER_07
982.3,986.4,SPEAKER_07
986.4,993.4,SPEAKER_02
1009.7,1020.4,SPEAKER_02
1022.4,1025.4,SPEAKER_07
1027.2,1028.3,SPEAKER_07
1029.3,1033.9,SPEAKER_02
1033.4,1034.0,SPEAKER_07
1034.0,1034.1,SPEAKER_02
1034.1,1034.2,SPEAKER_07
1034.2,1034.3,SPEAKER_02
1034.6,1034.6,SPEAKER_07
1034.6,1037.9,SPEAKER_02
1038.7,1044.6,SPEAKER_02
1045.7,1050.2,SPEAKER_02
1050.4,1055.5,SPEAKER_02
1055.6,1060.6,SPEAKER_02
1062.8,1071.2,SPEAKER_02
1070.6,1071.1,SPEAKER_04
1071.2,1072.9,SPEAKER_04
1072.2,1072.8,SPEAKER_02
1074.1,1079.9,SPEAKER_04
1081.5,1084.0,SPEAKER_04
1085.3,1095.8,SPEAKER_04
