start,stop,speaker
12.8,25.5,SPEAKER_02
26.7,28.2,SPEAKER_02
29.6,42.6,SPEAKER_02
44.1,46.1,SPEAKER_02
46.9,51.8,SPEAKER_02
52.7,54.3,SPEAKER_02
55.6,57.1,SPEAKER_02
59.1,59.2,SPEAKER_01
59.2,59.2,SPEAKER_02
59.2,62.2,SPEAKER_01
62.4,68.3,SPEAKER_01
70.7,73.2,SPEAKER_01
74.0,79.8,SPEAKER_01
83.0,83.3,SPEAKER_01
85.6,90.5,SPEAKER_01
103.1,103.7,SPEAKER_00
104.2,108.0,SPEAKER_00
108.5,114.5,SPEAKER_00
119.8,123.0,SPEAKER_10
123.9,124.3,SPEAKER_10
126.1,129.4,SPEAKER_10
131.3,136.0,SPEAKER_10
138.5,141.3,SPEAKER_10
142.0,146.1,SPEAKER_10
148.5,150.3,SPEAKER_10
151.0,155.1,SPEAKER_10
156.1,162.0,SPEAKER_10
162.9,170.7,SPEAKER_10
170.9,172.6,SPEAKER_10
177.4,183.6,SPEAKER_10
189.3,192.7,SPEAKER_10
193.2,199.1,SPEAKER_10
199.4,202.0,SPEAKER_10
202.7,204.6,SPEAKER_10
205.2,208.3,SPEAKER_10
209.1,210.2,SPEAKER_10
212.6,213.0,SPEAKER_10
214.2,215.5,SPEAKER_10
215.9,217.5,SPEAKER_10
217.5,217.9,SPEAKER_06
218.4,220.5,SPEAKER_10
222.8,225.4,SPEAKER_10
225.4,225.9,SPEAKER_09
225.9,225.9,SPEAKER_10
226.0,226.0,SPEAKER_10
226.2,226.2,SPEAKER_09
226.2,227.4,SPEAKER_09
227.4,227.8,SPEAKER_06
227.8,227.9,SPEAKER_09
227.9,228.0,SPEAKER_06
228.0,228.0,SPEAKER_09
231.5,231.8,SPEAKER_06
232.0,232.9,SPEAKER_06
234.4,235.6,SPEAKER_06
237.3,237.6,SPEAKER_06
238.5,239.5,SPEAKER_06
248.4,249.4,SPEAKER_06
252.2,254.8,SPEAKER_11
256.4,257.3,SPEAKER_11
259.5,267.6,SPEAKER_11
270.4,271.8,SPEAKER_10
272.2,274.1,SPEAKER_10
274.1,278.1,SPEAKER_11
278.1,279.6,SPEAKER_10
280.3,282.1,SPEAKER_11
282.2,282.2,SPEAKER_06
282.7,283.0,SPEAKER_06
284.4,286.5,SPEAKER_06
301.5,301.6,SPEAKER_10
302.9,304.8,SPEAKER_10
305.3,305.7,SPEAKER_10
306.6,310.4,SPEAKER_10
310.6,311.5,SPEAKER_10
312.3,312.6,SPEAKER_10
313.7,314.9,SPEAKER_10
314.9,315.1,SPEAKER_11
318.1,320.3,SPEAKER_11
320.5,322.7,SPEAKER_11
322.9,326.5,SPEAKER_11
327.5,332.4,SPEAKER_11
332.5,335.2,SPEAKER_11
335.6,336.0,SPEAKER_11
336.0,337.7,SPEAKER_10
339.2,343.6,SPEAKER_11
344.5,347.4,SPEAKER_10
351.3,352.8,SPEAKER_11
365.7,366.0,SPEAKER_10
366.4,367.6,SPEAKER_10
374.4,376.3,SPEAKER_10
376.3,377.2,SPEAKER_04
377.5,378.2,SPEAKER_10
381.7,383.0,SPEAKER_10
383.1,384.9,SPEAKER_10
385.5,387.5,SPEAKER_11
387.6,389.3,SPEAKER_10
390.1,391.0,SPEAKER_10
391.4,392.4,SPEAKER_10
393.1,395.3,SPEAKER_10
396.4,397.6,SPEAKER_10
398.4,402.0,SPEAKER_10
402.9,406.6,SPEAKER_10
409.0,410.1,SPEAKER_10
410.3,416.3,SPEAKER_10
417.4,420.6,SPEAKER_10
422.7,424.7,SPEAKER_10
426.6,427.0,SPEAKER_10
434.1,437.0,SPEAKER_11
437.8,440.0,SPEAKER_10
441.2,444.7,SPEAKER_10
445.2,447.1,SPEAKER_10
450.9,452.3,SPEAKER_10
453.5,458.8,SPEAKER_10
459.5,462.5,SPEAKER_10
463.2,464.5,SPEAKER_10
465.3,469.3,SPEAKER_10
469.8,473.9,SPEAKER_10
474.1,475.5,SPEAKER_10
484.9,487.5,SPEAKER_08
494.0,494.2,SPEAKER_10
494.2,496.1,SPEAKER_09
498.4,499.3,SPEAKER_04
501.7,503.6,SPEAKER_04
509.4,511.4,SPEAKER_10
512.3,513.7,SPEAKER_04
518.4,521.9,SPEAKER_10
522.3,528.5,SPEAKER_10
529.1,529.7,SPEAKER_07
538.0,539.3,SPEAKER_10
539.4,541.9,SPEAKER_10
541.9,542.0,SPEAKER_10
542.4,543.8,SPEAKER_10
544.3,547.2,SPEAKER_10
547.8,550.7,SPEAKER_10
551.1,557.0,SPEAKER_10
562.0,563.1,SPEAKER_07
563.5,571.0,SPEAKER_07
571.3,573.9,SPEAKER_10
574.2,576.5,SPEAKER_04
576.7,576.7,SPEAKER_10
576.7,578.5,SPEAKER_08
578.7,578.8,SPEAKER_04
578.8,586.2,SPEAKER_07
586.4,587.2,SPEAKER_07
587.6,592.6,SPEAKER_04
592.6,596.4,SPEAKER_07
596.9,605.0,SPEAKER_11
605.0,605.0,SPEAKER_08
605.0,606.3,SPEAKER_10
607.3,609.4,SPEAKER_10
610.3,614.3,SPEAKER_07
614.9,616.6,SPEAKER_08
616.9,619.4,SPEAKER_08
619.2,619.2,SPEAKER_07
619.2,620.3,SPEAKER_10
619.4,619.4,SPEAKER_07
620.4,624.4,SPEAKER_08
624.4,629.9,SPEAKER_10
630.6,632.5,SPEAKER_10
633.4,635.1,SPEAKER_10
641.1,642.6,SPEAKER_10
643.1,647.1,SPEAKER_10
648.5,648.9,SPEAKER_10
650.0,652.1,SPEAKER_10
654.2,655.2,SPEAKER_10
656.5,658.3,SPEAKER_08
658.4,659.8,SPEAKER_08
660.1,661.5,SPEAKER_10
662.7,666.2,SPEAKER_08
666.6,668.6,SPEAKER_09
668.9,670.5,SPEAKER_08
670.8,672.1,SPEAKER_09
672.4,673.9,SPEAKER_08
674.0,675.2,SPEAKER_08
675.6,678.5,SPEAKER_09
682.5,685.3,SPEAKER_10
687.8,693.0,SPEAKER_09
693.2,695.0,SPEAKER_06
693.9,695.0,SPEAKER_09
700.3,708.7,SPEAKER_12
708.0,708.0,SPEAKER_06
709.8,710.8,SPEAKER_12
711.0,712.4,SPEAKER_12
716.8,717.0,SPEAKER_12
717.0,724.4,SPEAKER_11
725.2,727.5,SPEAKER_11
727.6,729.7,SPEAKER_05
729.7,730.5,SPEAKER_11
731.1,735.1,SPEAKER_11
735.2,742.5,SPEAKER_05
742.8,743.4,SPEAKER_11
743.4,744.0,SPEAKER_10
744.2,745.7,SPEAKER_10
747.1,751.7,SPEAKER_10
751.7,751.7,SPEAKER_12
762.2,762.5,SPEAKER_12
765.0,767.5,SPEAKER_12
767.7,768.2,SPEAKER_12
768.8,769.5,SPEAKER_12
769.5,769.6,SPEAKER_10
769.6,770.0,SPEAKER_12
770.0,771.1,SPEAKER_10
771.4,772.3,SPEAKER_10
772.8,778.5,SPEAKER_10
778.8,780.9,SPEAKER_10
783.0,783.6,SPEAKER_10
783.6,783.7,SPEAKER_09
784.3,785.0,SPEAKER_10
785.0,785.4,SPEAKER_09
785.7,785.7,SPEAKER_10
785.7,786.4,SPEAKER_09
786.7,786.7,SPEAKER_10
786.7,788.2,SPEAKER_09
788.3,789.0,SPEAKER_09
789.7,790.3,SPEAKER_12
790.2,790.6,SPEAKER_09
791.1,795.2,SPEAKER_09
795.2,795.2,SPEAKER_12
795.9,800.8,SPEAKER_12
801.3,803.4,SPEAKER_12
803.7,805.1,SPEAKER_12
806.3,808.8,SPEAKER_12
809.3,817.6,SPEAKER_10
817.6,821.1,SPEAKER_12
820.0,820.1,SPEAKER_10
820.3,820.9,SPEAKER_10
821.4,823.9,SPEAKER_12
823.9,823.9,SPEAKER_10
824.3,824.3,SPEAKER_10
824.3,824.4,SPEAKER_12
824.4,826.6,SPEAKER_10
827.0,829.0,SPEAKER_10
835.4,837.6,SPEAKER_05
841.2,843.6,SPEAKER_09
844.1,846.4,SPEAKER_05
847.0,849.8,SPEAKER_09
849.8,850.8,SPEAKER_09
851.1,851.9,SPEAKER_09
852.2,854.3,SPEAKER_09
854.9,855.9,SPEAKER_09
856.0,856.4,SPEAKER_05
857.0,859.6,SPEAKER_09
859.9,862.5,SPEAKER_09
863.2,863.7,SPEAKER_05
864.0,875.0,SPEAKER_09
875.0,875.5,SPEAKER_10
876.3,876.9,SPEAKER_05
878.6,880.6,SPEAKER_10
881.1,883.3,SPEAKER_10
889.7,891.2,SPEAKER_09
891.8,893.7,SPEAKER_09
894.0,896.6,SPEAKER_09
897.7,899.1,SPEAKER_05
899.8,903.8,SPEAKER_11
904.9,905.0,SPEAKER_11
905.0,906.8,SPEAKER_10
907.2,908.5,SPEAKER_05
909.3,911.2,SPEAKER_10
911.5,914.7,SPEAKER_10
915.1,927.0,SPEAKER_10
927.0,927.2,SPEAKER_11
927.2,927.2,SPEAKER_10
927.2,927.3,SPEAKER_11
927.3,927.3,SPEAKER_10
927.7,929.4,SPEAKER_11
931.3,931.4,SPEAKER_11
931.4,946.6,SPEAKER_10
943.9,944.0,SPEAKER_11
944.1,944.5,SPEAKER_11
944.5,944.6,SPEAKER_11
944.9,946.4,SPEAKER_11
948.7,948.7,SPEAKER_10
948.7,948.7,SPEAKER_09
948.7,955.4,SPEAKER_10
956.2,960.1,SPEAKER_10
960.3,975.0,SPEAKER_10
975.0,975.0,SPEAKER_09
975.0,975.9,SPEAKER_10
975.9,975.9,SPEAKER_09
976.8,976.8,SPEAKER_12
976.8,977.4,SPEAKER_10
977.4,977.4,SPEAKER_12
977.4,977.4,SPEAKER_10
977.4,977.4,SPEAKER_12
978.3,980.9,SPEAKER_12
981.1,981.4,SPEAKER_12
981.4,981.6,SPEAKER_10
981.6,983.1,SPEAKER_12
983.8,985.0,SPEAKER_10
985.3,988.1,SPEAKER_10
988.4,988.5,SPEAKER_10
988.5,988.7,SPEAKER_12
988.7,988.8,SPEAKER_10
988.8,989.2,SPEAKER_12
989.2,989.4,SPEAKER_11
989.4,989.4,SPEAKER_12
989.4,989.7,SPEAKER_10
989.7,989.8,SPEAKER_12
989.8,989.9,SPEAKER_10
989.9,990.2,SPEAKER_12
990.2,990.3,SPEAKER_10
990.3,990.4,SPEAKER_11
991.0,997.7,SPEAKER_05
999.4,1001.5,SPEAKER_10
1005.2,1006.3,SPEAKER_10
1006.7,1007.7,SPEAKER_10
1008.3,1009.8,SPEAKER_10
1010.2,1012.3,SPEAKER_10
1012.4,1017.5,SPEAKER_10
1017.9,1024.2,SPEAKER_10
1024.8,1027.5,SPEAKER_10
1027.6,1031.0,SPEAKER_10
1031.4,1033.2,SPEAKER_10
1037.5,1038.9,SPEAKER_10
1044.1,1047.3,SPEAKER_09
1048.1,1051.0,SPEAKER_07
1051.2,1052.3,SPEAKER_10
1062.8,1068.4,SPEAKER_06
1068.5,1068.5,SPEAKER_06
1068.5,1069.9,SPEAKER_09
1068.6,1068.9,SPEAKER_06
1070.3,1082.4,SPEAKER_09
1073.1,1073.2,SPEAKER_10
1073.2,1074.3,SPEAKER_06
1082.4,1083.1,SPEAKER_10
1083.1,1083.9,SPEAKER_08
1083.9,1084.1,SPEAKER_10
1084.1,1084.2,SPEAKER_06
1084.4,1086.2,SPEAKER_08
1086.2,1086.2,SPEAKER_10
1086.2,1093.2,SPEAKER_06
1092.4,1092.4,SPEAKER_08
1092.4,1098.4,SPEAKER_09
1099.6,1099.6,SPEAKER_06
1100.0,1100.5,SPEAKER_06
1100.5,1103.2,SPEAKER_06
1103.4,1104.2,SPEAKER_06
1110.5,1111.5,SPEAKER_10
1111.6,1112.9,SPEAKER_10
1113.7,1114.3,SPEAKER_10
1114.8,1115.7,SPEAKER_10
1116.0,1118.2,SPEAKER_10
1119.2,1120.1,SPEAKER_10
1121.5,1126.8,SPEAKER_10
1131.0,1134.6,SPEAKER_10
1135.4,1147.3,SPEAKER_10
1144.6,1144.8,SPEAKER_09
1148.2,1148.8,SPEAKER_10
1149.0,1161.3,SPEAKER_10
1161.7,1166.2,SPEAKER_10
1166.3,1170.6,SPEAKER_10
1171.9,1173.5,SPEAKER_10
1174.6,1175.9,SPEAKER_10
1176.9,1180.9,SPEAKER_10
1183.7,1184.0,SPEAKER_10
1184.0,1184.6,SPEAKER_08
1185.0,1185.7,SPEAKER_08
1185.8,1191.5,SPEAKER_08
1192.2,1195.4,SPEAKER_10
1195.9,1198.1,SPEAKER_10
1198.1,1199.3,SPEAKER_04
1201.2,1202.7,SPEAKER_04
1203.1,1204.2,SPEAKER_10
1205.1,1208.8,SPEAKER_08
1206.9,1207.3,SPEAKER_10
1210.3,1214.9,SPEAKER_07
1215.0,1218.3,SPEAKER_04
1218.0,1218.2,SPEAKER_08
1218.3,1222.0,SPEAKER_08
1225.9,1227.6,SPEAKER_10
1227.6,1227.8,SPEAKER_08
1227.8,1228.0,SPEAKER_10
1228.0,1229.5,SPEAKER_08
1230.0,1236.4,SPEAKER_08
1236.4,1238.1,SPEAKER_04
1238.5,1240.8,SPEAKER_07
1240.9,1241.0,SPEAKER_07
1241.0,1242.0,SPEAKER_10
1242.0,1242.0,SPEAKER_07
1242.0,1242.5,SPEAKER_10
1243.5,1244.9,SPEAKER_10
1245.3,1249.9,SPEAKER_04
1250.3,1252.5,SPEAKER_10
1256.0,1256.9,SPEAKER_10
1256.9,1258.3,SPEAKER_07
1258.3,1258.4,SPEAKER_04
1258.4,1261.4,SPEAKER_04
1261.5,1263.9,SPEAKER_07
1264.2,1265.0,SPEAKER_08
1267.2,1268.2,SPEAKER_08
1267.3,1268.1,SPEAKER_09
1269.0,1271.4,SPEAKER_08
1271.9,1271.9,SPEAKER_09
1271.9,1278.1,SPEAKER_10
1278.4,1278.8,SPEAKER_10
1278.9,1281.3,SPEAKER_10
1281.9,1297.2,SPEAKER_10
1297.2,1297.3,SPEAKER_07
1297.5,1300.8,SPEAKER_04
1300.8,1300.9,SPEAKER_04
1300.9,1308.6,SPEAKER_08
1310.1,1320.7,SPEAKER_00
1326.0,1326.0,SPEAKER_00
1326.0,1331.6,SPEAKER_02
1332.9,1339.4,SPEAKER_02
1340.6,1348.2,SPEAKER_02
1348.2,1350.8,SPEAKER_03
1351.5,1354.6,SPEAKER_03
1355.3,1359.8,SPEAKER_02
1362.4,1366.9,SPEAKER_02
1367.5,1368.1,SPEAKER_03
1370.0,1378.0,SPEAKER_02
1378.0,1380.1,SPEAKER_03
1380.8,1380.8,SPEAKER_02
1380.8,1383.7,SPEAKER_03
