start,stop,speaker
12.8,25.6,SPEAKER_08
26.7,28.3,SPEAKER_08
29.7,42.6,SPEAKER_08
44.1,46.1,SPEAKER_08
46.7,52.0,SPEAKER_08
52.6,54.3,SPEAKER_08
55.6,57.2,SPEAKER_08
59.2,59.2,SPEAKER_08
59.2,68.3,SPEAKER_01
70.8,73.5,SPEAKER_01
73.7,79.9,SPEAKER_01
83.1,83.4,SPEAKER_01
83.8,83.9,SPEAKER_01
84.0,84.7,SPEAKER_01
85.7,91.5,SPEAKER_01
122.4,127.1,SPEAKER_06
129.3,136.2,SPEAKER_06
138.5,139.2,SPEAKER_06
139.2,139.2,SPEAKER_09
141.5,143.1,SPEAKER_05
143.7,146.4,SPEAKER_09
147.2,149.1,SPEAKER_05
149.1,150.0,SPEAKER_09
150.4,150.5,SPEAKER_09
150.5,151.2,SPEAKER_05
151.2,151.2,SPEAKER_09
151.2,152.1,SPEAKER_05
152.4,154.4,SPEAKER_09
153.5,153.6,SPEAKER_05
154.4,154.8,SPEAKER_05
154.8,158.9,SPEAKER_09
159.1,159.9,SPEAKER_05
160.4,162.2,SPEAKER_09
162.9,163.8,SPEAKER_05
164.5,165.3,SPEAKER_05
166.0,166.4,SPEAKER_09
166.8,168.5,SPEAKER_05
169.5,170.7,SPEAKER_09
171.0,175.1,SPEAKER_09
176.5,181.3,SPEAKER_09
182.2,184.9,SPEAKER_05
185.7,191.0,SPEAKER_09
194.0,196.0,SPEAKER_13
196.0,196.5,SPEAKER_05
196.6,207.4,SPEAKER_05
207.6,211.2,SPEAKER_02
212.9,215.1,SPEAKER_02
224.2,224.5,SPEAKER_02
224.7,227.5,SPEAKER_02
230.7,230.9,SPEAKER_02
233.3,233.4,SPEAKER_02
236.7,237.0,SPEAKER_10
237.0,237.0,SPEAKER_02
237.0,237.1,SPEAKER_10
237.1,237.1,SPEAKER_02
237.6,241.0,SPEAKER_02
241.6,242.8,SPEAKER_02
244.5,244.8,SPEAKER_10
244.8,245.7,SPEAKER_02
244.8,245.2,SPEAKER_10
246.0,246.0,SPEAKER_02
246.1,246.2,SPEAKER_02
246.2,246.3,SPEAKER_10
246.3,248.2,SPEAKER_02
249.5,250.6,SPEAKER_02
250.9,251.4,SPEAKER_02
251.5,251.9,SPEAKER_02
256.0,259.6,SPEAKER_02
259.8,262.8,SPEAKER_02
265.4,266.7,SPEAKER_03
266.8,268.3,SPEAKER_03
269.5,273.8,SPEAKER_03
273.9,283.5,SPEAKER_03
285.2,287.4,SPEAKER_09
288.5,292.0,SPEAKER_02
292.0,292.2,SPEAKER_09
294.2,294.8,SPEAKER_09
295.0,297.8,SPEAKER_09
298.4,303.3,SPEAKER_04
302.4,303.2,SPEAKER_09
303.5,306.1,SPEAKER_04
307.5,310.2,SPEAKER_09
313.4,320.3,SPEAKER_04
320.3,320.3,SPEAKER_02
320.9,341.7,SPEAKER_09
321.4,322.1,SPEAKER_02
329.7,330.1,SPEAKER_00
342.0,344.3,SPEAKER_04
344.9,347.0,SPEAKER_04
347.0,347.3,SPEAKER_13
347.8,348.8,SPEAKER_09
349.5,349.6,SPEAKER_04
349.6,355.3,SPEAKER_09
355.7,356.3,SPEAKER_09
356.3,359.8,SPEAKER_02
361.2,362.5,SPEAKER_09
363.3,363.3,SPEAKER_02
363.3,363.5,SPEAKER_09
363.5,363.9,SPEAKER_02
364.4,365.4,SPEAKER_02
365.4,368.8,SPEAKER_09
368.8,370.4,SPEAKER_13
