start,stop,speaker
12.8,25.7,SPEAKER_04
26.7,28.3,SPEAKER_04
29.6,42.6,SPEAKER_04
44.1,46.0,SPEAKER_04
46.0,46.0,SPEAKER_05
46.7,54.3,SPEAKER_05
55.6,57.2,SPEAKER_05
59.2,62.3,SPEAKER_00
62.4,68.2,SPEAKER_00
70.7,73.4,SPEAKER_00
73.7,79.8,SPEAKER_00
83.0,83.4,SPEAKER_00
83.4,83.5,SPEAKER_00
83.6,84.9,SPEAKER_00
85.2,91.5,SPEAKER_00
102.3,103.5,SPEAKER_01
104.0,106.9,SPEAKER_01
109.0,111.4,SPEAKER_01
111.6,113.6,SPEAKER_01
114.2,117.0,SPEAKER_03
117.0,118.5,SPEAKER_09
118.8,123.2,SPEAKER_03
123.7,125.6,SPEAKER_09
126.1,129.6,SPEAKER_03
130.1,132.0,SPEAKER_09
132.4,133.7,SPEAKER_09
134.0,139.0,SPEAKER_09
140.4,142.7,SPEAKER_03
155.8,158.6,SPEAKER_13
161.5,163.7,SPEAKER_02
168.7,171.2,SPEAKER_11
169.4,169.8,SPEAKER_06
170.0,170.8,SPEAKER_06
183.2,183.2,SPEAKER_06
183.2,183.3,SPEAKER_03
183.3,183.3,SPEAKER_06
188.1,190.1,SPEAKER_03
190.4,192.5,SPEAKER_02
193.2,194.6,SPEAKER_02
212.0,212.0,SPEAKER_06
219.0,219.8,SPEAKER_03
227.3,228.2,SPEAKER_03
230.1,232.4,SPEAKER_03
234.2,235.5,SPEAKER_03
237.7,238.7,SPEAKER_06
289.6,290.0,SPEAKER_06
290.0,290.7,SPEAKER_03
292.8,294.0,SPEAKER_03
294.0,294.3,SPEAKER_02
294.3,294.4,SPEAKER_02
294.4,294.6,SPEAKER_03
294.6,298.7,SPEAKER_02
299.4,299.4,SPEAKER_02
299.4,299.4,SPEAKER_03
299.4,299.5,SPEAKER_02
299.5,299.5,SPEAKER_03
299.5,299.6,SPEAKER_02
299.6,299.6,SPEAKER_03
299.6,299.7,SPEAKER_02
299.7,300.0,SPEAKER_03
300.0,300.6,SPEAKER_02
301.0,303.3,SPEAKER_02
303.7,306.7,SPEAKER_03
307.0,310.7,SPEAKER_02
312.7,318.4,SPEAKER_02
314.1,314.8,SPEAKER_03
319.2,320.4,SPEAKER_03
321.0,323.4,SPEAKER_02
326.3,326.5,SPEAKER_02
329.0,330.8,SPEAKER_02
331.1,333.0,SPEAKER_02
332.8,337.0,SPEAKER_06
337.1,337.2,SPEAKER_02
337.2,338.3,SPEAKER_06
340.5,341.0,SPEAKER_06
341.3,342.0,SPEAKER_06
342.0,342.1,SPEAKER_06
342.1,342.1,SPEAKER_13
345.2,346.2,SPEAKER_03
348.2,349.6,SPEAKER_13
349.5,350.7,SPEAKER_03
350.7,350.7,SPEAKER_14
353.6,354.7,SPEAKER_14
355.1,361.4,SPEAKER_14
361.8,364.8,SPEAKER_14
365.2,371.7,SPEAKER_14
372.8,375.1,SPEAKER_14
375.4,386.8,SPEAKER_14
387.4,390.5,SPEAKER_13
390.8,390.8,SPEAKER_03
390.8,392.6,SPEAKER_02
392.9,395.6,SPEAKER_02
396.1,399.5,SPEAKER_02
399.5,400.7,SPEAKER_14
403.4,407.8,SPEAKER_14
430.0,433.6,SPEAKER_13
433.6,433.7,SPEAKER_13
433.7,436.4,SPEAKER_14
436.4,438.9,SPEAKER_13
439.6,442.7,SPEAKER_13
443.0,443.3,SPEAKER_02
443.5,443.9,SPEAKER_02
444.7,449.1,SPEAKER_02
449.7,459.5,SPEAKER_14
460.0,461.6,SPEAKER_02
462.3,463.0,SPEAKER_14
463.0,464.6,SPEAKER_13
464.6,472.1,SPEAKER_02
474.6,475.8,SPEAKER_02
476.3,478.5,SPEAKER_02
479.6,482.6,SPEAKER_14
482.6,485.1,SPEAKER_13
485.1,490.6,SPEAKER_02
495.9,498.0,SPEAKER_14
498.0,499.3,SPEAKER_13
499.3,499.4,SPEAKER_14
499.7,506.8,SPEAKER_13
506.9,507.8,SPEAKER_06
519.1,521.9,SPEAKER_02
522.1,523.7,SPEAKER_02
524.2,525.9,SPEAKER_02
526.5,529.4,SPEAKER_03
529.8,532.0,SPEAKER_02
538.2,542.7,SPEAKER_11
542.7,546.8,SPEAKER_02
548.0,551.5,SPEAKER_11
551.9,553.8,SPEAKER_03
554.3,555.1,SPEAKER_11
555.8,555.8,SPEAKER_02
555.8,556.0,SPEAKER_03
556.0,561.1,SPEAKER_02
561.1,561.1,SPEAKER_11
561.1,564.5,SPEAKER_11
565.0,568.9,SPEAKER_02
570.8,571.9,SPEAKER_11
572.1,576.6,SPEAKER_02
578.7,579.6,SPEAKER_11
580.7,583.5,SPEAKER_11
588.6,590.3,SPEAKER_03
592.0,593.3,SPEAKER_03
603.6,605.6,SPEAKER_02
614.7,615.4,SPEAKER_06
617.1,620.0,SPEAKER_06
620.1,620.2,SPEAKER_06
620.2,620.8,SPEAKER_13
620.5,620.7,SPEAKER_06
620.8,620.9,SPEAKER_06
621.8,624.2,SPEAKER_13
625.5,628.1,SPEAKER_11
628.3,629.6,SPEAKER_13
640.2,641.2,SPEAKER_13
642.1,642.9,SPEAKER_11
643.2,644.9,SPEAKER_11
654.3,655.0,SPEAKER_02
656.0,657.3,SPEAKER_02
658.4,659.9,SPEAKER_02
660.7,662.5,SPEAKER_03
663.0,665.0,SPEAKER_03
665.0,666.0,SPEAKER_02
666.0,666.0,SPEAKER_03
666.0,666.1,SPEAKER_02
666.1,666.1,SPEAKER_03
666.4,666.5,SPEAKER_03
666.5,667.2,SPEAKER_02
668.8,670.0,SPEAKER_02
670.4,673.3,SPEAKER_02
673.8,676.1,SPEAKER_03
675.7,677.6,SPEAKER_02
679.1,680.8,SPEAKER_03
680.8,683.0,SPEAKER_02
683.7,693.0,SPEAKER_02
693.3,694.4,SPEAKER_02
698.9,699.2,SPEAKER_02
699.4,701.1,SPEAKER_02
755.7,756.9,SPEAKER_03
759.2,759.4,SPEAKER_03
759.4,759.6,SPEAKER_06
759.6,759.7,SPEAKER_03
765.2,766.1,SPEAKER_03
766.7,768.1,SPEAKER_03
769.5,770.6,SPEAKER_03
774.2,777.5,SPEAKER_03
780.0,780.0,SPEAKER_06
780.0,780.1,SPEAKER_03
786.1,791.0,SPEAKER_03
794.2,795.1,SPEAKER_03
800.5,803.5,SPEAKER_13
803.7,807.0,SPEAKER_03
807.0,807.8,SPEAKER_11
808.2,809.5,SPEAKER_13
809.5,811.2,SPEAKER_03
813.4,815.9,SPEAKER_11
816.4,819.0,SPEAKER_13
819.0,819.5,SPEAKER_09
823.3,825.3,SPEAKER_09
833.4,834.1,SPEAKER_09
834.5,835.6,SPEAKER_03
840.1,841.3,SPEAKER_09
841.9,848.7,SPEAKER_03
848.7,849.9,SPEAKER_09
850.4,852.5,SPEAKER_03
858.5,859.6,SPEAKER_09
862.7,864.3,SPEAKER_03
864.4,866.1,SPEAKER_09
866.4,869.6,SPEAKER_03
869.6,870.5,SPEAKER_09
870.7,871.4,SPEAKER_03
871.7,875.2,SPEAKER_09
875.3,877.8,SPEAKER_03
878.1,882.0,SPEAKER_09
891.1,895.6,SPEAKER_02
897.6,898.5,SPEAKER_02
902.8,904.0,SPEAKER_02
904.0,904.1,SPEAKER_11
904.8,905.0,SPEAKER_11
905.0,905.6,SPEAKER_13
905.6,905.9,SPEAKER_11
905.9,906.0,SPEAKER_13
906.0,906.2,SPEAKER_11
909.9,911.1,SPEAKER_11
911.8,913.1,SPEAKER_13
913.1,913.9,SPEAKER_11
914.1,917.1,SPEAKER_13
917.3,918.6,SPEAKER_11
919.1,923.8,SPEAKER_13
924.2,924.5,SPEAKER_13
925.2,925.9,SPEAKER_13
926.2,927.4,SPEAKER_11
927.7,928.8,SPEAKER_13
929.6,930.6,SPEAKER_13
948.2,949.7,SPEAKER_13
952.5,953.0,SPEAKER_13
953.5,953.8,SPEAKER_13
954.1,954.3,SPEAKER_13
955.7,956.3,SPEAKER_03
957.9,959.2,SPEAKER_03
959.6,961.5,SPEAKER_13
962.7,963.5,SPEAKER_03
963.7,963.9,SPEAKER_03
964.0,965.2,SPEAKER_13
965.5,966.3,SPEAKER_03
966.8,967.0,SPEAKER_03
967.0,969.9,SPEAKER_13
967.0,967.1,SPEAKER_03
970.3,972.2,SPEAKER_03
972.7,973.7,SPEAKER_13
974.1,976.1,SPEAKER_03
976.2,978.8,SPEAKER_13
981.1,983.8,SPEAKER_13
983.5,984.0,SPEAKER_03
986.4,987.9,SPEAKER_03
988.3,992.8,SPEAKER_09
993.0,994.3,SPEAKER_03
994.8,997.2,SPEAKER_09
998.2,998.4,SPEAKER_09
998.4,998.9,SPEAKER_13
998.9,999.0,SPEAKER_09
999.0,999.2,SPEAKER_13
999.2,999.2,SPEAKER_09
999.2,999.6,SPEAKER_13
999.6,999.7,SPEAKER_07
999.7,999.7,SPEAKER_13
1000.2,1000.3,SPEAKER_09
1000.3,1000.3,SPEAKER_13
1000.3,1001.7,SPEAKER_09
1001.7,1001.8,SPEAKER_13
1001.8,1001.8,SPEAKER_09
1002.0,1002.0,SPEAKER_09
1002.0,1004.4,SPEAKER_13
1004.4,1004.7,SPEAKER_10
1004.7,1004.8,SPEAKER_13
1004.8,1005.5,SPEAKER_10
1004.8,1012.1,SPEAKER_07
1005.5,1005.6,SPEAKER_13
1005.6,1005.7,SPEAKER_10
1012.3,1013.0,SPEAKER_07
1013.0,1013.8,SPEAKER_10
1013.8,1014.0,SPEAKER_07
1014.0,1024.2,SPEAKER_10
1021.4,1022.3,SPEAKER_00
1022.4,1022.5,SPEAKER_00
1022.5,1022.6,SPEAKER_00
1025.5,1029.3,SPEAKER_10
1029.6,1029.9,SPEAKER_10
1030.4,1030.5,SPEAKER_10
1030.5,1030.9,SPEAKER_13
1032.2,1032.5,SPEAKER_13
1032.9,1036.3,SPEAKER_13
1036.8,1038.5,SPEAKER_02
1038.9,1039.7,SPEAKER_13
1039.7,1039.8,SPEAKER_12
1039.8,1039.9,SPEAKER_13
1039.9,1039.9,SPEAKER_12
1041.2,1041.9,SPEAKER_12
1042.5,1042.8,SPEAKER_12
1043.2,1044.3,SPEAKER_12
1044.8,1046.7,SPEAKER_12
1047.4,1048.2,SPEAKER_12
1048.6,1049.5,SPEAKER_12
1051.0,1052.8,SPEAKER_12
1053.0,1054.8,SPEAKER_12
1072.9,1074.4,SPEAKER_13
1074.4,1077.5,SPEAKER_03
1077.6,1081.3,SPEAKER_13
1081.5,1082.6,SPEAKER_02
1083.2,1088.2,SPEAKER_02
1089.4,1090.5,SPEAKER_03
1091.1,1092.1,SPEAKER_03
1092.1,1092.1,SPEAKER_03
1092.2,1094.9,SPEAKER_03
1095.4,1096.0,SPEAKER_03
1096.3,1097.5,SPEAKER_03
1109.0,1109.0,SPEAKER_11
1109.0,1109.0,SPEAKER_03
1109.0,1110.8,SPEAKER_11
1111.3,1112.5,SPEAKER_11
1113.1,1114.9,SPEAKER_11
1115.2,1125.7,SPEAKER_11
1128.9,1129.0,SPEAKER_11
1129.0,1129.5,SPEAKER_14
1129.8,1129.8,SPEAKER_11
1129.8,1135.3,SPEAKER_14
1135.5,1135.9,SPEAKER_14
1136.4,1137.3,SPEAKER_14
1137.3,1152.3,SPEAKER_14
1153.7,1156.4,SPEAKER_14
1157.7,1158.6,SPEAKER_14
1159.6,1161.0,SPEAKER_14
1161.9,1162.2,SPEAKER_14
1162.4,1166.7,SPEAKER_14
1167.2,1167.5,SPEAKER_14
1167.8,1170.1,SPEAKER_14
1170.7,1171.1,SPEAKER_14
1182.0,1183.4,SPEAKER_02
1184.1,1185.4,SPEAKER_02
1185.7,1188.0,SPEAKER_02
1188.4,1189.9,SPEAKER_03
1190.1,1191.1,SPEAKER_03
1191.1,1196.2,SPEAKER_02
1199.0,1204.4,SPEAKER_14
1204.9,1205.0,SPEAKER_14
1205.0,1205.9,SPEAKER_06
1206.2,1207.4,SPEAKER_14
1211.4,1211.4,SPEAKER_06
1211.4,1211.9,SPEAKER_08
1218.0,1218.0,SPEAKER_03
1219.6,1225.0,SPEAKER_14
1225.0,1226.1,SPEAKER_09
1227.5,1233.2,SPEAKER_09
1233.9,1235.7,SPEAKER_09
1235.7,1235.8,SPEAKER_14
1236.1,1243.1,SPEAKER_14
1243.6,1243.7,SPEAKER_14
1243.7,1245.9,SPEAKER_03
1246.3,1246.9,SPEAKER_06
1249.4,1250.1,SPEAKER_06
1263.9,1267.5,SPEAKER_14
1284.6,1286.9,SPEAKER_03
1287.5,1289.2,SPEAKER_14
1295.9,1297.7,SPEAKER_13
1307.7,1310.4,SPEAKER_13
1311.9,1316.7,SPEAKER_01
1317.3,1318.5,SPEAKER_01
1318.9,1319.8,SPEAKER_01
1320.5,1325.0,SPEAKER_01
1328.9,1334.6,SPEAKER_04
1335.9,1342.2,SPEAKER_04
1343.5,1351.2,SPEAKER_04
1351.2,1353.7,SPEAKER_08
1354.5,1357.5,SPEAKER_08
1358.2,1362.3,SPEAKER_04
1365.4,1369.3,SPEAKER_04
1373.0,1377.0,SPEAKER_04
1377.0,1377.1,SPEAKER_04
1377.1,1383.1,SPEAKER_04
1383.7,1384.0,SPEAKER_04
1384.0,1384.6,SPEAKER_08
1384.6,1384.9,SPEAKER_04
1384.9,1386.0,SPEAKER_08
