start,stop,speaker
12.9,25.6,SPEAKER_15
26.8,28.3,SPEAKER_15
29.7,42.6,SPEAKER_15
42.6,42.6,SPEAKER_14
44.1,46.1,SPEAKER_14
47.0,49.0,SPEAKER_14
49.8,52.0,SPEAKER_14
52.7,54.3,SPEAKER_14
55.6,57.2,SPEAKER_14
59.2,59.3,SPEAKER_14
59.3,62.0,SPEAKER_01
62.6,68.3,SPEAKER_01
70.8,73.3,SPEAKER_01
73.7,77.0,SPEAKER_01
77.1,79.8,SPEAKER_01
83.1,83.3,SPEAKER_01
84.6,84.7,SPEAKER_01
85.5,85.5,SPEAKER_01
85.6,91.4,SPEAKER_01
97.8,104.8,SPEAKER_00
105.5,106.5,SPEAKER_00
106.9,113.1,SPEAKER_00
113.8,114.9,SPEAKER_00
127.0,128.3,SPEAKER_02
133.2,140.4,SPEAKER_02
140.7,143.3,SPEAKER_09
146.4,146.5,SPEAKER_02
146.5,147.0,SPEAKER_05
147.0,147.0,SPEAKER_08
147.0,147.6,SPEAKER_05
147.6,147.6,SPEAKER_02
147.6,147.8,SPEAKER_05
147.8,147.8,SPEAKER_02
147.8,147.8,SPEAKER_05
147.8,148.0,SPEAKER_02
148.0,148.0,SPEAKER_08
148.0,149.8,SPEAKER_02
150.2,151.9,SPEAKER_02
152.7,154.0,SPEAKER_08
163.4,165.0,SPEAKER_07
165.8,165.9,SPEAKER_07
166.3,166.7,SPEAKER_08
166.8,166.9,SPEAKER_08
166.9,167.0,SPEAKER_07
167.0,167.2,SPEAKER_08
169.3,170.2,SPEAKER_02
170.2,174.8,SPEAKER_08
175.3,175.8,SPEAKER_08
178.0,179.3,SPEAKER_08
179.3,179.3,SPEAKER_13
179.4,179.5,SPEAKER_13
179.5,180.0,SPEAKER_08
180.0,180.0,SPEAKER_13
180.0,181.0,SPEAKER_08
181.0,183.9,SPEAKER_13
185.1,185.7,SPEAKER_13
200.2,203.6,SPEAKER_07
204.0,205.1,SPEAKER_05
205.5,207.0,SPEAKER_05
207.6,212.1,SPEAKER_07
215.9,219.0,SPEAKER_13
219.5,221.9,SPEAKER_02
229.2,229.7,SPEAKER_13
247.7,249.8,SPEAKER_13
256.0,257.4,SPEAKER_09
257.4,260.9,SPEAKER_07
261.3,262.3,SPEAKER_07
265.0,269.8,SPEAKER_11
269.9,273.9,SPEAKER_02
275.0,275.0,SPEAKER_02
275.0,277.4,SPEAKER_11
278.3,281.3,SPEAKER_11
282.1,285.0,SPEAKER_11
285.0,293.8,SPEAKER_05
293.9,299.0,SPEAKER_05
299.0,300.8,SPEAKER_02
301.3,304.2,SPEAKER_02
