start,stop,speaker
12.8,25.6,SPEAKER_08
21.5,21.5,SPEAKER_07
26.7,28.3,SPEAKER_08
29.7,42.6,SPEAKER_08
42.6,42.6,SPEAKER_06
44.1,46.1,SPEAKER_06
46.8,54.4,SPEAKER_06
55.6,57.2,SPEAKER_06
59.2,62.0,SPEAKER_01
62.1,62.2,SPEAKER_01
62.5,68.3,SPEAKER_01
70.7,79.8,SPEAKER_01
83.2,83.3,SPEAKER_01
85.6,90.4,SPEAKER_01
102.1,102.8,SPEAKER_00
103.8,104.9,SPEAKER_00
105.7,106.8,SPEAKER_00
108.3,117.9,SPEAKER_17
118.5,118.9,SPEAKER_11
118.9,119.5,SPEAKER_04
120.9,122.4,SPEAKER_11
122.6,122.7,SPEAKER_11
122.7,122.7,SPEAKER_04
122.7,123.0,SPEAKER_03
123.0,124.3,SPEAKER_04
126.3,128.2,SPEAKER_11
130.2,135.8,SPEAKER_17
138.0,141.2,SPEAKER_10
143.9,144.7,SPEAKER_05
145.1,146.8,SPEAKER_05
148.7,149.0,SPEAKER_05
150.9,153.0,SPEAKER_10
153.8,155.7,SPEAKER_03
155.7,157.8,SPEAKER_20
158.1,162.0,SPEAKER_20
163.1,163.2,SPEAKER_20
163.2,163.3,SPEAKER_10
163.3,163.4,SPEAKER_20
163.4,165.3,SPEAKER_10
173.4,174.2,SPEAKER_10
175.5,177.5,SPEAKER_20
179.2,183.5,SPEAKER_12
183.8,186.4,SPEAKER_20
186.6,188.9,SPEAKER_10
189.3,190.0,SPEAKER_20
190.0,190.7,SPEAKER_03
190.9,191.6,SPEAKER_10
193.0,195.1,SPEAKER_10
195.1,197.6,SPEAKER_03
197.8,200.6,SPEAKER_10
200.7,203.8,SPEAKER_03
204.3,207.4,SPEAKER_03
207.6,209.7,SPEAKER_10
210.4,213.4,SPEAKER_03
213.6,218.9,SPEAKER_10
218.9,219.0,SPEAKER_20
219.0,223.6,SPEAKER_03
224.3,227.8,SPEAKER_03
227.9,237.4,SPEAKER_10
