start,stop,speaker
12.8,25.7,SPEAKER_13
26.7,28.3,SPEAKER_13
29.7,42.6,SPEAKER_13
44.1,44.1,SPEAKER_13
44.1,46.1,SPEAKER_14
46.9,49.0,SPEAKER_14
49.7,52.0,SPEAKER_14
52.6,54.3,SPEAKER_14
55.7,57.2,SPEAKER_14
59.2,59.3,SPEAKER_14
59.3,62.1,SPEAKER_01
62.1,62.2,SPEAKER_01
62.5,68.2,SPEAKER_01
70.8,73.3,SPEAKER_01
73.7,79.9,SPEAKER_01
82.4,82.7,SPEAKER_01
83.1,83.5,SPEAKER_01
83.5,83.6,SPEAKER_01
83.7,85.0,SPEAKER_01
85.2,91.3,SPEAKER_01
93.5,101.1,SPEAKER_00
101.7,107.7,SPEAKER_00
108.0,110.4,SPEAKER_00
111.7,112.8,SPEAKER_05
118.1,119.0,SPEAKER_05
119.5,123.2,SPEAKER_05
123.4,129.1,SPEAKER_05
130.6,137.3,SPEAKER_05
137.8,142.0,SPEAKER_04
142.0,144.1,SPEAKER_05
144.9,147.0,SPEAKER_05
158.6,165.0,SPEAKER_12
164.0,164.7,SPEAKER_09
165.3,166.4,SPEAKER_12
170.6,172.0,SPEAKER_10
177.7,179.8,SPEAKER_11
180.0,180.0,SPEAKER_02
180.0,180.0,SPEAKER_12
180.0,180.1,SPEAKER_02
180.1,187.0,SPEAKER_12
190.2,192.4,SPEAKER_06
192.9,198.9,SPEAKER_12
199.0,205.5,SPEAKER_11
206.0,207.7,SPEAKER_02
208.0,208.0,SPEAKER_02
208.1,208.9,SPEAKER_02
209.2,210.5,SPEAKER_02
210.6,211.9,SPEAKER_06
220.8,221.1,SPEAKER_05
221.7,224.4,SPEAKER_05
253.5,255.7,SPEAKER_11
256.1,257.5,SPEAKER_06
258.2,259.2,SPEAKER_06
259.9,261.0,SPEAKER_06
261.0,262.5,SPEAKER_11
265.0,265.0,SPEAKER_11
265.0,265.7,SPEAKER_06
267.9,268.6,SPEAKER_04
270.8,270.8,SPEAKER_04
270.8,271.9,SPEAKER_09
271.9,272.0,SPEAKER_04
279.6,282.7,SPEAKER_11
289.6,291.0,SPEAKER_09
292.0,292.2,SPEAKER_12
292.8,294.5,SPEAKER_03
294.9,295.9,SPEAKER_12
296.1,297.6,SPEAKER_03
299.8,300.0,SPEAKER_12
300.2,300.2,SPEAKER_12
302.5,303.0,SPEAKER_10
303.3,303.4,SPEAKER_10
306.6,318.0,SPEAKER_10
318.2,320.7,SPEAKER_10
321.8,322.3,SPEAKER_10
325.1,326.5,SPEAKER_10
326.5,326.5,SPEAKER_02
330.3,334.7,SPEAKER_02
335.1,337.3,SPEAKER_05
337.7,339.7,SPEAKER_05
341.7,345.2,SPEAKER_02
345.2,345.3,SPEAKER_12
345.3,345.3,SPEAKER_11
345.3,345.4,SPEAKER_12
345.4,345.9,SPEAKER_11
345.9,346.0,SPEAKER_12
346.0,346.0,SPEAKER_11
350.3,353.1,SPEAKER_05
353.0,356.0,SPEAKER_11
356.0,357.0,SPEAKER_05
363.7,365.4,SPEAKER_09
365.6,365.6,SPEAKER_02
365.6,365.6,SPEAKER_09
365.6,366.3,SPEAKER_14
366.3,366.3,SPEAKER_02
371.5,373.9,SPEAKER_02
383.1,387.0,SPEAKER_02
388.1,389.2,SPEAKER_02
389.6,389.7,SPEAKER_09
389.7,397.0,SPEAKER_02
397.0,399.3,SPEAKER_08
399.7,399.9,SPEAKER_02
399.9,400.0,SPEAKER_08
400.0,400.2,SPEAKER_02
401.6,404.2,SPEAKER_02
410.8,412.3,SPEAKER_06
413.4,419.3,SPEAKER_10
419.7,420.0,SPEAKER_10
419.9,422.2,SPEAKER_08
422.9,423.4,SPEAKER_08
426.3,426.7,SPEAKER_12
427.4,428.6,SPEAKER_12
429.2,430.3,SPEAKER_12
431.2,432.2,SPEAKER_12
438.4,441.4,SPEAKER_02
442.6,443.1,SPEAKER_09
446.1,447.4,SPEAKER_02
447.3,451.4,SPEAKER_06
451.8,453.8,SPEAKER_02
453.7,455.9,SPEAKER_06
456.2,460.4,SPEAKER_02
460.9,463.5,SPEAKER_08
463.8,469.8,SPEAKER_08
470.1,473.7,SPEAKER_06
474.3,477.5,SPEAKER_08
496.3,498.4,SPEAKER_09
509.9,515.4,SPEAKER_02
518.1,521.1,SPEAKER_02
521.4,522.1,SPEAKER_02
539.3,542.7,SPEAKER_06
543.9,550.7,SPEAKER_06
551.6,552.4,SPEAKER_08
561.0,561.7,SPEAKER_06
562.8,563.9,SPEAKER_08
564.2,565.6,SPEAKER_06
566.2,566.7,SPEAKER_08
567.2,568.6,SPEAKER_08
570.0,571.5,SPEAKER_06
573.7,575.3,SPEAKER_06
576.1,577.4,SPEAKER_08
578.1,580.3,SPEAKER_06
581.6,582.9,SPEAKER_06
583.8,584.2,SPEAKER_08
585.1,586.6,SPEAKER_06
586.7,588.0,SPEAKER_08
589.6,592.3,SPEAKER_08
593.1,598.2,SPEAKER_06
598.5,601.1,SPEAKER_08
601.3,603.5,SPEAKER_08
609.7,612.3,SPEAKER_06
617.5,619.8,SPEAKER_02
621.4,625.7,SPEAKER_02
625.9,632.2,SPEAKER_06
633.7,636.3,SPEAKER_11
636.3,637.0,SPEAKER_06
637.4,643.3,SPEAKER_06
643.3,643.3,SPEAKER_11
643.7,648.0,SPEAKER_11
649.2,654.4,SPEAKER_02
654.7,654.7,SPEAKER_06
654.7,658.8,SPEAKER_05
659.2,661.6,SPEAKER_05
669.1,669.5,SPEAKER_08
669.9,670.9,SPEAKER_08
671.2,673.3,SPEAKER_08
674.0,676.2,SPEAKER_06
677.5,677.9,SPEAKER_08
678.4,679.0,SPEAKER_06
679.5,681.4,SPEAKER_08
682.7,696.4,SPEAKER_08
697.3,700.4,SPEAKER_08
701.0,704.4,SPEAKER_08
705.6,714.0,SPEAKER_08
733.0,733.6,SPEAKER_02
733.9,736.2,SPEAKER_02
736.2,737.2,SPEAKER_06
737.2,737.2,SPEAKER_02
739.3,742.8,SPEAKER_02
747.5,752.3,SPEAKER_02
752.3,753.1,SPEAKER_06
752.7,754.9,SPEAKER_02
756.4,759.1,SPEAKER_06
759.7,761.3,SPEAKER_02
779.1,780.3,SPEAKER_04
780.9,781.0,SPEAKER_04
781.0,781.3,SPEAKER_11
781.3,781.7,SPEAKER_04
782.9,785.9,SPEAKER_04
785.9,789.0,SPEAKER_11
789.4,790.0,SPEAKER_04
790.4,793.7,SPEAKER_04
793.7,794.9,SPEAKER_11
795.4,797.3,SPEAKER_04
797.9,801.4,SPEAKER_04
802.0,804.3,SPEAKER_10
819.6,820.7,SPEAKER_04
822.3,822.6,SPEAKER_06
822.6,823.0,SPEAKER_04
823.0,828.9,SPEAKER_06
829.9,840.2,SPEAKER_06
840.9,843.7,SPEAKER_06
844.6,847.5,SPEAKER_06
848.0,853.9,SPEAKER_06
854.7,866.0,SPEAKER_06
866.0,870.5,SPEAKER_04
871.1,885.0,SPEAKER_04
885.0,891.0,SPEAKER_06
894.6,901.6,SPEAKER_04
923.0,923.6,SPEAKER_06
926.9,929.2,SPEAKER_06
929.6,933.2,SPEAKER_06
935.0,936.1,SPEAKER_06
936.6,940.7,SPEAKER_06
940.7,941.0,SPEAKER_05
942.7,944.4,SPEAKER_05
944.4,944.5,SPEAKER_05
944.5,946.4,SPEAKER_06
946.4,947.4,SPEAKER_05
947.7,952.8,SPEAKER_06
952.8,966.3,SPEAKER_05
965.8,967.1,SPEAKER_06
967.2,967.2,SPEAKER_05
967.2,974.8,SPEAKER_05
975.0,976.2,SPEAKER_06
976.5,978.0,SPEAKER_06
978.0,995.6,SPEAKER_05
998.7,999.7,SPEAKER_06
1000.7,1002.3,SPEAKER_06
1010.9,1012.9,SPEAKER_05
1022.4,1023.3,SPEAKER_07
