start,stop,speaker
12.8,21.3,SPEAKER_01
21.3,21.5,SPEAKER_02
21.5,25.6,SPEAKER_01
26.7,28.2,SPEAKER_01
29.6,42.6,SPEAKER_01
44.1,45.9,SPEAKER_01
45.9,46.0,SPEAKER_02
46.9,54.3,SPEAKER_02
55.5,57.2,SPEAKER_02
59.2,68.3,SPEAKER_08
70.7,73.5,SPEAKER_08
73.7,73.9,SPEAKER_08
74.0,79.8,SPEAKER_08
83.1,83.3,SPEAKER_08
83.4,84.9,SPEAKER_08
85.2,91.5,SPEAKER_08
104.7,112.2,SPEAKER_00
114.0,118.9,SPEAKER_00
119.3,127.0,SPEAKER_00
139.5,140.5,SPEAKER_00
141.0,144.3,SPEAKER_00
145.0,147.0,SPEAKER_00
154.6,156.2,SPEAKER_04
159.8,162.2,SPEAKER_04
163.4,165.5,SPEAKER_04
166.7,168.5,SPEAKER_04
168.8,169.8,SPEAKER_04
175.4,176.7,SPEAKER_04
177.8,179.7,SPEAKER_04
195.4,196.2,SPEAKER_04
196.7,198.2,SPEAKER_04
202.6,203.9,SPEAKER_04
204.8,206.5,SPEAKER_04
207.1,209.5,SPEAKER_04
211.1,216.8,SPEAKER_07
215.1,215.2,SPEAKER_04
215.4,215.6,SPEAKER_04
228.8,232.3,SPEAKER_04
240.3,240.7,SPEAKER_04
243.8,246.4,SPEAKER_04
261.9,262.4,SPEAKER_07
265.0,265.3,SPEAKER_07
278.6,280.2,SPEAKER_06
282.3,285.0,SPEAKER_06
285.4,286.0,SPEAKER_06
286.3,288.1,SPEAKER_06
294.7,295.8,SPEAKER_04
296.9,297.5,SPEAKER_04
299.4,300.1,SPEAKER_04
301.8,302.7,SPEAKER_04
303.1,305.1,SPEAKER_04
308.1,309.5,SPEAKER_04
311.3,311.5,SPEAKER_07
311.5,311.5,SPEAKER_04
311.5,311.5,SPEAKER_07
311.5,311.8,SPEAKER_04
317.0,317.9,SPEAKER_04
319.6,321.2,SPEAKER_04
322.4,328.4,SPEAKER_04
342.1,343.7,SPEAKER_04
344.5,347.7,SPEAKER_04
371.3,372.7,SPEAKER_04
393.7,395.7,SPEAKER_06
396.2,396.2,SPEAKER_06
396.2,397.0,SPEAKER_04
401.5,403.1,SPEAKER_04
403.7,406.0,SPEAKER_05
406.0,407.6,SPEAKER_04
407.8,414.6,SPEAKER_04
414.1,421.1,SPEAKER_05
421.6,429.2,SPEAKER_04
429.3,438.6,SPEAKER_05
438.6,447.6,SPEAKER_04
448.4,450.9,SPEAKER_04
450.9,456.4,SPEAKER_05
456.7,458.5,SPEAKER_04
458.3,463.5,SPEAKER_05
463.8,463.8,SPEAKER_05
463.8,464.2,SPEAKER_07
464.4,464.5,SPEAKER_07
464.5,464.5,SPEAKER_05
464.5,465.2,SPEAKER_07
468.0,468.0,SPEAKER_07
468.0,468.1,SPEAKER_04
474.9,475.2,SPEAKER_04
475.4,478.3,SPEAKER_04
478.3,478.3,SPEAKER_05
478.3,478.4,SPEAKER_04
478.4,478.5,SPEAKER_05
478.5,478.6,SPEAKER_04
478.6,478.6,SPEAKER_05
