start,stop,speaker
12.8,21.3,SPEAKER_05
21.3,21.7,SPEAKER_06
21.7,25.5,SPEAKER_05
26.7,28.2,SPEAKER_05
29.6,42.6,SPEAKER_05
44.1,45.8,SPEAKER_05
45.8,46.2,SPEAKER_06
46.7,54.3,SPEAKER_06
55.5,57.1,SPEAKER_06
59.2,62.2,SPEAKER_00
62.5,68.3,SPEAKER_00
70.7,73.4,SPEAKER_00
73.6,79.8,SPEAKER_00
84.0,84.2,SPEAKER_00
85.3,90.8,SPEAKER_00
99.6,106.7,SPEAKER_03
109.9,113.6,SPEAKER_03
113.7,115.0,SPEAKER_03
116.5,116.8,SPEAKER_11
117.2,122.5,SPEAKER_11
121.6,128.8,SPEAKER_10
138.3,141.6,SPEAKER_10
151.3,151.9,SPEAKER_08
152.0,152.0,SPEAKER_08
153.0,153.0,SPEAKER_08
160.8,163.1,SPEAKER_11
163.6,165.4,SPEAKER_10
166.0,167.5,SPEAKER_11
167.6,171.1,SPEAKER_10
171.8,172.7,SPEAKER_10
173.1,173.2,SPEAKER_11
173.2,173.5,SPEAKER_00
178.8,183.2,SPEAKER_11
183.6,184.9,SPEAKER_10
193.8,196.3,SPEAKER_10
197.2,199.1,SPEAKER_11
200.1,201.5,SPEAKER_10
202.7,205.3,SPEAKER_11
206.0,206.7,SPEAKER_10
206.8,206.8,SPEAKER_10
206.8,209.2,SPEAKER_11
209.9,210.0,SPEAKER_11
210.0,210.2,SPEAKER_10
210.2,211.0,SPEAKER_11
211.0,211.2,SPEAKER_10
214.4,218.2,SPEAKER_10
218.9,228.3,SPEAKER_10
228.6,231.1,SPEAKER_11
231.9,236.0,SPEAKER_10
236.6,236.8,SPEAKER_11
236.8,237.1,SPEAKER_10
237.1,239.1,SPEAKER_11
239.7,239.7,SPEAKER_10
239.7,240.4,SPEAKER_11
243.5,244.4,SPEAKER_11
245.1,247.5,SPEAKER_11
247.6,247.7,SPEAKER_11
247.7,255.1,SPEAKER_11
259.7,267.1,SPEAKER_10
267.7,269.1,SPEAKER_11
270.7,272.8,SPEAKER_11
272.5,272.9,SPEAKER_10
273.3,277.2,SPEAKER_11
277.4,280.5,SPEAKER_10
287.7,287.7,SPEAKER_11
287.7,288.0,SPEAKER_10
288.0,288.0,SPEAKER_11
288.0,288.0,SPEAKER_10
288.0,288.4,SPEAKER_11
288.4,288.5,SPEAKER_10
288.5,288.8,SPEAKER_11
288.8,288.9,SPEAKER_10
288.9,289.3,SPEAKER_11
289.6,295.2,SPEAKER_10
297.3,298.2,SPEAKER_08
298.9,304.2,SPEAKER_10
304.6,314.6,SPEAKER_10
315.0,318.5,SPEAKER_10
319.0,324.9,SPEAKER_10
325.6,330.2,SPEAKER_10
331.2,335.5,SPEAKER_10
340.6,341.4,SPEAKER_08
341.3,343.7,SPEAKER_11
344.0,351.8,SPEAKER_11
351.9,355.7,SPEAKER_11
355.7,362.1,SPEAKER_10
362.9,363.0,SPEAKER_11
363.0,363.0,SPEAKER_10
363.0,363.1,SPEAKER_11
363.1,363.5,SPEAKER_10
363.5,368.5,SPEAKER_11
369.1,369.2,SPEAKER_10
369.2,369.4,SPEAKER_11
369.4,369.9,SPEAKER_10
369.9,375.3,SPEAKER_11
375.9,379.7,SPEAKER_10
379.7,379.8,SPEAKER_11
379.8,379.8,SPEAKER_10
379.8,379.9,SPEAKER_11
380.2,382.0,SPEAKER_11
387.7,387.8,SPEAKER_08
390.3,395.7,SPEAKER_08
397.9,399.8,SPEAKER_08
400.2,404.8,SPEAKER_08
406.0,406.1,SPEAKER_08
406.1,407.2,SPEAKER_10
408.1,409.5,SPEAKER_10
421.5,425.5,SPEAKER_01
426.0,428.2,SPEAKER_11
429.9,431.5,SPEAKER_01
431.5,431.9,SPEAKER_11
431.9,434.2,SPEAKER_01
434.3,436.2,SPEAKER_11
436.2,438.8,SPEAKER_01
439.3,443.5,SPEAKER_11
443.8,446.7,SPEAKER_01
446.9,448.5,SPEAKER_01
449.0,449.5,SPEAKER_11
449.9,456.0,SPEAKER_11
456.0,456.1,SPEAKER_08
456.1,456.2,SPEAKER_11
456.2,457.0,SPEAKER_08
458.0,458.0,SPEAKER_08
458.3,460.1,SPEAKER_08
462.5,465.5,SPEAKER_01
465.5,466.8,SPEAKER_11
466.7,467.8,SPEAKER_01
467.8,471.4,SPEAKER_11
470.7,470.7,SPEAKER_02
471.1,473.7,SPEAKER_01
473.9,478.0,SPEAKER_11
478.7,479.4,SPEAKER_11
486.2,490.1,SPEAKER_10
490.1,490.2,SPEAKER_11
490.2,490.2,SPEAKER_10
490.5,494.7,SPEAKER_01
495.2,499.0,SPEAKER_11
499.5,506.5,SPEAKER_01
507.5,509.9,SPEAKER_01
510.5,515.3,SPEAKER_01
516.8,518.1,SPEAKER_01
518.6,521.5,SPEAKER_10
521.6,523.9,SPEAKER_01
524.1,527.4,SPEAKER_10
527.5,528.5,SPEAKER_01
528.5,532.0,SPEAKER_10
533.2,534.8,SPEAKER_01
535.5,538.9,SPEAKER_01
539.7,543.7,SPEAKER_10
544.0,551.2,SPEAKER_01
561.3,564.0,SPEAKER_10
564.1,566.2,SPEAKER_11
566.6,566.7,SPEAKER_10
566.7,570.7,SPEAKER_07
574.2,576.2,SPEAKER_09
578.8,582.8,SPEAKER_10
588.7,595.2,SPEAKER_10
596.1,596.2,SPEAKER_10
596.2,596.8,SPEAKER_09
596.8,596.8,SPEAKER_10
597.8,602.5,SPEAKER_09
602.5,604.9,SPEAKER_10
605.7,621.8,SPEAKER_10
621.1,621.6,SPEAKER_08
621.8,622.0,SPEAKER_08
622.0,622.0,SPEAKER_10
622.3,622.7,SPEAKER_08
626.0,626.1,SPEAKER_08
626.1,626.1,SPEAKER_09
626.1,626.1,SPEAKER_08
626.1,626.2,SPEAKER_09
626.2,626.2,SPEAKER_08
626.4,627.1,SPEAKER_07
627.6,627.9,SPEAKER_07
628.7,632.0,SPEAKER_09
632.7,633.9,SPEAKER_09
633.9,638.6,SPEAKER_11
639.8,642.3,SPEAKER_09
643.0,643.0,SPEAKER_09
646.4,647.0,SPEAKER_01
648.2,651.5,SPEAKER_01
651.7,654.6,SPEAKER_10
654.7,655.8,SPEAKER_01
656.0,657.6,SPEAKER_01
658.4,661.0,SPEAKER_01
662.4,664.6,SPEAKER_01
665.2,668.1,SPEAKER_01
668.1,669.7,SPEAKER_09
669.8,670.8,SPEAKER_01
672.2,673.5,SPEAKER_01
673.9,674.0,SPEAKER_01
674.0,674.2,SPEAKER_10
674.2,674.2,SPEAKER_01
674.7,678.7,SPEAKER_10
679.4,683.0,SPEAKER_10
683.0,688.2,SPEAKER_11
688.5,692.5,SPEAKER_11
693.0,698.4,SPEAKER_11
699.6,702.0,SPEAKER_10
702.5,703.8,SPEAKER_10
703.8,709.9,SPEAKER_01
709.9,710.9,SPEAKER_09
711.1,731.2,SPEAKER_01
750.7,753.5,SPEAKER_11
753.6,755.2,SPEAKER_01
755.5,757.0,SPEAKER_11
757.4,760.0,SPEAKER_01
761.8,762.2,SPEAKER_01
763.5,764.9,SPEAKER_01
770.3,773.6,SPEAKER_10
774.4,778.4,SPEAKER_10
778.7,783.2,SPEAKER_10
784.3,786.6,SPEAKER_10
787.1,787.9,SPEAKER_10
790.7,793.1,SPEAKER_10
793.2,797.1,SPEAKER_01
797.8,798.0,SPEAKER_10
798.0,800.3,SPEAKER_07
802.0,802.2,SPEAKER_07
802.7,805.3,SPEAKER_07
806.5,807.0,SPEAKER_07
807.0,809.5,SPEAKER_10
810.1,811.3,SPEAKER_10
816.1,817.6,SPEAKER_10
817.7,825.4,SPEAKER_01
826.5,830.9,SPEAKER_10
831.1,834.0,SPEAKER_01
834.7,837.5,SPEAKER_08
838.1,839.4,SPEAKER_08
840.0,840.0,SPEAKER_08
841.7,842.4,SPEAKER_08
