start,stop,speaker
12.8,21.3,SPEAKER_10
21.3,21.6,SPEAKER_08
21.6,25.6,SPEAKER_10
26.7,28.2,SPEAKER_10
29.7,42.6,SPEAKER_10
44.1,45.0,SPEAKER_10
45.0,46.0,SPEAKER_08
46.8,52.0,SPEAKER_08
52.6,54.3,SPEAKER_08
55.6,57.1,SPEAKER_08
59.2,59.2,SPEAKER_08
59.2,62.0,SPEAKER_00
62.4,68.3,SPEAKER_00
70.7,79.9,SPEAKER_00
83.1,83.3,SPEAKER_00
83.7,83.8,SPEAKER_00
84.0,84.0,SPEAKER_00
84.1,84.7,SPEAKER_00
85.3,85.5,SPEAKER_00
85.6,90.0,SPEAKER_00
112.8,114.7,SPEAKER_06
115.3,117.3,SPEAKER_06
117.8,118.8,SPEAKER_06
119.1,121.7,SPEAKER_06
123.5,125.5,SPEAKER_06
126.0,128.5,SPEAKER_06
132.2,132.3,SPEAKER_05
132.3,132.5,SPEAKER_06
132.5,132.6,SPEAKER_05
138.3,138.7,SPEAKER_04
141.5,146.3,SPEAKER_04
146.8,151.1,SPEAKER_04
154.0,159.1,SPEAKER_04
162.4,164.3,SPEAKER_04
164.7,167.9,SPEAKER_04
169.0,169.0,SPEAKER_13
169.0,169.1,SPEAKER_04
169.1,169.8,SPEAKER_13
169.8,169.9,SPEAKER_04
170.5,174.2,SPEAKER_13
174.8,175.4,SPEAKER_04
176.1,179.0,SPEAKER_04
183.1,187.2,SPEAKER_06
188.3,189.3,SPEAKER_06
194.3,195.2,SPEAKER_13
202.5,205.0,SPEAKER_11
205.0,211.2,SPEAKER_03
216.2,222.9,SPEAKER_04
223.4,229.0,SPEAKER_11
230.3,231.0,SPEAKER_04
231.0,231.0,SPEAKER_03
231.0,232.0,SPEAKER_04
232.0,235.0,SPEAKER_03
235.8,240.9,SPEAKER_03
243.3,245.2,SPEAKER_12
245.9,248.0,SPEAKER_11
256.1,257.5,SPEAKER_12
258.4,260.5,SPEAKER_12
260.9,263.3,SPEAKER_11
262.3,263.1,SPEAKER_12
263.5,265.6,SPEAKER_12
265.6,265.6,SPEAKER_11
265.8,269.5,SPEAKER_11
270.1,272.5,SPEAKER_12
273.7,275.7,SPEAKER_12
276.2,276.4,SPEAKER_11
276.4,277.1,SPEAKER_12
277.1,280.2,SPEAKER_11
279.3,279.8,SPEAKER_12
280.6,281.0,SPEAKER_12
281.0,281.1,SPEAKER_11
281.1,281.1,SPEAKER_12
281.1,282.6,SPEAKER_11
281.1,281.4,SPEAKER_12
283.4,285.6,SPEAKER_12
284.6,285.1,SPEAKER_11
287.0,288.5,SPEAKER_12
289.0,289.7,SPEAKER_11
289.7,289.9,SPEAKER_12
290.1,294.8,SPEAKER_12
295.2,296.7,SPEAKER_12
297.4,298.3,SPEAKER_12
298.3,298.3,SPEAKER_11
298.4,300.5,SPEAKER_11
301.1,305.9,SPEAKER_12
306.0,306.0,SPEAKER_11
306.0,306.2,SPEAKER_07
306.2,308.8,SPEAKER_11
306.6,307.2,SPEAKER_07
310.3,312.1,SPEAKER_07
312.5,315.6,SPEAKER_12
315.8,317.6,SPEAKER_07
317.9,319.8,SPEAKER_12
320.0,324.3,SPEAKER_12
324.7,326.0,SPEAKER_12
326.4,332.4,SPEAKER_07
332.4,335.0,SPEAKER_12
335.9,345.6,SPEAKER_07
348.1,350.3,SPEAKER_12
350.5,352.4,SPEAKER_07
353.0,355.9,SPEAKER_12
355.9,356.0,SPEAKER_11
356.0,360.9,SPEAKER_07
361.0,369.3,SPEAKER_11
369.7,374.6,SPEAKER_12
374.7,377.2,SPEAKER_07
378.1,378.4,SPEAKER_12
385.0,391.8,SPEAKER_03
392.6,392.6,SPEAKER_04
392.6,392.9,SPEAKER_03
392.9,392.9,SPEAKER_04
425.1,426.4,SPEAKER_13
437.6,439.4,SPEAKER_01
439.7,441.3,SPEAKER_13
442.1,446.0,SPEAKER_01
446.3,448.4,SPEAKER_13
448.7,451.3,SPEAKER_01
451.7,454.4,SPEAKER_13
457.1,458.4,SPEAKER_13
458.7,460.5,SPEAKER_13
460.9,461.6,SPEAKER_13
