start,stop,speaker
12.7,21.2,SPEAKER_15
21.2,21.7,SPEAKER_13
21.7,25.5,SPEAKER_15
26.6,28.2,SPEAKER_15
29.6,42.5,SPEAKER_15
44.0,45.8,SPEAKER_15
45.8,45.9,SPEAKER_13
46.9,54.3,SPEAKER_13
55.5,57.1,SPEAKER_13
59.1,68.2,SPEAKER_00
70.7,73.5,SPEAKER_00
73.6,79.8,SPEAKER_00
83.0,83.3,SPEAKER_00
83.6,85.0,SPEAKER_00
85.1,90.4,SPEAKER_00
92.6,94.8,SPEAKER_09
96.5,98.1,SPEAKER_09
100.2,103.4,SPEAKER_09
104.3,106.7,SPEAKER_07
107.0,107.4,SPEAKER_10
108.7,110.6,SPEAKER_07
110.6,111.9,SPEAKER_08
112.2,113.6,SPEAKER_07
113.5,115.5,SPEAKER_08
117.1,119.7,SPEAKER_07
123.0,125.2,SPEAKER_09
126.0,127.3,SPEAKER_09
133.3,135.2,SPEAKER_09
152.5,155.0,SPEAKER_03
155.8,160.9,SPEAKER_03
161.4,163.1,SPEAKER_07
163.6,165.2,SPEAKER_03
165.2,165.7,SPEAKER_07
165.9,169.4,SPEAKER_03
169.8,188.0,SPEAKER_03
177.6,177.8,SPEAKER_08
178.8,180.4,SPEAKER_08
188.0,191.0,SPEAKER_07
202.4,203.3,SPEAKER_10
203.4,205.0,SPEAKER_10
206.0,206.0,SPEAKER_10
206.8,208.2,SPEAKER_10
209.7,213.4,SPEAKER_11
213.4,217.4,SPEAKER_05
217.8,219.1,SPEAKER_11
219.5,226.3,SPEAKER_05
226.4,229.5,SPEAKER_11
229.9,235.8,SPEAKER_05
235.8,237.9,SPEAKER_11
238.0,244.5,SPEAKER_05
244.5,248.7,SPEAKER_11
249.2,256.4,SPEAKER_05
257.2,261.6,SPEAKER_11
262.7,265.9,SPEAKER_05
266.8,268.9,SPEAKER_11
269.1,271.1,SPEAKER_05
271.8,273.2,SPEAKER_11
273.8,275.2,SPEAKER_05
275.5,277.5,SPEAKER_05
279.0,280.4,SPEAKER_11
281.1,281.8,SPEAKER_05
281.8,281.9,SPEAKER_03
284.0,289.3,SPEAKER_03
288.8,289.4,SPEAKER_07
289.5,290.1,SPEAKER_07
290.9,293.0,SPEAKER_07
293.7,295.6,SPEAKER_11
296.5,299.4,SPEAKER_03
299.4,300.8,SPEAKER_04
300.8,302.0,SPEAKER_03
302.0,305.2,SPEAKER_04
305.3,307.6,SPEAKER_03
308.2,315.9,SPEAKER_03
310.1,310.1,SPEAKER_07
315.8,316.7,SPEAKER_07
317.2,318.9,SPEAKER_03
318.9,320.1,SPEAKER_07
320.4,322.2,SPEAKER_07
324.9,326.8,SPEAKER_08
326.9,327.4,SPEAKER_08
327.4,327.5,SPEAKER_03
327.5,330.2,SPEAKER_08
332.1,335.1,SPEAKER_03
335.1,340.8,SPEAKER_07
341.8,348.9,SPEAKER_03
354.8,356.9,SPEAKER_12
356.7,356.8,SPEAKER_06
356.9,358.1,SPEAKER_06
358.1,358.4,SPEAKER_12
358.4,358.4,SPEAKER_06
358.4,362.1,SPEAKER_12
362.6,366.7,SPEAKER_06
366.8,370.2,SPEAKER_12
370.2,372.4,SPEAKER_06
372.4,372.9,SPEAKER_12
372.9,373.1,SPEAKER_06
373.1,375.1,SPEAKER_07
375.4,375.8,SPEAKER_07
375.7,376.5,SPEAKER_06
376.5,379.9,SPEAKER_07
376.5,376.6,SPEAKER_06
380.5,383.4,SPEAKER_12
383.7,384.1,SPEAKER_07
384.1,386.6,SPEAKER_06
387.1,393.0,SPEAKER_07
393.7,395.5,SPEAKER_06
395.5,397.0,SPEAKER_07
397.0,401.1,SPEAKER_06
401.1,407.4,SPEAKER_12
401.1,401.4,SPEAKER_06
410.0,410.6,SPEAKER_10
411.2,411.2,SPEAKER_12
411.2,411.3,SPEAKER_10
411.3,411.4,SPEAKER_12
411.4,411.5,SPEAKER_10
411.5,411.7,SPEAKER_12
414.1,416.1,SPEAKER_11
416.9,418.5,SPEAKER_05
418.5,418.5,SPEAKER_08
419.8,420.0,SPEAKER_11
420.0,422.0,SPEAKER_03
422.3,424.7,SPEAKER_08
424.9,434.1,SPEAKER_08
434.9,442.9,SPEAKER_08
442.9,447.3,SPEAKER_07
446.9,447.0,SPEAKER_08
447.1,447.1,SPEAKER_08
447.1,447.2,SPEAKER_08
447.3,447.7,SPEAKER_08
447.7,447.7,SPEAKER_03
449.5,452.2,SPEAKER_03
450.8,451.6,SPEAKER_07
453.6,457.8,SPEAKER_03
458.7,461.0,SPEAKER_06
461.4,461.5,SPEAKER_06
461.5,466.8,SPEAKER_03
472.6,473.9,SPEAKER_03
480.7,481.8,SPEAKER_06
481.9,486.6,SPEAKER_06
486.6,487.0,SPEAKER_10
487.0,487.0,SPEAKER_06
487.0,487.6,SPEAKER_10
