start,stop,speaker
12.8,25.6,SPEAKER_02
26.7,28.3,SPEAKER_02
29.7,42.6,SPEAKER_02
44.1,45.0,SPEAKER_02
45.0,46.0,SPEAKER_03
46.9,54.3,SPEAKER_03
55.6,57.1,SPEAKER_03
59.2,59.2,SPEAKER_03
59.2,59.5,SPEAKER_00
59.5,59.9,SPEAKER_03
59.9,62.0,SPEAKER_00
62.1,62.2,SPEAKER_00
62.2,62.2,SPEAKER_00
62.4,68.3,SPEAKER_00
70.7,73.5,SPEAKER_00
73.7,79.8,SPEAKER_00
83.1,83.3,SPEAKER_00
83.7,83.9,SPEAKER_00
84.0,85.0,SPEAKER_00
85.2,89.9,SPEAKER_00
95.3,98.4,SPEAKER_05
99.0,99.9,SPEAKER_05
100.3,102.2,SPEAKER_05
103.0,103.6,SPEAKER_05
104.2,105.6,SPEAKER_05
108.3,110.5,SPEAKER_05
111.1,111.8,SPEAKER_05
112.0,113.4,SPEAKER_05
117.4,118.5,SPEAKER_12
119.2,120.8,SPEAKER_12
120.8,124.4,SPEAKER_08
130.2,131.1,SPEAKER_07
131.6,133.3,SPEAKER_07
135.3,136.8,SPEAKER_10
137.1,138.8,SPEAKER_07
140.7,141.7,SPEAKER_07
141.7,143.0,SPEAKER_08
143.3,143.6,SPEAKER_08
143.6,144.1,SPEAKER_08
144.2,147.0,SPEAKER_08
147.0,147.5,SPEAKER_04
148.0,148.3,SPEAKER_04
157.9,162.7,SPEAKER_01
163.8,165.4,SPEAKER_01
165.4,165.6,SPEAKER_12
165.6,165.7,SPEAKER_01
165.7,168.2,SPEAKER_12
170.1,176.7,SPEAKER_10
177.2,177.3,SPEAKER_10
177.3,179.2,SPEAKER_09
179.8,180.1,SPEAKER_09
180.7,183.7,SPEAKER_09
184.4,184.8,SPEAKER_04
186.4,189.1,SPEAKER_09
194.6,198.7,SPEAKER_08
202.4,225.9,SPEAKER_08
225.9,227.1,SPEAKER_10
227.1,233.2,SPEAKER_08
235.6,239.9,SPEAKER_07
240.8,241.0,SPEAKER_12
241.5,258.3,SPEAKER_12
259.6,261.1,SPEAKER_01
261.2,262.4,SPEAKER_01
262.7,264.8,SPEAKER_07
267.0,275.8,SPEAKER_07
278.4,283.1,SPEAKER_08
283.5,286.8,SPEAKER_01
287.0,292.3,SPEAKER_12
292.6,299.4,SPEAKER_08
294.3,294.4,SPEAKER_12
299.8,302.1,SPEAKER_12
302.5,306.0,SPEAKER_12
306.0,307.6,SPEAKER_10
307.9,314.4,SPEAKER_10
314.7,318.2,SPEAKER_07
318.7,319.5,SPEAKER_10
321.2,321.9,SPEAKER_07
322.3,325.9,SPEAKER_10
326.8,327.0,SPEAKER_10
327.0,327.7,SPEAKER_07
327.9,331.3,SPEAKER_10
331.8,332.9,SPEAKER_07
333.6,335.8,SPEAKER_10
336.6,337.6,SPEAKER_07
338.2,338.9,SPEAKER_10
340.1,341.2,SPEAKER_07
341.4,343.1,SPEAKER_07
343.8,344.7,SPEAKER_10
345.0,346.7,SPEAKER_10
346.9,348.0,SPEAKER_10
348.3,349.0,SPEAKER_07
349.8,353.1,SPEAKER_07
360.0,361.6,SPEAKER_10
362.2,363.5,SPEAKER_10
374.9,375.3,SPEAKER_11
384.3,386.8,SPEAKER_10
386.7,386.7,SPEAKER_11
386.7,386.8,SPEAKER_07
386.8,386.8,SPEAKER_07
386.8,387.0,SPEAKER_10
387.0,387.0,SPEAKER_07
387.0,387.3,SPEAKER_10
388.2,388.9,SPEAKER_10
388.9,388.9,SPEAKER_11
388.9,389.7,SPEAKER_10
388.9,392.0,SPEAKER_11
390.6,391.8,SPEAKER_10
392.4,400.0,SPEAKER_11
399.4,401.0,SPEAKER_10
401.3,401.7,SPEAKER_10
404.5,409.1,SPEAKER_10
410.3,415.4,SPEAKER_10
416.0,417.2,SPEAKER_07
419.0,419.9,SPEAKER_07
419.9,421.0,SPEAKER_10
421.0,421.0,SPEAKER_04
421.3,422.4,SPEAKER_07
423.4,425.0,SPEAKER_07
425.4,428.5,SPEAKER_07
