start,stop,speaker
12.8,25.5,SPEAKER_09
21.3,21.5,SPEAKER_08
26.7,28.2,SPEAKER_09
29.6,42.6,SPEAKER_09
44.1,45.0,SPEAKER_09
45.0,46.0,SPEAKER_08
46.8,54.5,SPEAKER_08
55.5,57.5,SPEAKER_08
65.1,66.2,SPEAKER_05
71.2,71.3,SPEAKER_13
71.3,71.3,SPEAKER_02
71.3,71.3,SPEAKER_13
71.3,78.3,SPEAKER_02
80.1,83.9,SPEAKER_13
84.4,87.9,SPEAKER_02
87.9,87.9,SPEAKER_03
87.9,89.9,SPEAKER_13
90.8,93.2,SPEAKER_00
93.6,97.0,SPEAKER_00
98.7,100.0,SPEAKER_00
100.0,100.4,SPEAKER_12
101.8,104.8,SPEAKER_13
104.9,107.4,SPEAKER_12
107.5,108.3,SPEAKER_13
108.8,110.0,SPEAKER_13
110.4,113.2,SPEAKER_13
112.7,113.1,SPEAKER_12
113.1,113.4,SPEAKER_02
113.9,113.9,SPEAKER_12
113.9,115.6,SPEAKER_02
116.0,120.7,SPEAKER_02
120.7,128.3,SPEAKER_13
129.4,131.6,SPEAKER_13
132.0,132.1,SPEAKER_05
132.1,132.2,SPEAKER_07
132.2,132.4,SPEAKER_05
132.4,132.5,SPEAKER_02
132.5,132.5,SPEAKER_05
132.5,132.5,SPEAKER_07
132.5,132.6,SPEAKER_05
134.6,134.6,SPEAKER_07
134.6,137.2,SPEAKER_02
137.4,139.3,SPEAKER_02
138.3,138.5,SPEAKER_13
142.2,144.8,SPEAKER_13
144.7,146.2,SPEAKER_11
146.5,152.2,SPEAKER_13
153.7,156.4,SPEAKER_07
156.8,162.2,SPEAKER_11
162.3,163.2,SPEAKER_11
162.8,164.5,SPEAKER_07
164.9,167.7,SPEAKER_13
167.9,174.9,SPEAKER_07
174.8,176.6,SPEAKER_13
176.8,178.0,SPEAKER_07
178.0,179.0,SPEAKER_11
179.0,179.1,SPEAKER_07
179.5,183.0,SPEAKER_07
183.0,187.3,SPEAKER_11
187.7,196.7,SPEAKER_07
196.7,196.9,SPEAKER_02
197.6,201.3,SPEAKER_07
201.3,205.6,SPEAKER_02
205.6,210.3,SPEAKER_11
210.9,218.9,SPEAKER_07
218.9,221.3,SPEAKER_13
222.1,230.0,SPEAKER_07
230.5,234.0,SPEAKER_07
233.2,235.7,SPEAKER_11
235.9,240.3,SPEAKER_11
240.4,245.3,SPEAKER_07
245.8,254.6,SPEAKER_02
268.9,271.3,SPEAKER_05
271.7,275.9,SPEAKER_05
275.9,277.5,SPEAKER_06
277.5,277.7,SPEAKER_05
277.7,277.8,SPEAKER_06
277.8,283.5,SPEAKER_05
285.4,285.8,SPEAKER_06
286.8,291.4,SPEAKER_06
292.4,296.4,SPEAKER_13
296.7,297.5,SPEAKER_06
297.5,297.5,SPEAKER_13
297.5,304.4,SPEAKER_13
304.7,306.6,SPEAKER_06
