start,stop,speaker
12.8,25.6,SPEAKER_06
26.7,28.3,SPEAKER_06
29.7,42.6,SPEAKER_06
44.1,44.1,SPEAKER_06
44.1,46.1,SPEAKER_00
46.8,54.8,SPEAKER_00
55.0,55.0,SPEAKER_00
55.1,57.0,SPEAKER_00
73.3,82.1,SPEAKER_04
83.2,84.9,SPEAKER_10
85.6,85.7,SPEAKER_10
85.7,86.7,SPEAKER_01
87.3,87.9,SPEAKER_01
88.3,89.9,SPEAKER_01
90.9,94.8,SPEAKER_10
95.1,97.3,SPEAKER_10
97.3,102.2,SPEAKER_01
102.3,106.4,SPEAKER_01
109.1,110.8,SPEAKER_04
110.8,110.8,SPEAKER_01
110.8,112.0,SPEAKER_04
112.4,116.8,SPEAKER_04
117.0,118.1,SPEAKER_04
133.3,137.2,SPEAKER_10
143.1,147.6,SPEAKER_10
149.0,150.4,SPEAKER_07
150.8,155.0,SPEAKER_07
155.0,155.0,SPEAKER_11
155.0,156.0,SPEAKER_07
156.0,159.6,SPEAKER_11
159.6,161.4,SPEAKER_07
159.8,159.9,SPEAKER_11
160.9,161.8,SPEAKER_11
161.8,162.0,SPEAKER_10
162.0,164.0,SPEAKER_09
164.0,164.0,SPEAKER_10
165.0,168.7,SPEAKER_10
176.8,176.9,SPEAKER_10
178.9,180.3,SPEAKER_07
180.1,184.6,SPEAKER_10
184.6,187.1,SPEAKER_07
187.1,188.3,SPEAKER_10
188.3,191.3,SPEAKER_07
189.0,189.8,SPEAKER_10
190.0,190.0,SPEAKER_10
190.1,190.1,SPEAKER_10
190.6,190.7,SPEAKER_10
190.8,190.8,SPEAKER_10
190.8,190.9,SPEAKER_10
191.6,192.5,SPEAKER_10
193.2,194.5,SPEAKER_10
195.2,200.8,SPEAKER_10
198.8,199.9,SPEAKER_03
201.9,203.3,SPEAKER_10
203.6,207.5,SPEAKER_10
204.4,204.9,SPEAKER_03
204.9,205.8,SPEAKER_03
208.5,214.4,SPEAKER_02
215.1,217.3,SPEAKER_02
217.8,220.8,SPEAKER_07
221.5,224.6,SPEAKER_10
222.7,224.2,SPEAKER_02
224.2,224.2,SPEAKER_07
226.2,226.2,SPEAKER_02
226.3,230.3,SPEAKER_02
230.3,230.4,SPEAKER_07
230.4,231.0,SPEAKER_02
231.0,234.1,SPEAKER_07
234.2,234.5,SPEAKER_10
235.0,240.6,SPEAKER_10
240.6,243.9,SPEAKER_09
244.6,245.1,SPEAKER_09
245.1,245.2,SPEAKER_03
245.6,245.7,SPEAKER_03
245.7,245.9,SPEAKER_09
245.9,246.0,SPEAKER_03
246.0,246.1,SPEAKER_09
246.1,246.2,SPEAKER_03
246.4,246.6,SPEAKER_03
246.6,247.0,SPEAKER_09
247.0,247.2,SPEAKER_03
247.2,247.4,SPEAKER_03
248.0,248.0,SPEAKER_03
248.0,248.1,SPEAKER_03
248.3,248.3,SPEAKER_03
248.9,249.0,SPEAKER_03
249.1,249.3,SPEAKER_03
250.4,251.0,SPEAKER_03
251.3,252.3,SPEAKER_03
254.9,264.8,SPEAKER_10
262.1,262.6,SPEAKER_03
263.7,264.6,SPEAKER_03
269.2,275.8,SPEAKER_02
270.5,271.1,SPEAKER_09
275.8,277.3,SPEAKER_09
277.3,277.3,SPEAKER_09
277.3,282.1,SPEAKER_02
282.1,282.1,SPEAKER_07
282.1,282.2,SPEAKER_02
282.2,282.2,SPEAKER_07
282.5,286.9,SPEAKER_07
287.2,287.3,SPEAKER_09
287.3,287.5,SPEAKER_03
287.5,290.0,SPEAKER_09
287.7,290.0,SPEAKER_03
290.0,290.0,SPEAKER_09
290.0,290.1,SPEAKER_03
293.6,294.0,SPEAKER_03
294.0,295.0,SPEAKER_10
295.0,296.0,SPEAKER_03
366.0,366.0,SPEAKER_10
366.1,366.2,SPEAKER_10
366.2,366.4,SPEAKER_10
367.1,367.6,SPEAKER_10
367.9,368.3,SPEAKER_10
368.7,369.2,SPEAKER_10
372.1,374.3,SPEAKER_10
376.3,378.0,SPEAKER_10
378.0,379.6,SPEAKER_09
379.7,381.4,SPEAKER_09
383.5,384.3,SPEAKER_09
384.6,385.8,SPEAKER_09
386.7,389.9,SPEAKER_09
392.8,392.8,SPEAKER_09
392.8,392.8,SPEAKER_10
392.8,392.8,SPEAKER_09
392.8,394.5,SPEAKER_10
396.5,396.7,SPEAKER_10
