start,stop,speaker
12.9,25.7,SPEAKER_14
21.4,21.9,SPEAKER_08
26.8,28.3,SPEAKER_14
29.7,42.0,SPEAKER_14
42.0,42.6,SPEAKER_13
42.6,42.6,SPEAKER_14
42.6,42.7,SPEAKER_13
44.2,55.0,SPEAKER_13
55.2,57.4,SPEAKER_13
74.9,79.2,SPEAKER_01
80.2,85.7,SPEAKER_01
89.0,89.2,SPEAKER_04
91.5,96.5,SPEAKER_04
99.8,103.9,SPEAKER_04
107.8,107.8,SPEAKER_08
107.8,108.4,SPEAKER_03
109.0,109.7,SPEAKER_03
110.1,113.1,SPEAKER_03
113.6,113.7,SPEAKER_04
113.7,114.0,SPEAKER_03
114.0,114.0,SPEAKER_04
114.5,114.6,SPEAKER_03
114.6,114.7,SPEAKER_04
114.7,115.9,SPEAKER_03
115.9,121.6,SPEAKER_04
121.7,122.6,SPEAKER_04
123.5,125.7,SPEAKER_04
127.2,128.1,SPEAKER_04
129.4,129.7,SPEAKER_04
130.8,131.1,SPEAKER_04
139.1,142.0,SPEAKER_04
143.6,145.7,SPEAKER_04
146.2,148.5,SPEAKER_04
150.7,154.6,SPEAKER_04
150.9,151.0,SPEAKER_00
155.4,158.7,SPEAKER_04
159.9,167.8,SPEAKER_04
167.8,167.9,SPEAKER_08
167.9,168.0,SPEAKER_04
168.0,168.6,SPEAKER_08
168.6,169.0,SPEAKER_04
177.7,178.7,SPEAKER_08
179.4,180.1,SPEAKER_08
181.5,181.9,SPEAKER_08
185.0,186.5,SPEAKER_08
186.5,187.5,SPEAKER_08
187.5,187.8,SPEAKER_02
187.8,189.0,SPEAKER_08
189.0,189.4,SPEAKER_02
189.4,189.5,SPEAKER_08
189.5,194.7,SPEAKER_02
189.5,190.9,SPEAKER_08
197.4,198.6,SPEAKER_11
199.0,200.7,SPEAKER_11
201.2,206.0,SPEAKER_11
204.0,204.3,SPEAKER_12
204.3,204.4,SPEAKER_06
206.0,206.2,SPEAKER_06
206.5,209.5,SPEAKER_12
209.5,216.0,SPEAKER_06
216.4,216.6,SPEAKER_06
227.1,229.2,SPEAKER_08
229.2,229.4,SPEAKER_12
230.6,233.7,SPEAKER_12
236.2,238.0,SPEAKER_12
238.0,240.3,SPEAKER_03
239.5,242.4,SPEAKER_12
242.3,242.3,SPEAKER_06
242.4,242.7,SPEAKER_06
242.9,243.0,SPEAKER_06
243.0,243.2,SPEAKER_03
243.2,243.5,SPEAKER_06
243.5,243.6,SPEAKER_03
243.6,245.3,SPEAKER_06
247.1,249.1,SPEAKER_12
249.6,254.5,SPEAKER_06
259.4,260.1,SPEAKER_08
262.6,269.2,SPEAKER_04
271.6,274.0,SPEAKER_04
272.2,273.0,SPEAKER_08
274.8,275.2,SPEAKER_04
276.8,279.5,SPEAKER_04
279.8,281.2,SPEAKER_04
281.8,284.0,SPEAKER_04
285.3,287.0,SPEAKER_04
287.8,288.3,SPEAKER_04
288.9,290.7,SPEAKER_04
290.7,290.8,SPEAKER_08
291.4,296.0,SPEAKER_04
296.3,297.0,SPEAKER_08
297.2,300.1,SPEAKER_08
302.4,305.8,SPEAKER_04
306.9,307.1,SPEAKER_04
307.1,307.2,SPEAKER_08
307.2,310.0,SPEAKER_04
310.0,310.3,SPEAKER_08
310.3,311.0,SPEAKER_04
311.4,311.5,SPEAKER_04
311.5,313.0,SPEAKER_03
313.5,315.9,SPEAKER_03
314.3,314.3,SPEAKER_08
314.7,315.1,SPEAKER_08
316.1,318.4,SPEAKER_03
317.0,317.2,SPEAKER_08
326.0,327.5,SPEAKER_04
328.8,329.2,SPEAKER_04
334.1,335.6,SPEAKER_04
336.0,336.8,SPEAKER_04
338.0,338.4,SPEAKER_04
339.4,340.9,SPEAKER_04
341.1,342.0,SPEAKER_04
355.9,359.3,SPEAKER_04
