start,stop,speaker
12.8,21.4,SPEAKER_06
21.4,21.4,SPEAKER_04
21.4,25.5,SPEAKER_06
26.7,28.3,SPEAKER_06
29.6,42.6,SPEAKER_06
44.0,45.0,SPEAKER_06
45.0,54.3,SPEAKER_04
55.5,57.2,SPEAKER_04
65.5,69.5,SPEAKER_00
70.0,75.0,SPEAKER_03
75.4,77.6,SPEAKER_00
75.4,75.5,SPEAKER_03
82.6,82.7,SPEAKER_09
82.7,84.9,SPEAKER_11
85.5,89.1,SPEAKER_11
89.5,108.8,SPEAKER_09
109.7,113.1,SPEAKER_09
113.1,113.8,SPEAKER_03
113.8,113.8,SPEAKER_09
113.9,115.0,SPEAKER_09
115.0,115.6,SPEAKER_14
115.6,115.6,SPEAKER_09
115.6,115.6,SPEAKER_14
116.2,116.2,SPEAKER_09
116.2,118.2,SPEAKER_14
118.2,118.2,SPEAKER_09
118.5,119.0,SPEAKER_09
119.4,127.3,SPEAKER_09
128.1,136.8,SPEAKER_09
137.0,141.0,SPEAKER_14
141.0,142.1,SPEAKER_11
142.1,142.1,SPEAKER_14
142.4,142.4,SPEAKER_14
142.4,146.9,SPEAKER_11
147.5,158.7,SPEAKER_09
159.2,162.0,SPEAKER_14
162.3,164.6,SPEAKER_09
165.1,170.7,SPEAKER_09
170.7,170.7,SPEAKER_11
170.7,170.7,SPEAKER_09
170.7,170.7,SPEAKER_11
170.7,170.8,SPEAKER_09
170.8,173.0,SPEAKER_11
173.2,173.2,SPEAKER_09
173.2,173.7,SPEAKER_11
173.7,174.7,SPEAKER_09
175.4,179.4,SPEAKER_08
179.7,185.0,SPEAKER_15
185.0,186.8,SPEAKER_08
186.8,188.6,SPEAKER_15
188.7,188.8,SPEAKER_15
188.8,194.0,SPEAKER_08
194.6,199.6,SPEAKER_12
200.2,206.6,SPEAKER_08
206.8,210.5,SPEAKER_12
210.7,210.8,SPEAKER_12
211.2,212.2,SPEAKER_12
212.6,219.3,SPEAKER_02
219.3,226.0,SPEAKER_08
226.2,229.0,SPEAKER_15
229.5,232.3,SPEAKER_08
232.5,233.1,SPEAKER_15
233.1,233.1,SPEAKER_08
233.5,241.0,SPEAKER_15
241.4,243.0,SPEAKER_08
243.0,244.6,SPEAKER_13
245.1,247.9,SPEAKER_13
248.4,252.0,SPEAKER_15
252.0,252.0,SPEAKER_08
252.8,253.0,SPEAKER_15
253.0,255.3,SPEAKER_08
255.3,265.2,SPEAKER_08
259.6,259.6,SPEAKER_00
259.6,260.4,SPEAKER_03
260.4,263.8,SPEAKER_09
263.8,264.0,SPEAKER_03
264.0,264.0,SPEAKER_00
264.0,264.1,SPEAKER_09
264.1,264.1,SPEAKER_00
