start,stop,speaker
12.9,21.3,SPEAKER_05
21.3,21.6,SPEAKER_04
21.6,25.6,SPEAKER_05
26.8,28.3,SPEAKER_05
29.7,42.6,SPEAKER_05
44.1,46.0,SPEAKER_05
46.0,46.9,SPEAKER_04
46.9,47.0,SPEAKER_05
47.0,54.4,SPEAKER_04
55.6,57.4,SPEAKER_04
67.3,67.9,SPEAKER_09
68.2,69.8,SPEAKER_09
72.5,75.5,SPEAKER_06
73.2,74.1,SPEAKER_00
76.1,79.3,SPEAKER_06
79.7,83.4,SPEAKER_06
83.7,86.8,SPEAKER_09
87.8,90.6,SPEAKER_09
91.8,93.9,SPEAKER_06
95.0,95.0,SPEAKER_06
95.0,96.5,SPEAKER_03
97.0,97.0,SPEAKER_06
97.0,101.6,SPEAKER_03
103.0,104.5,SPEAKER_01
106.6,109.0,SPEAKER_01
109.0,109.8,SPEAKER_06
110.5,113.4,SPEAKER_10
114.9,119.4,SPEAKER_06
120.3,124.9,SPEAKER_06
124.9,124.9,SPEAKER_03
124.9,125.0,SPEAKER_06
125.0,125.0,SPEAKER_03
125.0,125.1,SPEAKER_02
125.1,125.2,SPEAKER_06
125.2,125.3,SPEAKER_02
125.3,126.0,SPEAKER_06
128.1,129.5,SPEAKER_06
129.9,130.4,SPEAKER_06
130.8,134.2,SPEAKER_06
139.2,140.0,SPEAKER_06
142.1,145.6,SPEAKER_06
146.4,147.2,SPEAKER_06
148.2,148.8,SPEAKER_06
149.4,149.4,SPEAKER_06
149.4,150.5,SPEAKER_02
150.6,152.5,SPEAKER_02
151.4,151.7,SPEAKER_06
152.6,153.5,SPEAKER_02
155.8,155.9,SPEAKER_02
164.6,166.9,SPEAKER_06
167.5,171.9,SPEAKER_06
172.5,173.8,SPEAKER_06
174.9,183.8,SPEAKER_06
184.1,191.8,SPEAKER_06
192.5,207.7,SPEAKER_06
207.9,209.0,SPEAKER_06
210.3,220.4,SPEAKER_06
220.7,220.7,SPEAKER_06
220.8,224.9,SPEAKER_06
225.9,228.6,SPEAKER_10
228.6,237.9,SPEAKER_06
238.6,241.4,SPEAKER_06
242.2,245.6,SPEAKER_06
246.0,251.0,SPEAKER_10
251.4,253.9,SPEAKER_06
253.9,260.0,SPEAKER_10
260.0,264.1,SPEAKER_01
264.1,269.3,SPEAKER_10
270.6,270.8,SPEAKER_06
270.8,271.8,SPEAKER_10
271.8,271.9,SPEAKER_06
271.9,274.5,SPEAKER_10
274.7,278.7,SPEAKER_06
279.3,284.6,SPEAKER_10
284.8,289.7,SPEAKER_06
289.9,291.5,SPEAKER_10
293.1,295.1,SPEAKER_10
295.6,305.7,SPEAKER_10
306.1,307.9,SPEAKER_06
335.4,337.2,SPEAKER_06
338.3,339.0,SPEAKER_03
339.0,342.9,SPEAKER_06
343.6,346.5,SPEAKER_06
353.0,354.3,SPEAKER_03
354.3,354.5,SPEAKER_07
356.9,359.1,SPEAKER_07
359.1,364.3,SPEAKER_06
364.5,364.5,SPEAKER_06
364.5,366.8,SPEAKER_07
367.1,371.1,SPEAKER_06
371.2,373.7,SPEAKER_07
374.0,375.8,SPEAKER_06
376.4,378.5,SPEAKER_07
378.9,388.1,SPEAKER_07
