start,stop,speaker
12.9,21.5,SPEAKER_04
21.5,21.6,SPEAKER_05
21.6,25.7,SPEAKER_04
26.8,28.5,SPEAKER_04
29.8,42.7,SPEAKER_04
42.7,42.7,SPEAKER_05
44.2,46.4,SPEAKER_05
46.8,54.5,SPEAKER_05
55.7,57.3,SPEAKER_05
75.7,82.7,SPEAKER_01
84.7,85.5,SPEAKER_03
87.4,87.5,SPEAKER_03
88.4,88.9,SPEAKER_07
90.1,93.8,SPEAKER_07
94.0,96.2,SPEAKER_10
96.2,97.6,SPEAKER_07
98.3,101.4,SPEAKER_07
102.1,103.5,SPEAKER_07
104.0,108.9,SPEAKER_07
109.8,114.8,SPEAKER_07
114.7,116.7,SPEAKER_10
116.9,118.2,SPEAKER_07
118.8,121.2,SPEAKER_07
121.2,122.1,SPEAKER_10
122.9,129.1,SPEAKER_07
129.1,129.1,SPEAKER_00
131.8,137.0,SPEAKER_00
140.1,144.2,SPEAKER_10
144.2,149.1,SPEAKER_02
149.2,153.8,SPEAKER_10
154.6,155.3,SPEAKER_02
155.8,157.3,SPEAKER_10
157.9,159.0,SPEAKER_02
159.2,163.5,SPEAKER_10
164.5,166.0,SPEAKER_02
166.6,167.3,SPEAKER_10
168.0,171.3,SPEAKER_02
171.5,173.9,SPEAKER_10
174.1,175.1,SPEAKER_02
175.1,179.7,SPEAKER_10
179.7,180.7,SPEAKER_02
180.7,182.2,SPEAKER_10
182.2,183.1,SPEAKER_02
183.9,186.1,SPEAKER_10
186.1,186.8,SPEAKER_02
188.5,190.7,SPEAKER_02
191.0,193.2,SPEAKER_10
193.6,196.1,SPEAKER_02
197.1,198.9,SPEAKER_02
199.2,201.0,SPEAKER_10
201.3,202.6,SPEAKER_10
203.1,206.8,SPEAKER_02
209.8,211.6,SPEAKER_10
211.9,212.0,SPEAKER_02
212.0,212.3,SPEAKER_03
238.8,239.2,SPEAKER_10
239.8,242.4,SPEAKER_10
248.0,248.2,SPEAKER_09
251.7,253.4,SPEAKER_09
256.3,256.4,SPEAKER_09
262.5,262.6,SPEAKER_03
262.6,262.6,SPEAKER_02
262.6,262.8,SPEAKER_03
262.8,263.0,SPEAKER_02
263.0,263.0,SPEAKER_02
263.6,263.6,SPEAKER_03
263.6,264.0,SPEAKER_10
264.6,264.6,SPEAKER_03
264.6,265.0,SPEAKER_10
265.5,266.0,SPEAKER_10
266.5,268.7,SPEAKER_10
268.7,268.7,SPEAKER_09
269.0,271.0,SPEAKER_02
272.0,272.0,SPEAKER_10
272.0,277.9,SPEAKER_09
278.2,279.2,SPEAKER_09
279.5,283.0,SPEAKER_09
283.0,290.4,SPEAKER_10
290.4,291.8,SPEAKER_08
292.4,293.5,SPEAKER_10
295.7,300.0,SPEAKER_08
300.5,301.9,SPEAKER_08
308.6,313.5,SPEAKER_08
314.6,319.5,SPEAKER_10
319.5,329.6,SPEAKER_09
319.5,320.1,SPEAKER_10
320.2,321.3,SPEAKER_10
329.9,332.2,SPEAKER_02
332.6,333.0,SPEAKER_09
333.0,340.7,SPEAKER_11
340.7,345.3,SPEAKER_09
340.9,341.5,SPEAKER_11
346.2,350.1,SPEAKER_09
360.0,362.7,SPEAKER_07
367.1,368.0,SPEAKER_10
368.0,368.9,SPEAKER_09
369.5,370.9,SPEAKER_02
371.7,376.2,SPEAKER_09
376.7,377.5,SPEAKER_09
378.8,379.0,SPEAKER_09
379.0,379.3,SPEAKER_09
380.5,383.2,SPEAKER_09
383.6,384.0,SPEAKER_02
384.1,386.0,SPEAKER_09
386.2,388.7,SPEAKER_09
389.0,395.3,SPEAKER_02
395.5,398.7,SPEAKER_09
399.1,400.7,SPEAKER_02
