start,stop,speaker
12.8,21.3,SPEAKER_10
21.3,21.5,SPEAKER_09
21.5,21.5,SPEAKER_10
21.5,25.6,SPEAKER_10
21.6,21.6,SPEAKER_09
26.7,28.3,SPEAKER_10
29.7,42.6,SPEAKER_10
44.1,46.1,SPEAKER_10
46.1,46.2,SPEAKER_09
46.8,46.9,SPEAKER_09
46.9,47.0,SPEAKER_10
47.0,54.4,SPEAKER_09
55.6,57.3,SPEAKER_09
82.2,84.2,SPEAKER_00
85.2,88.7,SPEAKER_00
89.2,89.5,SPEAKER_14
89.6,90.0,SPEAKER_14
90.6,93.0,SPEAKER_14
94.1,94.3,SPEAKER_14
98.9,103.2,SPEAKER_00
103.3,105.3,SPEAKER_00
120.2,123.0,SPEAKER_14
123.3,124.8,SPEAKER_08
124.8,125.4,SPEAKER_14
125.5,129.4,SPEAKER_08
130.8,134.7,SPEAKER_14
135.2,136.5,SPEAKER_08
138.4,142.0,SPEAKER_14
142.7,146.6,SPEAKER_08
147.0,152.2,SPEAKER_14
152.9,153.7,SPEAKER_08
153.7,155.3,SPEAKER_14
155.8,158.8,SPEAKER_08
159.1,161.2,SPEAKER_14
162.2,165.3,SPEAKER_08
165.5,166.1,SPEAKER_14
167.4,169.5,SPEAKER_08
170.3,173.7,SPEAKER_08
174.0,176.0,SPEAKER_14
176.7,179.4,SPEAKER_08
180.1,183.3,SPEAKER_08
184.1,188.3,SPEAKER_08
189.3,192.0,SPEAKER_08
192.1,195.0,SPEAKER_08
195.6,198.6,SPEAKER_08
195.7,196.0,SPEAKER_00
199.8,201.8,SPEAKER_08
202.0,203.2,SPEAKER_14
204.0,204.9,SPEAKER_08
209.3,210.5,SPEAKER_05
220.9,221.9,SPEAKER_06
222.7,224.1,SPEAKER_06
224.6,229.3,SPEAKER_06
232.3,233.7,SPEAKER_14
233.7,234.1,SPEAKER_06
234.5,236.1,SPEAKER_14
236.8,237.4,SPEAKER_06
243.1,244.5,SPEAKER_14
244.9,245.2,SPEAKER_14
246.3,247.5,SPEAKER_14
248.3,248.9,SPEAKER_06
250.1,254.2,SPEAKER_14
254.4,254.9,SPEAKER_06
255.8,256.7,SPEAKER_06
257.5,260.1,SPEAKER_06
260.5,263.9,SPEAKER_14
264.3,269.8,SPEAKER_14
271.5,277.7,SPEAKER_06
277.7,282.6,SPEAKER_14
283.0,287.4,SPEAKER_06
283.7,283.8,SPEAKER_14
288.1,290.4,SPEAKER_14
293.1,294.0,SPEAKER_14
294.0,295.7,SPEAKER_12
296.1,297.0,SPEAKER_12
298.0,311.0,SPEAKER_12
311.0,312.4,SPEAKER_14
