start,stop,speaker
12.8,21.3,SPEAKER_08
21.3,21.7,SPEAKER_06
21.7,25.6,SPEAKER_08
26.7,28.3,SPEAKER_08
29.7,42.6,SPEAKER_08
44.1,46.0,SPEAKER_08
46.0,46.1,SPEAKER_06
46.9,54.6,SPEAKER_06
55.6,57.4,SPEAKER_06
59.2,59.4,SPEAKER_06
72.8,76.7,SPEAKER_00
86.7,91.3,SPEAKER_00
93.1,95.0,SPEAKER_00
95.3,97.7,SPEAKER_00
99.2,99.6,SPEAKER_03
99.6,99.7,SPEAKER_10
101.2,101.3,SPEAKER_10
101.3,101.7,SPEAKER_03
102.2,103.1,SPEAKER_03
103.1,103.1,SPEAKER_04
103.5,104.0,SPEAKER_03
104.0,111.9,SPEAKER_04
113.1,121.4,SPEAKER_04
122.4,124.8,SPEAKER_04
124.9,126.8,SPEAKER_09
126.8,133.0,SPEAKER_04
133.0,144.8,SPEAKER_03
144.9,151.3,SPEAKER_09
152.2,155.8,SPEAKER_04
156.8,159.1,SPEAKER_04
158.6,159.2,SPEAKER_05
159.2,160.0,SPEAKER_04
160.0,167.4,SPEAKER_05
167.5,168.9,SPEAKER_03
168.9,169.0,SPEAKER_05
169.0,175.0,SPEAKER_03
175.0,175.0,SPEAKER_05
175.0,175.1,SPEAKER_03
175.1,177.2,SPEAKER_05
185.8,189.6,SPEAKER_09
189.6,194.0,SPEAKER_03
194.0,196.7,SPEAKER_04
197.2,215.0,SPEAKER_04
215.0,219.4,SPEAKER_03
221.6,227.3,SPEAKER_04
227.6,233.8,SPEAKER_04
233.8,233.9,SPEAKER_10
233.9,233.9,SPEAKER_15
234.1,239.8,SPEAKER_04
237.6,237.7,SPEAKER_03
237.7,237.9,SPEAKER_10
237.9,237.9,SPEAKER_05
237.9,238.6,SPEAKER_10
238.6,238.7,SPEAKER_03
238.7,238.7,SPEAKER_15
240.4,241.2,SPEAKER_04
241.5,242.4,SPEAKER_04
246.9,248.0,SPEAKER_04
248.3,252.6,SPEAKER_04
249.8,250.7,SPEAKER_05
259.9,260.7,SPEAKER_04
261.3,262.1,SPEAKER_04
262.5,264.4,SPEAKER_04
265.3,265.6,SPEAKER_04
266.4,269.0,SPEAKER_04
269.0,270.7,SPEAKER_16
271.2,276.1,SPEAKER_16
277.3,279.6,SPEAKER_03
279.7,279.7,SPEAKER_16
279.7,279.8,SPEAKER_03
279.8,280.6,SPEAKER_16
283.1,289.1,SPEAKER_04
289.2,295.7,SPEAKER_16
296.4,301.5,SPEAKER_16
299.0,299.3,SPEAKER_10
299.3,299.4,SPEAKER_04
301.5,304.3,SPEAKER_04
304.9,308.7,SPEAKER_04
309.1,311.0,SPEAKER_04
311.0,312.6,SPEAKER_16
311.0,311.4,SPEAKER_10
311.4,311.5,SPEAKER_04
317.5,319.0,SPEAKER_16
319.7,320.4,SPEAKER_16
323.3,325.9,SPEAKER_16
323.4,323.5,SPEAKER_10
323.5,323.6,SPEAKER_00
326.0,329.9,SPEAKER_16
330.7,332.8,SPEAKER_16
333.2,336.3,SPEAKER_16
337.5,338.8,SPEAKER_16
342.8,345.9,SPEAKER_09
347.5,350.0,SPEAKER_09
350.8,353.1,SPEAKER_16
353.3,354.1,SPEAKER_09
354.7,358.5,SPEAKER_09
359.4,360.5,SPEAKER_16
361.0,363.6,SPEAKER_16
377.7,379.0,SPEAKER_03
379.4,380.5,SPEAKER_09
381.9,383.5,SPEAKER_03
383.6,386.1,SPEAKER_09
387.4,389.8,SPEAKER_03
390.1,391.7,SPEAKER_03
392.1,393.0,SPEAKER_03
393.0,395.5,SPEAKER_04
395.9,396.8,SPEAKER_04
398.7,401.7,SPEAKER_11
402.2,404.4,SPEAKER_03
404.7,407.7,SPEAKER_11
408.1,409.6,SPEAKER_03
409.9,410.9,SPEAKER_03
411.2,415.4,SPEAKER_11
416.1,417.4,SPEAKER_03
421.7,426.0,SPEAKER_04
431.1,433.8,SPEAKER_04
434.5,444.6,SPEAKER_14
445.0,450.4,SPEAKER_14
451.0,459.4,SPEAKER_14
459.7,463.2,SPEAKER_04
463.6,464.5,SPEAKER_14
464.5,468.2,SPEAKER_04
468.4,469.4,SPEAKER_14
469.8,472.4,SPEAKER_14
482.7,486.4,SPEAKER_11
486.9,487.5,SPEAKER_11
488.7,493.6,SPEAKER_01
494.1,498.2,SPEAKER_11
498.8,502.9,SPEAKER_01
503.3,505.2,SPEAKER_03
505.4,509.6,SPEAKER_11
509.9,511.8,SPEAKER_11
511.8,516.9,SPEAKER_03
517.2,521.1,SPEAKER_14
525.1,531.0,SPEAKER_14
531.7,533.0,SPEAKER_14
533.0,533.1,SPEAKER_04
535.3,536.9,SPEAKER_04
542.8,546.4,SPEAKER_14
549.9,550.3,SPEAKER_14
550.3,550.3,SPEAKER_12
555.4,557.5,SPEAKER_12
561.9,563.5,SPEAKER_13
580.8,580.8,SPEAKER_12
580.8,580.9,SPEAKER_10
580.9,580.9,SPEAKER_12
580.9,581.0,SPEAKER_10
581.9,582.0,SPEAKER_10
582.0,582.6,SPEAKER_12
582.6,583.5,SPEAKER_10
583.5,583.6,SPEAKER_10
584.7,590.0,SPEAKER_12
591.3,596.7,SPEAKER_11
596.8,602.0,SPEAKER_03
602.1,605.9,SPEAKER_11
606.2,608.7,SPEAKER_11
609.3,609.5,SPEAKER_11
610.6,611.5,SPEAKER_11
616.9,617.8,SPEAKER_10
627.5,629.2,SPEAKER_03
631.5,633.0,SPEAKER_11
633.5,634.5,SPEAKER_13
