start,stop,speaker
12.8,21.2,SPEAKER_07
21.2,21.7,SPEAKER_05
21.5,21.5,SPEAKER_07
21.6,21.6,SPEAKER_07
21.7,25.6,SPEAKER_07
26.7,28.3,SPEAKER_07
29.6,42.6,SPEAKER_07
44.1,45.0,SPEAKER_07
45.0,46.1,SPEAKER_05
46.7,52.0,SPEAKER_05
52.5,54.3,SPEAKER_05
55.6,57.2,SPEAKER_05
57.2,57.6,SPEAKER_03
57.6,57.7,SPEAKER_03
58.9,59.7,SPEAKER_03
62.6,65.0,SPEAKER_04
65.6,69.0,SPEAKER_04
90.5,92.0,SPEAKER_09
92.0,100.4,SPEAKER_11
100.8,101.0,SPEAKER_11
101.0,101.6,SPEAKER_09
101.6,101.6,SPEAKER_11
102.2,108.0,SPEAKER_09
110.2,113.1,SPEAKER_08
113.5,118.3,SPEAKER_08
118.6,120.9,SPEAKER_08
120.9,120.9,SPEAKER_09
121.5,127.6,SPEAKER_01
127.7,129.4,SPEAKER_09
129.7,131.7,SPEAKER_09
131.7,133.0,SPEAKER_01
133.2,138.0,SPEAKER_09
138.0,138.6,SPEAKER_01
138.5,145.8,SPEAKER_09
145.8,147.8,SPEAKER_08
148.0,154.5,SPEAKER_09
154.5,154.6,SPEAKER_11
154.6,154.6,SPEAKER_09
154.9,154.9,SPEAKER_09
154.9,155.0,SPEAKER_11
155.0,156.0,SPEAKER_09
156.0,160.0,SPEAKER_11
160.0,164.2,SPEAKER_09
166.8,169.2,SPEAKER_10
171.0,171.3,SPEAKER_10
171.4,171.5,SPEAKER_10
172.3,172.3,SPEAKER_10
172.5,174.0,SPEAKER_10
173.8,174.2,SPEAKER_00
174.2,174.3,SPEAKER_10
176.7,181.0,SPEAKER_10
181.3,183.1,SPEAKER_00
183.1,183.3,SPEAKER_00
183.3,183.9,SPEAKER_10
184.0,187.2,SPEAKER_00
192.3,196.5,SPEAKER_10
197.4,198.1,SPEAKER_10
198.5,201.8,SPEAKER_10
202.0,213.0,SPEAKER_10
204.5,204.6,SPEAKER_09
213.0,216.8,SPEAKER_11
217.4,222.6,SPEAKER_11
221.9,223.8,SPEAKER_10
227.4,231.8,SPEAKER_09
231.8,232.2,SPEAKER_00
232.2,232.2,SPEAKER_09
232.2,232.3,SPEAKER_00
233.0,235.5,SPEAKER_00
236.0,237.0,SPEAKER_09
237.0,237.0,SPEAKER_10
237.0,237.6,SPEAKER_09
237.6,243.1,SPEAKER_10
243.7,244.4,SPEAKER_03
250.3,257.9,SPEAKER_04
258.7,265.7,SPEAKER_11
266.0,267.1,SPEAKER_00
268.0,269.6,SPEAKER_11
270.3,275.8,SPEAKER_00
276.1,280.6,SPEAKER_11
284.7,284.8,SPEAKER_01
284.8,285.2,SPEAKER_11
285.9,288.1,SPEAKER_01
288.1,289.3,SPEAKER_11
296.2,296.3,SPEAKER_11
296.3,298.9,SPEAKER_09
300.0,301.5,SPEAKER_09
302.0,303.7,SPEAKER_09
304.7,306.0,SPEAKER_01
307.1,308.2,SPEAKER_01
309.0,310.5,SPEAKER_09
315.1,322.6,SPEAKER_09
322.8,326.0,SPEAKER_11
325.5,325.5,SPEAKER_08
325.5,326.3,SPEAKER_09
326.0,326.2,SPEAKER_08
326.2,326.3,SPEAKER_11
326.3,326.4,SPEAKER_11
326.4,326.4,SPEAKER_08
326.6,326.7,SPEAKER_11
326.7,328.2,SPEAKER_08
328.5,333.2,SPEAKER_08
333.4,334.0,SPEAKER_08
334.0,335.5,SPEAKER_09
335.5,335.6,SPEAKER_08
335.7,335.7,SPEAKER_08
335.7,337.5,SPEAKER_09
338.1,344.9,SPEAKER_09
345.4,353.3,SPEAKER_09
353.5,355.3,SPEAKER_09
355.7,357.6,SPEAKER_09
359.7,361.9,SPEAKER_09
359.7,360.2,SPEAKER_00
362.6,363.3,SPEAKER_09
364.8,368.1,SPEAKER_09
369.6,373.0,SPEAKER_09
373.7,373.7,SPEAKER_09
373.7,373.7,SPEAKER_01
373.7,374.0,SPEAKER_09
373.9,373.9,SPEAKER_01
374.0,374.3,SPEAKER_01
374.3,374.7,SPEAKER_09
375.1,375.7,SPEAKER_01
375.9,377.8,SPEAKER_09
378.1,381.0,SPEAKER_01
380.2,381.4,SPEAKER_09
381.6,386.7,SPEAKER_09
387.4,388.2,SPEAKER_09
388.9,393.4,SPEAKER_09
393.4,401.2,SPEAKER_00
402.0,409.5,SPEAKER_00
410.6,413.8,SPEAKER_09
416.8,419.2,SPEAKER_09
420.8,423.0,SPEAKER_01
423.3,423.7,SPEAKER_01
424.0,424.9,SPEAKER_09
424.9,425.0,SPEAKER_08
429.3,431.0,SPEAKER_09
431.0,431.8,SPEAKER_10
431.8,431.8,SPEAKER_09
431.8,432.1,SPEAKER_10
432.1,432.1,SPEAKER_09
432.1,432.2,SPEAKER_10
432.2,432.2,SPEAKER_09
432.2,432.2,SPEAKER_10
432.2,432.3,SPEAKER_09
432.3,432.9,SPEAKER_11
432.9,433.0,SPEAKER_08
433.0,433.5,SPEAKER_11
433.5,433.8,SPEAKER_08
433.8,433.9,SPEAKER_11
433.9,435.1,SPEAKER_10
435.8,439.3,SPEAKER_10
439.8,441.5,SPEAKER_08
442.3,448.4,SPEAKER_09
450.4,452.0,SPEAKER_09
452.0,454.2,SPEAKER_10
454.8,455.5,SPEAKER_10
455.7,459.4,SPEAKER_10
478.6,479.7,SPEAKER_09
479.8,480.6,SPEAKER_09
483.2,483.9,SPEAKER_09
485.0,486.8,SPEAKER_09
486.5,488.5,SPEAKER_11
489.5,493.1,SPEAKER_10
493.1,493.1,SPEAKER_09
493.4,495.7,SPEAKER_09
495.9,503.9,SPEAKER_09
504.3,505.5,SPEAKER_09
506.5,511.8,SPEAKER_09
512.6,513.2,SPEAKER_03
514.5,515.9,SPEAKER_03
560.5,562.4,SPEAKER_03
562.4,562.4,SPEAKER_10
564.0,567.2,SPEAKER_01
567.8,570.8,SPEAKER_10
571.0,574.7,SPEAKER_08
583.9,587.4,SPEAKER_09
587.7,597.5,SPEAKER_09
590.4,590.7,SPEAKER_00
598.0,598.6,SPEAKER_09
598.1,598.5,SPEAKER_11
599.0,600.0,SPEAKER_09
600.6,600.6,SPEAKER_09
600.6,600.8,SPEAKER_09
634.5,643.3,SPEAKER_04
656.6,660.2,SPEAKER_04
660.7,661.1,SPEAKER_04
661.5,662.3,SPEAKER_04
671.2,674.0,SPEAKER_04
713.2,713.9,SPEAKER_03
714.0,714.0,SPEAKER_03
718.3,718.5,SPEAKER_03
722.9,724.2,SPEAKER_11
730.3,731.5,SPEAKER_11
733.3,733.9,SPEAKER_03
735.6,736.0,SPEAKER_03
736.0,736.1,SPEAKER_11
736.1,736.1,SPEAKER_03
741.2,742.5,SPEAKER_11
743.6,743.7,SPEAKER_11
744.0,744.8,SPEAKER_11
745.8,746.7,SPEAKER_11
747.9,748.1,SPEAKER_11
749.0,749.9,SPEAKER_11
750.6,750.6,SPEAKER_11
750.6,751.7,SPEAKER_12
751.7,751.7,SPEAKER_11
752.7,754.8,SPEAKER_12
755.2,762.4,SPEAKER_12
762.6,779.2,SPEAKER_12
782.4,783.6,SPEAKER_11
784.0,785.7,SPEAKER_11
786.3,787.3,SPEAKER_11
788.2,789.1,SPEAKER_11
789.6,791.2,SPEAKER_11
794.4,798.5,SPEAKER_11
799.6,800.4,SPEAKER_01
800.5,802.3,SPEAKER_01
802.4,806.8,SPEAKER_11
807.2,811.2,SPEAKER_01
811.3,813.4,SPEAKER_11
813.7,816.5,SPEAKER_01
817.4,818.0,SPEAKER_01
818.0,818.0,SPEAKER_11
819.5,821.2,SPEAKER_01
835.9,839.2,SPEAKER_08
839.0,840.0,SPEAKER_01
840.5,841.9,SPEAKER_08
844.4,848.7,SPEAKER_01
851.5,856.8,SPEAKER_08
857.2,858.0,SPEAKER_01
858.2,858.8,SPEAKER_08
859.2,862.2,SPEAKER_08
865.8,866.8,SPEAKER_01
866.9,868.4,SPEAKER_11
874.5,876.2,SPEAKER_08
876.4,879.6,SPEAKER_11
880.2,883.1,SPEAKER_11
883.8,886.6,SPEAKER_11
887.4,888.0,SPEAKER_11
888.7,891.1,SPEAKER_11
891.4,892.1,SPEAKER_02
897.3,899.2,SPEAKER_08
899.7,903.0,SPEAKER_08
903.0,903.0,SPEAKER_11
903.0,903.2,SPEAKER_08
903.2,903.2,SPEAKER_11
906.6,907.7,SPEAKER_08
913.3,913.8,SPEAKER_09
914.9,915.6,SPEAKER_08
915.6,916.1,SPEAKER_09
920.1,922.3,SPEAKER_08
925.8,927.0,SPEAKER_01
927.0,931.8,SPEAKER_08
932.1,933.4,SPEAKER_01
933.4,936.0,SPEAKER_08
936.0,937.4,SPEAKER_01
937.5,939.1,SPEAKER_08
939.1,939.1,SPEAKER_11
939.7,942.4,SPEAKER_01
942.9,946.2,SPEAKER_11
946.4,947.5,SPEAKER_01
947.5,948.6,SPEAKER_11
948.6,948.7,SPEAKER_08
948.7,949.6,SPEAKER_11
949.8,952.5,SPEAKER_01
953.0,959.3,SPEAKER_01
959.3,961.8,SPEAKER_08
963.0,963.1,SPEAKER_08
971.3,973.5,SPEAKER_01
973.7,977.8,SPEAKER_01
977.5,980.0,SPEAKER_09
980.1,982.0,SPEAKER_01
988.4,989.1,SPEAKER_01
990.6,992.6,SPEAKER_01
995.0,996.0,SPEAKER_11
997.4,998.4,SPEAKER_01
