start,stop,speaker
12.8,21.3,SPEAKER_11
21.3,21.8,SPEAKER_10
21.8,25.6,SPEAKER_11
26.7,28.3,SPEAKER_11
29.7,42.6,SPEAKER_11
44.1,46.0,SPEAKER_11
46.0,54.5,SPEAKER_10
55.6,57.2,SPEAKER_10
105.2,108.0,SPEAKER_07
132.8,137.1,SPEAKER_00
138.0,149.5,SPEAKER_15
149.8,156.3,SPEAKER_15
159.0,160.3,SPEAKER_15
160.8,162.0,SPEAKER_15
190.7,193.0,SPEAKER_00
199.2,200.3,SPEAKER_00
206.2,208.0,SPEAKER_02
208.0,208.0,SPEAKER_04
210.0,210.5,SPEAKER_04
211.1,213.7,SPEAKER_04
214.2,214.4,SPEAKER_07
221.7,223.2,SPEAKER_02
223.7,225.9,SPEAKER_04
226.1,226.8,SPEAKER_02
227.0,227.0,SPEAKER_02
227.2,229.1,SPEAKER_02
229.1,229.1,SPEAKER_04
229.9,232.7,SPEAKER_04
240.3,245.4,SPEAKER_02
246.7,248.8,SPEAKER_02
249.5,251.2,SPEAKER_02
252.5,254.7,SPEAKER_02
255.0,256.9,SPEAKER_02
257.6,257.8,SPEAKER_02
257.8,257.8,SPEAKER_07
257.8,258.0,SPEAKER_02
258.0,258.1,SPEAKER_07
258.1,258.2,SPEAKER_02
266.8,277.4,SPEAKER_03
278.0,279.2,SPEAKER_03
280.6,281.7,SPEAKER_03
283.7,285.2,SPEAKER_03
288.9,291.4,SPEAKER_03
297.1,297.9,SPEAKER_03
300.3,300.4,SPEAKER_03
301.1,303.2,SPEAKER_03
308.6,308.7,SPEAKER_03
308.7,308.8,SPEAKER_07
309.1,309.2,SPEAKER_03
310.3,312.3,SPEAKER_03
314.6,324.0,SPEAKER_03
327.1,328.0,SPEAKER_03
328.0,328.7,SPEAKER_02
328.7,328.8,SPEAKER_03
328.8,328.8,SPEAKER_02
332.5,334.0,SPEAKER_02
334.5,338.1,SPEAKER_02
338.4,338.5,SPEAKER_03
338.5,338.6,SPEAKER_02
338.6,338.7,SPEAKER_03
338.7,338.7,SPEAKER_02
339.0,339.4,SPEAKER_02
339.8,340.5,SPEAKER_02
340.1,341.9,SPEAKER_03
342.0,342.0,SPEAKER_03
342.1,343.5,SPEAKER_03
345.1,346.0,SPEAKER_02
346.9,347.4,SPEAKER_02
349.0,351.0,SPEAKER_02
352.2,355.0,SPEAKER_02
355.8,356.1,SPEAKER_02
357.0,357.5,SPEAKER_02
358.1,359.2,SPEAKER_02
359.5,360.1,SPEAKER_02
360.1,361.8,SPEAKER_03
365.2,366.3,SPEAKER_03
366.9,368.9,SPEAKER_03
369.1,370.8,SPEAKER_03
371.0,371.4,SPEAKER_03
371.5,371.7,SPEAKER_03
373.0,375.3,SPEAKER_03
376.0,376.7,SPEAKER_03
377.2,378.2,SPEAKER_03
379.5,381.0,SPEAKER_03
381.6,384.7,SPEAKER_03
385.0,387.7,SPEAKER_03
388.1,390.8,SPEAKER_03
391.4,392.6,SPEAKER_03
393.3,394.4,SPEAKER_03
395.1,396.9,SPEAKER_02
396.9,397.4,SPEAKER_03
399.6,404.3,SPEAKER_03
405.2,406.3,SPEAKER_03
407.2,407.3,SPEAKER_02
407.3,407.3,SPEAKER_03
407.3,407.3,SPEAKER_02
407.3,407.9,SPEAKER_03
407.3,407.7,SPEAKER_02
407.9,408.3,SPEAKER_02
408.5,410.7,SPEAKER_03
409.8,409.9,SPEAKER_02
410.7,410.8,SPEAKER_02
411.3,413.5,SPEAKER_03
412.3,412.8,SPEAKER_02
414.1,417.5,SPEAKER_03
