start,stop,speaker
12.8,25.5,SPEAKER_09
26.7,28.2,SPEAKER_09
29.6,42.6,SPEAKER_09
44.0,45.0,SPEAKER_09
45.0,46.2,SPEAKER_00
46.8,54.4,SPEAKER_00
55.5,57.2,SPEAKER_00
72.0,74.1,SPEAKER_14
75.5,81.4,SPEAKER_01
81.6,85.1,SPEAKER_01
89.5,90.5,SPEAKER_04
89.8,90.0,SPEAKER_18
90.5,94.0,SPEAKER_18
94.4,95.9,SPEAKER_04
95.7,96.3,SPEAKER_18
99.7,101.4,SPEAKER_04
101.8,103.5,SPEAKER_18
103.6,105.8,SPEAKER_04
105.8,109.1,SPEAKER_18
108.7,108.8,SPEAKER_04
109.1,112.3,SPEAKER_04
112.3,115.5,SPEAKER_18
116.1,120.8,SPEAKER_18
120.9,124.0,SPEAKER_04
124.0,130.6,SPEAKER_18
130.8,135.6,SPEAKER_04
135.6,136.3,SPEAKER_18
136.3,139.5,SPEAKER_04
139.2,141.6,SPEAKER_18
141.6,146.5,SPEAKER_04
146.2,152.5,SPEAKER_18
152.4,154.2,SPEAKER_04
154.2,156.4,SPEAKER_04
156.7,156.7,SPEAKER_18
156.7,165.8,SPEAKER_16
167.4,169.3,SPEAKER_16
169.4,172.2,SPEAKER_18
172.0,175.3,SPEAKER_16
176.5,178.7,SPEAKER_16
190.5,190.6,SPEAKER_04
190.6,191.6,SPEAKER_14
191.6,192.0,SPEAKER_04
192.5,194.0,SPEAKER_13
194.0,194.0,SPEAKER_04
194.0,195.2,SPEAKER_04
195.2,196.6,SPEAKER_13
196.2,200.3,SPEAKER_04
200.8,203.4,SPEAKER_13
203.5,211.2,SPEAKER_04
211.2,212.8,SPEAKER_13
212.9,218.9,SPEAKER_04
219.2,223.1,SPEAKER_13
225.3,226.1,SPEAKER_13
226.4,228.6,SPEAKER_04
230.7,231.0,SPEAKER_04
236.4,236.4,SPEAKER_14
236.4,236.6,SPEAKER_04
236.6,236.7,SPEAKER_14
237.6,238.7,SPEAKER_13
241.3,254.9,SPEAKER_04
259.8,267.8,SPEAKER_04
268.2,277.3,SPEAKER_13
278.8,281.8,SPEAKER_04
282.0,285.3,SPEAKER_04
285.5,287.6,SPEAKER_04
290.5,294.3,SPEAKER_04
294.5,298.4,SPEAKER_13
298.6,299.7,SPEAKER_04
303.9,305.0,SPEAKER_04
305.0,305.0,SPEAKER_02
305.0,305.0,SPEAKER_04
308.6,311.5,SPEAKER_02
311.9,311.9,SPEAKER_02
311.9,313.0,SPEAKER_04
313.0,313.1,SPEAKER_02
313.9,319.2,SPEAKER_02
319.3,322.8,SPEAKER_15
322.8,322.9,SPEAKER_04
323.1,323.3,SPEAKER_02
323.3,323.7,SPEAKER_14
326.1,326.8,SPEAKER_04
326.9,329.8,SPEAKER_04
330.1,332.0,SPEAKER_04
338.6,341.0,SPEAKER_04
341.5,341.5,SPEAKER_04
341.5,341.6,SPEAKER_02
341.6,341.7,SPEAKER_04
341.7,342.3,SPEAKER_02
341.9,341.9,SPEAKER_04
342.0,342.0,SPEAKER_04
342.3,342.3,SPEAKER_04
342.3,342.3,SPEAKER_15
342.8,344.2,SPEAKER_04
344.6,351.3,SPEAKER_02
352.8,357.3,SPEAKER_04
358.2,358.9,SPEAKER_02
359.1,361.5,SPEAKER_04
362.7,364.1,SPEAKER_02
364.3,365.3,SPEAKER_04
365.5,366.6,SPEAKER_04
366.3,366.5,SPEAKER_02
366.6,366.6,SPEAKER_02
366.6,366.6,SPEAKER_04
366.9,370.8,SPEAKER_04
372.6,376.8,SPEAKER_04
375.8,376.8,SPEAKER_13
376.8,377.0,SPEAKER_02
377.0,378.9,SPEAKER_04
379.3,384.5,SPEAKER_13
384.5,385.5,SPEAKER_02
385.9,394.8,SPEAKER_02
395.0,402.2,SPEAKER_02
403.1,414.2,SPEAKER_02
415.7,417.8,SPEAKER_04
419.0,419.0,SPEAKER_04
432.7,434.4,SPEAKER_16
437.0,439.5,SPEAKER_16
439.6,440.5,SPEAKER_16
440.5,440.5,SPEAKER_15
440.5,440.6,SPEAKER_16
440.6,440.8,SPEAKER_15
440.8,440.8,SPEAKER_16
440.8,440.9,SPEAKER_15
440.9,441.1,SPEAKER_16
441.1,441.2,SPEAKER_15
441.2,444.0,SPEAKER_16
444.5,453.6,SPEAKER_16
454.8,455.0,SPEAKER_16
455.0,457.0,SPEAKER_18
457.0,458.6,SPEAKER_17
458.6,458.7,SPEAKER_18
458.9,466.1,SPEAKER_18
467.8,474.0,SPEAKER_18
474.0,474.7,SPEAKER_17
475.2,478.7,SPEAKER_17
479.7,482.8,SPEAKER_17
482.9,486.5,SPEAKER_17
487.0,489.7,SPEAKER_17
489.7,489.7,SPEAKER_14
490.0,532.4,SPEAKER_17
533.0,534.1,SPEAKER_18
534.1,534.6,SPEAKER_17
534.6,534.9,SPEAKER_18
535.7,536.6,SPEAKER_18
537.1,545.1,SPEAKER_17
546.0,546.4,SPEAKER_08
546.6,550.6,SPEAKER_08
550.1,550.2,SPEAKER_17
550.2,550.2,SPEAKER_00
550.2,550.3,SPEAKER_17
550.3,550.3,SPEAKER_00
551.0,556.7,SPEAKER_08
552.7,552.9,SPEAKER_17
553.2,553.6,SPEAKER_00
556.9,558.0,SPEAKER_08
558.0,560.1,SPEAKER_18
560.1,560.1,SPEAKER_08
560.1,560.1,SPEAKER_18
561.4,564.2,SPEAKER_18
564.2,567.6,SPEAKER_08
567.6,567.7,SPEAKER_18
568.9,579.3,SPEAKER_18
581.9,584.1,SPEAKER_18
584.9,590.9,SPEAKER_18
591.5,599.0,SPEAKER_18
597.0,597.1,SPEAKER_08
597.1,597.4,SPEAKER_11
597.4,597.4,SPEAKER_08
599.0,599.0,SPEAKER_08
599.0,599.8,SPEAKER_18
599.9,611.3,SPEAKER_18
611.7,613.4,SPEAKER_16
614.3,617.9,SPEAKER_16
617.9,622.5,SPEAKER_18
622.5,625.6,SPEAKER_16
625.7,626.5,SPEAKER_18
626.8,630.1,SPEAKER_18
630.1,630.6,SPEAKER_16
631.0,636.0,SPEAKER_18
636.1,642.9,SPEAKER_15
639.0,639.2,SPEAKER_18
639.2,639.2,SPEAKER_11
643.0,644.4,SPEAKER_11
644.4,645.2,SPEAKER_15
645.6,647.0,SPEAKER_11
647.0,647.0,SPEAKER_11
647.3,649.9,SPEAKER_11
650.1,650.1,SPEAKER_11
650.1,653.5,SPEAKER_15
653.5,653.6,SPEAKER_11
653.6,653.6,SPEAKER_15
653.6,653.8,SPEAKER_11
653.8,654.1,SPEAKER_15
655.7,657.1,SPEAKER_14
657.1,657.1,SPEAKER_11
657.2,657.2,SPEAKER_11
657.2,657.2,SPEAKER_15
657.2,663.4,SPEAKER_04
663.9,664.5,SPEAKER_04
663.9,664.0,SPEAKER_14
664.0,664.3,SPEAKER_13
664.3,664.4,SPEAKER_14
665.0,674.3,SPEAKER_04
674.8,678.9,SPEAKER_12
679.1,686.2,SPEAKER_04
686.3,687.9,SPEAKER_13
687.9,688.8,SPEAKER_04
688.8,696.5,SPEAKER_13
696.7,699.6,SPEAKER_04
699.6,699.6,SPEAKER_15
699.9,702.4,SPEAKER_13
702.7,705.5,SPEAKER_15
707.3,708.6,SPEAKER_15
708.6,708.6,SPEAKER_04
709.0,709.4,SPEAKER_04
713.7,717.6,SPEAKER_04
717.6,717.6,SPEAKER_15
718.9,720.3,SPEAKER_04
721.2,733.0,SPEAKER_04
733.0,754.4,SPEAKER_02
754.7,755.8,SPEAKER_13
756.1,767.2,SPEAKER_02
777.7,778.2,SPEAKER_17
779.6,782.6,SPEAKER_17
790.2,791.8,SPEAKER_17
792.1,793.4,SPEAKER_17
793.7,795.1,SPEAKER_17
796.5,798.2,SPEAKER_17
798.4,800.1,SPEAKER_17
802.6,803.8,SPEAKER_17
804.7,806.3,SPEAKER_17
806.7,809.2,SPEAKER_17
809.5,810.3,SPEAKER_17
810.9,838.4,SPEAKER_17
838.9,841.2,SPEAKER_17
841.3,847.7,SPEAKER_17
848.1,851.3,SPEAKER_17
852.5,857.4,SPEAKER_17
858.8,859.0,SPEAKER_14
859.0,865.6,SPEAKER_05
871.4,871.5,SPEAKER_14
871.5,872.2,SPEAKER_05
872.5,872.5,SPEAKER_05
873.3,873.8,SPEAKER_14
874.2,876.7,SPEAKER_05
877.8,879.2,SPEAKER_03
879.7,881.0,SPEAKER_03
881.8,884.7,SPEAKER_07
884.9,885.0,SPEAKER_07
885.0,885.4,SPEAKER_03
885.4,885.4,SPEAKER_07
885.4,887.9,SPEAKER_03
888.4,889.5,SPEAKER_07
889.8,892.1,SPEAKER_07
890.2,890.8,SPEAKER_03
892.1,892.4,SPEAKER_03
892.4,892.5,SPEAKER_07
892.6,894.7,SPEAKER_07
895.2,895.2,SPEAKER_07
895.2,895.8,SPEAKER_03
895.2,902.5,SPEAKER_07
895.8,895.8,SPEAKER_06
902.5,903.4,SPEAKER_06
902.5,903.3,SPEAKER_07
904.3,904.3,SPEAKER_07
904.3,913.5,SPEAKER_06
910.8,911.5,SPEAKER_00
914.1,918.0,SPEAKER_06
918.0,921.0,SPEAKER_07
920.5,921.0,SPEAKER_06
921.0,927.7,SPEAKER_07
927.8,933.3,SPEAKER_07
928.0,928.4,SPEAKER_06
934.3,934.3,SPEAKER_07
934.3,940.1,SPEAKER_06
941.1,943.1,SPEAKER_06
943.9,944.1,SPEAKER_06
944.5,950.4,SPEAKER_06
961.7,968.1,SPEAKER_03
968.6,971.7,SPEAKER_03
971.8,971.8,SPEAKER_03
971.8,972.7,SPEAKER_04
973.1,977.1,SPEAKER_03
977.3,977.3,SPEAKER_03
977.3,977.4,SPEAKER_04
977.4,979.0,SPEAKER_03
981.4,983.2,SPEAKER_03
985.6,987.4,SPEAKER_16
987.8,988.3,SPEAKER_16
988.3,988.7,SPEAKER_18
988.7,988.8,SPEAKER_16
988.8,988.9,SPEAKER_18
990.2,990.8,SPEAKER_18
994.5,998.0,SPEAKER_04
998.2,998.8,SPEAKER_18
998.8,998.8,SPEAKER_04
998.8,999.9,SPEAKER_04
1000.3,1004.6,SPEAKER_18
1004.6,1007.1,SPEAKER_04
1007.5,1008.9,SPEAKER_04
1009.1,1010.4,SPEAKER_18
1011.6,1013.9,SPEAKER_18
1014.1,1027.5,SPEAKER_14
1034.0,1039.0,SPEAKER_17
1039.0,1045.0,SPEAKER_16
1045.6,1045.6,SPEAKER_16
1045.6,1046.9,SPEAKER_17
1047.5,1052.0,SPEAKER_17
1052.0,1058.1,SPEAKER_16
1065.0,1077.8,SPEAKER_18
1079.3,1080.3,SPEAKER_18
1081.3,1081.6,SPEAKER_18
1084.3,1086.3,SPEAKER_18
1086.3,1089.5,SPEAKER_04
1089.5,1092.1,SPEAKER_18
1092.1,1093.0,SPEAKER_04
1093.0,1093.4,SPEAKER_15
1093.9,1095.2,SPEAKER_15
1095.2,1103.1,SPEAKER_04
1103.1,1105.1,SPEAKER_18
1105.3,1105.3,SPEAKER_04
1105.3,1109.3,SPEAKER_15
1109.6,1112.5,SPEAKER_18
1112.7,1114.0,SPEAKER_15
1114.4,1115.5,SPEAKER_03
1115.9,1116.7,SPEAKER_03
1120.5,1122.6,SPEAKER_17
1123.1,1123.9,SPEAKER_17
1135.9,1139.3,SPEAKER_16
1139.4,1140.6,SPEAKER_04
1141.2,1143.8,SPEAKER_18
1143.9,1146.4,SPEAKER_04
1146.7,1151.2,SPEAKER_18
1151.2,1157.7,SPEAKER_16
1157.7,1160.9,SPEAKER_04
1161.2,1161.2,SPEAKER_16
1161.2,1162.6,SPEAKER_18
1168.0,1168.0,SPEAKER_18
1168.0,1168.3,SPEAKER_04
1168.3,1168.7,SPEAKER_13
1168.7,1168.7,SPEAKER_18
1169.0,1169.0,SPEAKER_18
1169.1,1172.7,SPEAKER_04
1173.4,1178.1,SPEAKER_13
1178.3,1179.9,SPEAKER_04
1180.6,1192.8,SPEAKER_04
1208.5,1209.1,SPEAKER_14
1209.6,1210.4,SPEAKER_14
1212.7,1213.3,SPEAKER_14
1220.0,1220.0,SPEAKER_11
1220.0,1220.4,SPEAKER_13
1222.2,1223.2,SPEAKER_04
1223.3,1224.0,SPEAKER_13
