start,stop,speaker
12.8,21.2,SPEAKER_09
21.2,21.9,SPEAKER_00
21.5,21.7,SPEAKER_09
21.7,21.8,SPEAKER_09
21.8,21.8,SPEAKER_09
21.9,25.6,SPEAKER_09
26.7,28.2,SPEAKER_09
29.7,42.6,SPEAKER_09
40.1,40.2,SPEAKER_00
40.2,40.6,SPEAKER_37
40.6,40.7,SPEAKER_00
44.1,46.0,SPEAKER_09
47.0,54.3,SPEAKER_09
55.5,57.2,SPEAKER_09
59.2,59.2,SPEAKER_01
59.2,59.2,SPEAKER_09
59.2,59.6,SPEAKER_01
59.6,59.7,SPEAKER_09
59.7,62.3,SPEAKER_01
62.5,68.1,SPEAKER_01
70.8,73.5,SPEAKER_01
73.7,73.9,SPEAKER_01
74.0,76.8,SPEAKER_01
77.5,79.8,SPEAKER_01
83.1,83.2,SPEAKER_01
84.5,84.6,SPEAKER_01
85.3,85.5,SPEAKER_01
85.5,91.5,SPEAKER_01
97.6,98.7,SPEAKER_43
98.8,100.0,SPEAKER_43
103.7,104.4,SPEAKER_43
104.7,107.4,SPEAKER_43
108.1,109.5,SPEAKER_43
109.9,111.4,SPEAKER_43
115.3,115.6,SPEAKER_43
116.3,117.5,SPEAKER_43
123.5,125.7,SPEAKER_43
131.4,132.2,SPEAKER_43
135.3,136.5,SPEAKER_43
140.7,143.8,SPEAKER_43
154.4,156.4,SPEAKER_43
156.9,158.2,SPEAKER_43
158.8,160.5,SPEAKER_43
177.3,177.8,SPEAKER_13
179.3,181.0,SPEAKER_13
181.0,182.8,SPEAKER_11
192.3,193.3,SPEAKER_16
193.6,194.7,SPEAKER_16
198.0,198.3,SPEAKER_13
198.5,203.0,SPEAKER_13
215.9,217.6,SPEAKER_32
218.6,220.9,SPEAKER_32
221.2,223.6,SPEAKER_45
224.4,225.8,SPEAKER_31
226.2,233.0,SPEAKER_31
233.0,233.8,SPEAKER_17
233.8,234.1,SPEAKER_31
234.1,237.7,SPEAKER_17
238.1,238.2,SPEAKER_13
239.3,252.0,SPEAKER_17
252.5,252.5,SPEAKER_17
252.5,252.5,SPEAKER_31
252.5,253.2,SPEAKER_17
253.3,254.5,SPEAKER_17
254.8,255.3,SPEAKER_17
255.8,257.5,SPEAKER_31
257.9,261.9,SPEAKER_17
261.3,262.2,SPEAKER_31
262.2,263.1,SPEAKER_17
263.1,266.1,SPEAKER_31
266.3,266.4,SPEAKER_31
266.4,267.7,SPEAKER_06
267.7,268.6,SPEAKER_31
269.6,270.5,SPEAKER_31
270.9,272.1,SPEAKER_06
272.3,272.4,SPEAKER_31
273.2,277.3,SPEAKER_31
277.3,279.7,SPEAKER_06
280.3,283.2,SPEAKER_06
288.2,289.8,SPEAKER_17
305.3,307.6,SPEAKER_32
309.4,310.5,SPEAKER_16
311.7,313.0,SPEAKER_16
314.2,314.9,SPEAKER_31
315.0,315.0,SPEAKER_31
315.1,317.7,SPEAKER_31
318.6,320.8,SPEAKER_16
321.2,321.2,SPEAKER_16
