"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you are your TV, they are the movements, they are the movements.",12800,21200,"SPEAKER_04"
29000,35000,"So come with me, give me your hand, I'll take you up to a moment land.",26700,28200,"SPEAKER_04"
35000,46000,"You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",29700,42600,"SPEAKER_04"
46000,58000,"There were the movements, there were the movements, there were the movements, there were the movements.",44100,46000,"SPEAKER_04"
76000,77400,"Clap Clap Clap Clap",74000,76800,"SPEAKER_00"
77480,80100,"Clap Clap, and then clap",74000,76800,"SPEAKER_00"
82320,85300,"Pap dap dap dap bap bap",77500,79800,"SPEAKER_00"
88380,91920,"Pap dap dap, tap dap bap bap bap",85500,91500,"SPEAKER_00"
97700,101560,"Have you ever heard of Moon & Valley...",97600,98700,"SPEAKER_07"
101560,110440,"In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",98800,1e+05,"SPEAKER_07"
110440,112640,"keep warm.",109900,111400,"SPEAKER_07"
112640,123760,"Look, there's a woman house.",109900,111400,"SPEAKER_07"
123760,131480,"There's a woman, our hero.",123500,125700,"SPEAKER_07"
131480,140920,"A woman, Papa, and a woman, Mama.",131400,132200,"SPEAKER_07"
140920,154440,"And this little bundle must be little my.",140700,143800,"SPEAKER_07"
154440,161440,"I think before our story starts, we better wake everyone up with some spring sunshine.",154400,156400,"SPEAKER_07"
184440,194440,"At last, it's spring.",179300,182800,"SPEAKER_14"
194440,201440,"Wake up everyone, it's spring time.",193600,194700,"SPEAKER_12"
201440,218440,"Oh, little my, you're up.",198500,203000,"SPEAKER_14"
218440,224440,"It's hard to stay asleep with you yelling, I can't help it if I'm happy.",215900,217600,"SPEAKER_12"
224440,230040,"So yeah woke me, I was having a lovely dream about living in a watermelon, but it's beautiful",224400,225800,"SPEAKER_12"
230040,231040,"outside.",226200,237700,"SPEAKER_12"
231040,234040,"Oh gee, isn't it, is it really moving?",226200,237700,"SPEAKER_12"
234040,239040,"Yes, it's all fresh, the flowers are out and the sun is shining.",226200,237700,"SPEAKER_12"
239040,241040,"So, I like being asleep.",238200,238200,"SPEAKER_14"
239040,241040,"So, I like being asleep.",238200,238200,"SPEAKER_12"
241040,242040,"But it's spring.",239300,252000,"SPEAKER_12"
242040,245040,"You said you wanted me to wake you as soon as spring was here.",239300,252000,"SPEAKER_12"
245040,247040,"Oh boy, did I?",239300,252000,"SPEAKER_12"
247040,249040,"Yes, you did, little my.",239300,252000,"SPEAKER_12"
249040,252040,"You said you wanted to be a welcome as soon as spring was here.",239300,252000,"SPEAKER_12"
252040,253040,"Really?",239300,252000,"SPEAKER_12"
253040,255040,"Yes, you did.",252500,253200,"SPEAKER_12"
255040,258040,"Did I say something like that?",254800,255300,"SPEAKER_12"
258040,260040,"I can go back to bed if you want to.",257900,266100,"SPEAKER_12"
260040,262040,"Nobody's making you get up, little my.",257900,266100,"SPEAKER_12"
262040,265040,"No, there's really no point, movement.",261300,261900,"SPEAKER_14"
265040,266040,"I'm not sleepy anymore.",261300,261900,"SPEAKER_14"
266040,269040,"Well, there you are then.",261300,261900,"SPEAKER_14"
269040,271040,"Mama!",267700,268600,"SPEAKER_12"
271040,273040,"Good spring, movement.",270900,272100,"SPEAKER_09"
273040,274040,"Movement, mama.",272300,272400,"SPEAKER_12"
274040,275040,"I'm starving.",273200,277300,"SPEAKER_12"
275040,277040,"Have you got any watermelon?",273200,277300,"SPEAKER_12"
277040,280040,"No, but there's lots of other things.",273200,277300,"SPEAKER_12"
280040,284040,"We'll all have a nice big breakfast.",277300,279700,"SPEAKER_09"
288040,291040,"I can hear a snuff gun.",280300,283200,"SPEAKER_09"
305040,309040,"Wouldn't it be quicker to use the stairs?",288200,289800,"SPEAKER_12"
309040,311040,"More fun this way.",305300,307600,"SPEAKER_12"
311040,314040,"Are you going home now?",309400,310500,"SPEAKER_12"
314040,315040,"Yes.",311700,313000,"SPEAKER_12"
315040,318040,"Thanks very much for letting me spend the winter here.",315000,315000,"SPEAKER_12"
318040,321040,"Don't think your sister will be back yet, though.",315100,317700,"SPEAKER_12"
321040,323040,"I'll go anyway.",318600,320800,"SPEAKER_12"
329040,331040,"Snuff gun!",321100,322400,"SPEAKER_12"
331040,333040,"Oh, hello, movement.",329300,330500,"SPEAKER_12"
333040,336040,"It's really good to see you, snuff gun.",331800,332900,"SPEAKER_06"
336040,337040,"And you too?",336000,336100,"SPEAKER_12"
337040,338040,"You're back, Arlie.",336100,337100,"SPEAKER_06"
338040,340040,"Won't you have a good time?",337200,339900,"SPEAKER_12"
340040,342040,"Yes, I was.",340000,341300,"SPEAKER_06"
