"start_text","end","text","start_sub","stop","speaker"
20920,30760,"me here for you on your TV they are the moments they are the moments so come",13200,21700,"SPEAKER_10"
30760,37600,"with me give me your hand I'll take you up to a moment land you can fly just",30000,43000,"SPEAKER_10"
37600,45920,"like a bird sing that song ever there were the moments there were the moments",30000,43000,"SPEAKER_10"
45920,57920,"there were the moments there were the moments there were the moments",44400,46000,"SPEAKER_10"
75920,87920,"there were the moments there were the moments there were the moments",74400,80100,"SPEAKER_01"
106920,111720,"snuffkin this put up his tent on the river bank he likes being on his own",86000,91900,"SPEAKER_01"
111720,116680,"and has decided to stay there until winter comes happy and a peace with the",110600,111900,"SPEAKER_00"
116680,118200,"world",112000,117200,"SPEAKER_00"
118200,127160,"moman loves to spend as much time as he can his friend snuffkin snuffkin snuffkin",112000,117200,"SPEAKER_00"
127160,132320,"snuffkin where are you he must have forgotten I was coming and gone off",126800,126800,"SPEAKER_13"
127160,132320,"snuffkin where are you he must have forgotten I was coming and gone off",126800,127800,"SPEAKER_02"
132320,137960,"somewhere how can he enjoy being here on his own I'd like to be alone now and",130200,132900,"SPEAKER_13"
137960,143160,"then you know oh silly let's go and explore let's leave it till tomorrow snork",134200,143000,"SPEAKER_13"
143160,149040,"maiden but we said we'd go today yeah we did too moman you are the one that said it",143000,143800,"SPEAKER_02"
149040,155680,"you know you did I didn't you did too all you must come we're going to collect",144100,157100,"SPEAKER_02"
155680,161920,"shells on the beach come on it'll be fun oh no",144100,157100,"SPEAKER_02"
161920,177200,"hey it's sniff where are you guys going oh I envy snuffkin oh why do I just do I wonder",159900,160700,"SPEAKER_02"
177200,185360,"where snuffkin has gone I wonder if we'll ever find anything is exciting as the",176600,178900,"SPEAKER_13"
185360,192160,"hat yeah it was very special that hat did you really throw it in the river yeah I",182100,185900,"SPEAKER_12"
192160,196720,"wish you hadn't it was much too dangerous to keep look at the horrible things",192000,193200,"SPEAKER_12"
196720,201440,"it did to me but what about the eggshells it turned into clown yeah it was good fun",193200,197700,"SPEAKER_13"
201440,207800,"flying around perhaps I'll find an oyster with a huge pearl inside",200400,202400,"SPEAKER_13"
215440,217440,"oh",203100,206000,"SPEAKER_12"
229920,238720,"moman moman moman moman wake up snork maiden needs help what what's happened we were",222800,223100,"SPEAKER_03"
