"start_text","end","text","start_sub","stop","speaker"
20800,33040,"me here for you on your TV they are the movements they are the movements so come with me give me your hand",13100,21500,"SPEAKER_12"
33040,42000,"I'll take you up to a moment land you can fly just like a bird sing that song ever there with the",29900,42900,"SPEAKER_12"
42000,56640,"movements there was the movements there was the movements there was the",29900,42900,"SPEAKER_12"
72000,102000,"La la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la",71000,73700,"SPEAKER_00"
102000,132000,"La la la la la una la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la",85800,91800,"SPEAKER_00"
132000,136000,"And you know how hungry the sea air made you all last time we went out on a boat.",131000,132200,"SPEAKER_10"
136000,138000,"You'd have been glad of food then.",132200,137800,"SPEAKER_04"
138000,141000,"You got to rough it a bit if you want an adventure.",132200,137800,"SPEAKER_04"
141000,144000,"Yes, but it will be more fun with coffee and pancakes.",138500,141300,"SPEAKER_10"
147000,149000,"Aren't you two ready yet?",141100,144100,"SPEAKER_04"
158000,160000,"Hello, Mummin!",150400,158800,"SPEAKER_08"
161000,163000,"Hi, Snorgvagan!",160900,160900,"SPEAKER_08"
161000,163000,"Hi, Snorgvagan!",160900,165800,"SPEAKER_07"
174000,176000,"Must you use that ladder?",174000,182100,"SPEAKER_02"
176000,177000,"I'm all right.",174000,182100,"SPEAKER_02"
177000,180000,"Mummin, you're going to hurt yourself one of these days.",174000,182100,"SPEAKER_02"
180000,182000,"It's good practice. It's Snorg coming with us.",174000,182100,"SPEAKER_02"
182000,186000,"He says he hasn't got time for sailing boats at the moment.",174000,182100,"SPEAKER_02"
187000,191000,"I'd much rather a real sailing boat than a paper flying ship any day.",182700,186300,"SPEAKER_02"
195000,197000,"Are Mumma and Papa ready yet?",188200,191900,"SPEAKER_02"
197000,199000,"They're packing up half the kitchen.",196100,199300,"SPEAKER_02"
199000,201000,"Oh, it's too full.",196100,199300,"SPEAKER_02"
203000,205000,"Have we got to take all that with us?",200300,202000,"SPEAKER_10"
205000,209000,"Mumma thinks it's better to be safe than sorry and she's usually right.",204400,209500,"SPEAKER_10"
209000,212000,"Tell me, Mummin, where exactly are we going?",204400,209500,"SPEAKER_10"
212000,214000,"We haven't decided yet.",209800,214400,"SPEAKER_02"
214000,216000,"That's right. Wait and see.",209800,214400,"SPEAKER_02"
216000,218000,"Let's see.",214700,216700,"SPEAKER_10"
242000,244000,"Mr. Hamulin?",238900,239600,"SPEAKER_08"
