"start_text","end","text","start_sub","stop","speaker"
21000,30800,"me here for you on your TV they are the moments they are the moments so come",13200,21600,"SPEAKER_17"
30800,37600,"with me give me your hand I'll take you up to a moment land you can fly just",30100,43000,"SPEAKER_17"
37600,45040,"like a bird sing the best song ever there were the moments there were the",30100,43000,"SPEAKER_17"
45040,58180,"moments there was the moments there was the moments there was the moments",44500,46400,"SPEAKER_17"
75040,105040,"La la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la",74300,76900,"SPEAKER_00"
105040,117920,"la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la lㅋㅋㅋㅋ",86100,91900,"SPEAKER_00"
118920,123840,"papa, I think that rope is getting loose. Okay momen, you'd better have a look before this wind has the whole tent down.",116500,119100,"SPEAKER_06"
123840,127560,"me yes captain",123800,124600,"SPEAKER_06"
127560,130560,"The sudden storm has hit the hafifat in his island.",127400,130300,"SPEAKER_01"
136560,140560,"Moomin Papa has decided that it would be far safer to stay the night on the island,",136500,140600,"SPEAKER_01"
140560,143560,"so they put up the tent and moored the boat.",136500,140600,"SPEAKER_01"
154560,156560,"This will show us what the weather's up to.",154500,156400,"SPEAKER_06"
156560,158560,"That's as long as it's still working.",154500,156400,"SPEAKER_06"
158560,161560,"I'm sure it's going to die down really soon.",156600,158500,"SPEAKER_06"
161560,163560,"Oh, wake up, Mr. Hemelon.",159200,159200,"SPEAKER_05"
161560,163560,"Oh, wake up, Mr. Hemelon.",159200,163800,"SPEAKER_12"
163560,168560,"When the storm clears, we must give this barometer straight back to the hafifatness.",159200,159200,"SPEAKER_05"
163560,168560,"When the storm clears, we must give this barometer straight back to the hafifatness.",159200,163800,"SPEAKER_12"
168560,173560,"Oh, I quite fancy keeping it myself to remind me of the island.",164100,169000,"SPEAKER_12"
173560,175560,"You know, it seems to work after all.",169000,175000,"SPEAKER_04"
175560,180560,"But Mr. Hemelon, that'll only remind you of the horrible hafifatness.",175000,175600,"SPEAKER_05"
180560,182560,"What about all the tons of plants you've found?",176200,184900,"SPEAKER_05"
182560,185560,"That surely is going to be enough?",176200,184900,"SPEAKER_05"
