"start_text","end","text","start_sub","stop","speaker"
20760,30600,"me here for you on your TV they are the moments they are the moments so come",13000,21600,"SPEAKER_17"
30600,37440,"with me give me your hand I'll take you up to a moment land you can fly just",29800,42800,"SPEAKER_17"
37440,46240,"like a bird sing that song ever there were the moments there were the moments",29800,42800,"SPEAKER_17"
46240,58240,"there were the moments there were the moments there were the moments",45000,46300,"SPEAKER_02"
76240,88240,"there were the moments there were the moments there were the moments",70900,80000,"SPEAKER_00"
88240,100240,"there were the moments there were the moments there were the moments",85400,91700,"SPEAKER_00"
100240,112240,"there you are",85400,91700,"SPEAKER_00"
112240,122240,"oops",105500,106300,"SPEAKER_09"
122240,132240,"we weren't looking where we were going that's all right thank you think of me are you going out",122000,122300,"SPEAKER_06"
132240,140240,"yes for a walk we'll have fun",131700,132800,"SPEAKER_14"
140240,146240,"it seems that thingamy and bob are well and truly part of movement house now",140000,140400,"SPEAKER_09"
146240,150960,"luckily they don't eat a lot and are small enough to find the pencils that fall",143500,146100,"SPEAKER_10"
150960,158240,"between the floorboards in the porch",148600,153200,"SPEAKER_10"
158240,164240,"hey this looks like a great hiding place nobody would ever find it here",158200,160400,"SPEAKER_06"
164240,168800,"come on bob let's go get the suitcase man are you sure it's not safe for an",160700,162600,"SPEAKER_06"
168800,175800,"arm what would you say someone went in when we went there you wouldn't like it would",167400,169300,"SPEAKER_07"
175800,182800,"you I think the movements are much too nice to do anything like that it's not",174600,176100,"SPEAKER_06"
182800,189800,"them it's the guess I'm thinking about you know the movements let anybody stay",182600,187800,"SPEAKER_06"
189800,196800,"snorke maiden you lied to me little my homie",182600,187800,"SPEAKER_06"
196800,202800,"moment still has the shell that I gave him but you said that he didn't impossible",193400,225500,"SPEAKER_05"
202800,208800,"movement mama gave it to the grove I was there when she did it look I saw it he showed it to me",193400,225500,"SPEAKER_05"
208800,214800,"are you really sure was it the same one of course it was I'm not stupid you know",193400,225500,"SPEAKER_05"
214800,220800,"that's very odd I saw her do it with my own eyes well I'll go and ask moving right now",193400,225500,"SPEAKER_05"
220800,227800,"little my it's a bit awkward but if I'm going to be honest snorke maiden what well",193400,225500,"SPEAKER_05"
227800,232800,"I've decided that from now on I'm only going to tell the truth oh yes and I found",226400,236000,"SPEAKER_05"
232800,237800,"something you might be interested in what is it mumble and I were down on the beach",226400,236000,"SPEAKER_05"
237800,241800,"yesterday and you remember all those things we found washed up by the storm do you",236300,245100,"SPEAKER_05"
241800,246800,"mean on the hatty fatter's island that we sailed to yes and do you remember the",236300,245100,"SPEAKER_05"
246800,251800,"figurehead that movement like best of all you know the lady made of wood and",245900,262300,"SPEAKER_05"
251800,257800,"painted she was really lovely wasn't she yes I remember movement wanted to keep it",245900,262300,"SPEAKER_05"
257800,263800,"so what about it well it's here on the beach it was still the same as beautiful",245900,262300,"SPEAKER_05"
263800,268800,"as ever we said the same one yes I remember her pretty face don't legs though",263300,264700,"SPEAKER_05"
268800,274800,"she's just a silly wooden doll oh I know that but she's got those gorgeous eyes and",265200,279800,"SPEAKER_05"
274800,279800,"lovely long hair little my why all this fuss about this silly figurehead",265200,279800,"SPEAKER_05"
279800,283800,"trust him only someone as stupid as movement could fall in love with a figurehead",265200,279800,"SPEAKER_05"
283800,288800,"it's probably still dreaming about her every night do you think it's still there",280200,287500,"SPEAKER_05"
288800,293800,"Jars snorke maiden if no one else has found her already do you think the ocean",287900,298900,"SPEAKER_05"
293800,298800,"might come and wash her away again why all these silly questions snorke maiden",287900,298900,"SPEAKER_05"
298800,304800,"woman would go and rescue her if he knew so that would be terrible I couldn't",287900,298900,"SPEAKER_05"
304800,310800,"bear it at all I really couldn't how pathetic he'll probably take her home",303200,307200,"SPEAKER_05"
310800,316800,"and keep her in his room forever my expect she's too big to go through the door",307900,313300,"SPEAKER_05"
316800,321800,"he'll just sit and stare at her with that lovesick look on his face I know he will",314100,329200,"SPEAKER_05"
321800,326800,"oh where are you going now I thought you were going to move in house I was but",314100,329200,"SPEAKER_05"
326800,328800,"there's something more important I have to do",314100,329200,"SPEAKER_05"
328800,335800,"okay it's clear",314100,329200,"SPEAKER_05"
344800,350800,"hey you two you're not leaving are you no we're just uh we're going",334700,335700,"SPEAKER_09"
350800,356800,"why have you got the suitcase them look woman would you help us with something",350000,352700,"SPEAKER_06"
356800,365800,"of course thank you very much woman oh that's okay it's a bit too big for you to",354400,357800,"SPEAKER_06"
365800,372800,"carry we can take it from here it's all right it's not very heavy",363300,367100,"SPEAKER_08"
372800,378800,"oh silly me it wouldn't be a very secret place if I'd seen it would it I'll see you",368900,370900,"SPEAKER_08"
378800,383800,"later don't be too long now of course I won't",373600,379200,"SPEAKER_08"
395800,401800,"hey what are you doing up there little my I'm coming down what does it look like",393000,394700,"SPEAKER_05"
401800,406800,"you're much too small to do that the rungs are too far apart for you to reach",396600,401500,"SPEAKER_05"
406800,413800,"just you watch me",406000,406000,"SPEAKER_08"
406800,413800,"just you watch me",406000,407000,"SPEAKER_05"
419800,425360,"movement I have a problem do you mind if I ask you something go ahead did",416600,416600,"SPEAKER_03"
419800,425360,"movement I have a problem do you mind if I ask you something go ahead did",416600,416900,"SPEAKER_05"
