"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you are your TV, they are the movements, they are the movements.",12800,21200,"SPEAKER_09"
29000,35000,"So come with me, give me your hand, I'll take you up to a moment land.",26700,28300,"SPEAKER_09"
35000,46000,"You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",29700,42600,"SPEAKER_09"
46000,58000,"there were the movements, there were the movements, there were the movements, there were the movements.",45000,46000,"SPEAKER_08"
76000,106000,"Ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba",74000,79800,"SPEAKER_00"
106000,136000,"ba-ba-ba-ba-ba-ba-ba-ba-ba-ba",85700,91500,"SPEAKER_00"
136000,139600,"Tiki's arrival was very welcome.",135000,139100,"SPEAKER_01"
139600,141340,"Good evening, Mom.",139600,140900,"SPEAKER_10"
141340,145280,"Tiki, come in.",141300,142800,"SPEAKER_10"
145280,147680,"Mama, Tiki's here.",145200,145200,"SPEAKER_03"
145280,147680,"Mama, Tiki's here.",145200,145800,"SPEAKER_10"
147680,150280,"Come on in, Minnie, a neat Moman.",146300,150800,"SPEAKER_10"
150280,153600,"Uh-oh.",146300,150800,"SPEAKER_10"
153600,155280,"Is there someone with you?",153500,158000,"SPEAKER_10"
155280,157400,"Yes, I brought my friend, Minnie.",153500,158000,"SPEAKER_10"
157400,162160,"Minnie, don't be shy.",153500,158000,"SPEAKER_10"
162160,163280,"Well, there's no one there.",162100,165800,"SPEAKER_10"
163280,164360,"Yes, there is.",162100,165800,"SPEAKER_10"
164360,166200,"You just can't see her.",162100,165800,"SPEAKER_10"
166200,167640,"Really?",166100,166800,"SPEAKER_10"
167640,172280,"Yes, I'm afraid she's very, very shy.",167600,170400,"SPEAKER_10"
172280,174480,"I'll leave the door open for you, Minnie.",172200,175800,"SPEAKER_10"
174480,176320,"Come in when you're ready.",172200,175800,"SPEAKER_10"
176320,178640,"She'll get soaked if she stays out there.",176200,182200,"SPEAKER_10"
178640,182680,"Maybe that doesn't matter very much if you're invisible.",176200,182200,"SPEAKER_10"
182680,183520,"Oh.",182600,183500,"SPEAKER_10"
186440,188320,"Tiki, how nice.",186400,186400,"SPEAKER_10"
186440,188320,"Tiki, how nice.",186400,188600,"SPEAKER_04"
188320,193120,"What is everyone looking at?",186400,186400,"SPEAKER_10"
188320,193120,"What is everyone looking at?",186400,188600,"SPEAKER_04"
193120,203920,"About Minnie, you know sometimes when people are very frightened, they can become invisible",191300,193300,"SPEAKER_04"
203920,206160,"to the people around them.",202600,205300,"SPEAKER_10"
206160,211720,"Poor Minnie, she's looked after by an aunt who doesn't like her and is really horrible",202600,205300,"SPEAKER_10"
211720,215840,"to her and who only does it because she thinks it's her duty.",210500,228700,"SPEAKER_10"
