"start_text","end","text","start_sub","stop","speaker"
18320,26560,"Come on and sit down here with me, they're here for you on your TV, they are the movements,",12600,25400,"SPEAKER_10"
26560,34880,"they are the movements, so come with me, give me your hand, I'll take you up to a movement",26500,28000,"SPEAKER_10"
34880,44000,"land, you can fly just like a bird, sing that song ever, there were the movements, there",29400,42300,"SPEAKER_10"
44000,55520,"were the movements, there were the movements, there were the movements, there were the movements,",44000,44000,"SPEAKER_10"
44000,55520,"were the movements, there were the movements, there were the movements, there were the movements,",44000,46000,"SPEAKER_11"
55520,80240,"there were the movements, there were the movements, there were the movements,",55400,56900,"SPEAKER_11"
85520,110240,"there were the movements, there were the movements, there were the movements,",85500,91200,"SPEAKER_00"
110240,134960,"there were the movements, there were the movements, there were the movements,",105800,113000,"SPEAKER_05"
134960,161680,"there were the movements, there were the movements, there were the movements,",126000,128400,"SPEAKER_03"
161840,177120,"that's the invisible child, I wonder what she really looks like,",157800,160300,"SPEAKER_01"
178560,184640,"oh well good morning everybody, morning lazy bones, we've been up for hours and hours,",175300,177200,"SPEAKER_13"
185200,191360,"we're going to play hide and seek in the woods, great, nanny are you all right, yes thanks,",181500,185000,"SPEAKER_02"
193280,198320,"this is dumb if I could see your face I wouldn't have to ask, doesn't help with you sniff you",192100,197000,"SPEAKER_04"
198320,223280,"all with ask silly questions it's a bit big for hide and seek isn't it but that's",197000,200200,"SPEAKER_02"
223520,233840,"so good about it okay this is a good place to start but we've got a new rule for the game once",223000,223200,"SPEAKER_03"
233840,238880,"you found somewhere to hide you've got to stay in the same place no moving about anyone do you",229500,240000,"SPEAKER_03"
238880,247360,"understand nanny right you're to go first sniff why isn't always me first we'll have a practice",229500,240000,"SPEAKER_03"
247360,254080,"for nanny's sake show her what to do I didn't seek as an easy game not for nanny it isn't she's",241900,249500,"SPEAKER_03"
254080,261040,"never played it before what never ever no and not just hide and seek she hasn't played any games at all",252200,255400,"SPEAKER_03"
261040,267840,"not even when she was visible no nothing oh that's terrible so will you go first no I won't",261000,261000,"SPEAKER_04"
261040,267840,"not even when she was visible no nothing oh that's terrible so will you go first no I won't",261000,261100,"SPEAKER_03"
268560,274400,"oh okay I'll go first then I'll count to 10 slowly so you'll have plenty of time to find",265500,275000,"SPEAKER_03"
274400,299120,"somewhere one two three go on nanny hurry up for five I can still see you six",265500,275000,"SPEAKER_03"
304400,313120,"seven",304400,305100,"SPEAKER_05"
321440,328160,"hello nanny don't be frightened why don't you hide in that bush over there he'll never find you",319500,320200,"SPEAKER_13"
328480,333280,"I'm coming thank you",325500,328400,"SPEAKER_13"
348000,350960,"oh my damn god you sniff",333300,333300,"SPEAKER_05"
358160,364960,"c'mon",357600,359600,"SPEAKER_05"
370560,373360,"yes",365300,366000,"SPEAKER_05"
388160,390160,"MMM?",387000,393200,"SPEAKER_08"
390160,392160,"MMM?",387000,393200,"SPEAKER_08"
392160,394160,"HMM?",387000,393200,"SPEAKER_08"
394160,396160,"FHHHHH?!",387000,393200,"SPEAKER_08"
396160,398160,"MMM?",387000,393200,"SPEAKER_08"
398160,400160,"HMM?",387000,393200,"SPEAKER_08"
400160,402160,"HMM?",399000,399100,"SPEAKER_03"
402160,404160,"Got you, Little Mike!",401200,403300,"SPEAKER_03"
404160,408160,"No! I'd like to know where Ninny's hiding!",401200,403300,"SPEAKER_03"
