"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here they are for you on your TV, they are the movements, they are the movements.",13100,25900,"SPEAKER_21"
29000,36000,"So come with me, give me your hand, I'll take you up to a movement land.",27000,28500,"SPEAKER_21"
36000,46000,"You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",30000,42900,"SPEAKER_21"
46000,58000,"there were the movements, there were the movements, there were the movements.",45000,46300,"SPEAKER_19"
77000,104000,"Captain Blood and his band of feared pirates had sailed the seas for many years,",74000,80100,"SPEAKER_00"
104000,107000,"but never could he remember a storm such as this.",99900,107400,"SPEAKER_15"
107000,113000,"He began to wonder whether his ship could withstand the battering and buffeting of the angry waves for much longer.",99900,107400,"SPEAKER_15"
113000,119000,"Alas, it is now too late to launch the lifeboat he thought, as he lashed himself to the wheel.",107700,113200,"SPEAKER_15"
119000,121000,"His voice rose against the wind.",113500,147700,"SPEAKER_15"
121000,128000,"Captain Blood can think of no better death than to journey to the bottom of the sea, losing the last battle against his old adversary.",113500,147700,"SPEAKER_15"
129000,135000,"But if only I could see the life of the young and beautiful princess who I rescued from the dupe scallion before a ciker,",113500,147700,"SPEAKER_15"
135000,143000,"I care not about the three chests of doubloons, two chests of jewels and 36 bales of the richest and most colorful silks,",113500,147700,"SPEAKER_15"
143000,148000,"but oh must she too perish in this terrible storm.",113500,147700,"SPEAKER_15"
148000,150000,"Is it a good book, Moonman?",148000,149700,"SPEAKER_06"
150000,152000,"Mmm, it's great.",149800,151300,"SPEAKER_06"
153000,156000,"What a terrible storm, it's not easing at all.",149800,151300,"SPEAKER_06"
156000,157000,"No.",153200,156000,"SPEAKER_06"
157000,160000,"I'm so glad I'm not on my own in a night like this.",156200,161800,"SPEAKER_06"
160000,162000,"I feel safe in Moonman's house.",156200,161800,"SPEAKER_06"
163000,165000,"Oh, what was that?",156200,161800,"SPEAKER_06"
165000,167000,"It sounded like a tree breaking.",164800,165000,"SPEAKER_05"
168000,169000,"Hey, Moonman.",168000,173000,"SPEAKER_05"
169000,171000,"Mmm, why don't you read your story out loud?",168000,173000,"SPEAKER_05"
171000,172000,"Oh, okay.",168000,173000,"SPEAKER_05"
172000,174000,"But can I start where I got to?",168000,173000,"SPEAKER_05"
174000,180000,"As long as you tell us what's happened before, we won't know what it's about, and we might have missed something important.",173000,174400,"SPEAKER_06"
180000,182000,"Just the main points will do, Moonman.",174800,180100,"SPEAKER_06"
182000,184000,"Well, there's this brave pirate.",180200,181800,"SPEAKER_14"
184000,186000,"It's so much fun when someone reads out loud.",182100,185000,"SPEAKER_06"
186000,188000,"Go on, Moonman.",185000,186300,"SPEAKER_05"
188000,189000,"Captain Blood.",186600,186600,"SPEAKER_06"
188000,189000,"Captain Blood.",186600,187500,"SPEAKER_05"
189000,193000,"And he and his men have captured a rich and royal gallery.",188100,192900,"SPEAKER_05"
193000,197000,"They've taken lots of gold, silver, and jewels and things.",192900,193400,"SPEAKER_16"
197000,199000,"And oh, yes, a princess too.",194000,199100,"SPEAKER_05"
