"start_text","end","text","start_sub","stop","speaker"
20920,30800,"me here for you on your TV they are the movements they are the movements so come",13200,25900,"SPEAKER_03"
30800,37600,"with me give me your hand I'll take you up to a moment land you can fly just",30000,43000,"SPEAKER_03"
37600,45000,"like a bird sing that song ever there were the movements there were the",30000,43000,"SPEAKER_03"
45000,59280,"movements there were the movements there was the movements there was the movements",45000,46500,"SPEAKER_05"
75000,104760,"The rain was falling on Moomin Valley as though the heavens had decided to empty",74000,80200,"SPEAKER_00"
104760,115240,"themselves. It was the wettest weather that anyone could remember.",100500,105500,"SPEAKER_01"
134760,159160,"Mama, can I borrow all this?",112600,115400,"SPEAKER_01"
159160,166760,"Of course, dear.",157500,160000,"SPEAKER_13"
166760,168280,"And this one too?",157500,160000,"SPEAKER_13"
168280,170840,"Yes, dear, but what do you need them for?",166900,167900,"SPEAKER_10"
170840,172760,"It's a secret. A secret?",168300,170100,"SPEAKER_10"
172760,173720,"Yeah, sure.",170900,176900,"SPEAKER_10"
173720,177320,"I'll want to see a back moment, but you can keep the jar if you like.",170900,176900,"SPEAKER_10"
177320,185560,"Thanks.",177300,178000,"SPEAKER_10"
189160,203320,"Oh, dear, oh, there are puddles everywhere.",177300,178000,"SPEAKER_10"
203320,206760,"Oh, dear, Mr. Hemmielen, what a mess.",201200,203100,"SPEAKER_11"
206760,208760,"Hello, Mr. Hemmielen.",206700,208100,"SPEAKER_12"
208760,213480,"Oh, good morning, Moomin.",206700,208100,"SPEAKER_12"
213480,216880,"Oh, it's all misty now.",212000,213100,"SPEAKER_13"
216880,218480,"What are you doing, Moomin?",214400,218300,"SPEAKER_13"
218880,220800,"Observing very closely.",214400,218300,"SPEAKER_13"
220800,225040,"Oh, splendid, my boy. I'm glad you find botany so exciting.",220800,227500,"SPEAKER_11"
225040,227520,"Oh, what exactly is it you're observing?",220800,227500,"SPEAKER_11"
227520,230720,"I'm sure I saw a beautiful crayfish in there.",220800,227500,"SPEAKER_11"
230720,234240,"Crayfish? Excuse me, young man, but that is the wallets.",227600,230200,"SPEAKER_11"
234240,253920,"Is he quite the most un-interesting field?",230800,237500,"SPEAKER_11"
253920,257920,"Oh, there it is.",249200,251900,"SPEAKER_06"
264240,294240,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh",254100,254900,"SPEAKER_13"
294240,308120,"Ahahahaha. I got him, I got him. I got him.",280800,280900,"SPEAKER_00"
308120,310120,"Oh, dragon.",307100,307800,"SPEAKER_13"
310120,312120,"Mm-hmm.",307100,307800,"SPEAKER_13"
312120,314120,"Mm-hmm.",307100,307800,"SPEAKER_13"
314120,316120,"Papa!",312900,313400,"SPEAKER_06"
320120,322120,"Oh, what have you got?",312900,313400,"SPEAKER_06"
322120,324120,"I don't know.",312900,313400,"SPEAKER_06"
324120,326120,"I don't know.",323000,323100,"SPEAKER_06"
326120,328120,"I don't know.",323000,323100,"SPEAKER_06"
328120,330120,"I don't know.",328100,333200,"SPEAKER_06"
330120,332120,"Papa!",328100,333200,"SPEAKER_06"
332120,334120,"Oh, what have you got?",328100,333200,"SPEAKER_06"
334120,336120,"I don't know.",328100,333200,"SPEAKER_06"
336120,338120,"Oh, what have you got there?",328100,333200,"SPEAKER_06"
338120,340120,"Oh, oh, nothing, Papa.",337500,339000,"SPEAKER_07"
340120,342120,"Everything's so fresh after the rain.",339000,340100,"SPEAKER_13"
342120,344120,"Oh, woman.",340800,343000,"SPEAKER_07"
344120,346120,"Yes, it is.",343900,344900,"SPEAKER_13"
348120,352120,"I've got to show this to Snuffkin before anybody else sees it.",343900,344900,"SPEAKER_13"
352120,354120,"Mm-hmm.",348200,351600,"SPEAKER_13"
354120,356120,"Mm-hmm.",348200,351600,"SPEAKER_13"
356120,358120,"Mm-hmm.",348200,351600,"SPEAKER_13"
358120,360120,"Mm-hmm.",348200,351600,"SPEAKER_13"
364120,366120,"Oh.",348200,351600,"SPEAKER_13"
366120,368120,"Mm-hmm.",365600,367000,"SPEAKER_13"
368120,370120,"Mm-hmm.",368100,368100,"SPEAKER_06"
370120,372120,"Boom, woman.",370100,370700,"SPEAKER_06"
372120,374120,"Boom, woman.",372000,372600,"SPEAKER_14"
374120,376120,"What have you got there, woman?",373500,377500,"SPEAKER_14"
376120,378120,"Oh, nothing. Nothing at all, little lie.",373500,377500,"SPEAKER_14"
378120,380120,"Oh, yes, you have, I saw it.",377900,383000,"SPEAKER_14"
380120,382120,"Lie to me.",377900,383000,"SPEAKER_14"
382120,384120,"It's just one of Mama's old jars.",377900,383000,"SPEAKER_14"
384120,386120,"Liar, liar, I know there's something.",383400,386400,"SPEAKER_14"
386120,388120,"I don't think there's nothing.",385100,386000,"SPEAKER_12"
390120,392120,"Then why are you hiding it?",385100,386000,"SPEAKER_12"
392120,396120,"Oh, why did a little mice see me?",391700,391800,"SPEAKER_14"
396120,398120,"It's not fair.",393600,396400,"SPEAKER_13"
404120,406120,"Dragon.",393600,396400,"SPEAKER_13"
406120,408120,"Oh, yeah, I was right.",404700,405100,"SPEAKER_13"
408120,410120,"It must be a baby dragon.",406300,407800,"SPEAKER_13"
410120,414120,"Probably the very last one on Earth and washed up by the rain.",409000,414100,"SPEAKER_13"
414120,416120,"A dragon of my own.",409000,414100,"SPEAKER_13"
416120,418120,"Well, that's wonderful.",415100,416700,"SPEAKER_13"
420120,422120,"Oh, I hope I didn't frighten you.",418100,418700,"SPEAKER_13"
424120,426120,"I know what I'll do.",420600,422100,"SPEAKER_13"
426120,430120,"I'll take the lid off the jar so you can get some fresh hair, little dragon.",425500,430600,"SPEAKER_13"
434120,436120,"See? That's better, isn't it?",425500,430600,"SPEAKER_13"
436120,438120,"Come on, little fella.",435900,440500,"SPEAKER_13"
438120,440120,"We'll give you a car to make you feel better.",435900,440500,"SPEAKER_13"
444120,446120,"Oh, that burnt me.",435900,440500,"SPEAKER_13"
448120,450120,"What a fierce little dragon you are.",448100,452600,"SPEAKER_13"
450120,452120,"Don't worry. I'll look after you.",448100,452600,"SPEAKER_13"
452120,454120,"I'll take good care of you.",448100,452600,"SPEAKER_13"
454120,456120,"And when your bigger and start to like me,",452800,454600,"SPEAKER_13"
456120,458120,"I'll take you swimming in the sea.",454900,459000,"SPEAKER_13"
462120,464120,"Oh, I'm sorry. You must be starring.",461700,469700,"SPEAKER_13"
464120,468120,"I'll get you something from my nighttime emergency food box.",461700,469700,"SPEAKER_13"
468120,470120,"I've got lots of things in there.",461700,469700,"SPEAKER_13"
470120,472120,"Bound to be something you like.",469900,471500,"SPEAKER_13"
478120,480120,"Go on. Take anything you want.",469900,471500,"SPEAKER_13"
494120,496120,"Oh.",493100,493300,"SPEAKER_06"
506120,510120,"Gosh, that's really clever, little dragon.",500400,501400,"SPEAKER_06"
510120,514120,"Move in. Lunch is ready.",507600,509900,"SPEAKER_12"
514120,516120,"Coming!",512500,514700,"SPEAKER_12"
516120,518120,"Now you stay here. Don't worry.",515700,519100,"SPEAKER_13"
518120,520120,"I'll be back in no time at all.",515700,519100,"SPEAKER_13"
520120,522120,"Remember, you're my own little dragon.",515700,519100,"SPEAKER_13"
524120,526120,"Oh.",520500,523000,"SPEAKER_13"
530120,534120,"Where's Sniff? I thought he was here as well.",520500,523000,"SPEAKER_13"
534120,536120,"He's collecting worms for fishing.",533900,535000,"SPEAKER_07"
536120,538120,"He'll be here soon.",535800,537000,"SPEAKER_14"
538120,540120,"We'll start without him then.",537000,538300,"SPEAKER_10"
540120,542120,"You know, Mama, certain people keep secrets in glass jars.",539200,542400,"SPEAKER_14"
542120,544120,"Secrets?",539200,542400,"SPEAKER_14"
546120,550120,"Oh, yes, a little secret that hisses.",546000,549100,"SPEAKER_14"
550120,554120,"Moment, Mama, I found this near the big puddle.",546000,549100,"SPEAKER_14"
554120,556120,"Thank you, Sniff.",551000,553500,"SPEAKER_11"
556120,560120,"Moment, I told you I wanted it back.",555300,556300,"SPEAKER_10"
560120,562120,"It's my very best one.",556700,561100,"SPEAKER_10"
562120,564120,"Sorry, Mama. I was so excited.",562000,563000,"SPEAKER_13"
564120,566120,"I must have left it when I found...",563000,569200,"SPEAKER_14"
566120,568120,"I mean, when I was...",563000,569200,"SPEAKER_14"
568120,570120,"And I'm sure you know who I mean by certain people.",563000,569200,"SPEAKER_14"
570120,572120,"Did you catch anything with the sieve, Moment?",570000,572400,"SPEAKER_11"
572120,574120,"Yes, he did.",570000,572400,"SPEAKER_11"
574120,576120,"Something that's now hidden in his room.",573100,576400,"SPEAKER_14"
576120,578120,"Big mouth.",573100,576400,"SPEAKER_14"
578120,580120,"If it's a secret little my.",577000,577000,"SPEAKER_14"
578120,580120,"If it's a secret little my.",577000,577000,"SPEAKER_10"
578120,580120,"If it's a secret little my.",577000,577000,"SPEAKER_14"
578120,580120,"If it's a secret little my.",577000,577700,"SPEAKER_10"
580120,582120,"Perhaps he doesn't want to tell anyone.",578300,581500,"SPEAKER_10"
582120,584120,"Yeah, probably because his new pet bites.",581600,584200,"SPEAKER_14"
584120,586120,"Well, it hasn't bitten you yet, hasn't it?",581600,584200,"SPEAKER_14"
586120,588120,"Huh. If it did, I'd bite it back.",584600,586500,"SPEAKER_14"
588120,592120,"Is it true? Does your secret really bite people?",586800,588600,"SPEAKER_14"
592120,594120,"Well, it couldn't bite very hard.",589200,592200,"SPEAKER_07"
594120,596120,"If it was small enough to go in a jar, could it, Papa?",592500,596600,"SPEAKER_13"
596120,600120,"I suppose certain people might keep other small things in jars,",592500,596600,"SPEAKER_13"
600120,604120,"beetles and spiders, mosquitoes, scorpions, or poisonous centipedes,",597200,610300,"SPEAKER_14"
604120,606120,"horrible things that multiply and multiply every week",597200,610300,"SPEAKER_14"
606120,610120,"and grow and grow until the jars are too small.",597200,610300,"SPEAKER_14"
612120,614120,"See? Like that.",597200,610300,"SPEAKER_14"
