"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you are your TV. They are the movements. They are the movements.",12800,25500,"SPEAKER_02"
29000,35000,"So come with me. Give me your hand. I'll take you up to a movement land.",26700,28200,"SPEAKER_02"
35000,43000,"You can fly just like a bird. Sing that song ever. There were the movements.",29600,42600,"SPEAKER_02"
43000,58000,"There were the movements. There were the movements. There were the movements.",29600,42600,"SPEAKER_02"
73000,93000,"There were the movements. There were the movements.",70700,73200,"SPEAKER_01"
93000,108000,"For a whole week, snorkemaiden had been curled up on the sofa, reading fairy tales.",85600,90500,"SPEAKER_01"
108000,119000,"It's a lovely day and at last, movement is persuaded to come out for a walk in the lonely mountains.",104200,108000,"SPEAKER_00"
119000,130000,"Oh, it's beautiful up here. Aren't you glad you came now? This is much better than fairy tales, isn't it snorkemaiden?",108500,114500,"SPEAKER_00"
130000,141000,"Oh, look, movement. It's Adelvice. No, it isn't. That doesn't grow here at all.",126100,129400,"SPEAKER_10"
141000,147000,"I'm sure it is. I know what it looks like. I'm sorry, but it's not.",138500,141300,"SPEAKER_10"
147000,155000,"Oh, it's just like in Heidi. No, it's not. It's just a daisy. Oh, come on. I want to pick it.",142000,146100,"SPEAKER_10"
155000,162000,"Oh, no, it's too dangerous. I know then. You can do it. You're my boyfriend, aren't you, movement?",151000,155100,"SPEAKER_10"
163000,171000,"Well, I suppose we could climb down there, but I promise you it's not Adelvice. That only grows in the Alps and there are hundreds of miles away.",162900,170700,"SPEAKER_10"
171000,189000,"I know it's Adelvice. Be careful. They don't care about danger in fairy tales. That's why they call them fairy tales, silly.",170900,172600,"SPEAKER_10"
189000,193000,"Fairy Princess, please accept this, my humble offering.",177400,183600,"SPEAKER_10"
193000,199000,"Thank you, Brave Knight. You are right, movement. This isn't Adelvice. See, I told you...",189300,192700,"SPEAKER_10"
199000,205000,"It's gonna be hard to get down from here, you know? Can't we go back the way we came?",193200,199100,"SPEAKER_10"
205000,213000,"Well, I think it'll be easier to try to get to that path. If you say so...",202700,204600,"SPEAKER_10"
214000,222000,"It's nearer anyway, and better than going up. I'm surprised you're such a good climber.",212600,213000,"SPEAKER_10"
222000,225000,"Oh, Royalty is good at practically everything.",218400,220500,"SPEAKER_10"
225000,240000,"It's not made of. It's not made of.",222800,225400,"SPEAKER_10"
240000,249000,"It's not made of.",238500,239500,"SPEAKER_06"
249000,264000,"Let me see six petals. What was that, a giant snowball? It can't be, it isn't winter.",248400,249400,"SPEAKER_06"
264000,270000,"Well, nothing of interest to me. Now, where was I?",259500,267600,"SPEAKER_11"
270000,274000,"We start hemulating. Has Snorkmaiden just gone past you?",259500,267600,"SPEAKER_11"
274000,278000,"Snorkmaiden, no, I've seen going past. It's a very large snowball.",272200,274100,"SPEAKER_10"
278000,280000,"That was Snorkmaiden.",274100,278100,"SPEAKER_11"
280000,284000,"But she's not made of snow?",278100,279600,"SPEAKER_10"
284000,288000,"Stop! Snorkmaiden, stop!",282700,283000,"SPEAKER_06"
295000,305000,"Snorkmaiden, snorkmaiden!",284400,286500,"SPEAKER_06"
305000,312000,"Oh, I'll praise the boobah. She's still breathing. She's just knocked herself out.",302900,304800,"SPEAKER_10"
318000,320000,"Oh, Mum and what's happened to her?",314900,315100,"SPEAKER_11"
320000,322000,"She's unconscious.",318100,320300,"SPEAKER_11"
322000,324000,"What are you trying to do?",320500,322700,"SPEAKER_11"
324000,327000,"I want to get her home to Mama.",322900,326500,"SPEAKER_11"
327000,330000,"Oh, difficult. She should lose a bit of weight.",322900,326500,"SPEAKER_11"
330000,335000,"Perhaps she'd come around if we splashed cold water on her face.",327500,332400,"SPEAKER_11"
335000,338000,"Oh, there's nothing to fetch it in.",332500,335200,"SPEAKER_11"
338000,344000,"Ah, if you cut some bark off a tree trunk, you could make a small container.",336000,337700,"SPEAKER_10"
344000,348000,"What a good idea. If you stay here, I'll go and do that.",339200,343600,"SPEAKER_11"
351000,353000,"Wake up, Snorkmaiden.",344500,347400,"SPEAKER_10"
366000,368000,"Oh, that's cold.",365700,366000,"SPEAKER_10"
374000,376000,"Has she come around yet, Mr. Hemulet?",366400,367600,"SPEAKER_10"
376000,377000,"No.",374400,376300,"SPEAKER_10"
378000,379000,"Okay.",377500,378200,"SPEAKER_10"
383000,385000,"Oh, good. It's working.",381700,383000,"SPEAKER_10"
385000,387000,"How are you feeling, Snorkmaiden?",383100,384900,"SPEAKER_10"
387000,389000,"Are you all right, Snorkmaiden?",385500,387500,"SPEAKER_11"
389000,392000,"Oh, where am I?",387600,389300,"SPEAKER_10"
392000,395000,"We're still up in Lonely Mountains.",391400,392400,"SPEAKER_10"
395000,397000,"Who am I?",393100,395300,"SPEAKER_10"
397000,402000,"Why Royal Highness the Princess of Lonely Mountains?",396400,397600,"SPEAKER_10"
402000,404000,"What? A Princess?",398400,402000,"SPEAKER_10"
405000,407000,"Oh, yes, of course.",402900,406600,"SPEAKER_10"
409000,410000,"And who are you?",409000,410100,"SPEAKER_10"
410000,413000,"I am the Prince of Lonely Mountains.",409000,410100,"SPEAKER_10"
413000,414000,"Oh, yeah.",410300,416300,"SPEAKER_10"
414000,415000,"Oh, yeah.",410300,416300,"SPEAKER_10"
415000,417000,"With that ridiculous shape?",410300,416300,"SPEAKER_10"
417000,419000,"No, a gesture, perhaps.",410300,416300,"SPEAKER_10"
419000,421000,"You want?",417400,420600,"SPEAKER_10"
422000,425000,"You there. Do not laugh.",417400,420600,"SPEAKER_10"
434000,437000,"I think the poor girl must have lost her memory.",426600,427000,"SPEAKER_10"
437000,440000,"Of course not. She's just pretending.",434100,437000,"SPEAKER_11"
441000,445000,"When does not whisper with royalty present, do you hear?",437800,440000,"SPEAKER_10"
