"start_text","end","text","start_sub","stop","speaker"
20560,32800,"me here for you on your TV they are the movements they are the movements so come with me give me your hand",12800,21300,"SPEAKER_10"
32800,41680,"I'll take you up to a moment land you can fly just like a bird sing that song ever there with the",29600,42600,"SPEAKER_10"
41680,56880,"movements there was a movement there was a movement there was a movement",29600,42600,"SPEAKER_10"
71760,74240,"Ba ba Ba Ba Ba Ba Ba Ba threat",70700,73500,"SPEAKER_00"
74240,103680,"With all the planets in outer space, there must be other forms of life different",73600,79800,"SPEAKER_00"
103680,113280,"that on earth. We don't know what they look like because no one from here has ever seen them.",101700,104400,"SPEAKER_01"
119520,124480,"However, we do know that they don't look like this because this is sniffed one of",111400,113400,"SPEAKER_01"
124480,126480,"women's friends.",124200,125500,"SPEAKER_01"
154480,173280,"So, it looks as though the rumor was right.",153700,154500,"SPEAKER_13"
173280,176480,"What rumor was that?",171100,171200,"SPEAKER_05"
176480,180480,"That we were about to be invaded by aliens from outer space.",176400,180300,"SPEAKER_08"
180480,184480,"Oh, dear, do you mean that thing that was chasing me might have been one of them?",180300,180300,"SPEAKER_05"
180480,184480,"Oh, dear, do you mean that thing that was chasing me might have been one of them?",180300,180500,"SPEAKER_08"
184480,186480,"Well, yes.",181800,184700,"SPEAKER_05"
186480,188480,"I thought they were just after me.",185400,186500,"SPEAKER_08"
188480,192480,"I wouldn't have thought you'd have been that important to them sniff,",186500,188900,"SPEAKER_05"
192480,194480,"but I suppose you never know, knew you.",189500,194800,"SPEAKER_08"
196480,204480,"It says here in this book that aliens from outer space are very civilized and peace-loving and would never want to invade us.",189500,194800,"SPEAKER_08"
204480,206480,"It seemed as though they're quite happy where they are.",204400,206900,"SPEAKER_04"
206480,208480,"I do, it's not a very scientific book.",204400,206900,"SPEAKER_04"
208480,212480,"Well, it was definitely attacking me, Mom and Papa, I know it was.",207900,210100,"SPEAKER_04"
212480,216480,"Well, it might have been a civilization from another planet sniff.",210300,213900,"SPEAKER_05"
216480,218480,"They were just hungry.",214300,217900,"SPEAKER_04"
218480,224480,"Huh? Well, the inspector told me that he thought we were being invaded by aliens, and he shouldn't know.",218000,219300,"SPEAKER_05"
224480,226480,"I'm sure he's exaggerating.",221000,225700,"SPEAKER_05"
