"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you on your TV, they are the movements, they are the movements.",12800,25600,"SPEAKER_08"
29000,36000,"So come with me, give me your hand, I'll take you up to a movement land.",26700,28300,"SPEAKER_08"
36000,41000,"You can fly just like a bird, sing that song ever.",29700,42600,"SPEAKER_08"
41000,49000,"There were the movements, there were the movements, there were the movements,",29700,42600,"SPEAKER_08"
49000,58000,"there were the movements, there were the movements.",46700,52000,"SPEAKER_08"
79000,92000,"There were the movements, there were the movements, there were the movements.",73700,79900,"SPEAKER_01"
109000,129000,"Woman Valley is enjoying another still peaceful summer's day.",85700,91500,"SPEAKER_01"
129000,135000,"However, this lazy lifestyle, no matter how pleasant it might be, does not suit everyone.",122400,127100,"SPEAKER_06"
135000,141000,"Oh, yes.",129300,136200,"SPEAKER_06"
141000,144000,"Would you like a cup of coffee, dear?",139200,139200,"SPEAKER_09"
144000,147000,"Yes, I think I need one, Mama.",143700,146400,"SPEAKER_09"
147000,149000,"Oh dear, is it your memoirs?",143700,146400,"SPEAKER_09"
149000,150000,"I'm stuck.",147200,149100,"SPEAKER_05"
150000,152000,"Ah, can I help?",149100,150000,"SPEAKER_09"
152000,154000,"How can I create in this?",151200,151200,"SPEAKER_09"
152000,154000,"How can I create in this?",151200,152100,"SPEAKER_05"
154000,155000,"In what?",153500,153600,"SPEAKER_05"
155000,159000,"In this sleepy atmosphere, and I've also come to a boring part.",154800,158900,"SPEAKER_09"
159000,160000,"When was that?",154800,158900,"SPEAKER_09"
160000,162000,"The time I wrote poems.",159100,159900,"SPEAKER_05"
163000,166000,"Were they any good?",162900,163800,"SPEAKER_05"
166000,167000,"No.",166000,166400,"SPEAKER_09"
167000,169000,"Well, miss that bit out then.",166800,168500,"SPEAKER_05"
169000,171000,"I can't.",166800,168500,"SPEAKER_05"
171000,176000,"I must put it down for posterity, it is my duty.",171000,175100,"SPEAKER_09"
176000,182000,"But how can I get inspiration here in this place where nothing ever happens, nothing ever happens at all?",171000,175100,"SPEAKER_09"
182000,185000,"Oh, I think this means another adventure.",176500,181300,"SPEAKER_09"
185000,193000,"Yes, Mama, but I need it to be big, exciting, and frightening.",182200,184900,"SPEAKER_05"
193000,195000,"Mama, what's the matter?",185700,191000,"SPEAKER_09"
195000,196000,"Are you all right?",194000,196000,"SPEAKER_13"
196000,2e+05,"Your father says that because nothing ever happens here, he can't write.",196000,196500,"SPEAKER_05"
2e+05,203000,"So I'm looking for an adventure for him.",196600,207400,"SPEAKER_05"
203000,204000,"Can you think of anything?",196600,207400,"SPEAKER_05"
204000,207000,"He wants it to be big, exciting, and frightening.",196600,207400,"SPEAKER_05"
207000,209000,"Does he want something really exciting?",196600,207400,"SPEAKER_05"
209000,212000,"Yes, dear, I'm afraid so.",207600,211200,"SPEAKER_02"
213000,215000,"I think I could manage that.",212900,215100,"SPEAKER_02"
224000,227000,"That looks like the footprint of a huge monster.",212900,215100,"SPEAKER_02"
237000,241000,"Oh, it's a good feeling giving others a bit of excitement.",237000,237000,"SPEAKER_02"
237000,241000,"Oh, it's a good feeling giving others a bit of excitement.",237000,237100,"SPEAKER_10"
243000,245000,"Just a couple more.",241600,242800,"SPEAKER_02"
255000,260000,"I'm praise the booboo I don't have to do modest work very often.",251500,251900,"SPEAKER_02"
260000,265000,"Phew, that was harder than I thought.",259800,262800,"SPEAKER_02"
265000,269000,"Oi, sleepy heads.",259800,262800,"SPEAKER_02"
269000,271000,"Wake up, everybody!",266800,268300,"SPEAKER_03"
271000,274000,"Mom and Papa, quickly get up!",269500,273800,"SPEAKER_03"
274000,276000,"Mom and Mama, a monster!",273900,283500,"SPEAKER_03"
276000,279000,"You've been visited by a monster!",273900,283500,"SPEAKER_03"
279000,281000,"Wake up before you eat and alive!",273900,283500,"SPEAKER_03"
281000,284000,"Come on, hurry, hurry!",273900,283500,"SPEAKER_03"
285000,288000,"My, what huge tracks.",273900,283500,"SPEAKER_03"
288000,292000,"Ah, that should keep them guessing for a while.",285200,287400,"SPEAKER_09"
294000,298000,"Hmm, it could be a monster from the depths of the ocean.",292000,292200,"SPEAKER_09"
298000,3e+05,"Something's not right here.",295000,297800,"SPEAKER_09"
3e+05,303000,"Don't you think it's a bit odd that it came directly to Moome House?",298400,303300,"SPEAKER_04"
303000,304000,"Yeah.",302400,303200,"SPEAKER_09"
304000,307000,"Well, look at the footsteps. They go in a straight line.",303500,306100,"SPEAKER_04"
307000,311000,"Someone must have told it to go to Moome House.",303500,306100,"SPEAKER_04"
313000,315000,"And they're only going one way.",307500,310200,"SPEAKER_09"
315000,318000,"Look, there are tiny footsteps going back to the sea.",313400,320300,"SPEAKER_04"
318000,321000,"Oh, Mama, my monster must still be here then.",313400,320300,"SPEAKER_04"
321000,324000,"Oh, well, not necessarily.",320900,341700,"SPEAKER_09"
324000,327000,"Retracing one's own footsteps is the sign of an advanced intelligence.",321400,322100,"SPEAKER_02"
327000,330000,"Stepping back exactly the way you came.",321400,322100,"SPEAKER_02"
330000,333000,"The tough question is, why would the monster do that?",329700,330100,"SPEAKER_00"
333000,337000,"One is led to believe that it wants us to think it's still here.",329700,330100,"SPEAKER_00"
337000,341000,"Well, in fact, it has gone back to wherever it came from.",329700,330100,"SPEAKER_00"
341000,344000,"Fiddle battle, as my dear mother would say.",329700,330100,"SPEAKER_00"
344000,347000,"But why would it want us to think that, Papa?",342000,344300,"SPEAKER_04"
347000,349000,"It's a spy.",347000,347300,"SPEAKER_13"
349000,350000,"Oh, it's a spy.",347800,348800,"SPEAKER_09"
350000,351000,"Something it shouldn't.",349600,355300,"SPEAKER_09"
351000,355000,"It'd hardly be a good spy if we knew they have to sneak in and out.",349600,355300,"SPEAKER_09"
356000,360000,"I think it's still here. I can feel it. You know what I mean?",355700,356300,"SPEAKER_09"
361000,363000,"Perhaps tonight.",356300,359800,"SPEAKER_02"
363000,365000,"Tonight? What about tonight?",361200,362500,"SPEAKER_09"
365000,369000,"That's when they'll attack. It's gone back to give its report.",364400,365400,"SPEAKER_02"
369000,371000,"How do you know that, Papa?",368800,370400,"SPEAKER_13"
371000,375000,"Well, obviously, that's why it still wants us to believe it's here.",371000,371300,"SPEAKER_13"
375000,376000,"Mama, Mama!",374700,375500,"SPEAKER_13"
376000,378000,"Yes, what is it, Moome?",375500,375500,"SPEAKER_02"
378000,380000,"Something terrible is going to happen.",378000,382200,"SPEAKER_02"
380000,382000,"A monster is going to attack us tonight.",378000,382200,"SPEAKER_02"
382000,385000,"And Papa's excited about it.",378000,382200,"SPEAKER_02"
385000,388000,"Oh, good. That's nice for him.",384900,387100,"SPEAKER_05"
389000,391000,"Hurry, everyone.",384900,387100,"SPEAKER_05"
391000,394000,"I expect the monster will be here soon.",389200,393500,"SPEAKER_09"
4e+05,403000,"Now hold it still.",4e+05,4e+05,"SPEAKER_10"
4e+05,403000,"Now hold it still.",4e+05,400100,"SPEAKER_13"
404000,407000,"This is going to be a good barricade, don't you think?",400400,400400,"SPEAKER_10"
404000,407000,"This is going to be a good barricade, don't you think?",400400,402400,"SPEAKER_09"
407000,410000,"We'd better make sure it's big enough.",407000,409200,"SPEAKER_09"
411000,415000,"It's hardly any fun at all playing tricks on them. They're so gullible.",410000,414900,"SPEAKER_02"
417000,421000,"If we catch the monster, we can sell it to a zoo.",417000,417300,"SPEAKER_02"
421000,423000,"I'll handle the sale, of course.",417600,422900,"SPEAKER_02"
