"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you on your TV they are the movements. They are the movements.",12800,25700,"SPEAKER_04"
29000,41000,"So come with me give me your hand. I'll take you up to a moment land. You can fly just like a bird. Sing the best song ever.",26700,28300,"SPEAKER_04"
41000,58000,"There were the movements. There were the movements. There were the movements.",29600,42600,"SPEAKER_04"
71000,91000,"There were the movements. There were the movements.",70700,73400,"SPEAKER_00"
102000,108000,"It was the end of summer but still every day seemed hotter than the last.",85200,91500,"SPEAKER_00"
108000,114000,"Movement Valley had had no rain for weeks and finally the river had dried up.",104000,106900,"SPEAKER_01"
114000,118000,"Papa says this weather is a catastrophe.",111600,113600,"SPEAKER_01"
118000,119000,"Oh not really.",117000,118500,"SPEAKER_09"
119000,123000,"But it is. He says movement Valley will turn into a desert if it carries on.",118800,123200,"SPEAKER_03"
123000,126000,"I don't think that will happen movement.",118800,123200,"SPEAKER_03"
126000,130000,"Papa can't ever remember it so hot even the river has dried up.",123700,125600,"SPEAKER_09"
130000,134000,"No that does worry me. I can't fish anymore.",126100,129600,"SPEAKER_03"
134000,140000,"In all my travels I found that droughts like this are always followed by a real heavy downpour.",134000,139000,"SPEAKER_09"
140000,149000,"Well it's too hot for me anyway.",134000,139000,"SPEAKER_09"
150000,159000,"Oh it's so hot I can't think.",140400,142700,"SPEAKER_03"
159000,167000,"I can I can always think of something.",155800,158600,"SPEAKER_13"
168000,188000,"Well well even the weeds are wilting.",161500,163700,"SPEAKER_02"
188000,190000,"The sea never dries up does it?",183300,183300,"SPEAKER_06"
190000,193000,"Of course not stupid wherever the fish go.",188100,190100,"SPEAKER_03"
193000,203000,"I'm going swimming.",190400,192500,"SPEAKER_02"
204000,227000,"Here you are.",193200,194600,"SPEAKER_02"
227000,237000,"Watch this.",219000,219800,"SPEAKER_03"
258000,267000,"Ah!",237700,238700,"SPEAKER_06"
267000,277000,"Ah!",237700,238700,"SPEAKER_06"
278000,287000,"Ah!",237700,238700,"SPEAKER_06"
287000,294000,"Ouch that hurt.",237700,238700,"SPEAKER_06"
294000,296000,"What's this stupid box doing here?",294000,294300,"SPEAKER_02"
296000,299000,"I think it's floated from foreign lands.",294600,298700,"SPEAKER_02"
