"start_text","end","text","start_sub","stop","speaker"
20620,32620,"me here for you on your TV they are the movements they are the movements so come with me give me your hand",12900,25600,"SPEAKER_15"
32620,42620,"I'll take you up to a moment land you can fly just like a bird sing that song ever there were the movements",29700,42600,"SPEAKER_15"
42620,57620,"there were the movements there were the movements there were the movements",42600,42600,"SPEAKER_14"
72620,101620,"the seeds that movement and his friends had found in a box that had been cast up on the beach",70800,73300,"SPEAKER_01"
101620,123620,"had grown into a tropical forest it was beautiful but also dangerous with man-eating plants kept a bay by snuffkin playing as harmonica but for how long",97800,104800,"SPEAKER_00"
124620,139620,"oh dear snuffkin don't stop playing your harmonica whatever you do they'll only get angry and attack us all over again",113800,114900,"SPEAKER_00"
139620,145620,"if I don't stop soon I might never want to play again",133200,140400,"SPEAKER_02"
145620,155620,"well perhaps the music has made them more friendly be careful mr. himmelon oh don't worry",140700,143300,"SPEAKER_09"
155620,165620,"mr. himmelon look out",152700,154000,"SPEAKER_08"
165620,175620,"I don't think the quickly snuffkin play again",163400,165000,"SPEAKER_07"
175620,177620,"oh",175300,175800,"SPEAKER_08"
177620,179620,"oh",175300,175800,"SPEAKER_08"
179620,181620,"oh",179500,180000,"SPEAKER_08"
199620,203620,"papa we must make sure the trap door won't open again",185100,185700,"SPEAKER_13"
203620,213620,"oh yes what's this about a trap door in the kitchen they almost got him before in the tag mama we reached her just in time",200200,203600,"SPEAKER_07"
233620,235620,"oh",229200,229700,"SPEAKER_13"
255620,261620,"I feel sorry for them it can't be helped snuffkin if we let them out will be eaten alive",247700,249800,"SPEAKER_13"
263620,269620,"it makes me feel very uncomfortable having man-eating plants under the floor",261300,262300,"SPEAKER_07"
269620,273620,"always keep a kettle of boiling water handy in case they break through",265000,269800,"SPEAKER_11"
273620,281620,"the children are playing Tarzan they might as well seeing as they've got a jungle to play in",269900,273900,"SPEAKER_02"
281620,284620,"still planting those seeds might have been a terrible mistake",278300,281300,"SPEAKER_11"
284620,292620,"well mama I'm very glad that you did just think what I would have missed and movement valley suddenly being full of tropical plants",282100,285000,"SPEAKER_11"
292620,298620,"is wonderful I'm not fond of traveling as you know and you've brought the plants to me",285000,293800,"SPEAKER_05"
298620,306620,"the trees make it much cooler but those man-eaters who I could do without them",293900,299000,"SPEAKER_05"
306620,316620,"you're just like Tarzan Tarzan loves James",305700,306300,"SPEAKER_13"
316620,320620,"oh what bliss",315000,320800,"SPEAKER_06"
320620,328620,"stinky's over there stinky Tarzan teach old baddie lesson",315000,320800,"SPEAKER_06"
328620,330620,"oh",327600,328000,"SPEAKER_07"
342620,346620,"pretty stupid moment playing Tarzan without wild animals",341700,342500,"SPEAKER_05"
346620,352620,"animals don't come from seeds no but you need them to have a real jungle I can get you some if you want",346100,346600,"SPEAKER_07"
352620,360620,"really I'll do anything for my friends that's very kind of you not too wild though no lions or tigers or anything",346100,346600,"SPEAKER_07"
360620,368620,"maybe it maybe chimpanzee I know exactly what you need",355800,361000,"SPEAKER_07"
368620,372620,"cheese bread",367400,367500,"SPEAKER_11"
378620,382620,"what are you doing mama well I don't like the thought of all those man-eaters still in the",378400,383400,"SPEAKER_11"
382620,386620,"cellar so your father and I are going to sleep in the bathhouse",378400,383400,"SPEAKER_11"
386620,390620,"we'll sleep outdoors too we've just built ourselves a hut",383700,386800,"SPEAKER_11"
390620,394620,"snorkemaiden and little Mai too well yes there's plenty of room",387400,394200,"SPEAKER_11"
394620,398620,"all right so that only leaves Mr. Himmelon sleeping in the house",387400,394200,"SPEAKER_11"
398620,402620,"and he still busy checking all the different plants",395000,401500,"SPEAKER_11"
402620,410620,"mama is everything ready oh yes dear",395000,401500,"SPEAKER_11"
410620,416620,"oh I'm already yes we are Mr. Himmelon see you later",406500,407600,"SPEAKER_11"
416620,426620,"stinky said he could get some wild animals papa",415600,415600,"SPEAKER_05"
426620,432620,"where ever from I don't know I wouldn't trust him he'll probably put a head jog in your sleeping bag",423600,427000,"SPEAKER_07"
432620,440620,"there it is the hut oh very well built",429600,433000,"SPEAKER_02"
