"start_text","end","text","start_sub","stop","speaker"
20560,30440,"me they're for you on your TV they are the moments they are the moments so come",12800,25600,"SPEAKER_08"
30440,37240,"with me give me your hand I'll take you up to a moment land you can fly just",29700,42600,"SPEAKER_08"
37240,44640,"like a bird sing that song ever there were the moments there were the",29700,42600,"SPEAKER_08"
44640,57840,"moments there was the moments there were the moments there were the moments",44100,46100,"SPEAKER_06"
74640,82480,"Vah, vva, vva, vva, vva …",70700,79800,"SPEAKER_01"
82480,92060,"Vah, vva, vva, vva, vva …",70700,79800,"SPEAKER_01"
92060,112980,"The rhino and the tigers that stinky set free from the zoo are now living in the jungle",85600,90400,"SPEAKER_01"
112980,117420,"that has grown up around Moomin house and have settled into the restful life of Moomin",108300,117900,"SPEAKER_17"
117420,118420,"Valley.",108300,117900,"SPEAKER_17"
119420,122420,"Hey, have you seen Moomin?",118900,119500,"SPEAKER_04"
122420,124420,"No, you haven't seen him all evening.",120900,122400,"SPEAKER_11"
124420,125420,"Hmm.",123000,124300,"SPEAKER_04"
125420,129420,"I wonder where they got to.",123000,124300,"SPEAKER_04"
129420,134700,"Meanwhile, Moomin and Snork Maiden chased by the snake and are swimming as fast as they",126300,128200,"SPEAKER_11"
134700,135700,"can out to sea.",130200,135800,"SPEAKER_17"
135700,138700,"I can't swim another.",130200,135800,"SPEAKER_17"
138700,141700,"Soon must not wait until you bust.",138000,141200,"SPEAKER_10"
141700,142700,"Hey!",138000,141200,"SPEAKER_10"
142700,146700,"Hey, you there!",138000,141200,"SPEAKER_10"
146700,151700,"Come on, Snork Maiden!",145100,146800,"SPEAKER_05"
151700,152700,"Nearly there!",150900,153000,"SPEAKER_10"
152700,156620,"Look, there's a couple of hippos that come in towards us.",150900,153000,"SPEAKER_10"
156620,157860,"We better get them on board.",155700,157800,"SPEAKER_20"
157860,158860,"That's funny.",155700,157800,"SPEAKER_20"
158860,162540,"I haven't heard about any hippos reported missing from the zoo lately.",158100,162000,"SPEAKER_20"
162540,173540,"Just a bit further, Snork Maiden.",158100,162000,"SPEAKER_20"
173540,175540,"We made it.",173400,174200,"SPEAKER_10"
175540,178540,"I didn't know hippos could climb so well.",175500,177500,"SPEAKER_20"
178540,181700,"Oh, thank you so much.",175500,177500,"SPEAKER_20"
181700,183780,"There was a huge snake chasing us.",179200,183500,"SPEAKER_12"
183780,186580,"Yes, we saw you were lucky we came along when we did.",179200,183500,"SPEAKER_12"
