"start_text","end","text","start_sub","stop","speaker"
18600,26880,"Come on and sit down here with me, they're for you on your TV, they are the movements,",12800,25700,"SPEAKER_13"
26880,29880,"they are the movements.",26700,28300,"SPEAKER_13"
29880,36120,"So come with me, give me your hand, I'll take you up to a moment land.",29700,42600,"SPEAKER_13"
36120,44480,"You can fly just like a bird, sing that song ever, there were the movements, there were",29700,42600,"SPEAKER_13"
44480,55840,"the movements, there were the movements, there were the movements, there were the movements,",44100,44100,"SPEAKER_13"
44480,55840,"the movements, there were the movements, there were the movements, there were the movements,",44100,46100,"SPEAKER_14"
55840,58840,"there were the movements.",55700,57200,"SPEAKER_14"
85840,99040,"Fall has come to movement valley and the memory of sunshine filled ours fades as the days",85200,91300,"SPEAKER_01"
99040,101840,"become shorter and the nights longer.",93500,101100,"SPEAKER_00"
101840,107040,"The wind blows away the falling leaves and the blue skies of summer are now grey and",101700,107700,"SPEAKER_00"
107040,111040,"cloudy, winter is just around the corner.",101700,107700,"SPEAKER_00"
111040,114040,"Snork maiden!",108000,110400,"SPEAKER_00"
114040,119040,"Where are you going?",111700,112800,"SPEAKER_05"
119040,125040,"Oh I'm just taking my brother, his lunch little my, he must have nearly finished the flying",118100,119000,"SPEAKER_05"
125040,126040,"ship by now.",123400,129100,"SPEAKER_05"
126040,130040,"Oh no, not even snork works that quickly.",123400,129100,"SPEAKER_05"
130040,132040,"Well have you seen it?",123400,129100,"SPEAKER_05"
132040,135040,"No I haven't, he won't even let me come into his workshop.",130600,137300,"SPEAKER_05"
135040,137840,"Is he afraid it'll disappear if someone sees it?",130600,137300,"SPEAKER_05"
137840,142320,"He hasn't said why but I suppose all great inventors have to be very careful, someone",137800,142000,"SPEAKER_04"
142320,145040,"might want to steal their ideas.",142000,144100,"SPEAKER_05"
145040,152040,"The woman told me he's dying to have a look at it.",144900,147000,"SPEAKER_05"
152040,163040,"Hey woman, open the door, I've got my hands full, come on quickly.",144900,147000,"SPEAKER_05"
163040,170040,"Look what I've got, it's a regular player.",158600,165000,"SPEAKER_12"
171040,177040,"Oh.",170600,172000,"SPEAKER_10"
177040,180040,"Do you think you can get it working dear?",170600,172000,"SPEAKER_10"
180040,182040,"Oh yes of course mom.",180000,180000,"SPEAKER_02"
180040,182040,"Oh yes of course mom.",180000,180000,"SPEAKER_12"
180040,182040,"Oh yes of course mom.",180000,180100,"SPEAKER_02"
182040,186040,"Why do people always give me things that are broken, it'd be nice to have something that",180100,187000,"SPEAKER_12"
186040,190040,"worked for a change.",180100,187000,"SPEAKER_12"
190040,193040,"Movement probably will get it working for you.",180100,187000,"SPEAKER_12"
193040,198040,"My auntie said that the record was alright though it stands music, she's had it for ages",192900,198900,"SPEAKER_12"
198040,199040,"but I've never heard it.",192900,198900,"SPEAKER_12"
199040,203040,"Oh that's nice, it's years since I danced but it seems like only yesterday.",199000,205500,"SPEAKER_11"
203040,206040,"Do you remember what fun it was Papa?",199000,205500,"SPEAKER_11"
206040,208040,"Dancing.",206000,207700,"SPEAKER_02"
208040,210040,"Oh yeah, I see.",208000,208000,"SPEAKER_02"
210040,213040,"Have you fixed it Papa?",209200,210500,"SPEAKER_02"
221040,222040,"Huh?",220800,221100,"SPEAKER_05"
222040,223040,"I can hear music.",221700,224400,"SPEAKER_05"
223040,226040,"Doesn't sound like snuffkin.",221700,224400,"SPEAKER_05"
229040,256040,"Right, have you got the idea now?",221700,224400,"SPEAKER_05"
256040,258040,"Yes I think so.",253500,255700,"SPEAKER_11"
258040,260040,"Me too.",256100,257500,"SPEAKER_06"
260040,265040,"Come on, let's see you then.",259900,261000,"SPEAKER_06"
265040,268040,"What?",265000,265000,"SPEAKER_11"
265040,268040,"What?",265000,265700,"SPEAKER_06"
268040,271040,"Did I do it?",267900,268600,"SPEAKER_04"
271040,279040,"Oh wow.",270800,270800,"SPEAKER_04"
271040,279040,"Oh wow.",270800,271900,"SPEAKER_09"
279040,285040,"Look at Papa woman, he's a great dancer.",271900,272000,"SPEAKER_04"
289040,294040,"Well then, can you dance snuff?",279600,282700,"SPEAKER_11"
294040,296040,"I've never tried.",292800,294500,"SPEAKER_03"
296040,300040,"Right, well try now.",294900,295900,"SPEAKER_12"
301040,306040,"Ha ha ha ha ha ha.",300200,300200,"SPEAKER_12"
306040,309040,"Yep.",303300,303400,"SPEAKER_10"
310040,315040,"Hi, yeah.",306600,318000,"SPEAKER_10"
315040,318040,"Hi, hi.",306600,318000,"SPEAKER_10"
318040,322040,"Hey, hey.",306600,318000,"SPEAKER_10"
322040,327040,"Hi, hey, hey, hey, hey.",321800,322300,"SPEAKER_10"
327040,332040,"Oh that was fun.",326500,326500,"SPEAKER_02"
332040,335040,"Oh, dancing never used to wear me out like this.",330300,334700,"SPEAKER_02"
335040,338040,"You've got no sense of rhythm at all, Snuff.",330300,334700,"SPEAKER_02"
338040,341040,"It's still dance though, can't I?",337700,339700,"SPEAKER_05"
341040,343040,"Oh, are you ready, Papa?",337700,339700,"SPEAKER_05"
343040,345040,"I think I'll have to sit this one out, Mama.",341700,345200,"SPEAKER_02"
345040,347040,"All right.",341700,345200,"SPEAKER_02"
350040,351040,"You all right?",346000,346000,"SPEAKER_11"
351040,352040,"No, thank you.",350300,353100,"SPEAKER_05"
352040,353040,"I'll dance on my own.",350300,353100,"SPEAKER_05"
353040,356040,"Well then, why don't you dance with me and dance, Smith?",353000,356000,"SPEAKER_11"
356040,358040,"Ah.",356000,357000,"SPEAKER_05"
363040,365040,"Hmm.",356000,357000,"SPEAKER_05"
365040,367040,"Oh.",363700,365400,"SPEAKER_09"
369040,373040,"Oh, it looks like it's here for the day.",366300,366300,"SPEAKER_02"
383040,386040,"Oh, what horrible weather, snuffkin.",371500,373900,"SPEAKER_02"
386040,388040,"Yes.",383100,387000,"SPEAKER_02"
