"start_text","end","text","start_sub","stop","speaker"
21120,28080,"they're here for you on your TV they are the moments they are the moments",12800,21300,"SPEAKER_01"
29600,38640,"so come with me give me your hand i'll take you up to a moment land you can fly just like a bird",29600,42600,"SPEAKER_01"
38640,45520,"sing that song ever there were the moments there were the moments",29600,42600,"SPEAKER_01"
45520,57920,"there were the moments there were the moments",44100,45900,"SPEAKER_01"
75520,76160,"bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye",74000,79800,"SPEAKER_08"
105520,135520,"bye bye bye bye",104700,112200,"SPEAKER_00"
135520,146360,"About what is this it looks like movement as restless as if something has disturbed him I wonder what he was dreaming about",119300,127000,"SPEAKER_00"
146360,161880,"I wonder what time it is oh it nearly 20 after 2",145000,147000,"SPEAKER_00"
161880,165880,"I wonder whether it's morning or afternoon.",159800,162200,"SPEAKER_04"
165880,168880,"It doesn't really matter, I suppose.",163400,165500,"SPEAKER_04"
168880,169880,"Oh, it stopped.",168800,169800,"SPEAKER_04"
174880,176880,"Oh, it's frozen.",168800,169800,"SPEAKER_04"
176880,179880,"It looks really dark out there.",175400,176700,"SPEAKER_04"
192880,197880,"Mama, Mama, please wake up.",177800,179700,"SPEAKER_04"
201880,203880,"Papa, Papa.",196700,198200,"SPEAKER_04"
203880,206880,"Mama, Mama.",202600,203900,"SPEAKER_04"
206880,209880,"Mama, what's wrong with me? I feel way too weak.",204800,206500,"SPEAKER_04"
222880,226880,"It's very odd. I don't usually wake up when I'm hibernating.",215400,215600,"SPEAKER_04"
239880,244880,"Oh, dear. The whole house is buried in snow.",228800,232300,"SPEAKER_04"
252880,255880,"Oh, no.",243800,246400,"SPEAKER_04"
256880,259880,"Oh, no.",243800,246400,"SPEAKER_04"
278880,282880,"Oh, Papa!",278600,280200,"SPEAKER_06"
282880,284880,"Oh, no, no, no, no, no.",282300,285000,"SPEAKER_06"
302880,305880,"This doesn't look like Moomin Valley.",301800,302700,"SPEAKER_04"
307880,310880,"And it's so quiet.",303100,305100,"SPEAKER_04"
313880,317880,"What was that?",311500,311500,"SPEAKER_04"
313880,317880,"What was that?",311500,311500,"SPEAKER_07"
313880,317880,"What was that?",311500,311800,"SPEAKER_04"
317880,321880,"Perhaps I better go home.",317000,317900,"SPEAKER_04"
321880,323880,"No, what's the matter with me?",319600,321200,"SPEAKER_04"
323880,326880,"Everyone's asleep, and the furniture's all covered up,",322400,328400,"SPEAKER_04"
326880,329880,"and Moomin's don't give up.",322400,328400,"SPEAKER_04"
329880,334880,"Oh, I wish Northkin were here.",322400,328400,"SPEAKER_04"
334880,339880,"He's probably in the far south where it's warm and sunny.",322400,328400,"SPEAKER_04"
359880,364880,"I wonder what that is.",344500,347700,"SPEAKER_04"
390880,393880,"Oh.",371300,372700,"SPEAKER_04"
393880,396880,"That sounds like...",393700,395700,"SPEAKER_06"
400880,403880,"Oh, yes, it's little Mai.",396200,396200,"SPEAKER_06"
400880,403880,"Oh, yes, it's little Mai.",396200,397000,"SPEAKER_04"
403880,405880,"By the bobble, what are you doing here, Moomin?",403700,406000,"SPEAKER_05"
405880,407880,"What am I doing here?",403700,406000,"SPEAKER_05"
407880,409880,"I heard strange noises and came to see what it was.",407800,414600,"SPEAKER_04"
409880,411880,"Then you crashed into me like an avalanche,",407800,414600,"SPEAKER_04"
411880,413880,"and I've just lifted the box off you.",407800,414600,"SPEAKER_04"
413880,415880,"Oh, don't be stupid, Moomin.",407800,414600,"SPEAKER_04"
415880,418880,"I mean, why are you out in the snow and not hibernating like the others?",414100,421100,"SPEAKER_05"
418880,420880,"Spring's not for ages.",414100,421100,"SPEAKER_05"
420880,424880,"Oh, I don't know. I just woke up and couldn't get back to sleep.",414100,421100,"SPEAKER_05"
424880,428880,"But what about you, sliding about like that, you should be asleep too.",421600,429200,"SPEAKER_04"
428880,430880,"Yes, I should, but I just woke up as well.",421600,429200,"SPEAKER_04"
430880,432880,"Probably to look after you.",429300,438600,"SPEAKER_05"
432880,435880,"I tried to wake my stupid sister, but she kept on snoring.",429300,438600,"SPEAKER_05"
435880,437880,"But I think this snow is really great.",429300,438600,"SPEAKER_05"
437880,441880,"Well, I don't. It's cold, it's slippy, much too bright,",429300,438600,"SPEAKER_05"
441880,444880,"and it's everywhere and far too quiet.",438600,447600,"SPEAKER_04"
444880,446880,"I saw the grok.",438600,447600,"SPEAKER_04"
446880,450880,"Wow, that horrible freezing monster.",438600,447600,"SPEAKER_04"
450880,454880,"She should feel at home in this, and there's no point in her trying to freeze anything.",448400,450900,"SPEAKER_04"
454880,456880,"I saw her on the hill.",450900,456400,"SPEAKER_05"
456880,458880,"Then it was her voice, I heard.",456700,458500,"SPEAKER_04"
458880,460880,"Yes, and the trouble with the horror thing is that she's so cold,",458300,463500,"SPEAKER_05"
460880,463880,"I wouldn't even want to touch her, Moomin.",458300,463500,"SPEAKER_05"
463880,465880,"It's her!",463800,463800,"SPEAKER_05"
463880,465880,"It's her!",463800,464200,"SPEAKER_07"
466880,468880,"Oh!",464500,464500,"SPEAKER_05"
466880,468880,"Oh!",464500,465200,"SPEAKER_07"
474880,476880,"I'm getting cold shivers all over.",468000,468000,"SPEAKER_07"
474880,476880,"I'm getting cold shivers all over.",468000,468100,"SPEAKER_04"
476880,478880,"Wow, why do you expect in the snow?",475400,478300,"SPEAKER_04"
478880,480880,"No, it's the grok's fault. She's done it.",478600,478600,"SPEAKER_05"
478880,480880,"No, it's the grok's fault. She's done it.",478600,478600,"SPEAKER_04"
478880,480880,"No, it's the grok's fault. She's done it.",478600,479000,"SPEAKER_05"
480880,482880,"Look at my skin, it's all goose bumpy.",479000,487300,"SPEAKER_04"
482880,486880,"It's not like that in the summer, it's smooth, not lumpy.",479000,487300,"SPEAKER_04"
486880,490880,"It's not the snow that makes me feel so cold, it's her staring at me.",479000,487300,"SPEAKER_04"
490880,492880,"I'm scared.",487900,491500,"SPEAKER_04"
496880,499880,"That was great.",491500,492400,"SPEAKER_05"
499880,501880,"Good, isn't it?",498600,499400,"SPEAKER_04"
501880,503880,"You can have as much as you like.",501100,501900,"SPEAKER_05"
503880,505880,"We picked more raspberries than ever this year,",502400,509200,"SPEAKER_04"
505880,507880,"and Mama made lots of juice.",502400,509200,"SPEAKER_04"
507880,509880,"Thanks.",502400,509200,"SPEAKER_04"
509880,511880,"Oh.",509500,509900,"SPEAKER_05"
511880,512880,"Ah!",510900,511200,"SPEAKER_04"
512880,514880,"I want that.",510900,511200,"SPEAKER_04"
514880,516880,"Mama's silver tray?",513700,514500,"SPEAKER_05"
516880,517880,"Yeah.",516400,517600,"SPEAKER_04"
517880,518880,"What do you want it for?",516400,517600,"SPEAKER_04"
