"start_text","end","text","start_sub","stop","speaker"
20560,32720,"me here for you on your TV they are the movements they are the movements so come with me give me your hand",12800,21300,"SPEAKER_05"
32720,41280,"I'll take you up to a movement land you can fly just like a bird sing that song ever there",29600,42600,"SPEAKER_05"
41280,56720,"with the movements there was the movements there was the movements",29600,42600,"SPEAKER_05"
71280,90000,"I'll take you up to a movement land you can fly just like a bird sing that song ever there",70700,73400,"SPEAKER_00"
90000,105280,"during the long winter in movement valley almost everybody living there hibernates until the sunshine",85300,90800,"SPEAKER_00"
105280,113680,"comes again in the spring but for some reason movement and little my woke up in the middle of it",99600,106700,"SPEAKER_03"
113680,121360,"we couldn't get back to sleep ah this is great I'm really starving I hope there's lots",109900,113600,"SPEAKER_03"
121360,126640,"oh there's plenty left no one thought she'd made too much this year but it's lucky for us she did",117200,122500,"SPEAKER_11"
126640,128560,"I don't know what we'd have to eat otherwise",121600,128800,"SPEAKER_10"
128560,141360,"shh they're still sleeping well at least you got me to play with movement",121600,128800,"SPEAKER_10"
141360,166320,"and that was fun what are you ever going to move in I'm probably a bit heavy for it so get",138300,141600,"SPEAKER_10"
166320,173360,"something else dummy I might later anyway I thought we were going to see tuteki come on I'll pull you okay",166000,167500,"SPEAKER_11"
178720,183600,"I know why you don't want to go move in you're scared of sliding down from the top aren't you",173200,173500,"SPEAKER_00"
183680,186800,"no of course I'm not",183600,184900,"SPEAKER_10"
193760,201200,"tuteki's not here I wonder where she's gone to that's her over there isn't it oh yeah I think it is",183600,184900,"SPEAKER_10"
202640,208960,"jay movement she looks like she's sliding sliding yes it's obvious she's sliding of course",200100,201500,"SPEAKER_10"
209760,218000,"she's coming over what were you going out there tuteki watching the sun go down",206800,206800,"SPEAKER_10"
209760,218000,"she's coming over what were you going out there tuteki watching the sun go down",206800,209200,"SPEAKER_11"
218720,223280,"it's the only place you can see it from I just caught it for it disappeared over the horizon",214400,218200,"SPEAKER_10"
223280,228480,"where did it go to it comes up again in the south and we'll probably shine on snuff can",218900,228300,"SPEAKER_10"
228480,233120,"hey tuteki what are those things you got on your feet they're called skates and they're the",218900,228300,"SPEAKER_10"
233120,238880,"best thing possible for moving across the ice quickly just what I need come on show me how to do",231900,236000,"SPEAKER_10"
238880,249200,"it yes okay that's great I'm going to make myself some skates too it's not as easy as you think",237100,239100,"SPEAKER_11"
249200,254800,"little lie pathetic I need a sort of knife on your shoes and that sounds easy enough to me",247700,255100,"SPEAKER_11"
