"start_text","end","text","start_sub","stop","speaker"
20560,32800,"me there for you on your TV they are the moments they are the moments so come with me give me your hand",12800,21300,"SPEAKER_10"
32800,41680,"I'll take you up to a moment land you can fly just like a bird sing that song ever there with the",29700,42600,"SPEAKER_10"
41680,59120,"moment there was a moments there was the moments there was the moments",29700,42600,"SPEAKER_10"
71680,101680,"La, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la",70700,79900,"SPEAKER_00"
101680,113920,"la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la, la. It's spring again in",85600,90000,"SPEAKER_00"
113920,120620,"Mumen Valley and after their long winter hibernation, everyone is awake and enjoying the sunshine",112800,114700,"SPEAKER_06"
120620,123500,"in the flowers.",119100,121700,"SPEAKER_06"
123500,128220,"Everyone that is except for mumen was in bed with a terrible cold.",123500,125500,"SPEAKER_06"
141980,144620,"Oh dear mumen, that's a nasty cough.",141500,146300,"SPEAKER_04"
144620,147180,"My throat is very sore.",141500,146300,"SPEAKER_04"
147180,148380,"This will help soothe it.",146800,151100,"SPEAKER_04"
148380,150940,"It's one of grandma's best potions.",146800,151100,"SPEAKER_04"
154780,155500,"It's hard.",154000,159100,"SPEAKER_04"
155500,158940,"Never mind, nice tasting medicines don't always work as well.",154000,159100,"SPEAKER_04"
162300,164540,"I wanted to go out, it's spring.",154000,159100,"SPEAKER_04"
164540,167740,"I know dear, but you'd catch pneumonia or something.",162400,164300,"SPEAKER_04"
168940,174060,"Oh mama, does anyone know why snuff can't come back here?",164700,167900,"SPEAKER_04"
174780,179020,"No, perhaps spring came earlier this year and he wasn't ready.",170500,174200,"SPEAKER_13"
183020,187020,"Snuff can not always come back to mumen valley on the very first day of spring,",176100,179000,"SPEAKER_04"
188220,189100,"but not this year.",183100,187200,"SPEAKER_06"
194220,195260,"Snuff kill.",188300,189300,"SPEAKER_06"
195260,204940,"I'm mumen papa, is mumen any better?",194300,195200,"SPEAKER_13"
204940,207580,"No, I'm afraid not, he's still got a nasty cough.",202500,205000,"SPEAKER_11"
207580,209180,"Can I go up and see him?",205000,211200,"SPEAKER_03"
209180,210940,"No, you'd better not, you might catch it.",205000,211200,"SPEAKER_03"
216060,219020,"Papa's right, sniff, and you know how poorly you get when you're ill.",205000,211200,"SPEAKER_03"
219020,220460,"It's best not to take the risk.",216200,222900,"SPEAKER_04"
220460,222700,"I should think he'll be up and about before very long.",216200,222900,"SPEAKER_04"
223500,226540,"Yes, it's better to be safe than sorry.",223400,229000,"SPEAKER_11"
226540,228860,"Woman shouldn't have gone out in the winter, should he mama?",223400,229000,"SPEAKER_11"
230620,232540,"No, but he couldn't go back to sleep.",230300,231000,"SPEAKER_04"
232540,234780,"Snow would have that effect on anyone.",232000,235000,"SPEAKER_03"
235740,240700,"Not you, little Mai was out in the cold with him and look at her, she seems healthy enough.",232000,235000,"SPEAKER_03"
243260,245020,"I'll take these flowers to mumen later.",235800,240900,"SPEAKER_03"
245820,247820,"Little Mai's too small to catch a cold.",243300,245200,"SPEAKER_12"
253340,257340,"This is boring.",245900,248000,"SPEAKER_11"
258300,260780,"I can't believe that mumen's sick.",256100,257500,"SPEAKER_12"
260780,262780,"And Snuff gets not back either.",258400,260500,"SPEAKER_12"
263500,265740,"I sure wonder what's happened to him.",263500,265600,"SPEAKER_12"
265740,269340,"I bet you mumen gets better as soon as Snuff can arrive in mumen valley.",265600,265600,"SPEAKER_11"
269900,272380,"He's never been this late coming back before.",265800,269500,"SPEAKER_11"
273660,275420,"Perhaps he's got fed up with you guys.",270100,272500,"SPEAKER_12"
276220,278380,"Impossible, he's very fond of me.",276200,276400,"SPEAKER_11"
278380,280460,"He's told me so lots of times.",277100,280200,"SPEAKER_11"
280540,282380,"He likes mumen too, of course.",279300,279800,"SPEAKER_12"
283260,285420,"He might have been captured by a highway man.",281100,281100,"SPEAKER_12"
283260,285420,"He might have been captured by a highway man.",281100,282600,"SPEAKER_11"
283260,285420,"He might have been captured by a highway man.",281100,281400,"SPEAKER_12"
286940,288300,"Let's go and look for him.",284600,285100,"SPEAKER_11"
288940,290060,"The highway man?",287000,288500,"SPEAKER_12"
290060,291340,"First Snuff can silly.",289700,289900,"SPEAKER_12"
291340,293420,"He's got to come back so mumen will get better.",290100,294800,"SPEAKER_12"
293420,295020,"We must find him.",290100,294800,"SPEAKER_12"
295020,296620,"But where do we look Snork Maiden?",290100,294800,"SPEAKER_12"
297340,298300,"In the south.",295200,296700,"SPEAKER_12"
298300,299340,"It's a big place.",298300,298300,"SPEAKER_11"
299340,300380,"He could be anywhere.",298400,300500,"SPEAKER_11"
301100,302620,"Well, I don't care how big it is.",301100,305900,"SPEAKER_12"
302620,303740,"I'm going anyway.",301100,305900,"SPEAKER_12"
303740,305020,"You're being silly.",301100,305900,"SPEAKER_12"
305020,305900,"No, I'm not.",301100,305900,"SPEAKER_12"
305900,307500,"I don't think your brother will like it.",301100,305900,"SPEAKER_12"
307500,308700,"In fact, I know he won't.",306600,307200,"SPEAKER_07"
309660,311900,"Have you gone completely bananas?",306600,307200,"SPEAKER_07"
311900,313340,"No, I haven't.",310300,312100,"SPEAKER_07"
313340,315340,"And you'll just have to make your own muffins.",312500,315600,"SPEAKER_12"
315340,317340,"There's more to food than muffins.",312500,315600,"SPEAKER_12"
317340,319580,"I was speaking figuratively.",315800,317600,"SPEAKER_07"
319580,321580,"Anyway, I'm going to your brother",317900,319800,"SPEAKER_12"
321580,323980,"and nothing you can do or say will stop me.",320000,324300,"SPEAKER_12"
323980,325580,"It's for mumen.",320000,324300,"SPEAKER_12"
325580,327820,"That's a sort of hairbrain scheme",324700,326000,"SPEAKER_12"
327820,329580,"that could only have been dreamed up by you.",326400,332400,"SPEAKER_07"
329580,330620,"What good will it do?",326400,332400,"SPEAKER_07"
330620,332220,"You don't even know where he is.",326400,332400,"SPEAKER_07"
332220,333100,"It is not.",326400,332400,"SPEAKER_07"
333100,334780,"Mumen is pining for Snuffkin.",332400,335000,"SPEAKER_12"
334780,336460,"Rubbish.",332400,335000,"SPEAKER_12"
336460,338220,"Men don't pine for their friends.",335900,345600,"SPEAKER_07"
338620,340940,"If he isn't back yet, then he isn't coming.",335900,345600,"SPEAKER_07"
340940,342140,"And if he isn't going to come,",335900,345600,"SPEAKER_07"
342140,343980,"what's the point of looking for him?",335900,345600,"SPEAKER_07"
343980,345420,"You won't find him anyway.",335900,345600,"SPEAKER_07"
347980,350380,"He will come when he knows that Mumen is sick.",335900,345600,"SPEAKER_07"
350380,352220,"Black males just like a sister.",348100,350300,"SPEAKER_12"
353180,355900,"Something done for love could never be black male.",353000,355900,"SPEAKER_12"
355900,358060,"Oh no, you're not going and that's fine.",355900,356000,"SPEAKER_11"
358060,360940,"Look, why don't you and little Mai go by yourselves?",356000,360900,"SPEAKER_07"
360940,363340,"Oh, well, I didn't really make a definite decision.",356000,360900,"SPEAKER_07"
363340,365260,"I just sort of said that I might come along",361000,369300,"SPEAKER_11"
365260,366780,"that if Snort Maiden isn't going,",361000,369300,"SPEAKER_11"
367180,368540,"there doesn't seem any point.",361000,369300,"SPEAKER_11"
368540,369580,"Does there?",361000,369300,"SPEAKER_11"
369580,372940,"And I'm not going because I think it's stupid and hairbrain too.",361000,369300,"SPEAKER_11"
372940,374620,"Snuffkin will come back soon.",369700,374600,"SPEAKER_12"
374620,375820,"Not Snort Maiden.",369700,374600,"SPEAKER_12"
375820,376940,"What do you say to that?",374700,377200,"SPEAKER_07"
384940,387020,"How is Mumen feeling any better?",378100,378400,"SPEAKER_12"
387020,389660,"He's asleep now, but the cough doesn't seem so bad.",385000,391800,"SPEAKER_03"
389660,391660,"And is temperature still quite high?",385000,391800,"SPEAKER_03"
397100,398220,"Already.",392900,392900,"SPEAKER_04"
416460,418140,"Snort Maiden Moan.",392900,392900,"SPEAKER_04"
425500,426500,"Snort Maiden.",425100,426400,"SPEAKER_13"
426780,430780,"And my pleas to see you, Moomin.",425100,426400,"SPEAKER_13"
430780,432780,"You look like you needed a lift.",425100,426400,"SPEAKER_13"
432780,436780,"This magic cloud must be one of those we got from the Hobgoblins top hat.",425100,426400,"SPEAKER_13"
436780,438780,"That's right. I hid one of them away.",425100,426400,"SPEAKER_13"
438780,441780,"What a good idea, Moomin. You are clever.",437600,439400,"SPEAKER_01"
