"start_text","end","text","start_sub","stop","speaker"
20500,30340,"me here for you on your TV they are the moments they are the moments so come",12700,21200,"SPEAKER_15"
30340,37180,"with me give me your hand I'll take you up to a moment land you can fly just",29600,42500,"SPEAKER_15"
37180,44540,"like a bird sing that song ever there were the moments there were the",29600,42500,"SPEAKER_15"
44540,57660,"moments there were the moments there was the moments",44000,45800,"SPEAKER_15"
74540,91340,"Ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba,",73600,79800,"SPEAKER_00"
92500,95500,"All is peaceful in moving valley.",85100,90400,"SPEAKER_00"
96080,98080,"Mama waters the flowers",92600,94800,"SPEAKER_09"
100060,103540,"while Papa relaxes in the shade on the porch.",96500,98100,"SPEAKER_09"
103540,106540,"Look, Mama, Moomin Papa is sleeping again.",100200,103400,"SPEAKER_09"
106540,108540,"Hmm.",104300,106700,"SPEAKER_07"
108540,110540,"You had a long nap yesterday.",107000,107400,"SPEAKER_10"
110540,111540,"I think it must be the weather.",108700,110600,"SPEAKER_07"
111540,113540,"It's too hot and sunny for me.",110600,111900,"SPEAKER_08"
113540,115540,"I wonder if he's worried about anything.",113500,115500,"SPEAKER_08"
115540,116540,"Hmm.",113500,115500,"SPEAKER_08"
116540,119540,"You don't sleep if you're worried you do something about it.",113500,115500,"SPEAKER_08"
122540,125540,"But Moomin Papa does have something on his mind,",117100,119700,"SPEAKER_07"
125540,127540,"although it doesn't keep him awake.",123000,125200,"SPEAKER_09"
127540,135540,"He's having a nice dream as well.",126000,127300,"SPEAKER_09"
152540,155540,"Oh, a lighthouse.",152500,155000,"SPEAKER_03"
155540,157540,"Oh, that's it.",152500,155000,"SPEAKER_03"
157540,160540,"Oh, that's it, a lighthouse.",155800,160900,"SPEAKER_03"
160540,162540,"What about a lighthouse, Papa?",155800,160900,"SPEAKER_03"
162540,164540,"We're going to visit one.",161400,163100,"SPEAKER_07"
164540,165540,"When?",163600,165200,"SPEAKER_03"
165540,166540,"Right now.",165200,165700,"SPEAKER_07"
166540,168540,"Well, as soon as I find one anyway.",165900,169400,"SPEAKER_03"
168540,171540,"That should stop you being bored, Mama.",165900,169400,"SPEAKER_03"
171540,173540,"Oh, I'm not really dear, but it would be nice.",169800,188000,"SPEAKER_03"
173540,174540,"Yeah.",169800,188000,"SPEAKER_03"
174540,177540,"Oh, I'm really excited.",169800,188000,"SPEAKER_03"
177540,180540,"Just think I'm letting lovely water.",169800,188000,"SPEAKER_03"
181540,185540,"Yeah, I'll write an exciting, epic novel of the sea.",178800,180400,"SPEAKER_08"
185540,187540,"I'm sure it will be a great success.",178800,180400,"SPEAKER_08"
187540,190540,"If he puts some action in it, misses out the romantic stuff.",178800,180400,"SPEAKER_08"
201540,203540,"Stop it!",188000,191000,"SPEAKER_07"
203540,205540,"Stop it!",203400,205000,"SPEAKER_10"
206540,209540,"Tell me.",206000,206000,"SPEAKER_10"
209540,213540,"Does Moomin Papa want all of you to go away to this lighthouse?",206800,208200,"SPEAKER_10"
213540,214540,"Oh, yes.",213400,217400,"SPEAKER_05"
214540,215540,"It'll be great fun.",213400,217400,"SPEAKER_05"
215540,217540,"Just think of all the ships we'll be able to see.",213400,217400,"SPEAKER_05"
217540,219540,"Yes, that will be good.",213400,217400,"SPEAKER_05"
219540,222540,"Papa says he wants to write an exciting story about the sea,",219500,226300,"SPEAKER_05"
222540,224540,"with ships and storms and stuff.",219500,226300,"SPEAKER_05"
224540,226540,"Probably pirates too.",219500,226300,"SPEAKER_05"
226540,229540,"Oh, he's stuck writing his memoirs again, is he?",226400,229500,"SPEAKER_11"
229540,232540,"Well, I guess that might have something to do with it,",226400,229500,"SPEAKER_11"
232540,234540,"but I think he just wants another adventure.",229900,235800,"SPEAKER_05"
235540,237540,"Well, it sounds a bit odd to me, Moomin.",229900,235800,"SPEAKER_05"
237540,238540,"No, it's not.",235800,237900,"SPEAKER_11"
238540,241540,"We're going to live in a real lighthouse and save ships",238000,244500,"SPEAKER_05"
241540,244540,"from the rocks and being wrecked in terrible storms.",238000,244500,"SPEAKER_05"
244540,245540,"Oh, I see.",244500,248700,"SPEAKER_11"
245540,248540,"What do you think the lighthouse keeper might say about you moving in?",244500,248700,"SPEAKER_11"
248540,250540,"Oh, he won't mind at all.",244500,248700,"SPEAKER_11"
250540,253540,"It'll be company for it, and I'm sure he'd like someone to talk to,",249200,256400,"SPEAKER_05"
