"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you are your TV, they are the movements, they are the movements,",12800,25600,"SPEAKER_02"
29000,35000,"So come with me, give me your hand, I'll take you up to a movement land,",26700,28300,"SPEAKER_02"
35000,43000,"You can fly just like a bird, sing that song ever, there were the movements,",29700,42600,"SPEAKER_02"
43000,58000,"There were the movements, there were the movements, there were the movements,",29700,42600,"SPEAKER_02"
58000,59000,"Da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da",55600,57100,"SPEAKER_03"
88000,118000,"da da da da da da da da da da da da da da da da da da da da",85200,89900,"SPEAKER_00"
118000,120700,"Dan, do you think it's broken, Papa?",117400,118500,"SPEAKER_12"
120700,124500,"Well, I'm not sure. I've not had a great deal of experience with this sort of thing.",119200,120800,"SPEAKER_12"
130100,133400,"Look over there, Moomin. It's the boy and the fisherman from the boat.",120800,124400,"SPEAKER_08"
135300,136900,"They're a bit strange, aren't they?",135300,136800,"SPEAKER_10"
137000,138900,"They must live somewhere here on the island.",135300,136800,"SPEAKER_10"
141900,142900,"Let's see.",141700,143000,"SPEAKER_08"
148000,148500,"What?",148000,148300,"SPEAKER_04"
158000,162500,"Oh, thank you. Leave it by the door when you haven't quite finished yet.",157900,162700,"SPEAKER_01"
163500,165500,"Well, at least we can see the floor now.",157900,162700,"SPEAKER_01"
166000,168000,"I think the keeper must be lying dead under the desk.",165700,168200,"SPEAKER_12"
170000,173000,"Nobody's cleaned here for a long time. That's for sure.",165700,168200,"SPEAKER_12"
173000,176500,"That probably means the lighthouse lamp hasn't been working for ages either.",170100,176700,"SPEAKER_10"
177500,179500,"I wonder if Papa will be able to fix it.",177300,179200,"SPEAKER_09"
180500,183500,"I wonder if they're going to manage to get the light working all right.",179800,180100,"SPEAKER_09"
186500,189500,"Well, the lighthouse without a lamp is pretty sad, isn't it?",186400,189100,"SPEAKER_09"
194500,196500,"Come on, light, will you?",186400,189100,"SPEAKER_09"
196500,198500,"Right, I'll give you one last chance.",194600,198700,"SPEAKER_08"
202500,206000,"Then I'm getting the big spanner. Now you don't know me, but I don't give in easily.",202400,225900,"SPEAKER_08"
206000,207500,"Especially to machines.",202400,225900,"SPEAKER_08"
207500,216000,"Have you thought brass brain what will happen tonight if there's a storm and there's a ship out there looking for land or trying to keep off the rocks and there's no light to guide them?",202400,225900,"SPEAKER_08"
216000,218000,"You'll be sorry Dan, but it'll be too late.",202400,225900,"SPEAKER_08"
218000,225500,"And all I can say is that if the light hasn't been working for some time that I'm afraid that there could have been many shipwrecks.",202400,225900,"SPEAKER_08"
