"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you on your TV they are the movements. They are the movements.",12800,25500,"SPEAKER_09"
29000,41000,"So come with me give me your hand. I'll take you up to a moment land. You can fly just like a bird. Sing that song ever.",26700,28200,"SPEAKER_09"
41000,58000,"There were the movements. There were the movements. There were the movements. There were the movement.",29600,42600,"SPEAKER_09"
58000,88000,"Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob,",55500,57500,"SPEAKER_08"
88000,118000,"Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob",87900,87900,"SPEAKER_03"
88000,118000,"Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob",87900,89900,"SPEAKER_13"
118000,123600,"It's your father's old girlfriend, of course never. Oh, I'm sure he had dozens and dozens",116000,120700,"SPEAKER_02"
123600,127800,"Moomin Papa was a very kind and handsome young man a voice from the past",120700,128300,"SPEAKER_13"
129280,131280,"Moomin Papa liquid. I've got for you",120700,128300,"SPEAKER_13"
135840,138340,"Oh, no, I was",134600,134600,"SPEAKER_07"
