"start_text","end","text","start_sub","stop","speaker"
20560,32800,"me here for you on your TV they are the movements they are the movements so come with me give me your hand",12800,25600,"SPEAKER_06"
32800,41680,"I'll take you up to a moment land you can fly just like a bird sing that song ever there with the",29700,42600,"SPEAKER_06"
41680,56320,"movements there were the movements there were the movements",29700,42600,"SPEAKER_06"
72240,78320,"one day in mumen valley not long before midsummer on a perfectly ordinary day",55100,57000,"SPEAKER_00"
78320,84640,"snuffkin suddenly announced that he was going on a short trip where are you going snuffkin",73300,82100,"SPEAKER_04"
84640,94320,"well not very far I'll be back right after midsummer oh but snuffkin you missed the bonfire at the big party",83200,84900,"SPEAKER_10"
94320,99520,"hmm but why in the world are you going away there's something I've been dying to do for a long time",90900,94800,"SPEAKER_10"
99520,105520,"and it has to be done on midsummer eve I promise to tell you all about it mumen as soon as I'm back in",97300,102200,"SPEAKER_01"
105520,114160,"mumen valley little did snuffkin know that before he came back the underwater volcano which",102300,106400,"SPEAKER_01"
114160,126240,"had kept quiet ever since mumen papa's youth would wake up again",112400,116800,"SPEAKER_04"
127200,136960,"what's all that smoke is it the volcano and your father's memoirs",117000,118100,"SPEAKER_04"
142960,147440,"I don't think I like this I think it's exciting oh in that case you can have it",133300,137200,"SPEAKER_10"
148400,152320,"do mumen mama mumen yes what is it dear",143100,147600,"SPEAKER_10"
152320,159360,"this hammock is shaking it's very unpleasant I think it's that volcano you told us about",150800,155000,"SPEAKER_07"
159360,167600,"yes I guess it must be mama papa oh there's smoke rising from the street papa",156000,159600,"SPEAKER_11"
178080,181120,"oh that's very uh what is it papa",176800,176900,"SPEAKER_10"
183040,189840,"let me see what you have some quite a kind of eruption what's going on I don't know really I guess",180100,184600,"SPEAKER_10"
189840,200560,"there isn't much we can do I can't see oh where is it let me see now it's my turn now I was first",189000,189800,"SPEAKER_10"
200560,203120,"yes now I've got it",198800,199900,"SPEAKER_03"
208480,213680,"mumen papa we'll be all quakes as big in your youth no they certainly weren't and this one's",204900,205800,"SPEAKER_03"
213680,217120,"underwater oh my net cause a tide of waves",208500,214400,"SPEAKER_02"
226320,229920,"what do you think can you see anything unusual mumen papa",226300,230300,"SPEAKER_02"
230560,236080,"you've never seen anything like it this is very unusual oh my I want to see it too",230400,231000,"SPEAKER_02"
238160,242320,"how can you fight during a catastrophe whatever you do don't run the car",235000,240600,"SPEAKER_10"
254800,259200,"you're so stupid you should have let me have it first it's all your fault little my",251300,252300,"SPEAKER_03"
259200,262160,"anyone can see that how dare you say it was all my fault",254900,264800,"SPEAKER_10"
269120,275760,"snorke maiden yes I'm standing watch over my flying ship so why don't you stay over in mumen house",263700,264600,"SPEAKER_03"
275760,281680,"you be careful you look after her won't you mumen papa certainly snorke I don't like the look of",270500,271100,"SPEAKER_09"
281680,286640,"nor do I nor do I we better get inside mumen house quickly",277300,277300,"SPEAKER_09"
281680,286640,"nor do I nor do I we better get inside mumen house quickly",277300,282100,"SPEAKER_02"
372000,381120,"what's that noise listen can you hear a noise what noise I don't know sounds like water to me",368700,369200,"SPEAKER_10"
384640,389600,"oh no what's happening mumen house is drifted off to sea",384600,385800,"SPEAKER_09"
392800,399760,"I don't believe this I think mumen valley is flooded it really is",392800,392800,"SPEAKER_09"
392800,399760,"I don't believe this I think mumen valley is flooded it really is",392800,392800,"SPEAKER_10"
392800,399760,"I don't believe this I think mumen valley is flooded it really is",392800,392800,"SPEAKER_09"
392800,399760,"I don't believe this I think mumen valley is flooded it really is",392800,394500,"SPEAKER_10"
